Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	N	B	Z	PBG	W	A	Stellar
0103	Aladon	B6579C9-C	Ga Hi Da	{ 3 }	(D8D-5)	[7C6F]	EB	-	A	140	13	ImDs	G0 V
0104	Maxalla	B596000-0	Ba	{ -1 }	(700-5)	[0000]	-	-	-	011	13	ImDs	M1 V
0108	Sikora	E874620-6	Ag Ni	{ -2 }	(253-4)	[8457]	CB	-	-	110	11	ImDs	K2 V
0202	Chipper	A792743-8	He Pi	{ 0 }	(A69-1)	[B7A6]	DB	N	-	880	8	ImDs	M3 V
0206	Rann	X89A9BC-6	Hi In Wa (Eershe'yaat) Fo	{ 0 }	(389+3)	[A966]	-	-	R	331	11	ImDs	K4 V
0207	Justi	A686563-9	Ag Ga Ni Pr O:0209	{ 2 }	(E44+3)	[8647]	CcB	W	-	230	10	ImDs	M2 V
0209	Soyuz	A300933-E	Hi In Na Va	{ 4 }	(78D+0)	[AD3H]	fEB	-	-	340	12	ImDs	M0 V
0303	Jumar	C000796-B	As Na Pi Va	{ 1 }	(G66+1)	[6856]	DB	-	-	230	10	ImDs	A8 V
0306	Jae Mona	B200555-D	Ni Va	{ 1 }	(C44+0)	[567C]	B	-	-	992	17	ImDs	K0 V
0310	Bayse	X6859B7-4	Ga Hi Pr Fo	{ -1 }	(787-1)	[6846]	-	-	R	550	13	ImDs	K1 V
0401	Kampala	E645357-8	Lo	{ -3 }	(C20+1)	[112D]	B	-	-	210	12	ImDs	K6 V M6 V
0402	Apinar	A542210-9	He Lo Po	{ 0 }	(B10-3)	[124B]	B	-	-	442	8	ImDs	M4 V
0406	Gentry	A681500-C	Ni Pr	{ 1 }	(843+5)	[366C]	cB	-	-	911	9	ImDs	M0 V M3 V
0407	Isaasakhur	B310574-D	Ni	{ 1 }	(B43+2)	[766D]	B	-	-	121	9	ImDs	M0 V
0410	Vita Levu	E6938CC-6	Ph Pi Fo	{ -2 }	(277+3)	[B652]	-	-	R	330	10	ImDs	K4 V M2 V
