Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	N	B	Z	PBG	W	A	Stellar
0102	Oasis	C5507A9-7	De Po	{ -1 }	(A67+1)	[9664]	-	-	-	660	6	SoCf	G3 V M2 V
0104	Pity	C301303-B	Ic Lo Va	{ 0 }	(F20+1)	[733D]	-	-	-	230	9	SoCf	M0 V
0105	Reynold	C10188A-A	Ic Na Ph Pi Va	{ 1 }	(C77-4)	[795C]	-	-	-	661	7	SoCf	M1 V
0106	Vala's World	E550000-0	Ba De Po	{ -3 }	(800-5)	[0000]	-	-	-	061	7	SoCf	G2 V
0203	Wu	B66A95A-E	Hi Pr Wa Cp (Wuans)	{ 4 }	(A89+4)	[5D7F]	-	KM	-	341	13	SoWu	G9 V F9 V
0205	Clan	B54098C-9	De He Hi In Po Da	{ 4 }	(989+0)	[7D19]	-	KM	A	780	8	SoWu	G9 V
0208	Spit	D550843-5	De Ph Po	{ -2 }	(776+4)	[A669]	-	-	-	122	13	SoCf	G3 V F4 V
0210	Chou	C621877-8	He Na Ph Pi Po	{ -1 }	(976-2)	[5777]	-	-	-	230	12	SoWu	K1 V
0303	Placid	C545435-8	Ni Pa	{ -2 }	(C33-1)	[4235]	-	-	-	771	16	SoCf	K9 V G0 V
0305	Veller	E546464-5	Ni Pa O:0205	{ -3 }	(630+3)	[6113]	-	-	-	661	10	SoWu	F7 V
0308	Tloia	E775000-0	Ba	{ -3 }	(600-5)	[0000]	-	-	-	051	10	SoCf	K2 V G4 V
0309	Rudikk	A301721-9	Ic Na Pi Va	{ 1 }	(767+1)	[886E]	-	-	-	992	6	SoCf	M1 V
0310	Carn	C4305A9-8	De Ni Po	{ -2 }	(941+0)	[2395]	-	-	-	710	10	SoCf	M2 V M0 V
0403	Downfall	D547203-5	Lo	{ -3 }	(510+3)	[11A7]	-	-	-	571	16	SoCf	F1 V
0404	Oyama	B550548-9	De Ni Po	{ 0 }	(743-3)	[756E]	-	-	-	340	13	SoWu	K3 V
0409	Brandon	A645555-B	Ag Ni	{ 2 }	(848-1)	[373F]	-	-	-	451	13	SoWu	G7 V
0502	Fairbairn	D550510-5	De Ni Po	{ -3 }	(640+0)	[7296]	-	-	-	770	8	SoCf	K3 V M0 V
