Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Magy	A	0102	Oasis	B5507A9-A	KM	De Po		600	SoCf	G3 V M2 V	{ 3 }	(96C+3)	[8A6B]		6	2268
Magy	A	0104	Pity	C301200-C		Ic Lo Va		303	SoCf	M0 V	{ 0 }	(710+0)	[1217]		9	14
Magy	A	0105	Reynold	C101899-B		Ic Na Va Ph Pi		613	SoCf	M1 V	{ 1 }	(E7B+1)	[996C]		7	1232
Magy	A	0106	Vala's World	D550210-7		De Lo Po		610	SoCf	G2 V	{ -3 }	(410-3)	[1112]		7	-24
Magy	E	0113	Schurz	A874310-D		Lo		201	SoCf	G6 V F1 V	{ 1 }	(620+1)	[1418]		9	18
Magy	E	0115	Pryon	A889747-D		Ri Cp		902	SoCf	K9 V M3 V	{ 3 }	(B6E+3)	[7A5D]		10	3234
Magy	E	0116	WAIR	C89A98C-C		Hi In Wa		701	SoCf	G2 V M6 V	{ 3 }	(C8E+3)	[CC8F]		11	4536
Magy	E	0118	Hool	C421867-A		He Na Po Ph Pi O:		704	SoCf	G7 V M4 V	{ 1 }	(E7A+1)	[895A]		10	1120
Magy	E	0119	Mickel	A742855-D		He Po Ph Pi		903	SoCf	F5 V	{ 2 }	(D7D+2)	[6A3B]		10	2704
Magy	E	0120	FACTN	C540999-A		De He Hi In Po		603	SoCf	G2 V	{ 3 }	(E8D+3)	[AC6B]		15	4914
Magy	I	0122	Vaneken	C7B78A9-9		Fl Ph		203	SoCf	M3 V M7 V	{ 0 }	(D79+0)	[986A]		9	936
Magy	I	0125	Ulm	A548666-C		Ag Ni O:		614	SoCf	G4 V G1 V	{ 2 }	(D56+2)	[584B]		11	936
Magy	I	0130	Rosefeld	E5218CB-7		He Na Po Ph Pi		621	SoCf	G3 V M8 V	{ -2 }	(A76-2)	[A679]		11	-960
Magy	M	0131	INDET	B7B79BD-D		Fl Hi In		102	SoCf	M0 V	{ 4 }	(D8G+4)	[DD9H]		8	7488
Magy	M	0134	Quizen	B6AA865-D		Fl Ph O:		910	SoCf	M1 V	{ 2 }	(B7D+2)	[6A3B]		9	2288
Magy	M	0135	Regasas	A100877-E		Na Va Ph Pi		300	SoCf	M2 V M1 V	{ 2 }	(A7D+2)	[8A5E]		8	2080
Magy	M	0136	Wilkerson	A7BA767-E		Fl O:		312	SoCf	M1 V M0 V	{ 2 }	(C6D+2)	[795E]		11	2184
Magy	M	0137	Bentley	B422644-C		He Na Ni Po		104	SoCf	M1 V	{ 1 }	(C55+1)	[473A]		13	360
Magy	M	0139	Xianjin	A77668A-C	KM	Ag Ni		812	SoCf	K0 V M0 V	{ 3 }	(B57+3)	[897E]		12	1386
Magy	M	0140	Falkenthal	E69A266-9		Lo Wa O:		213	SoCf	G7 V M8 V	{ -2 }	(810-2)	[1148]		15	-32
Magy	A	0203	WU	B66A99A-E	KM	Hi Wa Cp Pr (Wuans)		414	SoCf	G9 V F9 V	{ 4 }	(G8G+4)	[BD7G]		13	9216
Magy	A	0205	CLAN	B540988-C	KM	De He Hi In Po		803	SoCf	G9 V	{ 5 }	(E8G+5)	[9E5C]		8	10080
Magy	A	0208	Spit	C550846-8		De Po Ph		222	SoCf	G3 V F4 V	{ -1 }	(E77-1)	[7747]		13	-784
Magy	A	0210	Chou	C62187B-9		He Na Po Ph Pi		303	SoCf	K1 V	{ 0 }	(D79+0)	[A87B]		12	936
Magy	E	0211	Stanislav	B000688-D	KM	As Na Ni Va		901	SoCf	M0 V	{ 2 }	(956+2)	[685D]		10	648
Magy	E	0212	Zentara	C101200-D		Ic Lo Va		604	SoCf	M2 V	{ 0 }	(810+0)	[1218]		13	16
Magy	E	0215	Amonchomchu	C599765-9		Pi O:		501	SoCf	K7 V	{ 0 }	(A69+0)	[5737]		9	630
Magy	E	0216	Planck	B101353-E	KM	Ic Lo Va		304	SoCf	M2 V M9 V	{ 2 }	(920+2)	[152B]		15	54
Magy	E	0220	Anderson	B550221-B		De Lo Po		103	SoCf	K9 V	{ 1 }	(710+1)	[1317]		8	14
Magy	I	0223	Campany	B641888-A		He Po Ph Pi		821	SoCf	G9 V	{ 2 }	(D7B+2)	[8A5A]		11	2288
Magy	I	0224	Romm	B431321-D		Lo Po		703	SoCf	M2 V	{ 1 }	(820+1)	[1419]		11	24
Magy	I	0225	Adopoulos	C100599-C		Ni Va		111	SoCf	M0 V	{ 0 }	(944+0)	[656D]		9	180
Magy	I	0227	Ock	A9A8855-E	KM	Fl Ph Cp		510	SoCf	M2 V M4 V	{ 3 }	(B7E+3)	[6B3C]		7	3696
Magy	I	0229	Tworek	E8AA446-A		Fl Ni		812	SoCf	A5 V	{ -1 }	(932-1)	[3349]		10	-72
Magy	M	0233	Drang	A54379C-C	KM	Po Pi		113	SoCf	K2 V	{ 3 }	(D6D+3)	[AA8F]		16	3549
Magy	M	0239	Crecilius	B6A7114-C	KM	Fl Lo		213	SoCf	M1 V K8 V	{ 2 }	(700+2)	[133A]		9	14
Magy	A	0303	Placid	B545433-B		Ni Pa		714	SoCf	K9 V G0 V	{ 1 }	(B34+1)	[1528]		16	176
Magy	A	0305	Veller	E546468-7		Ni Pa O:		610	SoCf	F7 V	{ -3 }	(630-3)	[4157]		10	-72
Magy	A	0308	Tamroff	E775302-8		Lo		513	SoCf	K2 V G4 V	{ -3 }	(920-3)	[1114]		10	-81
Magy	A	0309	Rudikk	E301720-8		Ic Na Va Pi		920	SoCf	M1 V	{ -2 }	(B66-2)	[2513]		6	-924
Magy	A	0310	Carn	C4306AA-A		De Na Ni Po		104	SoCf	M2 V M0 V	{ 0 }	(C54+0)	[867C]		10	288
Magy	E	0315	McManus	E511742-7		Ic Na Pi		502	SoCf	A8 V	{ -2 }	(966-2)	[3513]		6	-756
Magy	E	0317	Bowmar	D301466-9		Ic Ni Va O:		514	SoCf	K0 V M9 V	{ -2 }	(B31-2)	[3248]		11	-88
Magy	E	0319	Carol Sue	C434423-B		Ni		620	SoCf	G1 V M3 V	{ 0 }	(833+0)	[1428]		5	96
Magy	I	0321	USI UB	C696966-A		Hi In O:		714	SoCf	G5 V K9 V	{ 3 }	(G8D+3)	[8C49]		14	5616
Magy	I	0322	Wright	C000356-D		As Lo Va		913	SoCf	M2 V	{ 0 }	(920+0)	[234C]		11	27
Magy	I	0327	Ciaconn	C89A220-B		Lo Wa		900	SoCf	G0 V	{ 0 }	(410+0)	[1216]		7	8
Magy	I	0329	Tenson	C63257A-A		Ni Po		702	SoCf	F6 V	{ 0 }	(944+0)	[757C]		12	180
Magy	I	0330	Awrenek	D556110-7		Lo		504	SoCf	M2 V	{ -3 }	(300-3)	[1112]		15	-9
Magy	M	0333	Leto	D101657-A		Ic Na Ni Va		712	SoCf	M3 V	{ -1 }	(B53-1)	[655A]		12	-198
Magy	M	0337	Zandervort	A87489D-C		Pa Ph Cp Pi		202	SoCf	F4 V	{ 2 }	(C7C+2)	[CA9G]		11	2304
Magy	M	0338	Mitava	C540222-9		De He Lo Po		632	SoCf	G6 V	{ -1 }	(910-1)	[1115]		17	-18
Magy	M	0340	Rundle	A51136B-E	KM	Ic Lo Mr		400	SoCf	G5 V	{ 2 }	(520+2)	[557G]		7	30
Magy	A	0403	Downfall	C547100-A		Lo		714	SoCf	F1 V	{ 0 }	(800+0)	[1115]		16	8
Magy	A	0404	Oyama	B550565-B		De Ni Po O:		403	SoCf	K3 V	{ 1 }	(A45+1)	[3639]		13	250
Magy	A	0409	Brandon	A645555-E		Ag Ni		513	SoCf	G7 V	{ 2 }	(B46+2)	[373C]		13	660
Magy	E	0411	Yergin	D767642-6		Ag Ni Ga Ri		520	SoCf	G4 V M3 V	{ -1 }	(853-1)	[2512]		11	-144
Magy	E	0413	Kaig	A6AA758-E	KM	Fl		402	SoCf	M1 V M4 V M3 V	{ 3 }	(B6E+3)	[7A5E]		7	3234
Magy	E	0415	Dormant	B550645-A		De Ni Po		103	SoCf	G4 V	{ 1 }	(B55+1)	[4738]		11	330
Magy	I	0423	Rishi	E101668-9		Ic Na Ni Va O:		701	SoCf	G8 V M5 V	{ -2 }	(952-2)	[6459]		10	-216
Magy	I	0425	Mitaro	B895301-C		Lo		200	SoCf	G9 V	{ 1 }	(520+1)	[1418]		8	15
Magy	I	0427	Harsanyi	A542468-D		He Ni Po O:		314	SoCf	M0 V	{ 1 }	(B34+1)	[455D]		10	176
Magy	I	0428	Weiji	A541677-C		He Ni Po		200	SoCf	M2 V	{ 1 }	(855+1)	[675C]		8	240
Magy	M	0432	AGARI	C58A99D-C		Hi Wa Pr		214	SoCf	M1 V	{ 2 }	(G8D+2)	[DB9G]		12	3744
Magy	M	0440	Sammadar	C557220-9		Lo		610	SoCf	M0 V M9 V	{ -1 }	(510-1)	[1114]		8	-10
Magy	A	0502	Fairbairn	E550210-7		De Lo Po		703	SoCf	K3 V M0 V	{ -3 }	(410-3)	[1112]		8	-24
Magy	A	0503	NEW SOL	D501956-7		Hi Ic In Na Va		904	SoCf	G3 V	{ 0 }	(B89+0)	[8946]		13	891
Magy	A	0504	Greenvald	B864695-A	KM	Ag Ni Ri		600	SoCf	M1 V	{ 4 }	(858+4)	[4A38]		11	1536
Magy	A	0505	Holywell	B7B9432-D		Fl Ni		210	SoCf	M1 V	{ 1 }	(734+1)	[1519]		10	112
Magy	A	0509	Redden	C554110-9		Lo		305	SoCf	F9 V M8 V	{ -1 }	(800-1)	[1114]		11	-8
Magy	E	0516	Papesh	D200664-8		Na Ni Va O:		103	SoCf	M0 V	{ -3 }	(B51-3)	[4336]		7	-198
Magy	E	0517	Elroy	E556112-7		Lo		602	SoCf	F6 V M0 V	{ -3 }	(300-3)	[1113]		7	-9
Magy	I	0523	Havaiikii	B69A668-C	KM	Ni Wa Mr		604	SoCf	K1 V M8 V	{ 2 }	(C56+2)	[685C]		10	864
Magy	I	0524	Butchko	E101572-A		Ic Ni Va		104	SoCf	K3 V M3 V	{ -1 }	(B43-1)	[1416]		14	-165
Magy	I	0526	Lancess	C677430-9		Ni Pa		820	SoCf	G5 V	{ -1 }	(832-1)	[1314]		9	-64
Magy	I	0528	Gobi	D5408AD-6		De He Po Ph Cp Pi		800	SoCf	M1 V	{ -2 }	(A75-2)	[C69A]		8	-800
Magy	I	0530	Troy	C562369-9		Lo O:		604	SoCf	M1 V	{ -1 }	(920-1)	[426A]		10	-27
Magy	M	0531	Bhola	B5525A9-B		Ni Po		413	SoCf	G6 V	{ 1 }	(B45+1)	[666C]		13	275
Magy	M	0533	Fukasaku	E300577-9		Ni Va		901	SoCf	M3 V G7 V	{ -2 }	(842-2)	[5359]		8	-160
Magy	M	0534	Joliff	D585354-8		Lo		600	SoCf	F8 V M1 V M6 V	{ -3 }	(520-3)	[1136]		5	-45
Magy	M	0536	Dalton	A89A634-E		Ni Wa		803	SoCf	G2 V	{ 1 }	(B55+1)	[473C]		9	330
Magy	M	0537	Jiaxiang	B000436-E		As Ni Va		413	SoCf	M0 V M5 V	{ 1 }	(A34+1)	[354D]		9	160
Magy	M	0540	Ziarko	A201301-E	KM	Ic Lo Va Rs		222	SoCf	K6 V M4 V	{ 2 }	(920+2)	[151A]		13	54
Magy	A	0601	Sharn	A7568BG-C		Ga Pa Ph		300	SoCf	G4 V	{ 2 }	(A7C+2)	[DAAH]		8	1920
Magy	A	0602	Yamashita	E000535-A		As Ni Va		702	SoCf	M1 V G8 V	{ -1 }	(943-1)	[3438]		10	-135
Magy	A	0605	Dillman	A984425-D	KM	Ni Pa		413	SoCf	G4 V	{ 2 }	(A35+2)	[263B]		13	400
Magy	A	0608	David's Drop	E7B9445-9		Fl Ni		603	SoCf	K8 V	{ -2 }	(931-2)	[2237]		11	-72
Magy	E	0613	Arsdale	D545833-6		Pa Ph Pi		300	SoCf	G8 V	{ -2 }	(A75-2)	[5623]		7	-800
Magy	E	0614	Wells	D677635-6		Ag Ni		500	SoCf	M0 V M6 V	{ -2 }	(852-2)	[4434]		9	-192
Magy	E	0615	PINDUR	E431956-B		Hi Na Po		702	SoCf	K8 V K0 III	{ 1 }	(D8C+1)	[8A4A]		6	1404
Magy	E	0617	Abbit	A699201-E		Lo		405	SoCf	G6 V	{ 1 }	(910+1)	[131A]		16	18
Magy	E	0619	Joce	B540167-B	KM	De He Lo Po Mr		324	SoCf	F0 V	{ 2 }	(900+2)	[135B]		15	18
Magy	I	0623	Pathak	D722400-9		He Ni Po		403	SoCf	K8 V G4 V M9 V	{ -2 }	(931-2)	[1214]		14	-72
Magy	I	0624	IOUO	A79A96B-E	KM	Hi In Wa Mr		800	SoCf	K3 V M7 V	{ 5 }	(B8H+5)	[BE7G]		4	8415
Magy	I	0625	Esteraj	C7B7400-B		Fl Ni		910	SoCf	M0 V	{ 0 }	(733+0)	[1416]		8	84
Magy	I	0627	Lovich	C311224-B		Ic Lo		800	SoCf	M3 V	{ 0 }	(410+0)	[1239]		6	8
Magy	M	0633	Nimikh	E301532-9		Ic Ni Va		903	SoCf	M0 V	{ -2 }	(A42-2)	[1315]		16	-200
Magy	M	0635	Adria	C798246-9		Lo		203	SoCf	M0 V	{ -1 }	(710-1)	[1148]		12	-14
Magy	M	0636	Morsen	B301834-C		Ic Na Va Ph Pi		404	SoCf	K4 V M4 V	{ 2 }	(E7C+2)	[6A3A]		14	2688
Magy	A	0701	Trikak	C574867-8		Pa Ph Pi O:		923	SoCf	K6 V	{ -1 }	(F77-1)	[8758]		13	-840
Magy	A	0703	Justin	D310547-9		Ni		522	SoCf	M0 V	{ -2 }	(B42-2)	[5359]		10	-220
Magy	A	0705	Zilla	E567556-8		Ag Ni Pr		100	SoCf	K8 V	{ -2 }	(742-2)	[4347]		6	-140
Magy	A	0707	Bindas	E550534-7		De Ni Po		915	SoCf	G7 V M0 V	{ -3 }	(741-3)	[3235]		13	-105
Magy	A	0708	Icolka	B997520-B	KM	Ag Ni		400	SoCf	F5 V	{ 3 }	(747+3)	[1816]		10	735
Magy	A	0710	Yazi	E550677-6		De Ni Po		600	SoCf	M2 V M2 V	{ -3 }	(851-3)	[6356]		7	-144
Magy	E	0712	Fatridge	E99887B-6		Pa Ph Pi		610	SoCf	M2 V	{ -2 }	(A75-2)	[A678]		9	-800
Magy	E	0713	Bradley	B540879-A	KM	De He Po Ph Pi		522	SoCf	M1 V M6 V	{ 3 }	(E7C+3)	[9B6B]		10	4032
Magy	E	0715	Kazilash	B778100-C		Lo		304	SoCf	G4 V M2 V	{ 1 }	(700+1)	[1217]		15	7
Magy	E	0716	Hodapp	B689541-C		Ni Pr		404	SoCf	G9 V M4 V	{ 1 }	(B45+1)	[1618]		15	275
Magy	E	0720	Lachlan	B101754-E		Ic Na Va Pi		802	SoCf	M1 V F3 V	{ 2 }	(B6D+2)	[593C]		8	2002
Magy	I	0721	Jafar	D559100-8		Lo		500	SoCf	G3 V	{ -3 }	(300-3)	[1113]		8	-9
