Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Mass	A	0109	Tahspek	B5468BA-A		Pa Ph Pi		613	ImDc	G0 V	{ 2 }	(E7B+2)	[AA7C]	BcDe	7	2464
Mass	A	0110	Mond	B737794-A				721	ImDc	G4 V	{ 2 }	(C6B+2)	[5938]	B	8	1848
Mass	E	0112	Arilla	E585448-6		Ni Pa		803	ImDc	M0 V M0 V	{ -3 }	(630-3)	[4156]	Bc	12	-72
Mass	E	0113	ENID	B676958-D		Hi In		801	ImDc	M0 V	{ 4 }	(C8G+4)	[9D5D]	BEf	13	6912
Mass	E	0115	Juweit	C31068A-A		Na Ni		914	ImDc	F2 V M2 V	{ 0 }	(D54+0)	[867C]	B	9	312
Mass	E	0116	Appomma	C646223-9	S	Lo		810	ImDc	K6 V M7 V M6 V	{ -1 }	(510-1)	[1126]	B	11	-10
Mass	E	0118	Ambriana	B200334-B		Lo Va		713	ImDc	A8 V	{ 1 }	(920+1)	[1439]	B	7	27
Mass	I	0121	Meridian	B657453-B		Ni Ga Pa		904	ImDc	M3 V M3 V	{ 1 }	(A34+1)	[1528]	Bc	7	160
Mass	I	0123	Albion	D565326-7		Lo		525	ImDc	M2 V M4 V	{ -3 }	(520-3)	[2146]	B	11	-45
Mass	I	0124	K'ZASS	B546985-C		Hi In Cp		714	ImDc	G3 V M9 V	{ 4 }	(G8F+4)	[7D3A]	BEF	11	8640
Mass	I	0125	Lant	D31067C-8		Na Ni		200	ImDc	G0 V	{ -3 }	(851-3)	[938B]	B	9	-144
Mass	I	0130	Dalsam	A994456-E		Ni Pa		913	ImDc	M0 V	{ 1 }	(A34+1)	[354D]	Bc	13	160
Mass	M	0134	Forever	A000100-F	N	As Lo Va		503	ImDc	K6 II M6 V	{ 1 }	(600+1)	[121A]	B	10	6
Mass	M	0138	Kenbine	C421123-B		He Lo Po		903	ImDc	G8 V	{ 0 }	(600+0)	[1128]	B	10	6
Mass	M	0140	Sekeltin	B633447-B	N	Ni Po Da	A	101	ImDc	M2 V M4 V	{ 1 }	(734+1)	[455B]	B	12	112
Mass	A	0205	Vilardi	A8D6426-E		Ni		813	ImDc	M1 V	{ 1 }	(A34+1)	[354D]	B	7	160
Mass	A	0206	Trostar	B78A635-C	N	Ni Ri Wa		920	ImDc	M0 V M1 V	{ 2 }	(A56+2)	[483A]	BC	10	720
Mass	A	0207	Kapabu-Sepple	B87888B-A	N	Pa Ph Pi		604	ImDc	F8 V M7 V	{ 2 }	(E7B+2)	[AA7C]	BcDe	16	2464
Mass	A	0210	Tanoo	B78A452-D	N	Ni Wa		202	ImDc	K1 V M1 V	{ 1 }	(834+1)	[1519]	B	5	128
Mass	E	0212	ENRIQUE	B200967-E		Hi In Na Va O:0312		904	ImDc	F1 V M8 V	{ 4 }	(F8G+4)	[9D5E]	BEf	9	8640
Mass	E	0213	Naston	B9D7565-C	S	Ni O:0312		602	ImDc	G0 V M7 V	{ 1 }	(945+1)	[363A]	B	5	225
Mass	E	0214	SHIGI	C6489BF-9		Hi In Pz	A	213	ImDc	G0 V	{ 2 }	(F8C+2)	[EBAE]	BE	11	3240
Mass	E	0217	Rommen-Kucera	C879575-A		Ni		311	ImDc	M3 V M9 V	{ 0 }	(944+0)	[3538]	B	10	180
