Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	N	B	Z	PBG	W	A	Stellar
0101	Losa	A41077A-D	Na Pi	{ 2 }	(D65+1)	[694H]	-	-	-	234	16	SoCf	F7 V
0102	Rinat	C412442-9	Ic Ni Co	{ -1 }	(D32-4)	[2365]	-	-	-	303	13	SoCf	G6 V G0 V
0106	Strelwell	B5A1335-B	Fl He Lo Co Tz	{ 1 }	(821+0)	[546D]	-	K	-	103	8	SoCf	M8 V
0202	Priskorbie	D9DA759-8	Fl Co Tz	{ -2 }	(665+1)	[9519]	-	-	-	131	10	SoCf	M1 V K1 V
0203	Guunda	A8869B9-A	Ga Hi Pr Pz (Tadonga)	{ 3 }	(D89+2)	[8C8E]	-	-	A	122	7	SoCf	G3 V
0210	Setback	E310100-7	Lo	{ -3 }	(400-5)	[1109]	-	-	-	233	15	NaHu	M8 V
0302	Whelk	B579344-9	Lo	{ 0 }	(920-3)	[1338]	-	-	-	610	9	SoCf	K3 V
0304	Nazariy	C410126-7	Lo	{ -2 }	(600+2)	[3127]	-	-	-	521	14	SoCf	M8 V M3 V
0310	Karla Secundus	B410211-C	Lo Co Lk	{ 1 }	(C11+3)	[137C]	-	-	-	422	10	NaHu	M3 V
0403	Coronal	A566AAA-D	Hi Co Pz	{ 3 }	(69A-2)	[AD5C]	-	-	A	301	6	SoCf	F1 V
0404	Darnina	D410685-7	Ni Na Co Tz	{ -3 }	(850-5)	[730B]	-	-	-	303	7	SoCf	M0 V K9 V
0406	Nittikaa	A59A576-C	Wa Ni DolpW	{ 1 }	(842+2)	[7659]	-	-	-	202	10	SoCf	K9 V
0409	Rime	B64888A-9	Ph Pa Pi Fr	{ 1 }	(579+1)	[9988]	-	-	-	102	12	NaHu	M5 V G1 V
0505	Chesapeake	C87956A-8	Ni Dolp6 O:0603	{ -2 }	(740-2)	[1375]	-	-	-	232	13	SoCf	K2 V K2 V
0507	Kinzie Belt	B000244-9	As Va Lo	{ 0 }	(910-5)	[120B]	-	-	-	530	9	SoCf	M6 V
0508	Hogarth	A694658-A	Ni Ag Lk	{ 2 }	(956+1)	[285D]	-	-	-	111	11	SoCf	K4 V
0509	Vargas	XA559CB-8	Hi Ho Tz Fo	{ -1 }	(882+1)	[5866]	-	M	R	103	11	NaHu	K0 V
0601	Braxen	B777101-A	Lo Tr	{ 1 }	(700+5)	[628A]	-	-	-	910	8	SoCf	G8 V A8 V
0602	Phracent	C300351-9	Va Lo	{ -1 }	(320+1)	[3265]	-	-	-	500	6	SoCf	A8 V
0603	Prospero	A662755-B	Ri Cp	{ 4 }	(766-1)	[7B86]	-	KM	-	520	9	SoCf	F9 V K5 V
0610	Triniti	E400100-9	Va Lo Ho Tz	{ -2 }	(E00-5)	[1105]	-	-	-	112	10	SoCf	K7 V M5 V M8 V
0703	Reverie	A6879AC-D	Ga Hi Pr Pz	{ 3 }	(F8A-1)	[7C3D]	-	-	A	103	11	SoCf	G7 V M5 V
0808	Plamen 3	B764942-C	Hi Pr	{ 3 }	(A87+3)	[BC7F]	-	-	-	630	9	Kv	F3 V K0 V
0809	Tsveta	C583845-8	Ph Ri	{ 0 }	(974+1)	[8837]	-	-	-	103	13	Kv	K8 V M3 V
0908	Marin	E200101-8	Va Lo	{ -3 }	(E00-3)	[1188]	-	-	-	834	19	Kv	A5 V M3 V
0909	Vasil	C530666-7	De Ni Na Po Tz O:0910	{ -2 }	(650-5)	[7406]	-	-	-	232	8	Kv	M1 V G4 V G8 V
0910	Kostov	A675946-D	Hi In Tz Cp	{ 4 }	(88A-1)	[8D5F]	-	-	-	603	12	Kv	M3 V M6 V
1003	Pustinya	E540134-7	De He Lo Po Co Tz	{ -3 }	(500-2)	[1194]	-	-	-	422	13	NaHu	M7 V
1007	Nadjeda	C5A1100-A	Fl He Lo Sa	{ 0 }	(C00-1)	[112A]	-	K	-	221	12	Kv	M4 V
