Hex	Name	UWP	Remarks	{ Ix }	( Ex )	[ Cx ]	N	B	Z	PBG	W	A	Stellar
0104	Xee	?527???-?					-	-	-	520	8	Kk	K6 V
0105	Ung'rrikr	?566???-?					-	-	-	401	6	Kk	G0 IV
0108	L'gn!k	?454???-?					-	-	-	520	B	Kk	A4 V
0110	Xuram	?542???-?					-	-	-	311	D	Kk	K4 V
0114	N'XIKUK'	?641???-?	He Ho Po				-	-	-	731	C	Kk	G1 V G4 V
0115	Til!r	?463???-?					-	-	-	733	F	Kk	K7 V
0118		?532???-?	Po Tz				-	-	-	131	C	Na	M0 V D
0119	T!kitutukruk	?624???-?	Tz				-	-	-	820	C	Kk	M5 V D
0121	Kraatiigiraaki	?87A???-?	Wa				-	-	-	432	F	Kk	A2 Ia
0124	Kr'gagh	?796???-?					-	-	-	512	9	Kk	F7 V
0130		?D98???-?					-	-	-	?10	A	Na	G4 V D
0136		?100???-?	Va				-	-	-	?33	K	Na	A5 III F3 V D
0201	Xung'l!k'kr!k'	?599???-?	Tz				-	-	-	124	D	Kk	K9 V
0202	!'kritukaal'	?862???-?					-	-	-	400	7	Kk	K1 V K6 V
0206		?763???-?					-	-	-	401	D	Kk	K1 V K1 V
0207	!!lignakaa	?773???-?					-	-	-	210	D	Kk	A7 II F8 V A4 V
0220	Xiir!teer	?150???-?	Co De Po				-	-	-	410	8	Kk	K6 V
0222	Kukeexigruurr	?224???-?	Ho 				-	-	-	832	D	Kk	G8 V K3 V K9 V
0223	Uki	?667???-?	Ga				-	-	-	731	F	Kk	G4 V M8 V
0231		?868???-?	Lk Sa				-	-	-	601	9	Na	K2 V M2 V D
0237		?865???-?	Ga				-	-	-	512	9	Na	K0 V M7 V M2 V D
0308	Ugeekeekr'r	?958???-?					-	-	-	323	D	Kk	K3 V M1 V M1 V D
0310	R'rii	?56A???-?	Wa				-	-	-	811	C	Kk	K0 V
0312	Aar	?300???-?	Sa Va				-	-	-	?30	9	Kk	K5 V M4 V
0313	Urigrirreer	?510???-?	Ho 				-	-	-	812	C	Kk	F9 V G1 V
0315	Laatikoog!!	?110???-?					-	-	-	520	D	Kk	M9 II
0322	orogeer	?160???-?	Co De  				-	-	-	111	A	Kk	F8 V K8 V
0323	Teekr!kakr	?967???-?					-	-	-	100	C	Kk	F5 V
0329		?624???-?	 				-	-	-	533	E	Na	G0 V G9 V
0331		?338???-?	Co 				-	-	-	402	A	Na	G7 V G2 V
0332		?688???-?	Tz				-	-	-	403	D	Na	M9 V D
0333		?59A???-?	Wa				-	-	-	200	9	Na	G3 III
0340		?200???-?	Lk Sa Va				-	-	-	530	B	Na	K2 V D
0405	Mb'kroor'kur	?000???-?	As				-	-	-	421	9	Kk	M8 II
0411	A	?666???-?	Co Ga Tu				-	-	-	300	D	Kk	K2 V M7 V D
0413	Ooteelerreng	?699???-?					-	-	-	701	D	Kk	A9 II G9 V
0414	R'x	?88A???-?	Co Wa				-	-	-	203	A	Kk	K3 V D
0418	Kurreelig	?EF7???-?	Co 				-	-	-	701	B	Kk	F6 V
0420	K'rr	?221???-?	Po Sa				-	-	-	101	8	Kk	F3 V
0422	Ruukerr!'xk'r	?635???-?	Tz				-	-	-	410	B	Kk	K7 V M9 V
0425		?430???-?	De Po				-	-	-	600	A	Na	K1 V K2 V
0428		?8A9???-?	Fl 				-	-	-	502	E	Na	F4 V G9 V
0429		?988???-?					-	-	-	532	B	Na	M9 III
0438		?100???-?	Co Va				-	-	-	732	F	Na	K0 V
0501	Krugt'kr'guugh!!	?7B8???-?	Fl 				-	-	-	403	F	Kk	F6 V
0503	Ookaal'r	?653???-?	Ho Po Tr				-	-	-	802	B	Kk	F8 V
0508	Kr!!kaxwareer	?455???-?					-	-	-	100	7	Kk	M9 II D
0510	Ukaa	?8C5???-?	Fl Ho Sa				-	-	-	611	A	Kk	K7 V
0513	Gnookunor	?000???-?	As Co Va				-	-	-	411	8	Kk	K6 V D
0520	Ghaaxkorab	?669???-?					-	-	-	621	G	Kk	F4 V
0525		?566???-?					-	-	-	421	B	Na	F7 III
0529		?683???-?	Sa				-	-	-	131	C	Na	M4 V
0531		?556???-?					-	-	-	302	7	Na	G1 V G0 V K4 V M3 V D
0533		?130???-?	De Po Sa				-	-	-	501	A	Na	M2 V D
0535		?533???-?	Po				-	-	-	430	C	Na	G1 V
0606	Tr'krurit'leeraax	?200???-?	Va				-	-	-	731	E	Kk	K5 V M1 V M2 V M0 V D
0611	Ku	?740???-?	De He Po				-	-	-	531	C	Kk	K7 V M6 V
0612	Takraataktir'k!!	?140???-?	De Po				-	-	-	521	A	Kk	G4 V
0613	K'giixugnuu	?8A9???-?	Fl Ho 				-	-	-	113	8	Kk	F4 V
0620	Xt!l'	?459???-?					-	-	-	533	A	Kk	G8 V
0622	K!!ktaxan	?769???-?	Lk Sa				-	-	-	322	B	Kk	M7 II
0623		?579???-?	Ho Tz				-	-	-	211	A	Na	K7 V
0625		?623???-?	Po				-	-	-	722	E	Na	K4 V M0 V D
