Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Olde	A	0108	Croesus	C430675-9	S	De Na Ni Po Da	A	804	Im	M2 V M9 V	{ -1 }	(C53-1)	[4537]	B	9	-216
Olde	A	0109	DATARKT	C433AD9-7		Hi Na Po Fo	R	404	Im	M2 V M8 V	{ 0 }	(C99+0)	[BA68]		7	1080
Olde	A	0201	Elyan	B752855-B	A	Po Ph Pz	A	402	Im	K4 V	{ 3 }	(C7D+3)	[6B39]	Be	16	3744
Olde	A	0204	Thubria	C312234-B	S	Ic Lo		500	Im	K0 V	{ 0 }	(410+0)	[1239]	B	10	8
Olde	A	0209	Larmix	C787878-5	S	Ga Ri Pa Ph		404	Im	M3 V	{ 0 }	(A77+0)	[8855]	BcCe	9	560
Olde	A	0302	Bincia	B598652-9	A	Ag Ni Da	A	315	Im	M0 V	{ 2 }	(E56+2)	[2815]	BC	14	1008
Olde	A	0304	Kri	B646459-C		Ni Pa Da	A	902	Im	K9 V M7 V	{ 1 }	(834+1)	[556D]	Bc	10	128
Olde	A	0306	DIACY	E667A74-9		Hi Ga		702	Im	G2 V M7 V	{ 0 }	(E9A+0)	[8A37]	BE	6	1400
Olde	A	0310	Styge	D655699-6		Ag Ni Ga		613	Im	G0 V	{ -2 }	(852-2)	[7467]	BC	11	-192
Olde	A	0403	DETHENES	AA89A54-F		Hi Cp Pz	A	730	Im	G0 V	{ 3 }	(F9F+3)	[8D3D]	BEF	9	6750
Olde	A	0408	Larspri	E381000-0		Ba Fo	R	000	Im	M0 V M9 V	{ -3 }	(200-3)	[0000]		14	-6
Olde	A	0508	Preodis	E541856-6		He Po Ph Pi		204	Im	K1 V	{ -2 }	(A75-2)	[7645]	BDe	11	-800
Olde	A	0603	Eupry	C5448B6-6		Pa Ph Pi		414	Im	K8 V M1 V	{ -1 }	(A76-1)	[7745]	BcDe	14	-480
Olde	A	0606	Linourice	C521321-9	S	He Lo Po Px		901	Im	G0 V	{ -1 }	(620-1)	[1215]	B	13	-18
Olde	A	0607	INTHRA	C422AD9-9	A	He Hi In Na Po		524	Im	K3 V M1 V	{ 3 }	(I9D+3)	[BD6A]	BE	9	7020
Olde	B	0908	Tarpeian	EA85421-5		Ni Pa Fo	R	600	Im	M2 V M4 V	{ -3 }	(630-3)	[1111]		10	-72
Olde	B	0909	Paragon	B766655-B		Ag Ni Ga Ri		602	Im	M2 V	{ 3 }	(A57+3)	[4939]	BC	6	1260
Olde	B	1002	Sternway	B784644-A	S	Ag Ni Ri		605	Im	M2 V M2 V	{ 3 }	(D57+3)	[4938]	BC	14	1638
Olde	B	1004	Sidrat	A422655-F		He Na Ni Po		524	Im	M2 V	{ 1 }	(E55+1)	[473D]	B	9	420
Olde	B	1006	SERPILA	A674A98-F	S	Hi In		503	Im	M2 V M5 V	{ 4 }	(F9G+4)	[AE5F]	BEf	11	9600
Olde	B	1007	Safire	A96A657-E		Ni Ri Wa		900	Im	M3 V	{ 2 }	(856+2)	[685E]	BC	11	576
