Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Mint	A	0101		X000000-0		As Ba Fo Va	R	091	NaXX							0
Mint	A	0102		X000000-0		As Ba Fo Va	R	0B0	NaXX							0
Mint	A	0103		X000000-0		As Ba Fo Va	R	080	NaXX							0
Mint	A	0105		X000000-0		As Ba Fo Va	R	0A1	NaXX							0
Mint	A	0106		X000000-0		As Ba Fo Va	R	0A0	NaXX							0
Mint	A	0107		X000000-0		As Ba Fo Va	R	0C1	NaXX							0
Mint	A	0110		X000000-0		As Ba Fo Va	R	090	NaXX							0
Mint	A	0202		X000000-0		As Ba Fo Va	R	072	NaXX							0
Mint	A	0203		X000000-0		As Ba Fo Va	R	0B0	NaXX							0
Mint	A	0205		X000000-0		As Ba Fo Va	R	090	NaXX							0
Mint	A	0206		X000000-0		As Ba Fo Va	R	0A0	NaXX							0
Mint	A	0207		X000000-0		As Ba Da Va	A	0A2	NaXX							0
Mint	A	0209		X000000-0		As Ba Fo Va	R	080	NaXX							0
Mint	A	0301		X000000-0		As Ba Fo Va	R	090	NaXX							0
Mint	A	0307	Island View	C000542-9		As Ni Va		461	NaHu							0
Mint	A	0309		X000000-0		As Ba Fo Va	R	071	NaXX							0
Mint	A	0310		X000000-0		As Ba Fo Va	R	090	NaXX							0
Mint	A	0403		X000000-0		As Ba Va		081	NaXX							0
Mint	A	0404		E000000-0		As Ba Va		060	NaXX							0
Mint	A	0407		X000000-0		As Ba Fo Va	R	0B0	NaXX							0
Mint	A	0408		X000000-0		As Ba Da Va	A	090	NaXX							0
Mint	A	0503		E000000-0		As Ba Va		062	NaXX							0
Mint	A	0504		E000000-0		As Ba Va		050	NaXX							0
Mint	A	0505		X000000-0		As Ba Va		061	NaXX							0
Mint	A	0508		X000000-0		As Ba Fo Va	R	0A1	NaXX							0
Mint	A	0510		X000000-0		As Ba Fo Va	R	090	NaXX							0
Mint	A	0601		X000000-0		As Ba Fo Va	R	080	NaXX							0
Mint	A	0603		X000000-0		As Ba Da Va	A	070	NaXX							0
Mint	A	0604		D000000-0		As Ba Da Va	A	053	NaXX							0
Mint	A	0606		X000000-0		As Ba Fo Va	R	0B0	NaXX							0
Mint	A	0609		X000000-0		As Ba Fo Va	R	080	NaXX							0
Mint	A	0610		X000000-0		As Ba Fo Va	R	091	NaXX							0
Mint	A	0701		X000000-0		As Ba Fo Va	R	0C0	NaXX							0
Mint	A	0704		E000000-0		As Ba Va		051	NaXX							0
Mint	A	0707	Sirosonis	B000775-B	N	As Cp Na Pi Va		770	NaHu							0
Mint	A	0708		X000000-0		As Ba Fo Va	R	090	NaXX							0
Mint	A	0709		X000000-0		As Ba Fo Va	R	0A2	NaXX							0
Mint	A	0802		X000000-0		As Ba Fo Va	R	090	NaXX							0
Mint	A	0806		X000000-0		As Ba Fo Va	R	090	NaXX							0
Mint	A	0808		X000000-0		As Ba Fo Va	R	0B1	NaXX							0
Mint	A	0810		X000000-0		As Ba Fo Va	R	0A0	NaXX							0
Mint	B	0901		X000000-0		As Ba Fo Va	R	0A1	NaXX							0
Mint	B	0902		X000000-0		As Ba Fo Va	R	080	NaXX							0
Mint	B	0904		X000000-0		As Ba Fo Va	R	0A0	NaXX							0
Mint	B	0906		X000000-0		As Ba Fo Va	R	090	NaXX							0
Mint	B	0907		X000000-0		As Ba Fo Va	R	0B2	NaXX							0
Mint	B	0908		X000000-0		As Ba Fo Va	R	0B0	NaXX							0
Mint	B	0909		X000000-0		As Ba Fo Va	R	081	NaXX							0
Mint	B	1001		X000000-0		As Ba Fo Va	R	090	NaXX							0
Mint	B	1002		X000000-0		As Ba Fo Va	R	072	NaXX							0
Mint	B	1005		X000000-0		As Ba Fo Va	R	071	NaXX							0
Mint	B	1006		X000000-0		As Ba Fo Va	R	0A0	NaXX							0
Mint	B	1007		X000000-0		As Ba Fo Va	R	0B0	NaXX							0
Mint	B	1008		X000000-0		As Ba Fo Va	R	0A0	NaXX							0
Mint	B	1010		X000000-0		As Ba Fo Va	R	081	NaXX							0
Mint	B	1102		X000000-0		As Ba Fo Va	R	090	NaXX							0
Mint	B	1103		X000000-0		As Ba Fo Va	R	0A2	NaXX							0
Mint	B	1104		X000000-0		As Ba Fo Va	R	091	NaXX							0
Mint	B	1106	Pireshal	B000816-C		As Na Ph Pi Va		582	NaHu							0
Mint	B	1108		X000000-0		As Ba Fo Va	R	060	NaXX							0
Mint	B	1110		X000000-0		As Ba Fo Va	R	090	NaXX							0
Mint	B	1202		X000000-0		As Ba Fo Va	R	0B1	NaXX							0
Mint	B	1204		X000000-0		As Ba Fo Va	R	0C0	NaXX							0
Mint	B	1206		X000000-0		As Ba Fo Va	R	070	NaXX							0
Mint	B	1207		X000000-0		As Ba Fo Va	R	081	NaXX							0
Mint	B	1209		X000000-0		As Ba Fo Va	R	0A0	NaXX							0
Mint	B	1210		X000000-0		As Ba Fo Va	R	090	NaXX							0
Mint	B	1301		X000000-0		As Ba Da Va	A	062	NaXX							0
Mint	B	1304		X000000-0		As Ba Fo Va	R	080	NaXX							0
Mint	B	1305		X000000-0		As Ba Fo Va	R	092	NaXX							0
Mint	B	1306	Facility 1306	E000100-9	V	As Da Lo Va	A	545	NaHu							0
Mint	B	1308	Mintaka Labs	A000715-F		As Na Pi Rs Va		933	Mc							0
Mint	B	1310		X000000-0		As Ba Fo Va	R	090	NaXX							0
Mint	B	1402		X000000-0		As Ba Fo Va	R	0B0	NaXX							0
Mint	B	1403		X000000-0		As Ba Fo Va	R	0A1	NaXX							0
Mint	B	1405		X000000-0		As Ba Va		072	NaXX							0
Mint	B	1406		X000000-0		As Ba Da Va	A	070	NaXX							0
Mint	B	1408		X000000-0		As Ba Fo Va	R	090	NaXX							0
Mint	B	1409		X000000-0		As Ba Fo Va	R	092	NaXX							0
Mint	B	1410		X000000-0		As Ba Fo Va	R	0B0	NaXX							0
Mint	B	1501		X000000-0		As Ba Fo Va	R	0A0	NaXX							0
Mint	B	1502	Mintaka	A000A75-F	KV	As Cp Cs Hi In Na Va		492	Mc	O9 II B1 III						0
Mint	B	1504		X000000-0		As Ba Fo Va	R	080	NaXX							0
Mint	B	1506		X000000-0		As Ba Da Va	A	0C0	NaXX							0
Mint	B	1509		X000000-0		As Ba Fo Va	R	083	NaXX							0
Mint	B	1601		X000000-0		As Ba Fo Va	R	090	NaXX							0
Mint	B	1602		E000000-0		As Ba Va		0A0	NaXX							0
Mint	B	1605		X000000-0		As Ba Fo Va	R	0A0	NaXX							0
Mint	B	1606		X000000-0		As Ba Fo Va	R	0B1	NaXX							0
Mint	B	1607		X000000-0		As Ba Fo Va	R	090	NaXX							0
Mint	B	1610		X000000-0		As Ba Fo Va	R	0B0	NaXX							0
Mint	C	1702		X000000-0		As Ba Fo Va	R	080	NaXX							0
Mint	C	1703		X000000-0		As Ba Fo Va	R	0A1	NaXX							0
Mint	C	1704		X000000-0		As Ba Fo Va	R	092	NaXX							0
Mint	C	1705		X000000-0		As Ba Fo Va	R	090	NaXX							0
Mint	C	1706	Sarodome	C000765-A	V	As Mr Na Pi Va		281	NaHu							0
Mint	C	1709		X000000-0		As Ba Fo Va	R	0A0	NaXX							0
Mint	C	1801		X000000-0		As Ba Fo Va	R	0B0	NaXX							0
Mint	C	1803	Calwary	B000657-A	K	As Na Ni Va		5A0	NaHu							0
Mint	C	1804		X000000-0		As Ba Fo Va	R	091	NaXX							0
Mint	C	1805		X000000-0		As Ba Fo Va	R	091	NaXX							0
Mint	C	1806		X000000-0		As Ba Fo Va	R	050	NaXX							0
Mint	C	1807		X000000-0		As Ba Fo Va	R	0A0	NaXX							0
Mint	C	1809		X000000-0		As Ba Fo Va	R	091	NaXX							0
Mint	C	1901		X000000-0		As Ba Fo Va	R	0A0	NaXX							0
