Hex	Name	UWP	Comments	N	B	Z	PBG	A	Stellar
0106		?7B5???-?	Fl	-	-		?23	Kk	
0110		?571???-?		-	-		?10	Kk	
0112		?200???-?	Va	-	-		?00	Kk	
0114		?434???-?		-	-		?12	Kk	
0116		?899???-?		-	-		?14	Kk	
0117		?366???-?		-	-		?13	Kk	
0119		?422???-?	Po	-	-		?00	Kk	
0123		?886???-?		-	-		?11	Kk	
0128		?200???-?	Va	-	-		?10	Kk	
0131		?6A0???-?	De	-	-		?12	Kk	
0132		?464???-?		-	-		?00	Kk	
0137		?610???-?		-	-		?24	Kk	
0138		?557???-?		-	-		?23	Kk	
0139		?588???-?		-	-		?02	Kk	
0140		?101???-?	Ic Va	-	-		?34	Kk	
0203		?000???-?	As Va	-	-		?24	Kk	
0204		?858???-?		-	-		?10	Kk	
0205		?563???-?		-	-		?22	Kk	
0209		?796???-?		-	-		?24	Kk	
0212		?7A2???-?	Fl	-	-		?20	Kk	
0213		?242???-?	Po	-	-		?00	Kk	
0214		?313???-?	Ic	-	-		?10	Kk	
0217		?979???-?		-	-		?01	Kk	
0218		?404???-?	Ic Va	-	-		?12	Kk	
0222		?200???-?	Va	-	-		?04	Kk	
0223		?97A???-?	Wa	-	-		?24	Kk	
0224		?425???-?		-	-		?05	Kk	
0228		?360???-?	De	-	-		?13	Kk	
0229		?667???-?		-	-		?10	Kk	
0231		?200???-?	Va	-	-		?02	Kk	
0234		?659???-?		-	-		?02	Kk	
0235		?473???-?		-	-		?02	Kk	
0237		?527???-?		-	-		?12	Kk	
0238		?530???-?	De Po	-	-		?14	Kk	
0239		?685???-?		-	-		?35	Kk	
0240		?110???-?		-	-		?24	Kk	
0302		?200???-?	Va	-	-		?14	Kk	
0303		?856???-?	(Slabeck)	-	-		?03	Kk	
0304		?769???-4		-	-		?21	Kk	
0305		?555???-?		-	-		?23	Kk	
0306		?100???-D	Va	-	-		?24	Kk	
0309		?77A???-C	Wa	-	-		?00	Kk	
0311		?540???-?	De Po	-	-		?05	Kk	
0312		?466???-?		-	-		?03	Kk	
0313		?75A???-?	Wa	-	-		?24	Kk	
0321		?313???-?	Ic	-	-		?22	Kk	
0323		?9D3???-?	Fl	-	-		?13	Kk	
0328		?AA7???-?	Fl	-	-		?14	Kk	
0329		?210???-?		-	-		?24	Kk	
0330		?667???-?		-	-		?10	Kk	
0333		?667???-?		-	-		?03	Kk	
0334		?100???-?	Va	-	-		?10	Kk	
0337		?869???-?		-	-		?25	Kk	
0401		?342???-B	Po	-	-		?14	Kk	
0405		?000???-E	As Va	-	-		?13	Kk	
0406		?9D5???-2	Fl	-	-		?22	Kk	
0407		?000???-?	As Va	-	-		?24	Kk	
0408		?9B5???-9	Fl	-	-		?23	Kk	
0409		?883???-4		-	-		?13	Kk	
0412		?574???-?		-	-		?10	Kk	
0414		?99A???-?	Wa	-	-		?03	Kk	
0416		?210???-?		-	-		?02	Kk	
0419		?8A8???-?	Fl	-	-		?13	Kk	
0426		?633???-?	Po	-	-		?22	Kk	
0433		?402???-?	Ic Va	-	-		?13	Kk	
0436		?885???-?		-	-		?14	Kk	
0437		?AD6???-?	Fl	-	-		?02	Kk	
0438		?657???-?		-	-		?33	Kk	
0439		?A7A???-?	Oc	-	-		?22	Kk	
0501		?210???-?		-	-		?14	Kk	
0502		?363???-?		-	-		?24	Kk	
0504		?694???-?		-	-		?14	Kk	
0505		?77A???-?	Wa	-	-		?04	Kk	
0506		?879???-?		-	-		?14	Kk	
0510		?59A???-?	Wa	-	-		?24	Kk	
0513		?775???-?		-	-		?24	Kk	
0517		?568???-?		-	-		?13	Kk	
0518		?8A5???-?	Fl	-	-		?24	Kk	
0519		?76A???-?	Wa	-	-		?03	Kk	
0520		?562???-?		-	-		?24	Kk	
0528		?100???-?	Va	-	-		?12	Kk	
0529		?8A4???-?	Fl	-	-		?00	Kk	
0530		?310???-?		-	-		?02	Kk	
0532		?634???-?		-	-		?05	Kk	
0533		?AA5???-?	Fl	-	-		?12	Kk	
0534		?858???-?		-	-		?22	Kk	
0536		?100???-?	Va	-	-		?12	Kk	
0537		?7C4???-?	Fl	-	-		?12	Kk	
0538		?410???-?		-	-		?10	Kk	
0539		?568???-?		-	-		?23	Kk	
0540		?225???-?		-	-		?10	Kk	
0602		?445???-5		-	-		?03	Kk	
0604		?573???-?		-	-		?00	Kk	
0605		?887???-?		-	-		?11	Kk	
0609		?9C5???-A	Fl	-	-		?24	Kk	
0611		?628???-?		-	-		?21	Kk	
0612		?894???-?		-	-		?24	Kk	
0614		?664???-?		-	-		?23	Kk	
0616		?300???-?	Va	-	-		?21	Kk	
0617		?788???-?		-	-		?23	Kk	
0619		?563???-?		-	-		?04	Kk	
0624		?637???-?		-	-		?14	Kk	
0631		?300???-?	Va	-	-		?00	Kk	
0632		?8A1???-?	Fl	-	-		?02	Kk	
0633		?451???-?	Po	-	-		?33	Kk	
0634		?966???-?		-	-		?02	Kk	
0635		?432???-?	Po	-	-		?03	Kk	
