Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Reav	A	0102	Uta	E543000-0		Ba Po		002	Na	F7 V M3 V	{ -3 }	(200-3)	[0000]		8	-6
Reav	A	0110	ANDALUSIA	E678985-5		Hi In		905	Na	K7 V M2 V	{ 0 }	(B88+0)	[7933]		16	792
Reav	A	0209	Luiwaiwuah	C677666-7		Ag Ni O:0310		124	Na	G2 V M1 V	{ -1 }	(853-1)	[5546]		18	-144
Reav	A	0304	Bergland	E552000-0		Ba Po		010	Na	G5 V	{ -3 }	(200-3)	[0000]		9	-6
Reav	A	0307	Kimberly	E000000-0		As Ba Va		003	Na	G9 V M8 V	{ -3 }	(200-3)	[0000]		12	-6
Reav	A	0310	Hoa	C664853-8		Ri Pa Ph		211	Na	M2 V	{ 0 }	(C78+0)	[5825]		9	768
Reav	A	0406	Campbell	E775000-0		Ba		000	Na	F3 V M2 V	{ -3 }	(200-3)	[0000]		5	-6
Reav	A	0409	Turin	C857643-8		Ag Ni Ga		924	Na	F8 V	{ -1 }	(E53-1)	[3525]		11	-252
Reav	A	0607	Kelly	D564677-6		Ag Ni Ri		405	Na	G0 V	{ -1 }	(853-1)	[6556]		14	-144
Reav	A	0805	Halo	E677000-0		Ba		020	Na	K8 V M4 V	{ -3 }	(200-3)	[0000]		9	-6
Reav	B	0906	Razzia	E662000-0		Ba		010	Na	M2 V	{ -3 }	(200-3)	[0000]		11	-6
Reav	B	0909	Balyff	C768845-8		Ri Pa Ph		904	Na	K5 V	{ 0 }	(E78+0)	[6836]		8	896
Reav	B	1109	Dirk	C425685-9		Ni		600	Na	M2 V M8 V	{ -1 }	(853-1)	[4537]		12	-144
Reav	B	1206	Mooney	E768000-0		Ba		023	Na	K4 V M3 V M5 V	{ -3 }	(200-3)	[0000]		14	-6
Reav	B	1310	Kieffer	C685589-7		Ag Ni Ga Pr		204	Na	G8 V	{ -1 }	(743-1)	[6468]		12	-105
Reav	B	1404	STORM	E774950-9		Hi In (H'Oskhikhil)		801	Na	A0 III	{ 1 }	(C8B+1)	[4A14]		5	1188
Reav	B	1406	Angela	E301000-0		Ba Ic Va		010	Na	M5 V M5 V	{ -3 }	(200-3)	[0000]		8	-6
Reav	B	1409	Morristown	C797345-7		Lo		902	Na	M0 V	{ -2 }	(520-2)	[1135]		12	-30
Reav	B	1410	Horacio	D778588-6		Ag Ni		703	Na	M0 V M7 V	{ -2 }	(742-2)	[5356]		11	-140
Reav	B	1508	Linsiber	C897545-5		Ag Ni		300	Na	G0 V	{ -1 }	(743-1)	[3433]		9	-105
Reav	B	1607	Lise	D4305AA-9		De Ni Po		800	Na	M2 V M7 V	{ -2 }	(742-2)	[737B]		8	-140
Reav	B	1610	Markos	C547545-6		Ag Ni		502	Na	K5 V	{ -1 }	(743-1)	[3434]		9	-105
Reav	C	1705	Sean	E552000-0		Ba Po		014	Na	F8 V	{ -3 }	(200-3)	[0000]		10	-6
Reav	C	1710	Winnetka	C435577-9		Ni		803	Na	G5 V	{ -1 }	(A43-1)	[5459]		10	-150
Reav	C	1810	Ellerton	D100322-9		Lo Va		213	Na	M8 V	{ -2 }	(920-2)	[1115]		15	-54
Reav	C	1908	Caere	E656000-0		Ba Ga		001	Na	G0 V M8 V	{ -3 }	(200-3)	[0000]		11	-6
Reav	C	2005	Vichy	E301000-0		Ba Ic Va		000	Na	M5 V	{ -3 }	(200-3)	[0000]		5	-6
Reav	C	2110	Iron Angel	C435412-9		Ni		321	Na	G0 V M7 V M9 V	{ -1 }	(932-1)	[1315]		12	-72
Reav	C	2203	Beltene	E856000-0		Ba Ga		010	Na	G4 IV	{ -3 }	(200-3)	[0000]		11	-6
Reav	C	2207	Los	E6667A9-4		Ag Ga Ri		720	Na	M1 V	{ 0 }	(966+0)	[8765]		14	378
Reav	C	2309	Cuslets	C897534-6		Ag Ni		803	Na	G6 V	{ -1 }	(743-1)	[3434]		9	-105
Reav	C	2310	ZEMLYA	C767976-8		Hi Ga Pr		424	Na	G0 V	{ 0 }	(H89+0)	[8947]		10	1377
Reav	C	2410	Cesare	C579742-7		Pi		904	Na	M2 V M3 V	{ -1 }	(967-1)	[3613]		9	-441
Reav	D	2501	Kyshana	E000000-0		As Ba Va Fo	R	002	Na	G5 V	{ -3 }	(200-3)	[0000]		11	-6
Reav	D	2504	Bhasad	E865000-0		Ba Ga		013	Na	F4 V	{ -3 }	(200-3)	[0000]		11	-6
Reav	D	2508	Verini	D424578-9		Ni Da	A	903	Na	M1 V	{ -2 }	(A42-2)	[5359]		9	-200
Reav	D	2510	Opitan	C65889C-6		Pa Ph Fo	R	403	Na	K5 V M0 V	{ -1 }	(A76-1)	[B789]		10	-480
Reav	D	2610	Oloma	C664632-6		Ag Ni Ri Fo	R	310	Na	M2 V	{ 0 }	(854+0)	[2612]		11	192
Reav	D	2803	Wisaaran	E858000-0		Ba		000	Na	K3 V	{ -3 }	(200-3)	[0000]		7	-6
Reav	D	2810	Vesech	C764857-4		Ri Pa Ph		704	Na	M0 V	{ 0 }	(A76+0)	[8854]		11	480
Reav	D	2909	Dhroma	C788535-7		Ag Ni Pr		110	Na	G7 V	{ -1 }	(743-1)	[3435]		8	-105
Reav	D	3010	Keltia	B584655-6		Ag Ni Ri		122	Im	F5 V	{ 1 }	(855+1)	[4734]	BC	9	240
Reav	D	3109	Mirinda	C420220-B	S	De He Lo Po		301	Im	F5 V	{ 0 }	(510+0)	[1216]	B	14	10
Reav	D	3207	Coventry	E686720-5		Ag Ga Ri		530	Im	F3 V	{ 0 }	(967+0)	[2711]	BC	9	441
Reav	D	3209	Kylian	BA57742-A	A	Ag		113	Im	F0 V	{ 4 }	(D6D+4)	[3B16]	BCf	12	4732
Reav	E	0112	Eustauf	E545542-7		Ag Ni		900	Na	M1 V M2 V	{ -2 }	(742-2)	[1313]		11	-140
Reav	E	0115	Houndd	A66588B-C	F	Ga Ri Pa Ph Asla3		203	Na	F5 V	{ 3 }	(D7D+3)	[AB7E]		11	4056
Reav	E	0117	Tahoawiywyaw	A554544-B		Ag Ni		515	Id	M2 V M9 V	{ 2 }	(D46+2)	[3739]		15	780
Reav	E	0120	Failraoiya	C5828C9-5		Ri Ph		223	Id	K4 V M3 V	{ 0 }	(A77+0)	[9866]		11	560
Reav	E	0212	LOKI	E57599B-5		Hi In Fo	R	524	Na	K9 V	{ 0 }	(B88+0)	[B977]		15	792
Reav	E	0215	Eeaaira	B644488-7	M	Ni Pa		503	Id	F7 V M4 V	{ -1 }	(632-1)	[4357]		9	-48
Reav	E	0217	Iwioiar	A799769-8	M	Pi Mr		224	Id	M2 V	{ 0 }	(F68+0)	[8769]		17	840
Reav	E	0220	Oakhahyolerl	C797559-8		Ag Ni		304	Id	F4 V M9 V	{ -1 }	(B43-1)	[6469]		13	-165
Reav	E	0317	Khtehkaaoas	B565369-A	F	Lo Mr		903	Id	M3 V	{ 1 }	(820+1)	[446B]		11	24
Reav	E	0318	WIHEA	E8779B8-7		Hi In AslaW		304	Na	K7 V	{ 0 }	(B89+0)	[9957]		11	891
Reav	E	0320	MAIJARRA	CA58ADD-7		Hi		504	Id	F5 V	{ 0 }	(C99+0)	[EA9B]		12	1080
Reav	E	0414	Drusilla	C6726A7-6		He Ni		105	Na	M1 V	{ -2 }	(852-2)	[6456]		13	-192
Reav	E	0415	Laurence	C737451-9		Ni		403	Na	M2 V M6 V	{ -1 }	(932-1)	[1315]		15	-72
Reav	E	0417	Reynolds	B554645-7		Ag Ni Asla4		402	Na	K8 V	{ 0 }	(854+0)	[4635]		7	192
Reav	E	0518	AOSEWA	A54297A-A	F	He Hi In Po Asla9		824	Na	G8 V M0 V	{ 4 }	(H8E+4)	[BD7C]		14	8568
Reav	E	0519	AUIKALI	C568977-8		Hi Pr AslaW		715	Na	M0 V	{ 0 }	(H89+0)	[9958]		18	1377
Reav	E	0611	Enicel	D437630-6		Ni Fo	R	814	Na	M1 V	{ -3 }	(851-3)	[1311]		11	-144
Reav	E	0612	Metzler	C86A122-7		Lo Wa		400	Na	K2 V	{ -2 }	(300-2)	[1113]		7	-6
Reav	E	0616	Yedidah	A546787-9	F	Ag Pi Asla0		600	Na	F8 V M6 V	{ 2 }	(96B+2)	[7959]		6	1386
Reav	E	0619	Brittany	E8A08AD-8		He Ph		800	Na	K1 V M4 V	{ -2 }	(A76-2)	[C69C]		10	-960
Reav	E	0711	Estrington	B421611-8		He Na Ni Po		304	Na	K6 V	{ -1 }	(C53-1)	[2514]		13	-216
Reav	E	0712	Pauline	C631410-8		Ni Po		600	Na	K8 V M5 V	{ -2 }	(631-2)	[1213]		11	-48
Reav	E	0713	Gofannon	C6677A8-4		Ag Ga Ri		400	Na	F8 V	{ 1 }	(967+1)	[7854]		10	441
Reav	E	0716	Marie	C313767-7		Ic Na Pi O:0817		722	Na	G3 V	{ -1 }	(967-1)	[7657]		11	-441
Reav	E	0717	Tembo	C684566-7		Ag Ni Pr O:0817		504	Na	M0 V M5 V	{ -1 }	(743-1)	[4446]		8	-105
Reav	E	0720	Kawa	C56368C-8		Ni Ri		815	Na	G7 V	{ -1 }	(E53-1)	[958B]		13	-252
Reav	E	0816	Cyne	C878662-5		Ag Ni O:0817		900	Na	M0 V	{ -1 }	(853-1)	[2511]		5	-144
Reav	E	0817	KHAN	B5219CC-A	F	He Hi In Na Po		313	Na	K9 V	{ 4 }	(F8E+4)	[CD8D]		13	7560
Reav	F	0911	Chenzen	D737557-9	M	Ni		200	Na	M1 V	{ -2 }	(742-2)	[5359]		4	-140
Reav	F	0915	Pulou	C543677-7		Ni Po Asla4		313	Na	G1 V	{ -2 }	(852-2)	[6457]		11	-192
Reav	F	0917	Hernne	C778584-9	S	Ag Ni		703	Cs	F8 V	{ 0 }	(A44+0)	[3537]		9	200
Reav	F	0919	ZABALOC	E675AAC-5		Hi In Fo	R	103	Na	F4 V	{ 0 }	(C98+0)	[DA88]		7	960
Reav	F	1014	Palanay	C562778-8		Ri Asla3		305	Na	K4 V M2 V	{ 0 }	(E68+0)	[7758]		12	784
Reav	F	1019	Rhys	B766896-7		Ga Ri Pa Ph		521	Na	M1 V	{ 1 }	(A79+1)	[7946]		12	720
Reav	F	1020	BRIGHTON	B6959AC-9		Hi In		903	Na	K7 V	{ 3 }	(E8D+3)	[CC8C]		6	4914
Reav	F	1113	Shannon	D66869B-3	M	Ag Ni Ri		604	Cc	K4 V	{ -1 }	(853-1)	[8575]		17	-144
Reav	F	1117	Gavza	E877453-8		Ni Pa		703	Na	F7 V M5 V	{ -3 }	(930-3)	[1125]		12	-108
Reav	F	1211	Kambarage	E5256AB-7		Ni		104	Na	G8 V M4 V	{ -3 }	(851-3)	[8379]		13	-144
Reav	F	1213	Rutherglen	B7788CA-A	F	Pa Ph Pi		302	Ca	M1 V	{ 2 }	(C7B+2)	[AA7C]		10	2112
Reav	F	1214	Knoydart	C422624-A	M	He Na Ni Po		904	Ca	M2 V	{ 0 }	(C54+0)	[4638]		12	288
Reav	F	1216	Glenelg	C567778-8	M	Ag Ri		903	Ca	M3 V	{ 1 }	(C69+1)	[7858]		16	756
Reav	F	1217	Caithness	A666888-B	F	Ga Ri Pa Ph		102	Ca	G7 V M2 V	{ 3 }	(C7D+3)	[8B5B]		8	3744
Reav	F	1218	Rejhappur	B651613-A		Ni Po Da (Happirhva)	A	211	Cc	M1 V K6 V	{ 1 }	(A55+1)	[3727]		7	300
Reav	F	1317	Budwick	C887874-8		Ga Ri Pa Ph		601	Ca	K5 V	{ 0 }	(B78+0)	[6836]		12	704
Reav	F	1413	Annan	C100653-A	M	Na Ni Va		703	Ca	M1 V M8 V	{ 0 }	(B54+0)	[3627]		9	264
Reav	F	1415	Stirling	A957865-C	F	Pa Ph Mr		203	Ca	G0 V	{ 2 }	(D7C+2)	[6A3A]		12	2496
Reav	F	1417	Culloden	C420354-9	M	De He Lo Po		124	Ca	M1 V M4 V	{ -1 }	(B20-1)	[1237]		12	-33
Reav	F	1420	Arrecife	E000301-9		As Lo Va		300	Na	M4 V	{ -2 }	(520-2)	[1115]		13	-30
Reav	F	1512	Svalbard	C202456-9		Ic Ni Va		302	Na	K7 V M3 V	{ -1 }	(832-1)	[3348]		13	-64
Reav	F	1518	Lanark	C420403-9		De He Ni Po		124	Ca	M0 V M5 V	{ -1 }	(C32-1)	[1326]		16	-96
Reav	F	1520	Mulkins	D9B4358-8		Fl Lo		522	Na	M4 V M7 V	{ -3 }	(920-3)	[3158]		12	-81
Reav	F	1613	CUILLIN	B648AA9-9		Hi In		204	Ca	F7 V	{ 3 }	(G9D+3)	[BD6A]		9	6240
Reav	F	1615	Dunbarton	A886785-B	F	Ag Ga Ri		813	Ca	M2 V	{ 4 }	(D6E+4)	[5B39]		13	5096
Reav	F	1616	Pentland	C413533-8	S	Ic Ni		524	Ca	K6 V	{ -2 }	(D42-2)	[2325]		13	-260
Reav	F	1617	Douglass	AA978CA-C	F	Pa Ph Pi		822	Ca	G1 V	{ 2 }	(E7C+2)	[AA7E]		12	2688
Reav	G	1711	Tsanesi	D653636-6		Ni Po (Yn-tsai)		200	Cc	K7 V	{ -3 }	(851-3)	[5345]		3	-144
Reav	G	1716	Stuart	A668786-B	F	Ag Ri		323	Ca	K4 V	{ 4 }	(E6E+4)	[6B4A]		13	5488
Reav	G	1717	MacBeth	B573733-A	F	Pi		622	Ca	K9 V M3 V	{ 2 }	(D6B+2)	[4927]		10	2002
Reav	G	1718	Linda	C657510-8		Ag Ni Ga Da	A	820	Na	K4 V	{ -1 }	(943-1)	[1413]		8	-135
Reav	G	1813	Firth	C52559B-9		Ni Da	A	200	Ca	K7 V	{ -1 }	(743-1)	[747B]		11	-105
Reav	G	1815	Caledon	A8688A5-C	F	Ri Pa Ph Cx		713	Ca	G2 V	{ 3 }	(E7D+3)	[6B3A]		12	4368
Reav	G	1818	Hoffman	D4218A8-8		He Na Po Ph Pi		302	Na	M3 V	{ -2 }	(C76-2)	[8658]		9	-1152
Reav	G	1912	Glenshiel	DA86563-7		Ag Ni Pr O:1815		502	Cc	F6 V	{ -2 }	(742-2)	[2324]		13	-140
Reav	G	1913	Claverse	B7677BB-9	F	Ag Ga Ri Pz	A	514	Ca	K4 V BD	{ 3 }	(E6C+3)	[9A7B]		17	3528
Reav	G	1914	Grampia	E432520-6		Ni Po		201	Ca	M0 V	{ -3 }	(741-3)	[1211]		9	-105
Reav	G	1916	Scotia	B789434-B		Ni		324	Ca	G0 V	{ 1 }	(C34+1)	[2539]		15	192
Reav	G	1917	ROB ROY	B6469BA-B	F	Hi In Pz	A	804	Ca	K9 V	{ 4 }	(F8F+4)	[BD7D]		9	8100
Reav	G	2014	Fergus	C253304-7		Lo Po An		724	Na	K7 V M6 V	{ -2 }	(520-2)	[1135]		19	-30
Reav	G	2017	Victory	A201766-C	F	Ic Na Va Pi Mr		214	Ca	F7 V M1 V	{ 2 }	(E6C+2)	[694B]		13	2352
Reav	G	2018	Skye	E799751-5		Pi		512	Na	K8 V M6 V	{ -2 }	(965-2)	[3511]		14	-630
Reav	G	2019	GERMAINE	A986956-D	F	Hi Pr		601	Na	M1 V	{ 3 }	(C8F+3)	[8C4C]		11	4860
Reav	G	2111	Lhshami	C477794-8		Ag Pi (Lhshana)		700	Na	G0 V M4 V	{ 0 }	(968+0)	[5736]		5	504
Reav	G	2116	Gash	DAF8573-7		Ni		112	Na	M1 V	{ -3 }	(741-3)	[2224]		10	-105
Reav	G	2214	Rock	B400364-A		Lo Va Da O:2313	A	201	Na	F8 V M8 V	{ 1 }	(620+1)	[1438]		8	18
Reav	G	2218	Concorde	A999587-E	N	Ni		613	Im	G7 V M6 V	{ 1 }	(B45+1)	[565E]	B	10	275
Reav	G	2311	Loren	C57459C-7	S	Ag Ni Da (Bruhre)	A	601	Cs	M5 V	{ -1 }	(743-1)	[848A]		7	-105
Reav	G	2313	Kolath	B7678CB-A	F	Ga Ri Pa Ph Pz	A	924	Na	F3 V M9 V	{ 3 }	(G7C+3)	[AB7C]		12	4608
Reav	G	2315	Kurat	CAF7667-8		Ni Da O:2313	A	713	Na	G5 V	{ -2 }	(C52-2)	[6458]		12	-288
Reav	G	2320	Lurammish	C512755-9	S	Ic Na Pi		800	Im	F6 V M5 V	{ 0 }	(969+0)	[5737]	BD	6	567
Reav	G	2412	Doom	E400200-7		Lo Va Fo	R	101	Na	F1 V	{ -3 }	(410-3)	[1112]		8	-24
Reav	G	2414	Mer	C79A520-8		Ni Wa		424	Im	G2 V M9 V	{ -2 }	(D42-2)	[1313]	B	15	-260
Reav	G	2416	GERIM	A888A97-E	N	Hi		224	Im	F4 V M0 V	{ 3 }	(I9F+3)	[AD5E]	BE	12	8100
Reav	G	2417	Bryn	B4268B8-8		Ph Pi		914	Im	G3 IV M4 V	{ 0 }	(F78+0)	[8858]	BDe	14	960
Reav	G	2419	Ikuna	E000410-A		As Ni Va		312	Im	K6 V	{ -1 }	(932-1)	[1315]	B	10	-72
Reav	H	2511	Roye	C79A458-A		Ni Wa		202	Na	M3 V	{ 0 }	(833+0)	[445A]		11	96
Reav	H	2513	Sheffield	C667575-8		Ag Ni Ga Pr		214	Im	M2 V M4 V	{ -1 }	(C43-1)	[3436]	BcC	8	-180
Reav	H	2514	Shetland	B54478A-8	N	Ag Pi		914	Im	F0 V M8 V	{ 1 }	(E69+1)	[987A]	BCD	12	882
Reav	H	2515	Scapa	B667784-A		Ag Ga Ri		703	Im	G6 V M2 V	{ 4 }	(C6D+4)	[5B38]	BCf	14	4368
Reav	H	2516	KAAGIN	A5659A9-D	N	Hi Pr		504	Im	M1 V	{ 3 }	(F8F+3)	[AC6E]	BcE	7	6075
Reav	H	2519	Tower	C5327B8-7		Na Po		710	Im	G9 V M1 V	{ -1 }	(967-1)	[7657]	B	11	-441
Reav	H	2616	ST. GEORGE	A676AA6-C	N	Hi In Cp		314	Im	F1 V M2 V	{ 4 }	(H9F+4)	[9E4B]	BEF	14	10200
Reav	H	2619	Lore	B668723-8		Ag Ri		700	Im	G2 V	{ 2 }	(96A+2)	[4925]	BC	10	1260
Reav	H	2720	Merisun	E685679-5		Ag Ni Ga Ri Fo	R	701	Im	G5 V M4 V	{ -1 }	(853-1)	[7566]		9	-144
Reav	H	2812	Ankara	C99947B-9	S	Ni Fo	R	411	Im	K9 V	{ -1 }	(832-1)	[637B]		14	-64
Reav	H	2813	Vetzeal	E423214-7		Lo Po		310	Im	F7 V	{ -3 }	(410-3)	[1135]	B	8	-24
Reav	H	2816	Aries	B310444-D	N	Ni		214	Im	F1 V	{ 1 }	(B34+1)	[253B]	B	11	176
Reav	H	2819	Koath	C301453-A		Ic Ni Va		424	Im	G5 V M9 V	{ 0 }	(C33+0)	[1427]	B	9	144
Reav	H	2912	Veroch	E6B1101-8		Fl He Lo		713	Im	G4 V	{ -3 }	(700-3)	[1114]	B	9	-21
Reav	H	2916	Mull	CAC7312-9		Fl Lo		611	Im	F9 V	{ -1 }	(720-1)	[1215]	B	15	-21
Reav	H	2917	Stonehaven	A9D5422-C	N	Ni		914	Im	F2 V	{ 1 }	(B34+1)	[1518]	B	11	176
Reav	H	2919	Orkney	B5888CB-9		Ri Pa Ph Fo	R	302	Na	M0 V M7 V	{ 2 }	(C7B+2)	[AA7B]		13	2112
Reav	H	2920	Maiden	E544567-7		Ag Ni Fo O:2919	R	104	Na	K2 V	{ -2 }	(742-2)	[5357]		10	-140
Reav	H	3012	Khishali	C866759-8		Ag Ga Ri		914	Im	G3 V M1 V	{ 1 }	(E69+1)	[8869]	BC	10	882
Reav	H	3019	KHAGISH	D7649DD-6	S	Hi Pr		715	Im	K0 V	{ -1 }	(B87-1)	[D89A]	BcE	12	-693
Reav	H	3111	815-205	C99A311-9		Lo Wa		204	Im	M1 V	{ -1 }	(920-1)	[1215]	B	9	-27
Reav	H	3112	Arthur	E566000-0		Ba		003	Im	M1 V	{ -3 }	(200-3)	[0000]		11	-6
Reav	H	3115	Ghost	C685688-5		Ag Ni Ga Ri (Ayansh'i)		713	Im	F1 V	{ 0 }	(854+0)	[6655]	BC	13	192
Reav	H	3118	Dundee	B533133-A	N	Lo Po		700	Im	M0 II M2 V	{ 1 }	(300+1)	[1227]	B	12	3
Reav	H	3120	Havant	B542524-B		He Ni Po		702	Im	M3 V M5 V	{ 1 }	(945+1)	[3639]	B	12	225
Reav	H	3211	Wells	A786500-9		Ag Ni Ga Pr		523	Im	G6 V	{ 1 }	(C45+1)	[1614]	BcC	13	300
Reav	H	3212	Petzina	B674767-A		Ag Pi O:		824	Im	K8 V	{ 3 }	(F6C+3)	[7A5A]	BCD	9	3780
Reav	H	3220	KHAKHAN	A988AA8-E	N	Hi		903	Im	F6 V M0 V M9 V	{ 3 }	(F9F+3)	[AD5E]	BE	9	6750
Reav	I	0124	Esekheali	C400573-9		Ni Va		504	Id	F4 IV	{ -1 }	(B43-1)	[2426]		12	-165
Reav	I	0125	Ekhiwua'ea	D898874-6		Pa Ph Pi		504	Id	K7 V M6 V	{ -2 }	(A75-2)	[6634]		13	-800
Reav	I	0127	Khtaao	E5932G7-8		Lo		314	As	K7 V	{ -3 }	(910-3)	[2158]		12	-54
Reav	I	0129	Khteaouw	E5314L7-A		Ni Po		301	As	F8 V	{ -1 }	(732-1)	[435A]		9	-56
Reav	I	0221	ISLAIAT	A868AA9-D	F	Hi Cx		914	Id	G2 V M8 V	{ 3 }	(H9F+3)	[BD6E]		13	7650
