Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Reft	A	0102	Cauldron	D988222-4		Lo		403	ImDd	M0 V	{ -3 }	(410-3)	[1111]	B	7	-24
Reft	A	0105	Iselen	A543678-9		Ni Po		403	ImDd	G0 V	{ 0 }	(B54+0)	[6659]	B	7	264
Reft	A	0106	Reudden	B5536BG-7		Ni Po		400	ImDd	G4 V	{ -1 }	(853-1)	[B5AC]	B	9	-144
Reft	A	0108	Kukaa	C544100-A		Lo		503	ImDd	G1 V	{ 0 }	(600+0)	[1115]	B	7	6
Reft	A	0109	Amoirve	B565476-B	N	Ni Pa		704	ImDd	G8 V	{ 1 }	(A34+1)	[354A]	Bc	10	160
Reft	E	0111	Grudovo	B560453-C		De Ni		914	ImDd	K0 IV D	{ 1 }	(B34+1)	[1529]	B	13	176
Reft	E	0112	Banskonno	A582444-C		Ni Droy6		204	ImDd	G0 V	{ 1 }	(A34+1)	[253A]	B	13	160
Reft	E	0118	Bastion	B737532-B	N	Ni		401	ImDd	A9 V K4 V	{ 1 }	(845+1)	[1617]	B	6	200
Reft	A	0203	Solbatn	B87A443-A		Ni Wa		603	ImDd	K3 V	{ 1 }	(934+1)	[1527]	B	11	144
Reft	A	0208	Peshtorno	B783841-8	N	Ri Ph		622	ImDd	G1 V	{ 1 }	(E79+1)	[4914]	BCe	7	1008
Reft	A	0210	Petre	B696478-A		Ni Pa		210	ImDd	F4 V	{ 1 }	(734+1)	[455A]	Bc	10	112
Reft	E	0212	Aldaya	B885620-6	S	Ag Ni Ga Ri		423	ImDd	K4 V	{ 1 }	(855+1)	[1711]	BC	8	240
Reft	E	0216	Neon	D78227A-7		Lo		923	ImDd	F6 V M4 V	{ -3 }	(410-3)	[4179]	B	10	-24
Reft	E	0217	Cerebin	B423662-C		Na Ni Po O:0112		534	ImDd	G1 IV	{ 1 }	(F55+1)	[2718]	B	14	450
Reft	A	0305	Dimple	D200201-8	S	Lo Va		500	ImDd	G1 V M1 V	{ -3 }	(410-3)	[1114]	B	16	-24
Reft	E	0313	Helifil	D310724-8		Na Pi Rs		403	ImDd	K1 V	{ -2 }	(C66-2)	[5536]	BD	10	-1008
Reft	A	0402	Benidorm	E546400-8		Ni Pa		120	ImDd	G2 V	{ -3 }	(830-3)	[1113]	Bc	10	-96
Reft	A	0408	Carian	B300459-B	N	Ni Va		924	ImDd	M0 V M7 V	{ 1 }	(C34+1)	[556C]	B	9	192
Reft	A	0410	Ambossa	B684459-9		Ni Pa		700	ImDd	G2 V	{ 0 }	(633+0)	[546A]	Bc	9	72
Reft	E	0416	Tonnurad	B563695-7		Ni Ri		803	NaHu	G3 V M5 V G5 V	{ 0 }	(854+0)	[4635]		7	192
Reft	M	0435	Garden	B755578-A		Ag Ni Ga Di (Salika)		404	NaHu	K4 V M4 V	{ 2 }	(B46+2)	[575A]		8	660
Reft	A	0502	Corp Town	B574211-B		Lo		100	ImDd	F6 V M1 V	{ 1 }	(410+1)	[1317]	B	15	8
Reft	A	0503	LINTL	B739AEE-C		Hi		404	ImDd	K2 V	{ 3 }	(G9E+3)	[ED9G]	BE	10	6720
Reft	E	0511	Fraaga	B691420-B		He Ni		702	ImDd	K2 V M9 V M1 V	{ 1 }	(834+1)	[1516]	B	15	128
