Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Rift	A	102	Areiha'is	B54847A-B		Ni Pa		900	AsSc	M3 V	{ 1 }	(634+3)	[657D]		8	216
Rift	A	103	Triwayah	C783114-7		Lo		820	AsSF	G2 V	{ -2 }	(311-4)	[1135]		11	2
Rift	A	104	Ftyayu	A664755-D		Ag Ri		702	AsVc	A4 V	{ 4 }	(B6F+2)	[5B3B]		6	1,980
Rift	A	108	Yolrilao	B69A687-9		Ni Wa		712	AsVc	M2 V	{ 0 }	(B54+1)	[6659]		14	220
Rift	I	124	Khtyeai	A6455A6-B		Ag Ni		102	AsT8	M2 V	{ 2 }	(946+1)	[474A]		10	216
Rift	M	133	Aouakh	E000369-7		As Lo Va O:		200	AsSF	K4 V	{ -3 }	(521-2)	[4168]		3	8
Rift	A	201	Ehaosah	B562478-B		Ni		903	AsSc	M1 V	{ 1 }	(934+1)	[455B]		8	108
Rift	A	204	Staikhah	B54036B-B		De He Lo Po O:		413	AsSF	M1 V	{ 1 }	(921+3)	[547D]		12	54
Rift	M	236	Uaka	E673695-6		Ni		905	AsTv	K1 V M2 V	{ -3 }	(851-5)	[4334]		12	20
Rift	A	303	Iohfou	C430785-A		De Na Po		204	AsWc	K0 V	{ 1 }	(D6A-1)	[5838]		9	702
Rift	A	306	Yailaw	B310885-C		Na Ph Pi		803	AsVc	K3 V	{ 2 }	(D7C+1)	[6A3A]		6	1,092
Rift	M	339	Aletoli	B984387-8	T	Lo Chir2		100	AsWc	K5 V M5 V	{ -1 }	(521-1)	[3258]		5	9
Rift	A	402	Fahaiye	B633487-A		Ni Po		712	AsTv	M0 V	{ 1 }	(934+1)	[455A]		8	108
Rift	A	403	Oilraroi	C5866BB-8		Ag Ni Ri		300	AsWc	A3 V G7 V	{ 0 }	(854+2)	[867A]		4	320
Rift	A	404	Teikhahfauoa	B56258A-A		Ni Pr		600	AsMw	M3 V	{ 1 }	(745+3)	[767C]		6	420
Rift	A	407	Hastaofta	B200497-C		Ni Va		213	AsWc	M0 V M4 V	{ 1 }	(A34+1)	[455C]		13	120
Rift	A	503	Wyoyohku'	C31078A-A		Na Pi		904	AsWc	M2 V M0 V	{ 1 }	(D6A+3)	[987C]		11	2,340
Rift	A	507	AULRYAKH	A542A54-E		He Hi In Po		502	AsTv	K1 V	{ 4 }	(E9G+2)	[8E3C]		13	4,032
Rift	A	602	Seihueiakh	C567214-9		Lo		504	AsSF	G8 V M2 V	{ -1 }	(811-3)	[1137]		9	6
Rift	I	630	Uistihwoa	A767159-E		Lo Ga		520	AsTv	G3 V	{ 1 }	(511+2)	[226F]		8	10
Rift	A	701	Eioiye'	A7A8777-D		Fl Chir0		704	AsSc	M2 V	{ 2 }	(D6D+2)	[795D]		12	2,028
Rift	A	703	Ieafe	B310885-C		Na Ph Pi		602	AsT3	G4 V M8 V	{ 2 }	(C7C+1)	[6A3A]		11	1,008
Rift	E	711	Eao	C94A475-B		Ni Wa		304	AsSc	G2 V	{ 0 }	(A33-2)	[2439]		14	72
Rift	I	722	Teirikh	A54787C-C	T	Pa Ph Pi		311	AsSc	G0 V	{ 2 }	(C7C+5)	[BA8F]		9	5,040
Rift	A	804	Stoafaohail	E000755-A		As Na Va Pi		902	AsMw	G4 IV M0 V	{ 0 }	(B69-2)	[5738]		10	475
Rift	B	901	Aistektao	D637784-7				612	AsVc	K4 V M0 V	{ -2 }	(966-4)	[5535]		13	194
Rift	B	902	Yeryorlo	C666426-7		Ni Ga Pa		105	AsWc	M3 V	{ -2 }	(631-3)	[3246]		16	13
Rift	B	904	Kouaoriy	A536574-B		Ni		425	AsSc	M3 V	{ 1 }	(E45-1)	[3639]		17	252
Rift	B	905	Wehwilaw	A67A138-C		Lo Wa		704	AsTv	K0 V	{ 1 }	(711+1)	[125C]		16	7
Rift	F	913	Tleae'ah	C756787-8		Ag Ga		413	AsT9	M2 V	{ 0 }	(D68+1)	[7758]		14	624
Rift	B	1002	Iyraweis	D421576-9		He Ni Po		403	AsSc	M2 V	{ -2 }	(A42-3)	[4348]		8	56
Rift	F	1017	Uasiwea	B8A7268-C		Fl Lo O:		213	AsSF	K9 IV	{ 1 }	(811+1)	[235C]		15	8
Rift	N	1037	Ftuaktaol	D597488-7		Ni Pa		815	AsT0	M1 V	{ -3 }	(631-3)	[4157]		17	13
Rift	B	1101	Yutawe	B552543-B		Ni Po		210	AsWc	M1 V	{ 1 }	(845-2)	[2628]		6	128
Rift	B	1103	Aoikhekh	B563497-A		Ni		205	AsTv	M2 V M9 V	{ 1 }	(B34+1)	[455A]		15	132
Rift	F	1113	Wou'iwyar	B9AA389-A		Fl Lo		804	AsWc	K9 V	{ 1 }	(921+2)	[446B]		15	36
Rift	F	1115	Souyehkeahte	B5656B8-A		Ag Ni Ri		602	AsT9	M0 V	{ 3 }	(A57+3)	[695A]		8	1,050
Rift	F	1118	TRAHOHEAIR	B663976-B		Hi Pr		313	AsSc	K7 V M8 V	{ 3 }	(F8E+2)	[8C4A]		11	3,360
Rift	B	1201	Hkorou	B879625-9	R	Ni		624	AsT7	G0 V	{ 0 }	(E54-2)	[4637]		12	224
Rift	B	1202	Liylaeahal	B420578-A		De He Ni Po Chir0		304	AsSc	A3 V M0 V	{ 1 }	(B45+1)	[565A]		12	220
Rift	B	1204	Tikaorlu	D000849-9		As Na Va Ph Pi		713	AsVc	G0 V M5 V M6 V	{ -1 }	(E78+1)	[976A]		7	784
Rift	B	1209	Aiolol	B79A475-B		Ni Wa		104	AsSc	K4 V	{ 1 }	(A34-1)	[2539]		10	108
Rift	B	1304	Ryurarai	B644897-A	R	Pa Ph Pi		504	AsT2	M2 V	{ 2 }	(E7B+2)	[8A5A]		15	2,156
Rift	F	1314	Hfarauo	B561269-B		Lo O:		613	AsSF	G4 V M0 V	{ 1 }	(811+2)	[336C]		12	16
Rift	F	1315	Auih	B57A457-C		Ni Wa		500	AsTv	M3 III	{ 1 }	(634+1)	[455C]		3	72
Rift	F	1316	Toawi	B40075A-D	R	Na Va Pi		800	AsMw	K2 V M1 V	{ 2 }	(96D+4)	[997F]		9	2,808
Rift	B	1401	Htyeh	C789258-A		Lo		724	AsT8	M2 V	{ 0 }	(A11+1)	[225A]		17	10
Rift	F	1415	Hyarlih	B7C6166-C		Fl Lo O:		511	AsSF	K5 V	{ 1 }	(511+1)	[124B]		9	5
Rift	F	1420	Waikhta	C639267-B		Lo O:		713	AsSF	M1 V K7 V	{ 0 }	(811+1)	[225B]		12	8
