Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Solo	A	0105	Faiwyd	E500589-7		Ni Va Da	A	712	ImDs	M0 V M2 V	{ -3 }	(741-2)	[6268]	B	9	22
Solo	A	0106	DARRUKESH	A5859CF-D	N	Hi Pr Pz	A	823	ImDs	M0 V M4 V M0 V	{ 3 }	(G8C+5)	[ECAJ]	BcE	11	7,680
Solo	A	0110	IDDAMAKUR	A7799AB-A		Hi In Asla0		303	ImDs	M1 V M0 V	{ 4 }	(E8B+5)	[BD7C]	BEf	11	6,160
Solo	E	0111	GRENDEL	A96A98B-E		Hi Wa An Pr		802	ImDs	F4 V M2 V	{ 3 }	(D8C+4)	[BC7G]	BcE	10	4,992
Solo	E	0116	Purdishi	D611168-8		Ic Lo O:0215		834	ImDs	M1 V	{ -3 }	(A11-3)	[1158]	B	10	7
Solo	I	0121	Oz	A553887-C		Po Ph Sa		913	ImDs	M3 V M4 V	{ 2 }	(E79+1)	[8A5C]	Be	8	882
Solo	I	0123	JARSLAV	A8879A9-E	N	Hi Ga Pr		823	ImDs	F8 V	{ 3 }	(G8C+3)	[AC6F]	BcE	12	4,608
Solo	I	0125	Kishakhpap	X410000-0		Ba Fo	R	4	ImDs	F9 V	{ -3 }	(200-5)	[0000]		8	0
Solo	I	0126	Beal	A5577CD-C	N	Ag		222	ImDs	M1 V M8 V	{ 3 }	(D6B+5)	[BA9G]	BC	7	4,290
Solo	M	0136	Swinburne	C722620-9		He Na Ni Po		400	SoCf	M0 V M2 V	{ -1 }	(851-5)	[1514]		11	20
Solo	M	0138	Erech	C844577-9		Ag Ni		310	SoCf	M1 V	{ 0 }	(843+1)	[5559]		8	96
Solo	A	0207	Basil	A843731-C		Po Pi		334	ImDs	K5 V	{ 2 }	(G6A-3)	[3918]	BD	10	672
Solo	E	0214	SHULULSISH	A584A52-F	W	Hi Cp		304	ImDs	F8 V	{ 4 }	(G9C-1)	[6E1B]	BEF	13	1,555
Solo	E	0215	DESDEMONA	A76999C-E		Hi Pr		303	ImDs	G8 V M8 V	{ 3 }	(E8C+5)	[CC8H]	BcE	16	6,720
Solo	E	0217	Sarmaty	A889877-D		Ri Ph Asla0		403	ImDs	M1 V	{ 3 }	(D7B+2)	[8B5D]	BCe	6	2,002
Solo	I	0224	Shaalgar	A666769-B		Ag Ga Ri Mr		100	ImDs	M2 V M7 V	{ 4 }	(96C+4)	[8B6C]	BCf	10	2,592
Solo	I	0226	Limerick	C579634-9		Ni		904	ImDs	K2 V	{ -1 }	(C51-3)	[4537]	B	9	42
Solo	I	0230	ALIZARIN	A566987-C		Hi Pr		800	SoCf	M1 V M8 V	{ 3 }	(B8B+2)	[9C5C]		6	1,936
Solo	M	0231	Luzon	D420400-7		De He Ni Po		935	SoCf	G9 V	{ -3 }	(631-5)	[1112]		19	9
Solo	M	0233	JARDIN	A5679BC-D	KM	Hi Cp Pr		702	SoCf	M3 V	{ 4 }	(D8D+5)	[CD8G]		14	6,760
Solo	M	0237	Theseus	B7A3744-B		Fl		803	SoCf	M2 V M3 V	{ 2 }	(C6A-1)	[5939]		11	648
Solo	M	0239	BARSOOM	A55499B-D	KM	Hi		302	SoCf	M1 V	{ 4 }	(D8D+5)	[BD7F]		10	6,760
Solo	M	0240	Gladstone	A967755-D		Ag Ri		310	SoCf	M3 V	{ 4 }	(A6D+1)	[5B3B]		10	780
Solo	A	0301	AMKHALARUG	B5439BD-C		Hi In Po Pz	A	604	ImDs	F7 V M3 V	{ 4 }	(F8C+5)	[DD9G]	BEf	8	7,200
Solo	A	0304	Atalanta	C576368-9		Lo Da Mr	A	503	ImDs	M1 V M6 V	{ -1 }	(821-1)	[3259]	B	6	14
Solo	A	0308	Sidon	B6B9521-C		Fl Ni		903	ImDs	K4 V	{ 1 }	(A44-3)	[1618]	B	14	112
Solo	E	0313	HAYT	B4219AF-E		He Hi In Na Po		310	ImDs	M2 V M6 V	{ 4 }	(C8D+5)	[EDAK]	BEf	12	6,240
Solo	E	0316	Finnegans	C579533-A		Ni		320	ImDs	G1 V M8 V	{ 0 }	(943-3)	[2527]	B	13	76
Solo	E	0317	BEMIDSHII	A567988-E		Hi Pr		212	ImDs	G9 V M6 V	{ 3 }	(E8C+2)	[9C5E]	BcE	17	2,688
