Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Spin	A	0101	Zeycude	C430698-9		De Na Ni Po		613	Zh	K9 V	{ -1 }	(C53-1)	[6559]		8	-216
Spin	A	0102	Reno	C4207B9-A		De He Na Po Pi		603	Zh	G8 V M1 V	{ 1 }	(C6A+1)	[886B]		12	840
Spin	A	0103	Errere	B563664-B	F	Ni Ri O:0304		910	Zh	M1 V M4 V	{ 2 }	(956+2)	[4839]		9	648
Spin	A	0104	Cantrel	C566243-9		Lo		520	Zh	F1 V	{ -1 }	(610-1)	[1126]		12	-12
Spin	A	0108	Gyomar	C8B2889-8		Fl He Ph		824	Na	A8 V	{ -1 }	(G77-1)	[9769]		14	-896
Spin	A	0202	Thengo	C868586-5		Ag Ni Pr		801	Zh	G5 V M3 V	{ -1 }	(743-1)	[4444]		12	-105
Spin	A	0301	Rio	C686648-8		Ag Ni Ga Ri		201	Na	M0 V M1 V	{ 0 }	(954+0)	[6658]		8	216
Spin	A	0303	Gesentown	B31169B-C	F	Ic Na Ni		801	Zh	M2 V M9 V	{ 1 }	(955+1)	[877E]		12	270
Spin	A	0304	CHRONOR	A6369A5-D	F	Hi Cp		810	Zh	F8 V	{ 3 }	(C8F+3)	[7C3B]		5	4860
Spin	A	0307	Atsa	B4337CA-A	F	Na Po An		810	Zh	F7 V M3 V	{ 2 }	(A6B+2)	[997C]		8	1540
Spin	A	0503	Whenge	D648500-8		Ag Ni		610	Na	F8 V	{ -2 }	(842-2)	[1313]		13	-160
Spin	A	0601	Enlas-du	E975776-6		Ag Pi		323	Na	F1 V	{ -1 }	(966-1)	[6645]		14	-378
Spin	A	0605	Algebaster	C665658-9		Ag Ni Ga Ri		410	Na	M0 V M1 V	{ 1 }	(955+1)	[6759]		10	270
Spin	A	0607	Rasatt	E883401-7		Ni		910	Na	F0 V	{ -3 }	(630-3)	[1113]		6	-72
Spin	A	0608	Ninjar	A311666-C	F	Ic Na Ni Mr		410	Zh	A4 V	{ 1 }	(955+1)	[574B]		6	270
Spin	A	0610	Sheyou	B756779-A	F	Ag Ga		111	Zh	F4 V M0 V	{ 3 }	(B6C+3)	[8A6B]		13	2772
Spin	A	0703	Indo	E434662-6		Ni O:0605		320	Na	F6 V	{ -3 }	(851-3)	[2312]		11	-144
Spin	A	0704	Nerewhon	E738475-7		Ni		820	Na	K5 V	{ -3 }	(630-3)	[2135]		10	-72
Spin	A	0705	Cipango	A886865-C	F	Ga Ri Pa Ph O:0304		121	Zh	G2 V	{ 3 }	(D7D+3)	[6B3A]		10	4056
Spin	A	0710	Stave	E7667A8-2		Ag Ga Ri		801	Na	K9 V M2 V	{ 0 }	(965+0)	[7752]		8	315
Spin	A	0805	Narval	D525688-7	M	Ni Da	A	603	Cz	G4 V M6 V	{ -3 }	(851-3)	[6357]		10	-144
Spin	A	0807	Plaven	E845300-5		Lo		910	Na	G8 V M7 V	{ -3 }	(520-3)	[1111]		6	-45
Spin	A	0808	Quar	B532720-B	N	Na Po Pz	A	401	Cs	M2 V	{ 2 }	(A6C+2)	[2916]		9	1680
Spin	A	0810	Frond	E9C3300-9		Fl Lo		103	Cs	F8 V	{ -2 }	(820-2)	[1114]		12	-48
Spin	B	0901	Condyole	E7A1522-8		Fl He Ni		923	Na	F8 V	{ -3 }	(C41-3)	[1214]		10	-180
Spin	B	0902	Puparkin	C7B3386-9		Fl Lo Varg8		502	Na	K8 V M4 V	{ -1 }	(720-1)	[2248]		6	-21
Spin	B	0904	Chwistyoch	B766766-A	F	Ag Ga Ri Mr		424	Zh	M2 V	{ 4 }	(F6D+4)	[6B49]		15	5460
Spin	B	0909	Gougeste	C572510-A		He Ni Da	A	420	Cs	K2 V	{ 0 }	(944+0)	[1515]		10	180
Spin	B	1004	Esalin	C565673-8		Ag Ni Ri Da	A	223	Na	F3 V M2 V	{ 0 }	(D54+0)	[3625]		9	312
Spin	B	1005	Ruby	B400445-B	S	Ni Va		201	Im	M1 V M3 V	{ 1 }	(734+1)	[2539]	B	9	112
Spin	B	1006	Emerald	B766555-B	S	Ag Ni Ga Pr		534	Im	M1 V	{ 2 }	(E46+2)	[3739]	BcC	12	840
Spin	B	1010	Zenopit	D430546-7		De Ni Po		622	Na	M3 V	{ -3 }	(741-3)	[4246]		7	-105
Spin	B	1102	RIVERLAND	C566A99-9		Hi Pz	A	214	Zh	M2 V	{ 1 }	(H9B+1)	[BB6A]		14	1870
Spin	B	1103	Clan	B672899-A	F	He Ph Pi Pz	A	901	Zh	K8 V	{ 2 }	(B7B+2)	[9A6B]		12	1936
Spin	B	1106	JEWELL	A777999-C	A	Hi In		623	Im	G7 V	{ 5 }	(G8G+5)	[AE6D]	BEf	10	11520
Spin	B	1110	Zircon	C792668-8	M	He Ni O:1011		624	Na	F0 V	{ -2 }	(E52-2)	[6458]		12	-336
Spin	B	1201	Ao-dai	E410644-7		Na Ni		312	Zh	K2 V M3 V	{ -3 }	(851-3)	[4335]		10	-144
Spin	B	1204	Mongo	A568685-A	A	Ag Ni Ri		603	Im	M6 III M0 V	{ 4 }	(B58+4)	[4A38]	BCf	7	2112
Spin	B	1209	Utoland	C573464-7	M	Ni O:1011		410	Na	M0 V	{ -2 }	(631-2)	[2235]		8	-48
Spin	B	1210	Pequan	E5656B9-4		Ag Ni Ri		710	Na	K5 V	{ -1 }	(853-1)	[7565]		5	-144
Spin	B	1305	Nakege	D591314-5		He Lo Da	A	501	Im	K2 V M0 V	{ -3 }	(520-3)	[1133]	B	14	-45
Spin	B	1307	Lysen	B592655-A	S	He Ni		623	Im	M3 V	{ 1 }	(D55+1)	[4738]	B	12	390
Spin	B	1401	Foelen	B638665-8		Ni Da O:1402	A	910	Zh	K0 V	{ -1 }	(953-1)	[4536]		14	-162
Spin	B	1402	Farreach	A200400-B	F	Ni Va Da	A	415	Zh	M3 III M0 V	{ 1 }	(C34+1)	[1516]		10	192
Spin	B	1510	871-438	E722000-0		Ba He Po		001	Na	M3 V M8 V	{ -3 }	(200-3)	[0000]		7	-6
Spin	B	1604	LOUZY	D422A88-8		He Hi In Na Po		110	Im	M2 V	{ 0 }	(D99+0)	[AA58]	BE	7	1170
Spin	B	1607	Grant	E664100-3		Lo Fo Re	R	222	Im	K6 V	{ -3 }	(300-3)	[1111]		13	-9
Spin	C	1705	EFATE	A646930-D	B	Hi In An		800	Im	K4 V	{ 5 }	(B8H+5)	[4E18]	BEf	8	8415
Spin	C	1706	Alell	B56789C-A		Ri Pa Ph		210	Im	M1 V M7 V	{ 3 }	(B7C+3)	[BB8D]	BcCe	6	3168
Spin	C	1802	Yres	BAC6773-9		Fl		335	Im	G5 V	{ 1 }	(H6A+1)	[4826]	B	13	1190
Spin	C	1803	MENORB	C652998-7		Hi Po		310	Im	K2 V	{ 0 }	(B89+0)	[9957]	BE	7	891
Spin	C	1805	Uakye	B439598-D		Ni		320	Im	M3 V	{ 1 }	(945+1)	[565D]	B	12	225
Spin	C	1806	Whanga	E676126-7		Lo		224	Im	G1 V M1 V	{ -3 }	(300-3)	[1146]	B	14	-9
Spin	C	1807	Knorbes	E888787-2		Ag Ri An Re		834	Im	G3 V	{ 0 }	(965+0)	[7752]	BC	15	315
Spin	C	1808	Forboldn	D893614-5		Ni		312	Im	G0 V	{ -3 }	(851-3)	[4333]	B	14	-144
Spin	C	1809	RUIE	C776977-7		Hi In Pz	A	701	Na	G5 V	{ 1 }	(B8A+1)	[9A57]		9	990
Spin	C	1810	Jenghe	C799663-9	S	Ni O:1910		323	Im	M0 V	{ -1 }	(D53-1)	[3526]	B	11	-234
Spin	C	1903	Pixie	A100103-D	N	Lo Va An Px		901	Im	K1 V M0 V	{ 1 }	(400+1)	[122A]	B	15	4
Spin	C	1904	Boughene	A8B3531-D	S	Fl Ni An		601	Im	M1 V	{ 1 }	(845+1)	[1619]	B	13	200
Spin	C	1909	Hefry	C200423-7	S	Ni Va		320	Im	K6 II M2 V	{ -2 }	(631-2)	[1224]	B	13	-48
Spin	C	1910	Regina	A788899-C	A	Ri Pa Ph An Cp (Amindii)2		703	Im	F7 V MD M3 V	{ 4 }	(D7E+4)	[9C6D]	BcCeF	14	5824
Spin	C	2005	Feri	B584879-B	S	Ri Pa Ph		620	Im	G4 V M3 V	{ 3 }	(C7D+3)	[9B6C]	BcCe	14	3744
Spin	C	2007	ROUP	C77A9A9-7	S	Hi In Wa Pz	A	323	Im	F9 V	{ 1 }	(B8A+1)	[AA68]	BE	14	990
Spin	C	2106	Pscias	E555423-2		Ni Pa Fo	R	501	Im	K5 V	{ -3 }	(630-3)	[1121]		15	-72
Spin	C	2110	Yori	C560757-A		De Ri An RsB		713	Im	F1 V	{ 2 }	(D6B+2)	[795A]	BC	15	2002
Spin	C	2201	Dentus	C979500-A	S	Ni		920	Im	M2 V	{ 0 }	(944+0)	[1515]	B	10	180
Spin	C	2202	Kinorb	A663659-8		Ni Ri		622	Im	G7 V	{ 0 }	(C54+0)	[7669]	BC	7	288
Spin	C	2204	Beck's World	D88349D-4		Ni An		701	Im	K0 V M2 V	{ -3 }	(630-3)	[8198]	B	10	-72
Spin	C	2205	ENOPE	C411988-7		Hi Ic In Na		600	Im	K6 V M5 V	{ 1 }	(B8A+1)	[9A57]	BE	8	990
Spin	C	2207	Wochiers	EAC28CC-9		Fl He Ph		703	Im	F0 V	{ -1 }	(D78-1)	[B78C]	Be	17	-832
