Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Troj	A	0103	Taltern	E530240-6		De Lo Po		202	Na	M2 V M2 V	{ -3 }	(410-3)	[1111]		7	-24
Troj	A	0110	Bilke	D987341-7		Lo		202	Fl	F0 V	{ -3 }	(520-3)	[1113]		6	-45
Troj	A	0201	Szirp	A436538-D		Ni		800	Na	M8 V	{ 1 }	(745+1)	[565D]		9	175
Troj	A	0202	Sam’s World	E100856-7		Na Va Ph Pi		803	Na	G7 V	{ -2 }	(A76-2)	[7646]		14	-960
Troj	A	0204	Dustpan	A550779-9		De Po		900	Na	F2 V	{ 1 }	(96A+1)	[886A]		12	630
Troj	A	0209	Heath	B587532-B		Ag Ni Pr		622	Na	K2 V M6 V	{ 2 }	(B46+2)	[1717]		8	660
Troj	A	0210	Vip	A421644-D	F	He Na Ni Po		404	Fl	M8 V	{ 1 }	(C55+1)	[473B]		15	360
Troj	A	0307	Crescent	B420778-7		De He Na Po Pi		904	Na	M1 V	{ 0 }	(968+0)	[7757]		16	504
Troj	A	0310	TROSSACHS	B897A54-C		Hi In		202	Fl	F6 V	{ 4 }	(E9F+4)	[8E3A]		7	8400
Troj	A	0403	Marseilles	D540312-7		De He Lo Po		502	Sc	M4 V M6 V	{ -3 }	(520-3)	[1113]		8	-45
Troj	A	0404	Paques	D9E6400-4		Ni		323	Na	M2 V WD	{ -3 }	(630-3)	[1111]		17	-72
Troj	A	0408	Viceroy	B8D3515-C		Ni		604	Na	G6 V M1 V	{ 1 }	(B45+1)	[363A]		8	275
Troj	A	0503	Allemagne	C688000-0		Ba Fo	R	020	Sc	M0 V M1 V	{ -2 }	(200-2)	[0000]		9	-4
Troj	A	0504	Sable des Etoiles	B000899-D		As Na Va Ph Pi		521	Sc	F8 V M4 V	{ 2 }	(D7D+2)	[9A6E]		16	2704
Troj	A	0505	STREND	B436AFB-F		Hi Cx		802	Sc	F4 V	{ 3 }	(E9F+3)	[CD7H]		8	6300
Troj	A	0510	Halka	B865544-A	F	Ag Ni Ga Pr (Halkans)		813	Fl	M9 III	{ 2 }	(B46+2)	[3738]		13	660
Troj	A	0608	Armada	A540244-A		De He Lo Po		400	Na	G9 V	{ 1 }	(410+1)	[1338]		5	8
Troj	A	0609	Adhara	B57A667-8		Ni Wa O:0608		602	Na	F2 V M9 V	{ -1 }	(A53-1)	[6558]		8	-180
Troj	A	0702	Zephyr	B999545-7		Ni		114	Na	F6 V	{ -1 }	(743-1)	[3435]		15	-105
Troj	A	0802	Fomalhaut	B510200-D		Lo		204	Na	M7 V	{ 1 }	(810+1)	[1318]		11	16
Troj	A	0809	Hadara	E311796-7		Ic Na Pi		103	Na	A3 V	{ -2 }	(966-2)	[6546]		11	-756
Troj	B	0902	Walei	E7B4776-8		Fl		811	Na	K3 V M5 V	{ -2 }	(B66-2)	[6547]		10	-924
Troj	B	0909	Pa’an	E649333-5		Lo		513	Cz	F3 V M0 V	{ -3 }	(520-3)	[1122]		15	-45
Troj	B	1005	Gorgon	E590264-6		De He Lo Px O:1106		504	Bs	K3 V	{ -3 }	(410-3)	[1134]		9	-24
Troj	B	1106	Belgard	C571321-9	M	He Lo		902	Bs	K8 V WD	{ -1 }	(720-1)	[1215]		10	-21
Troj	B	1110	Velscur	E574479-5		Ni Pa Fo	R	302	Na	F9 V	{ -3 }	(630-3)	[5166]		8	-72
Troj	B	1201	Kaldamar	E745326-7		Lo		403	Na	F4 V	{ -3 }	(520-3)	[2146]		12	-45
Troj	B	1202	Nabeth	D426579-8	S	Ni		823	Cs	M4 V	{ -3 }	(C41-3)	[6269]		10	-180
Troj	B	1209	985-373	E775000-0		Ba Fo	R	020	Na	K6 V M3 V	{ -3 }	(200-3)	[0000]		15	-6
Troj	B	1305	Gollere	D574756-7		Ag Pi		720	Na	F5 V	{ -1 }	(967-1)	[6646]		6	-441
Troj	B	1307	Ganulph	E500000-0		Ba Va Fo	R	011	Na	M3 V	{ -3 }	(200-3)	[0000]		9	-6
Troj	B	1308	Eleson	E541100-8		He Lo Po		323	Bs	F8 V M2 V	{ -3 }	(800-3)	[1113]		12	-24
Troj	B	1402	Selshor	E430576-0		De Ni Po Fo	R	913	Na	F6 V M0 V	{ -3 }	(741-3)	[4241]		12	-105
Troj	B	1410	Goria	E422475-7		He Ni Po		200	Na	M1 V	{ -3 }	(630-3)	[2135]		6	-72
Troj	B	1502	Carben	E5555A9-1		Ag Ni Fo	R	114	Na	K6 V M9 V	{ -2 }	(742-2)	[6362]		18	-140
Troj	B	1601	Ashley’s Rock	D100120-7		Lo Va		614	Na	K0 IV	{ -3 }	(300-3)	[1112]		12	-9
Troj	B	1602	T’yana	E568752-7		Ag Ri		200	Na	G4 V M2 V	{ 0 }	(968+0)	[3713]		11	504
Troj	B	1605	Vior	D500401-7		Ni Va Fo	R	301	Na	M4 V	{ -3 }	(630-3)	[1113]		6	-72
Troj	B	1608	Braudel	E543200-5		Lo Po Fo	R	903	Na	K4 V	{ -3 }	(410-3)	[1111]		10	-24
Troj	C	1801	Candia	D4006A9-7		Na Ni Va		703	Na	M2 V M7 V	{ -3 }	(851-3)	[7368]		10	-144
Troj	C	1810	Kydde	B644779-5	S	Ag Pi		804	Cs	M2 V	{ 1 }	(968+1)	[8866]		14	504
Troj	C	1906	Bantral	C886589-9	S	Ag Ni Ga Pr		503	Cs	F5 V	{ 0 }	(A44+0)	[656A]		8	200
Troj	C	2002	KRYSLION	D583AA9-9		Hi		520	Im	F6 V	{ 0 }	(E9A+0)	[BA6A]	BE	11	1400
Troj	C	2008	Orsasch	E541364-7	M	He Lo Po Mr		223	Sf	M1 V	{ -3 }	(520-3)	[1135]		13	-45
Troj	C	2102	CYAN	C5689B9-A	W	Hi Pr		510	Im	F6 V M7 V	{ 3 }	(C8D+3)	[AC6B]	BcE	12	4212
Troj	C	2105	Berengaria	B566644-7	A	Ag Ni Ri		304	Im	F7 V	{ 2 }	(856+2)	[4835]	BC	12	576
Troj	C	2108	Senlis	B671633-A	F	He Ni Cx		510	Sf	F6 V	{ 1 }	(955+1)	[3727]		13	270
Troj	C	2202	Doradon	A400369-B	S	Lo Va O:2102		100	Im	F3 V	{ 1 }	(520+1)	[446C]	B	13	15
