Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Verg	M	0337	Ktiyleawoi	C67A216-B		Lo Wa		900	AsMw	M2 V M6 V	{ 0 }	(411-1)	[124A]		7	4
Verg	M	0338	Khtis	EAB9215-8		Fl Lo		205	AsMw	M8 III	{ -3 }	(911-5)	[1136]		15	5
Verg	M	0339	Khee'	C557216-6		Lo		713	AsMw	M0 V	{ -2 }	(411-3)	[1145]		13	3
Verg	A	0410	Bledarua	E424200-7		Lo		820	NaHu	G3 V M8 V	{ -3 }	(411-5)	[1112]		9	2
Verg	E	0418	Attus	B549449-C		Ni		502	ImDi	K8 V M6 V	{ 1 }	(834+2)	[556D]	B	10	192
Verg	M	0438	Tryoekaui	A438167-C	R	Lo O:0537		804	AsMw	M3 V	{ 1 }	(711+1)	[125C]		15	7
Verg	M	0440	Akkilee	C57188A-8		He Ph Pi		400	AsWc	M2 V	{ -1 }	(A77+1)	[A77A]		9	490
Verg	E	0517	Assena	B541837-A		He Po Ph Pi		903	ImDi	M2 V M9 V	{ 2 }	(D7B+2)	[8A5A]	BDe	11	2,002
Verg	E	0520	TREMFARA	C9A8983-B	N	Fl Hi In		220	ImDi	K2 V	{ 3 }	(D8E+1)	[6C28]	BE	8	1,456
Verg	I	0526	Durko	B561647-A		Ni Ri		503	ImDi	M2 V M5 V	{ 2 }	(B56+2)	[685A]	BC	14	660
Verg	I	0528	Minuskan	E554449-5		Ni Pa		912	ImDi	K9 V	{ -3 }	(631-2)	[5166]	Bc	11	14
Verg	M	0536	Teaealrerla	B552369-9		Lo Po O:0537		124	AsMw	M0 V M1 V	{ 0 }	(B21+1)	[436A]		18	22
Verg	M	0537	Kyalauhea	B4307A5-C		De Na Po		402	AsMw	M2 V M4 V	{ 2 }	(B6C+1)	[593A]		9	792
Verg	M	0540	Eiaai	B78A589-D	R	Ni Wa Pr		903	AsWc	K8 V	{ 1 }	(A45+2)	[666E]		11	400
Verg	I	0622	Lauren	D667501-8		Ag Ni Ga Pr		413	ImDi	M2 V M6 V	{ -2 }	(B42-5)	[1314]	BcC	9	44
Verg	I	0626	Girija	C410367-9		Lo O:0526		503	ImDi	K3 V	{ -1 }	(821-1)	[3259]	B	10	14
Verg	M	0637	YETATLA	C88A9D8-9		Hi Wa Pr		604	AsTv	M1 V M1 V	{ 1 }	(F8B+1)	[9A59]		13	1,320
Verg	M	0640	Wyaakhuiahea	B100788-D		Na Va Pi		102	AsMw	M0 V M2 V	{ 2 }	(B6D+2)	[795D]		11	1,716
Verg	E	0711	Koirola	E433523-8		Ni Po		102	ImDi	M2 V M8 V	{ -3 }	(941-5)	[2225]	B	12	18
Verg	M	0738	Birendar	C77566A-8		Ag Ni O:0637		900	AsMw	M3 V M2 V	{ -1 }	(853+1)	[857A]		12	120
Verg	J	0925	SIGAG	D424947-A		Hi In		813	ImDi	G0 IV	{ 2 }	(F8C+2)	[9B5A]	BE	7	2,880
Verg	J	1124	Gunahami	B561774-A		Ri DroyW		523	ImDi	M2 V M5 V	{ 3 }	(E6C+1)	[5A38]	BC	11	1,008
Verg	N	1237	Krolock	A580553-C		De Ni Pr		810	NaHu	K0 V M4 V	{ 1 }	(845-2)	[2629]		11	128
Verg	N	1238	Prased	B510456-D		Ni		604	NaHu	G1 V M3 V	{ 1 }	(A34+1)	[354C]		8	120
Verg	N	1339	Kharon	D425400-A	S	Ni		905	CsIm	K5 V M6 V	{ -1 }	(B32-5)	[1315]		8	33
Verg	J	1426	Bayan	B594400-C		Ni Pa		913	ImDi	M2 V	{ 1 }	(A34-3)	[1517]	Bc	10	84
Verg	J	1630	Kasadiy	X400638-7		Na Ni Va Fo	R	904	ImDi	K1 V	{ -3 }	(851-3)	[6357]		13	28
Verg	G	1717	Onoria	C593243-9		Lo		600	ImDi	M0 V M3 V	{ -1 }	(411-4)	[1126]	B	13	2
Verg	G	1718	Krolock	B575314-B		Lo		912	ImDi	M1 V M9 V	{ 1 }	(821-1)	[1439]	B	9	14
Verg	K	1727	Tarkhen	E766100-7		Lo Ga		702	ImDi	M1 V M4 V	{ -3 }	(311-5)	[1112]	B	10	2
Verg	C	1806	Kokka	D7C4868-9		Fl Ph O:2004		603	ImDi	G0 II M9 V	{ -1 }	(D78-1)	[8759]	Be	13	655
Verg	C	1809	Razar	A424658-E		Ni		504	ImDi	M0 V	{ 1 }	(C55+1)	[675E]	B	11	300
Verg	C	1810	Hadanam	C531323-9		Lo Po		410	ImDi	M1 V M8 V	{ -1 }	(621-4)	[1226]	B	12	7
Verg	G	1811	Elbir	C5357BD-9				505	ImDi	M2 V	{ 0 }	(E69+4)	[B79D]	B	8	3,024
Verg	G	1814	Bijmen	C996642-8		Ag Ni		202	ImDi	M2 V	{ -1 }	(A53-5)	[2514]	BC	5	75
Verg	G	1816	Khangan	B420643-C		De He Na Ni Po		404	ImDi	M2 V	{ 1 }	(C55-2)	[3729]	B	7	240
Verg	G	1817	Onortas	A958266-D	N	Lo Mr		401	ImDi	G9 V M1 V	{ 1 }	(511+1)	[134C]	B	6	5
Verg	G	1818	Vemmadad	C577525-7		Ag Ni		203	ImDi	M0 V M1 V	{ -1 }	(743-3)	[3435]	BC	12	59
Verg	K	1821	DADDASH	C5339AE-9		Hi Na Po		624	ImDi	M2 V	{ 1 }	(H8B+5)	[DA9D]	BE	9	7,480
Verg	K	1825	Shadun	C310430-B		Ni Da	A	802	ImDi	M2 V	{ 0 }	(833-4)	[1416]	B	9	43
Verg	O	1839	Taxia	C310544-B		Ni		403	NaHu	M3 V M5 V	{ 0 }	(A44-2)	[3539]		8	128
Verg	C	1905	Palputar	E541630-5		He Ni Po		612	ImDi	M0 V	{ -3 }	(851-5)	[1311]	B	9	20
Verg	C	1906	Madun	D786765-6		Ag Ga Ri O:2004		505	ImDi	K0 V	{ 0 }	(967-2)	[5734]	BC	13	302
Verg	C	1909	Kiakuyan	B575635-7		Ag Ni		801	ImDi	M3 V M0 V	{ 0 }	(854-2)	[4635]	BC	13	128
Verg	G	1911	Shankun	D79537C-7	S	Lo		324	ImDi	K5 V	{ -3 }	(521+1)	[618A]	B	10	10
Verg	G	1912	SIRIM	B434986-E		Hi		210	ImDi	K3 V	{ 3 }	(C8F+2)	[8C4D]	BE	9	2,880
Verg	G	1913	Aigun	D42249A-7		He Ni Po		404	ImDi	K4 V M5 V	{ -3 }	(631-1)	[6179]	B	13	16
Verg	G	1915	Kar Zhink	D75A100-A		Lo Wa		100	ImDi	M0 V	{ -1 }	(311-5)	[1115]	B	13	2
Verg	K	1922	EKIN	C6989AC-A		Hi In		424	ImDi	M1 V	{ 3 }	(H8D+5)	[CC8D]	BE	11	8,840
Verg	K	1929	Albazin	C76A6AC-A		Ni Ri Wa		125	ImDi	G3 V	{ 1 }	(F55+4)	[978D]	BC	10	1,500
Verg	C	2004	Yalnob	C00079B-B		As Na Va Pi		704	ImDi	M1 V M3 V	{ 1 }	(D6B+3)	[987D]	BD	16	2,574
Verg	C	2005	Nayi	C8D86BB-8		Ni		800	ImDi	M2 V	{ -2 }	(852+1)	[847A]	B	15	80
Verg	C	2006	Shattun	C544100-A		Lo		414	ImDi	K1 V	{ 0 }	(811-4)	[1115]	B	11	5
Verg	C	2008	Quttoga	D565476-7		Ni Pa		204	ImDi	M1 V	{ -3 }	(631-4)	[3146]	Bc	16	11
Verg	G	2012	Jarpini	C560453-A		De Ni		713	ImDi	M0 V	{ 0 }	(A33-3)	[1427]	B	10	63
Verg	G	2015	Kerulan	C582444-9	S	Ni		214	ImDi	G4 V M9 V	{ -1 }	(B32-3)	[2337]	B	8	46
Verg	G	2017	Inan	A85A351-F		Lo Wa		210	ImDi	K7 V	{ 1 }	(621-3)	[141B]	B	6	8
Verg	G	2018	Abeskun	E427143-9		Lo		903	ImDi	M3 V M3 V	{ -2 }	(611-5)	[1126]	B	14	3
Verg	G	2019	Shigukuta	E551636-6		Ni Po		505	ImDi	M0 V M6 V	{ -3 }	(851-4)	[5345]	B	8	24
Verg	G	2020	Tulu	B99A100-C		Lo Wa Da	A	313	ImDi	M3 V M3 V	{ 1 }	(711-3)	[1217]	B	9	5
Verg	K	2023	TURIN	A561988-D		Hi Cp Pr		303	ImDi	G8 V G8 V	{ 3 }	(E8F+3)	[9C5D]	BcEF	8	5,040
Verg	C	2101	Gazna	B550476-B		De Ni Po		310	ImDi	M3 V	{ 1 }	(734+1)	[354A]	B	8	84
Verg	C	2103	Salat	C586312-6	S	Lo		824	ImDi	K4 V	{ -2 }	(521-5)	[1112]	B	17	5
Verg	C	2104	Ukhluk	D587423-7		Ni Pa		224	ImDi	M2 V	{ -3 }	(631-5)	[1124]	Bc	9	9
Verg	C	2107	Serai	A662557-E		Ni Cp Pr		814	ImDi	G4 V	{ 1 }	(C45+1)	[565E]	Bc	11	240
Verg	C	2109	Urgenj	X300100-7		Lo Va Fo	R	802	ImDi	M2 V M3 V	{ -3 }	(311-5)	[1112]		8	2
Verg	C	2110	Merv	C998103-7		Lo		700	ImDi	G6 V	{ -2 }	(311-5)	[1124]	B	13	2
Verg	G	2111	Tug	D310411-9		Ni		704	ImDi	K3 V M7 V	{ -2 }	(A31-5)	[1215]	B	11	15
Verg	G	2112	Nissa	C537524-A		Ni		703	ImDi	M1 V	{ 0 }	(A44-2)	[3538]	B	13	128
Verg	G	2114	Nishapur	D10078C-9		Na Va Pi		903	ImDi	M2 V	{ -1 }	(C68+2)	[A68C]	BD	8	1,152
Verg	G	2115	Tuzhiri	B544759-B	N	Ag Pi		515	ImDi	K0 V	{ 3 }	(F6D+4)	[8A6C]	BCD	9	4,680
Verg	G	2116	Talkan	B646443-A		Ni Pa		824	ImDi	K4 V	{ 1 }	(C34-2)	[1527]	Bc	14	115
Verg	G	2119	Ballin	E575679-6		Ag Ni		512	ImDi	M2 V M2 V	{ -2 }	(852-1)	[7467]	BC	11	72
Verg	K	2121	Jerat	A573200-E		Lo		824	ImDi	K7 V M4 V	{ 1 }	(A11-3)	[1319]	B	13	7
Verg	K	2125	Inalkhik	B94A7A9-8	N	Wa Pi		800	ImDi	K1 V	{ 0 }	(968+1)	[8769]	BD	10	432
Verg	O	2137	Otrar	B501246-C		Ic Lo Va		814	NaHu	M0 V M0 V	{ 1 }	(911+1)	[134B]		9	9
Verg	C	2201	Ukuna	B400304-E		Lo Va		200	ImDi	M1 V M7 V	{ 1 }	(521-1)	[143C]	B	10	9
Verg	C	2204	KUMA	D52599B-9		Hi In		912	ImDi	K0 V	{ 1 }	(E8B+3)	[BA7B]	BE	7	3,696
Verg	C	2207	Naamon	C675662-8		Ag Ni O:2208		632	ImDi	G6 V M9 V	{ -1 }	(D53-5)	[2514]	BC	13	98
Verg	C	2208	Rakhason	B89A740-B		Wa Pi		620	ImDi	K3 V	{ 2 }	(B6C-2)	[2916]	BD	14	634
Verg	C	2209	Mukali	B435200-B		Lo		504	ImDi	M2 V	{ 1 }	(811-3)	[1316]	B	10	6
Verg	C	2210	Zukhi	B554210-B		Lo		200	ImDi	M2 V M3 V	{ 1 }	(411-3)	[1316]	B	6	3
Verg	G	2212	Veshaa	C687244-7		Lo Ga		603	ImDi	K9 V M1 V	{ -2 }	(411-4)	[1135]	B	11	2
Verg	G	2214	Kunggu	X553520-3		Ni Po Fo	R	104	ImDi	M0 V M4 V	{ -3 }	(741-5)	[1211]		8	14
Verg	G	2215	Oyelun	B69A537-D		Ni Wa		102	ImDi	M2 V	{ 1 }	(945+1)	[565D]	B	10	180
Verg	G	2218	Ningshia	C853898-6		Po Ph		820	ImDi	K6 V	{ -1 }	(A76-1)	[8756]	Be	12	378
Verg	K	2222	Volohai	E410200-9		Lo		524	ImDi	M0 V	{ -2 }	(A11-5)	[1114]	B	14	5
Verg	K	2223	Oktar	C3118B8-8		Ic Na Ph Pi		603	ImDi	K3 IV	{ -1 }	(D77-1)	[8758]	BDe	8	573
Verg	K	2224	Kriskus	E8C38B9-9		Fl Ph		505	ImDi	M1 V	{ -1 }	(F78+1)	[976A]	Be	14	840
Verg	K	2225	Athanark	D562642-6		Ni Ri		412	ImDi	M2 V M3 V	{ -2 }	(852-5)	[2412]	BC	13	40
Verg	K	2226	Khor	C566751-9		Ag Ri Pz	A	623	ImDi	K3 V M5 V	{ 2 }	(E6B-2)	[3915]	BC	8	739
Verg	C	2301	Tarken	D99A320-9		Lo Wa		814	ImDi	M3 V M4 V	{ -2 }	(A21-5)	[1114]	B	13	10
Verg	C	2302	Kameron	A847124-D		Lo		713	ImDi	M1 V	{ 1 }	(711-1)	[123B]	B	8	6
Verg	C	2303	Dirakhasu	D311487-7		Ic Ni		503	ImDi	G1 V	{ -3 }	(631-3)	[4157]	B	9	13
Verg	C	2305	Pardo	B668479-B	N	Ni Pa		313	ImDi	G1 V M3 V	{ 1 }	(A34+2)	[556C]	Bc	10	240
Verg	C	2306	Krollok	C524500-B		Ni		200	ImDi	K0 V	{ 0 }	(744-4)	[1516]	B	15	67
Verg	C	2308	Kiberkan	B897554-9		Ag Ni		704	ImDi	M0 V	{ 1 }	(B45-1)	[3637]	BC	8	198
Verg	C	2310	Ra'uth	B543657-B	N	Ni Po		802	ImDi	M0 V	{ 1 }	(A55+1)	[675B]	B	8	250
Verg	G	2311	Breckeon	C422423-B		He Ni Po		225	ImDi	M2 V	{ 0 }	(D33-3)	[1428]	B	10	82
Verg	G	2314	Murassi	A513215-C		Ic Lo		704	ImDi	M0 III M2 V	{ 1 }	(811-1)	[133A]	B	11	7
Verg	G	2317	Kasadiy	E755203-8		Lo Ga		310	ImDi	M2 V M6 V	{ -3 }	(511-5)	[1125]	B	13	3
Verg	G	2318	Razar	E4216B9-8		He Na Ni Po Da	A	304	ImDi	K6 V M2 V	{ -3 }	(C51-2)	[7369]	B	15	48
Verg	G	2319	Toshika	B756686-A		Ag Ni Ga		603	ImDi	M1 V	{ 2 }	(B56+1)	[5849]	BC	12	330
Verg	K	2321	Khangan	C677100-9		Lo		424	ImDi	K7 V M6 V	{ -1 }	(911-5)	[1114]	B	9	5
Verg	C	2406	Onortas	C200424-B		Ni Va		504	ImDi	K1 V M6 V	{ 0 }	(A33-2)	[2439]	B	11	72
Verg	C	2410	Vemmadad	D667546-4		Ag Ni Ga Pr		812	ImDi	M2 V M6 V	{ -2 }	(742-3)	[4343]	BcC	12	39
Verg	G	2413	Noargan	B586796-A		Ag Ri Cp		124	ImDi	M1 V M7 V	{ 4 }	(F6D+3)	[6B49]	BCF	9	3,510
Verg	G	2415	Aquwanaires	E895595-7		Ag Ni		924	ImDi	M1 V	{ -2 }	(742-4)	[3335]	BC	10	34
Verg	G	2417	Rampa	C544635-7		Ag Ni		204	ImDi	M2 V M0 V	{ -1 }	(853-3)	[4535]	BC	10	84
Verg	G	2420	Jhorguk	B200572-D		Ni Va		404	ImDi	M0 V M2 V	{ 1 }	(B45-3)	[1619]	B	12	154
Verg	K	2425	Vedir	A544665-C		Ag Ni O:2625		404	ImDi	M1 V M4 V	{ 2 }	(C56+1)	[483A]	BC	15	360
Verg	K	2426	Shadun	D96A546-8		Ni Wa Pr		404	ImDi	K6 V	{ -3 }	(B41-4)	[4247]	Bc	9	26
Verg	O	2434	Kiakuyan	E100300-B		Lo Va		103	NaHu	M1 V	{ -1 }	(821-5)	[1216]		10	8
Verg	O	2439	ARIIS	A88AAB8-F		Hi Wa		102	NaHu	M0 V M2 V	{ 3 }	(E9F+3)	[AD5F]		6	5,670
Verg	D	2503	Shankun	E420401-8		De He Ni Po		102	ImDi	M1 V	{ -3 }	(831-5)	[1114]	B	10	12
Verg	D	2504	Tesperan	B572667-A		He Ni O:2603		400	ImDi	K2 V	{ 1 }	(855+1)	[675A]	B	8	200
Verg	D	2507	Kestram	A645786-9		Ag Pi		513	ImDi	M1 V M0 V	{ 2 }	(D6B+1)	[6948]	BCD	7	858
Verg	D	2508	Aagun	C574433-8		Ni Pa		224	ImDi	K4 V M6 V	{ -2 }	(C31-5)	[1225]	Bc	9	18
Verg	D	2510	Tirith	B310201-E		Lo		502	ImDi	K0 V	{ 1 }	(611-3)	[131A]	B	11	4
Verg	H	2515	Yalnob	E433556-8		Ni Po		803	ImDi	K4 V M1 V	{ -3 }	(A41-4)	[4247]	B	10	24
Verg	H	2517	Gedir	A869559-C		Ni Pr		800	ImDi	M1 V	{ 1 }	(745+2)	[666D]	Bc	13	280
Verg	H	2518	Zinpi	B89A368-9		Lo Wa O:2519		615	ImDi	M1 V M6 V	{ 0 }	(B21+1)	[3359]	B	13	22
Verg	H	2519	Beraugaus	B4338BC-C		Na Po Ph		605	ImDi	G2 V	{ 2 }	(F7C+5)	[BA8F]	Be	8	6,300
Verg	H	2520	ASPERA	X555975-4		Hi Fo	R	302	ImDi	M2 V	{ -1 }	(B86-3)	[7832]		10	370
Verg	L	2526	Nayi	C778841-7		Pa Ph Pi		625	ImDi	M3 V	{ -1 }	(A77-5)	[4713]	BcDe	10	245
Verg	L	2529	Hummil	B435420-D		Ni		322	ImDi	M3 V	{ 1 }	(A34-3)	[1518]	B	13	84
Verg	D	2602	Jarpini	E43659A-7		Ni		324	ImDi	M1 V M2 V	{ -3 }	(741-1)	[7279]	B	9	25
Verg	D	2603	Krajhune	A855788-C		Ag Ga		102	ImDi	M3 V M6 V	{ 3 }	(B6D+3)	[7A5C]	BC	14	2,574
Verg	D	2604	Kerulan	C000310-C		As Lo Va		620	ImDi	M1 V	{ 0 }	(721-4)	[1317]	B	13	8
Verg	D	2606	Kurilla	A766300-E		Lo Ga		701	ImDi	M2 V M1 V	{ 1 }	(621-3)	[1419]	B	11	8
Verg	H	2612	TRIPOLIS	B885A98-E	NW	Hi Ga Cs		214	ImDi	K9 V M7 V	{ 4 }	(H9G+4)	[AE5E]	BEF	8	9,792
Verg	H	2620	Algarekh	B685201-9		Lo Ga		813	ImDi	K9 V	{ 0 }	(811-4)	[1215]	B	12	5
Verg	L	2625	Jhundale	A574795-A		Ag Cp Pi		714	ImDi	M1 V M3 V	{ 3 }	(E6C+1)	[5A38]	BCDF	8	1,008
Verg	L	2627	Inan	X87A632-5		Ni Wa Fo	R	203	ImDi	K3 V M4 V	{ -3 }	(851-5)	[2311]		7	20
Verg	P	2637	Tulu	B310776-C		Na Pi		712	NaHu	M0 V M0 V	{ 2 }	(C6C+1)	[694B]		12	864
Verg	D	2701	Arean	B766315-9	N	Lo Ga		601	ImDi	M3 V	{ 0 }	(621-2)	[1337]	B	13	10
Verg	D	2703	Gath	D542362-7	S	He Lo Po O:2603		120	ImDi	K7 V	{ -3 }	(521-5)	[1113]	B	7	5
Verg	D	2704	Gaznakan	C42659A-8		Ni		302	ImDi	M3 V M9 V	{ -2 }	(942+1)	[737A]	B	10	72
Verg	D	2705	Nonkwist	B799656-C		Ni		423	ImDi	G6 V	{ 1 }	(D55+1)	[574B]	B	11	325
Verg	D	2708	Gronasse	A434556-F		Ni		804	ImDi	M3 V	{ 1 }	(B45+1)	[464E]	B	7	220
Verg	D	2710	Narkin	A555874-B		Pa Ph Pz	A	704	ImDi	M3 V M4 V	{ 2 }	(E7C+1)	[6A39]	Bce	12	1,176
Verg	H	2711	SULET	B68499B-C		Hi Pr		823	ImDi	G4 V M5 V	{ 3 }	(G8E+5)	[BC7E]	BcE	13	8,960
Verg	H	2712	Salat	E99A489-8		Ni Wa		803	ImDi	M3 V	{ -3 }	(931-2)	[5169]	B	14	22
Verg	H	2714	Tournakh	C5637B6-8		Ri		304	ImDi	M0 V	{ 0 }	(D68-1)	[6747]	BC	10	562
Verg	H	2720	Moldak	B645367-B		Lo O:2919		324	ImDi	M1 V	{ 1 }	(B21+1)	[345B]	B	9	22
Verg	L	2722	Sirrahn	A779232-E	N	Lo		204	ImDi	G1 V	{ 1 }	(811-3)	[131A]	B	8	6
Verg	L	2723	Serai	E764687-6		Ag Ni Ri		913	ImDi	K2 V	{ -1 }	(853-1)	[6556]	BC	11	108
Verg	L	2725	Mirok	D100663-9	S	Na Ni Va O:2625		514	ImDi	G2 V	{ -2 }	(D52-5)	[3426]	B	11	65
