Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Vlan	A	0101	Aakhorn	D556654-7		Ag Ni		204	ImDv	F5 V G6 V	{ -2 }	(852-4)	[4435]	BC	11	-320
Vlan	A	0102	Rokii	E799345-7		Lo		210	ImDv	M3 V	{ -3 }	(520-5)	[1135]	B	11	-50
Vlan	A	0104	Maluuf	E432338-9		Lo Po		110	ImDv	K9 V K8 V	{ -2 }	(620-2)	[3159]	B	8	-24
Vlan	A	0105	Gikkon	E543500-8		Ni Po		932	ImDv	G8 V G0 V	{ -3 }	(C41-5)	[1213]	B	11	-240
Vlan	A	0107	Taraddiin	C656563-9		Ag Ni Ga O:0110		311	ImDv	M3 V	{ 0 }	(944-3)	[2526]	BC	13	-432
Vlan	A	0109	Hakkat	C658787-5	S	Ag		823	ImDv	G1 V	{ 0 }	(967+0)	[7755]	BC	13	378
Vlan	A	0110	Ossin	B100877-B		Na Va Ph Pi Pz	A	705	ImDv	M1 V	{ 2 }	(F7C+2)	[8A5B]	BDe	9	2520
Vlan	M	0131	Skasputin	C763240-9		Lo		324	ImDv	M2 V	{ -1 }	(A10-5)	[1114]	B	10	-50
Vlan	M	0132	KALD	C5509AB-A	S	De Hi Po		701	ImDv	M1 V M1 V	{ 2 }	(C8C+4)	[BB7C]	BE	8	4608
Vlan	M	0134	Zanagud	E66A586-6		Ni Wa Pr		523	ImDv	M2 V	{ -3 }	(741-4)	[4245]	Bc	14	-112
Vlan	M	0135	Sakin	C430668-A	S	De Na Ni Po O:0336		814	ImDv	F9 V M4 V	{ 0 }	(D54+0)	[665A]	B	10	260
Vlan	M	0137	Shaaki	B9B4750-B	N	Fl		620	ImDv	F1 V M1 V	{ 2 }	(B6C-2)	[2916]	B	16	-1584
Vlan	A	0202	Kalkako	C544405-9	S	Ni Pa		324	ImDv	F8 V K2 V	{ -1 }	(C32-3)	[2337]	Bc	17	-216
Vlan	A	0203	Bannon's World	E100488-A		Ni Va		120	ImDv	M3 V K6 V	{ -1 }	(832-1)	[435A]	B	13	-48
Vlan	A	0205	Khankari	B885311-B		Lo Ga		110	ImDv	M2 V	{ 1 }	(620-3)	[1417]	B	13	-36
Vlan	A	0209	Lankhi	E746552-5		Ag Ni		503	ImDv	M2 V	{ -2 }	(742-5)	[1311]	BC	8	-280
Vlan	A	0210	Khalgun	E576534-6		Ag Ni		601	ImDv	M1 V	{ -2 }	(742-4)	[3334]	BC	12	-224
Vlan	E	0211	Giikur	A689421-B	N	Ni		910	ImDv	M2 V M9 V	{ 1 }	(734-3)	[1517]	B	8	-252
