Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Wind	A	0104	Dognezafue	E989585-3	C	Ni Pr		403	VVar	F7V M6V	{ -3 }	(741-5)	[3231]		10	14
Wind	E	0111	Kfoghuenggzu	C554799-4		Ag		303	VVar	F1V M2V	{ 0 }	(966+1)	[8765]		12	324
Wind	E	0113	Seos	B576685-5		Ag Ni		213	VVar	F9V M8V M3V	{ 0 }	(854-2)	[4633]		11	128
Wind	M	0137	Thognu	E543864-5		Po Ph Pi		104	VNgC	F4V	{ -2 }	(A75-4)	[6633]		11	210
Wind	A	0202	Dzoulodzzueng	B555774-A	K	Ag		913	VVar	F9V M8V	{ 3 }	(D6C+1)	[5A38]		17	936
Wind	A	0204	LLIURR	EAE49C9-4		Hi Pz	A	514	VVar	F4V	{ -1 }	(B86+1)	[A865]		16	528
Wind	A	0206	Ghoearrg	D000257-A		As Lo Va		607	VVar	G3V M7V M1V	{ -1 }	(B11-1)	[215A]		18	10
Wind	A	0207	Oganaksfouts	B797366-8	K	Lo		904	VVar	F1V	{ -1 }	(921-2)	[2247]		9	14
Wind	E	0211	DHARUKEKSOUE	C200A79-9		Hi In Na Va		505	VVar	K0V	{ 2 }	(H9C+3)	[BC6A]		18	5,508
Wind	M	0237	Goza	C867557-5		Ag Ni Ga Pr		704	VNgC	F9V	{ -1 }	(743-1)	[5455]		7	76
Wind	A	0302	Knoengrugh	D88A875-3		Ri Wa Ph		512	VVar	G7V M6V M4V	{ -1 }	(A75-3)	[6731]		9	245
Wind	A	0310	Knoerorr	A310400-D	CK	Ni		816	VVar	M1V M2V	{ 2 }	(D35-2)	[1618]		18	156
Wind	M	0336	Ourrezuekh	B568675-9		Ag Ni Ri		717	VNgC	F9V M3V	{ 2 }	(G56+1)	[4837]		16	480
Wind	M	0338	Uekotoeaerrar	E579425-5		Ni		506	VNgC	G3V M1V	{ -3 }	(631-5)	[2133]		14	9
Wind	A	0402	Genfoghudzuks	B56667A-5		Ag Ni Ri		900	VVar	F4V	{ 1 }	(855+3)	[8777]		9	600
Wind	A	0403	Koeguksue	E569574-7		Ni Pr		905	VVar	G7V	{ -3 }	(741-5)	[3235]		14	14
Wind	A	0407	Luaenak	CA9A622-6	CK	Ni Oc		916	VVar	F1V M3V	{ -1 }	(853-5)	[2512]		11	60
Wind	E	0411	Zidzurz	B420778-9	K	De He Na Po Pi		402	VVar	K0V	{ 1 }	(B6A+1)	[7859]		10	660
Wind	E	0413	Gzoengsuerr	X571532-5		He Ni Fo	R	511	VVar	G7V	{ -3 }	(741-5)	[1211]		6	14
Wind	E	0414	Gaedueng	B9AA356-D	CK	Fl Lo		402	VVar	M5III	{ 2 }	(721+1)	[254C]		13	14
Wind	M	0436	Sotonuklloerr	C96877A-4	C	Ag Ri		816	VNgC	F8V M5V	{ 1 }	(967+3)	[9876]		14	1,134
Wind	M	0437	Sueknazaerrg	E545400-8		Ni Pa		204	VNgC	F1V M0V	{ -3 }	(A31-5)	[1113]		15	15
Wind	M	0438	Kuerrughknoul	A657566-A	K	Ag Ni Ga		820	VNgC	F0V	{ 2 }	(946+1)	[4749]		10	216
Wind	M	0440	Kfoenuerrgag	B544500-B	CK	Ag Ni		205	VNgC	F1V M6V	{ 3 }	(C47-1)	[1816]		10	302
Wind	A	0501	Ksuthakhful	C787400-5	C	Ni Ga Pa		102	VVar	F9V M1V	{ -2 }	(631-5)	[1211]		7	9
Wind	A	0502	Goeghfoedh	A8C7510-D	K	Fl Ni		502	VVar	M3V	{ 1 }	(945-3)	[1618]		5	126
Wind	A	0506	Kanagheg	C435421-6		Ni		312	VVar	G0V	{ -2 }	(631-5)	[1212]		10	9
Wind	A	0510	Gakhguekhs	A422877-B	K	He Na Po Ph Pi		204	VVar	F9V G9V M4V	{ 2 }	(E7C+2)	[8A5B]		12	2,352
Wind	E	0513	Idzaae	C400432-7		Ni Va		117	VVar	M2V M5V	{ -2 }	(631-5)	[1213]		17	9
Wind	M	0534	Aghzouzknae	E6958AC-5	C	Pa Ph Pi Pz	A	917	VNgC	F1V M7V F1V	{ -2 }	(A75+1)	[B688]		19	350
Wind	A	0605	Zuzukhgzuen	B68948A-7		Ni		815	VVar	F1V M4V	{ -1 }	(632+1)	[6379]		16	36
