Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Zaok	A	0104	Nguerzaekh	E230745-3	C	De Na Po		202	Va	G5 IV D						0
Zaok	A	0105	Khuraezvoen	C7B3413-8		Fl Ni		304	Va	M1 V						0
Zaok	A	0109	Sullkhoekorr	B400878-5	K	Na Va		300	Va	F6 V						0
Zaok	A	0407	Lesung	C634578-3		Ni		103	Va	M6 V						0
Zaok	A	0506	Gaghdoerr	X8788AF-0	C			423	Va	K2 V D						0
Zaok	A	0601	Goknaerar	B562000-8	K	Ba Lo Ni		100	Va	F8 V						0
Zaok	A	0603	Gaseorr	C434723-8	K			401	Va	M8 V						0
Zaok	A	0605	Louguedhogh	C100798-8		Na Va		702	Va	M5 V						0
Zaok	A	0810	Thogzosukhu	D565564-5		Ag Ni		915	Va	G6 V D						0
Zaok	B	1004	Thaengagok	C457467-9		Mr Ni Pa		311	VF	F0 V D						0
Zaok	B	1103	Gzedue	E437568-4	C	Mr Ni		424	VF	F4 V M6 V M0 V						0
Zaok	B	1107	Guekakngarrg	C502567-8		Ic Mr Ni Va		400	VF	G4 V						0
Zaok	B	1108	Kuvan	C554464-6	K	Mr Ni Pa		304	VF	M2 V D						0
Zaok	B	1201	Atskun	C758542-4		Ag Ni		603	VF	G0 V						0
Zaok	B	1203	Thoeraath	C200563-7		Mr Ni Va		504	VF	M0 V						0
Zaok	B	1210	Dhuellu	B666242-A	K	Lo Ni		506	Va	F3 V M8 V F7 V D						0
Zaok	B	1305	Koungoegh	A9B1974-B	K	Cp Cx Fl He Hi In		207	VF	F8 V F9 V D						0
Zaok	B	1403	Daetsanoesou	C000000-7	C	As Di		203	VF	F0 V						0
Zaok	B	1608	Earvourrgh	C778486-6	C	Ni		801	Va	F0 V						0
Zaok	C	1705	Ngourruerr	E200977-6	C	Hi Na Va		400	Va	F2 V D						0
Zaok	C	1708	Ozughgon	B773773-7		Ag		403	Va	G9 V D						0
Zaok	C	1903	Aguengkfo	C74A446-6		Ni Wa		514	Va	G8 V						0
Zaok	C	1905	Utsnarrg	C443266-8		Lo Ni Po		902	Va	F3 V						0
Zaok	C	2205	Kerrghoeth	B366413-8	K	Ni		222	Va	F1 V						0
Zaok	C	2208	Kafueu	B544562-5		Ag Ni		416	Va	F3 V M4 V F9 V						0
Zaok	C	2209	Vekhsaen	B98A574-C		Ni Wa		602	Va	F5 V						0
Zaok	C	2304	Gzougvadznuk	C679200-6	K	Lo Ni		904	Va	F8 V D						0
Zaok	C	2306	Onrour	X525876-0				100	Va	F8 V D						0
Zaok	C	2406	Ralluer	D222469-7		Ni Po		900	Va	F4 V D						0
Zaok	D	2503	Kharrghaegh	C400210-6	C	Lo Ni Va		504	Va	M1 V						0
Zaok	D	2509	Nakog	B64A102-9		Lo Ni Wa		402	Va	F0 V						0
Zaok	D	2610	Rondhukkoen	EADA979-4		Fl Hi In Wa		324	Va	F0 V						0
Zaok	D	2708	Kolonur	E30049D-4	C	Ni Va		902	Va	F0 V D						0
Zaok	D	2901	Zouozae	A7B4165-E	K	Fl Lo Ni		713	Va	M0 V						0
Zaok	D	2905	Gvotidaerr	C95A125-9	C	Lo Ni Wa		703	Va	F9 V						0
Zaok	D	2909	Ksigvaenors	E7A0304-7	C	De Lo Ni		506	Va	M4 II M8 V						0
Zaok	D	3001	Irsdhorrlaer	A100797-D		Na Va		704	Va	G8 V D						0
Zaok	D	3005	Kongkiz	E78A102-6		Lo Ni Wa		106	Va	F9 V D						0
Zaok	D	3102	Ngueka	C200377-7		Lo Ni Va		604	Va	F1 II						0
Zaok	D	3103	Dzakhseredz	C546795-7	C	Ag		104	Va	F6 V D						0
Zaok	D	3108	Oghaeks	C34246A-9	C	Ni Po		603	Va	G1 V						0
Zaok	D	3204	Dzanlloek	D595974-4		Hi In		813	Va	F0 V						0
Zaok	D	3208	Gogon	E788668-3	C	Ag Ni Ri		817	Va	M2 V D						0
Zaok	E	0211	Gonaetssarr	B96A589-A		Ni Wa		505	Va	F0 V D						0
Zaok	E	0214	Ksoenaek	A537A89-G		Hi In		718	Va	F9 V D						0
Zaok	E	0318	Khukfatsoeng	D34579B-4	C	Ag		431	Va	K8 V D						0
Zaok	E	0419	Rruveghokso	D400667-3	C	Na Ni Va		110	Va	M7 V D						0
