Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Zaru	A	0101	Didraga	C1008BC-8	S	Na Va Ph Pi		603	Im	K0 V	{ -1 }	(D77-1)	[B78B]	BDe	10	-728
Zaru	A	0106	Ymirial	B200102-A		Lo Va		303	Im	M3 V M5 V	{ 1 }	(600+1)	[1216]	B	10	6
Zaru	A	0108	San Nuska Kilna	B5547BD-A		Ag		202	Im	A2 V	{ 3 }	(B6C+3)	[BA9E]	BC	11	2772
Zaru	A	0109	Zed	B431721-A	A	Na Po		104	Im	G0 III	{ 3 }	(D6C+3)	[3A16]	B	8	3276
Zaru	A	0110	Norsec	B427596-B		Ni		504	Im	K2 V	{ 1 }	(B45+1)	[464A]	B	10	275
Zaru	A	0201	Selsinia	B641774-A		He Po Pi		614	Im	K5 V M3 V	{ 2 }	(E6B+2)	[5938]	BD	11	2156
Zaru	A	0204	Allis	B438553-B	S	Ni		103	Im	F2 V	{ 1 }	(A45+1)	[2628]	B	10	250
Zaru	A	0209	Arxani	B546459-C	N	Ni Pa		703	Im	G8 V	{ 1 }	(934+1)	[556D]	Bc	14	144
Zaru	A	0302	Point Zulu	B2008AE-C		Na Va Ph Pi		524	Im	M2 V M3 V	{ 2 }	(G7C+2)	[CA9G]	BDe	10	3072
Zaru	A	0304	Makkus	A685672-C		Ag Ni Ga Ri		603	Im	M1 V M5 V	{ 3 }	(B57+3)	[2918]	BC	6	1386
Zaru	A	0305	Freeport	B421100-C	N	He Lo Po		424	Im	G6 III M7 V	{ 1 }	(900+1)	[1217]	B	9	9
Zaru	A	0306	Woden	B6A1566-B	N	Fl He Ni Mr		101	Im	M1 V M1 V	{ 1 }	(845+1)	[464A]	B	9	200
Zaru	A	0309	Ichiban	A553112-D		Lo Po		321	Im	G0 V	{ 1 }	(600+1)	[1219]	B	13	6
Zaru	A	0310	Shadishi	B669322-B	N	Lo		924	Im	K6 V	{ 1 }	(B20+1)	[1417]	B	11	33
Zaru	A	0402	Rogreis	A856440-D	N	Ni Ga Pa		800	Im	K2 V	{ 1 }	(634+1)	[1518]	Bc	12	96
Zaru	A	0404	Bolten	B997554-C		Ag Ni		531	Im	M0 V	{ 2 }	(B46+2)	[373A]	BC	11	660
Zaru	A	0405	Ulaun	C667153-A		Lo Ga		104	Im	F5 V	{ 0 }	(700+0)	[1127]	B	7	7
Zaru	A	0406	Imled	B742831-A		He Po Ph Pi		904	Im	K7 V	{ 2 }	(E7B+2)	[4A16]	BDe	12	2464
Zaru	A	0407	STRELA	B6449CB-C		Hi In Cp		703	Im	K0 V	{ 4 }	(E8F+4)	[BD7E]	BEF	11	7560
Zaru	A	0502	Engaki	E310110-7		Lo		213	Im	M0 V	{ -3 }	(300-3)	[1112]	B	12	-9
Zaru	A	0503	Dugemaa	D3108CB-7		Na Ph Pi		104	Im	K2 V M7 V	{ -2 }	(A76-2)	[A679]	BDe	10	-960
Zaru	A	0504	Leniv Fenl	C553120-9		Lo Po		402	Im	G3 V M1 V	{ -1 }	(500-1)	[1114]	B	10	-5
Zaru	A	0507	Villenuve	B652310-A	N	Lo Po		602	Im	G7 V	{ 1 }	(720+1)	[1415]	B	10	21
Zaru	A	0510	Toulon-Cadiz	B99758B-B		Ag Ni		314	Im	K4 V	{ 2 }	(C46+2)	[777D]	BC	13	720
Zaru	A	0605	Aslungi	B311655-C		Ic Na Ni		222	Im	K5 V M1 V	{ 1 }	(C55+1)	[473A]	B	11	360
Zaru	A	0606	Apkenumir	E31049B-7		Ni		803	Im	F0 V	{ -3 }	(630-3)	[6179]	B	6	-72
Zaru	A	0607	Miller's World	A565740-C		Ag Ri		402	Im	F7 V	{ 4 }	(B6E+4)	[2B17]	BCf	12	4312
Zaru	A	0701	Nedadzia	B430677-C		De Na Ni Po		901	Im	M0 V M0 V	{ 1 }	(955+1)	[675C]	B	12	270
Zaru	A	0704	Ledadzia	B200334-D		Lo Va		510	Im	M0 V	{ 1 }	(620+1)	[143B]	B	16	18
Zaru	A	0708	Dorevann	D564222-6		Lo		814	Im	K0 V M8 V	{ -3 }	(410-3)	[1112]	B	13	-24
Zaru	A	0710	New Orlando	D856340-7		Lo Ga		211	Im	G9 V	{ -3 }	(520-3)	[1112]	B	12	-45
Zaru	A	0801	Airvae	B31146A-A	N	Ic Ni Mr		402	Im	M2 V	{ 1 }	(834+1)	[657C]	B	7	128
Zaru	A	0802	Sufizi	A200334-C	N	Lo Va		422	Im	M3 V M0 V	{ 1 }	(920+1)	[143A]	B	7	27
Zaru	A	0803	Cyrpus	B101534-E		Ic Ni Va		604	Im	G0 V	{ 1 }	(B45+1)	[363C]	B	10	275
Zaru	A	0804	GISHIN	B722A79-A	N	He Hi In Na Po		202	Im	K2 V	{ 4 }	(E9E+4)	[BE6B]	BEf	7	7840
Zaru	A	0805	GINSHE	C886966-A		Hi Ga Pr O:0804		102	Im	F8 V M9 V	{ 2 }	(D8C+2)	[8B49]	BcE	14	2808
Zaru	A	0806	Madagast	A956100-A		Lo		422	Im	G2 V M4 V	{ 1 }	(700+1)	[1215]	B	8	7
Zaru	B	0901	Megrim Bama	B666333-A		Lo Ga		110	Im	M0 V M2 V	{ 1 }	(620+1)	[1427]	B	9	18
Zaru	B	0905	Mccandliss	B657656-B		Ag Ni Ga		805	Im	F2 V	{ 2 }	(D56+2)	[584A]	BC	8	936
Zaru	B	0909	Tatsu	A564721-B	N	Ag Ri		730	Im	K5 V	{ 4 }	(C6E+4)	[3B17]	BCf	7	4704
Zaru	B	1001	Amdiimuda	A695754-D		Ag Pi Pz	A	812	Im	M2 V	{ 3 }	(C6E+3)	[5A3B]	BCD	13	3528
Zaru	B	1007	Whisper	DA65485-7	S	Ni Pa		810	Im	G7 V M1 V	{ -3 }	(630-3)	[2135]	Bc	11	-72
Zaru	B	1102	Shedkhikhu	C310589-A		Ni		803	Im	M2 V M3 V	{ 0 }	(A44+0)	[656B]	B	12	200
Zaru	B	1103	Amash	B310743-C	N	Na Pi		310	Im	K4 V	{ 2 }	(A6C+2)	[4929]	BD	6	1680
Zaru	B	1104	Ifni	C555676-8	S	Ag Ni		704	Im	F8 V M4 V	{ -1 }	(C53-1)	[5547]	BC	9	-216
Zaru	B	1105	Clark Station	B877555-C		Ag Ni		510	Im	G1 V	{ 2 }	(846+2)	[373A]	BC	13	480
Zaru	B	1106	Mizen	B100333-C		Lo Va		604	Im	M1 V	{ 1 }	(920+1)	[1429]	B	9	27
Zaru	B	1107	Wyong	A42488A-D		Ph Pi		603	Im	M2 V	{ 2 }	(D7D+2)	[AA7F]	BDe	15	2704
Zaru	B	1109	Darkhu	C431721-9		Na Po		613	Im	M2 V	{ 0 }	(D69+0)	[3715]	B	10	819
Zaru	B	1110	Ladkiir	B200334-A	N	Lo Va		900	Im	K2 IV	{ 1 }	(520+1)	[1438]	B	14	15
Zaru	B	1204	Ne Pnal	B87A305-E	S	Lo Wa		710	Im	K1 V	{ 1 }	(620+1)	[143C]	B	14	18
Zaru	B	1205	Shugi	B000638-D	N	As Na Ni Va		212	Im	G7 V M3 V	{ 1 }	(B55+1)	[675D]	B	10	330
Zaru	B	1209	Chupchuk	D8968AC-6		Pa Ph Pi		901	Im	G1 V M1 V	{ -2 }	(A75-2)	[B689]	BcDe	17	-800
Zaru	B	1210	Messina	B63579B-B		Pz	A	122	Im	K3 V	{ 2 }	(D6C+2)	[997D]	B	12	2184
Zaru	B	1303	Kiezupug	B000721-A	N	As Na Va Pi		734	Im	K3 V	{ 2 }	(G6B+2)	[3916]	BD	10	2464
Zaru	B	1306	Ushant	B541587-B		He Ni Po		903	Im	G0 V	{ 1 }	(A45+1)	[565B]	B	6	250
Zaru	B	1309	Selkirk	B553420-B		Ni Po		904	Im	M1 V M8 V	{ 1 }	(A34+1)	[1516]	B	12	160
Zaru	B	1406	Amgidii	C546659-9		Ag Ni		814	Im	G2 V	{ 0 }	(D54+0)	[766A]	BC	9	312
Zaru	B	1407	Mushiar	E766502-6		Ag Ni Ga Pr		200	Im	F0 V M8 V	{ -2 }	(742-2)	[1312]	BcC	4	-140
Zaru	B	1408	Lentuli	B433254-E		Lo Po		203	Im	M1 V	{ 1 }	(710+1)	[133C]	B	8	14
Zaru	B	1409	Collingswode	B788568-B		Ag Ni Pr O:1410		210	Im	F3 V M3 V	{ 2 }	(846+2)	[575B]	BcC	12	480
Zaru	B	1410	STERNBACH	AAA5944-F	N	Fl Hi In Cp		923	Im	M2 V	{ 4 }	(G8G+4)	[7D3D]	BEF	12	9216
Zaru	B	1501	Lynshire	B757533-B		Ag Ni Ga		303	Im	K1 V	{ 2 }	(A46+2)	[2728]	BC	6	600
Zaru	B	1502	Churruca	A57258B-C	N	He Ni		702	Im	K4 V M0 V	{ 1 }	(945+1)	[767E]	B	16	225
Zaru	B	1504	KN-04	BAB9310-C		Fl Lo		824	Im	M2 V	{ 1 }	(B20+1)	[1417]	B	9	33
Zaru	B	1506	Embd's Cloak	A000785-D	N	As Na Va Pi		134	Im	G2 V	{ 2 }	(G6D+2)	[593B]	BD	12	2912
Zaru	B	1508	Crashlanding	B200434-C		Ni Va		702	Im	M1 V	{ 1 }	(834+1)	[253A]	B	11	128
Zaru	B	1602	San Pietro	B544612-A		Ag Ni		503	Im	M1 V	{ 2 }	(B56+2)	[2816]	BC	9	792
Zaru	B	1605	Riou	B0006AC-D	N	As Na Ni Va		830	Im	K3 III M8 V	{ 1 }	(B55+1)	[978G]	B	9	330
Zaru	B	1607	Finsterre	D546433-7		Ni Pa		911	Im	K0 V	{ -3 }	(630-3)	[1124]	Bc	10	-72
Zaru	C	1707	Bondi	B984532-B	N	Ag Ni Pr		903	Im	G7 V	{ 2 }	(A46+2)	[1717]	BcC	10	600
Zaru	C	1708	Upunesh	E200334-8		Lo Va		604	Im	K4 V M8 V	{ -3 }	(920-3)	[1136]	B	7	-81
Zaru	C	1709	Teredore	A575320-D		Lo		304	Im	F1 V	{ 1 }	(920+1)	[1418]	B	10	27
Zaru	C	1802	Fen	C9968AC-8		Pa Ph Pi		904	Im	K4 V M2 V M8 V	{ -1 }	(E77-1)	[B78B]	BcDe	11	-784
Zaru	C	1902	Khii	B200334-B	B	Lo Va		902	Im	M2 V	{ 2 }	(720+2)	[1539]	B	9	42
Zaru	C	1903	Colton's Green	B545105-C	N	Lo		201	Im	K0 V	{ 1 }	(400+1)	[123A]	B	8	4
Zaru	C	1904	Al Mansur	B100434-E		Ni Va		814	Im	G2 V M3 V	{ 1 }	(B34+1)	[253C]	B	8	176
Zaru	C	1906	Hypaethral	B565621-A	N	Ag Ni Ri		515	Im	M2 V M1 V	{ 3 }	(E57+3)	[2916]	BC	12	1764
Zaru	C	1907	Compunccioun	B856440-B		Ni Ga Pa		304	Im	F7 V	{ 1 }	(A34+1)	[1516]	Bc	13	160
Zaru	C	1908	Tinskeep	DA97554-8	S	Ag Ni		502	Im	K8 V	{ -2 }	(942-2)	[3336]	BC	7	-180
Zaru	C	1910	Citenic	B43279D-B	S	Na Po		203	Im	K8 V	{ 2 }	(C6C+2)	[B99F]	B	8	2016
Zaru	C	2001	Wilson's World	D100433-8		Ni Va		723	Im	K1 V M3 V	{ -3 }	(B30-3)	[1125]	B	10	-132
Zaru	C	2002	Deanne	B863430-A		Ni		204	Im	K8 IV	{ 1 }	(A34+1)	[1515]	B	8	160
Zaru	C	2005	Rumorindi	B433623-B	N	Na Ni Po		913	Im	G4 V M5 V	{ 1 }	(C55+1)	[3728]	B	10	360
