Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Ziaf	A	0101	Jadljetefl	B200425-B		Ni Va		610	ZhCo	F5 V	{ 1 }	(734-1)	[2539]		8	-84
Ziaf	A	0103	Ens Zhdo	E568732-2		Ag Ri Fo	R	205	ZhCo	G8 V	{ 0 }	(965-4)	[3711]		15	-1080
Ziaf	A	0104	Ienazh	A534743-9	Z			902	ZhCo	M3 V	{ 1 }	(B6A-2)	[4826]		13	-1320
Ziaf	A	0106	Spridlepl	B535840-9	Z	Ph		223	ZhCo	G3 V	{ 1 }	(F7A-3)	[3914]		12	-3150
Ziaf	A	0107	Chtalekl	B552635-9		Ni Po		304	ZhCo	K9 V M3 V	{ 0 }	(C54-2)	[4637]		9	-480
Ziaf	A	0109	Jaitnab	A543475-A	Z	Ni Po		403	ZhCo	F0 V	{ 1 }	(934-1)	[2538]		6	-108
Ziaf	A	0110	Tlaprezhel	B4377B6-8				303	ZhCo	K4 IV	{ 0 }	(C68-1)	[6747]		9	-576
Ziaf	E	0114	Frezhietsed	C783643-5		Ni Ri Da	A	412	ZhCo	G5 V	{ -1 }	(853-4)	[3522]		15	-480
Ziaf	E	0115	Nivrdiatia	B789410-8	X	Ni Da	A	904	ZhCo	M3 V	{ 0 }	(A33-4)	[1413]		13	-360
Ziaf	E	0116	Qiejik	E774427-5		Ni Pa		701	ZhCo	F8 V	{ -3 }	(630-3)	[4155]		5	-54
Ziaf	E	0119	Dlashte	C543510-8		Ni Po		802	ZhCo	F6 V M1 V	{ -2 }	(942-5)	[1313]		11	-360
Ziaf	I	0125	Shipebr	E42369A-7		Na Ni Po Fo	R	324	ZhCo	M1 V M6 V	{ -3 }	(851-1)	[8379]		15	-40
Ziaf	I	0127	Iefriaqr	B758655-7		Ag Ni		604	ZhCo	G6 V	{ 0 }	(854-2)	[4635]		7	-320
Ziaf	I	0128	O’staz	A000624-D	Z	As Na Ni Va Cp		531	ZhCo	M0 V M4 V	{ 1 }	(C55-1)	[473B]		10	-300
Ziaf	I	0129	Iense	C571679-9		He Ni		414	ZhCo	G8 V	{ -1 }	(D53+0)	[756A]		9	195
Ziaf	M	0131	Fliaplav	C20088A-8		Na Va Ph Pi		603	ZhCo	F9 V	{ -1 }	(D77+1)	[A77A]		10	637
Ziaf	M	0132	Deifr	B597774-9	Z	Ag Pi		825	ZhCo	F4 V F8 V M4 V	{ 2 }	(G6B+0)	[5937]		14	1056
Ziaf	M	0134	Satkant	D788853-7		Ri Pa Ph Pz	A	836	ZhCo	F5 V M6 V	{ -1 }	(A77-4)	[5724]		14	-1960
