Code	Legacy	BaseCode	Name	Location
3EoG	Ga		Third Empire of Gashikan	Mend/Gash/Tren
4Wor	Fw		Four Worlds	Farf
AkUn	Ak		Akeena Union	Gate
AlCo	Al		Altarean Confederation	Vang
AnTC	Ac		Anubian Trade Coalition	Hint
AsIf	As	As	Iyeaao'fte	Ustr
AsMw	As	As	Aslan Hierate, single multiple-world clan dominates	Akti/Dark/Eali/Hlak/Iwah/Reav/Rift/Stai/Troj/Uist/Ustr/Verg
AsOf	As	As	Oleaiy'fte	Ustr
AsSc	As	As	Aslan Hierate, multiple clans split control	Akti/Dark/Eali/Hlak/Iwah/Reav/Rift/Stai/Troj/Uist/Ustr
AsSF	As	As	Aslan Hierate, small facility	
AsT0	A0	As	Aslan Hierate, Tlaukhu control, Yerlyaruiwo (1), Hrawoao (13), Eisohiyw (14), Ferekhearl (19)	Akti/Dark/Eali/Hlak/Iwah/Reav/Rift/Stai/Troj/Uist/Ustr
AsT1	A1	As	Aslan Hierate, Tlaukhu control, Khaukheairl (2), Estoieie' (16), Toaseilwi (22)	Akti/Dark/Eali/Hlak/Iwah/Reav/Rift/Stai/Troj/Uist/Ustr
AsT2	A2	As	Aslan Hierate, Tlaukhu control, Syoisuis (3)	Akti/Dark/Eali/Hlak/Iwah/Reav/Rift/Stai/Troj/Uist/Ustr
AsT3	A3	As	Aslan Hierate, Tlaukhu control, Tralyeaeawi (4), Yulraleh (12), Aiheilar (25), Riyhalaei (28)	Akti/Dark/Eali/Hlak/Iwah/Reav/Rift/Stai/Troj/Uist/Ustr
AsT4	A4	As	Aslan Hierate, Tlaukhu control, Eakhtiyho (5), Eteawyolei' (11), Fteweyeakh (23)	Akti/Dark/Eali/Hlak/Iwah/Reav/Rift/Stai/Troj/Uist/Ustr
AsT5	A5	As	Aslan Hierate, Tlaukhu control, Hlyueawi (6), Isoitiyro (15)	Akti/Dark/Eali/Hlak/Iwah/Reav/Rift/Stai/Troj/Uist/Ustr
AsT6	A6	As	Aslan Hierate, Tlaukhu control, Uiktawa (7), Iykyasea (17), Faowaou (27)	Akti/Dark/Eali/Hlak/Iwah/Reav/Rift/Stai/Troj/Uist/Ustr
AsT7	A7	As	Aslan Hierate, Tlaukhu control, Ikhtealyo (8), Tlerlearlyo (20), Yetahikh (24)	Akti/Dark/Eali/Hlak/Iwah/Reav/Rift/Stai/Troj/Uist/Ustr
AsT8	A8	As	Aslan Hierate, Tlaukhu control, Seieakh (9), Akatoiloh (18), We'okurir (29)	Akti/Dark/Eali/Hlak/Iwah/Reav/Rift/Stai/Troj/Uist/Ustr
AsT9	A9	As	Aslan Hierate, Tlaukhu control, Aokhalte (10), Sahao' (21), Ouokhoi (26)	Akti/Dark/Eali/Hlak/Iwah/Reav/Rift/Stai/Troj/Uist/Ustr
AsTA	Ta	As	Tealou Arlaoh	Uist/Ustr
AsTv	As	As	Aslan Hierate, Tlaukhu vassal clan dominates	Akti/Dark/Eali/Hlak/Iwah/Reav/Rift/Stai/Troj/Uist/Ustr
AsTz	As	As	Aslan Hierate, Zodia clan	Iwah
AsVc	As	As	Aslan Hierate, vassal clan dominates	Akti/Dark/Eali/Hlak/Iwah/Reav/Rift/Stai/Troj/Uist/Ustr
AsWc	As	As	Aslan Hierate, single one-world clan dominates	Akti/Dark/Eali/Hlak/Iwah/Reav/Rift/Stai/Troj/Uist/Ustr
AsXX	As	As	Aslan Hierate, unknown	Akti/Dark/Eali/Hlak/Iwah/Reav/Rift/Stai/Troj/Uist/Ustr
Bium	Bi		The Biumvirate	Farf
BlSo	Bs		Belgardian Sojurnate	Troj
CaAs	Cb		Carrillian Assembly	Reav
CaPr	Ca		Principality of Caledon	Reav
CaTe	Ct		Carter Technocracy	Reav
CoBa	Ba		Confederation of Bammesuka	Mend
CoLg	CL		Corellan League	Beyo/Vang
CoLp	Lp		Council of Leh Perash	Hint
CsCa	Ca		Client state, Principality of Caledon	Reav
CsHv	Hc		Client state, Hive Federation	Cruc/Spic
CsIm	Cs		Client state, Third Imperium	various
CsMo	Cm		Client state, Duchy of Mora	Spin
CsPt	CP		Client state, The Protectorate	Farf
CsRr	Cr		Client state, Republic of Regina	Spin
CsTw	KC		Client state, Two Thousand Worlds	various
CsZh	Cz		Client state, Zhodani Consulate	Spin/Troj
CyUn	Cu		Cytralin Unity	Hint
DaCf	Da		Darrian Confederation	Spin
DeHg	Dh		Descarothe Hegemony	Farf
DeNo	Dn		Demos of Nobles	Newo
DiGr	Dg		Dienbach Grüpen	Newo
DoAl	Az		Domain of Alntzar	Farf
DuCf	Cd		Confederation of Duncinae	Reav
DuMo	Mo		Duchy of Mora	Spin
EsMa	Es		Eslyat Magistracy	Vang
FeAl	Fa		Federation of Alsas	Farf
FeAm	FA		Federation of Amil	Cruc
FeHe	Fh		Federation of Heron	Glim
FlLe	Fl		Florian League	Troj
GaFd	Ga		Galian Federation	Gate
GaRp	Gr		Gamma Republic	Glim
GdKa	Rm		Grand Duchy of Kalradin	Cruc
GdMh	Ma		Grand Duchy of Marlheim	Reav
GdSt	Gs		Grand Duchy of Stoner	Glim
GeOr	Go		Gerontocracy of Ormine	Dark
GlEm	Gl	As	Glorious Empire	Troj
GlFe	Gf		Glimmerdrift Federation	Cruc/Glim
GnCl	Gi		Gniivi Collective	Hint
HaCo	Hc		Haladon Cooperative	Farf
HeCo	HC		Hefrin Colony	Beyo
HoPA	Ho		Hochiken People's Assembly	Gate
HvFd	Hv	Hv	Hive Federation	Spic
HyLe	Hy		Hyperion League	Vang
IHPr	IS		I'Sred*Ni Protectorate	Beyo
ImAp	Im	Im	Third Imperium, Amec Protectorate	Dagu
ImDa	Im	Im	Third Imperium, Domain of Antares	Anta/Empt/Lish
