Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Akti	A	0101	Aiaeye	B658267-B	R	Lo O:0301		815	AsMw	K8 V M7 V M0 V	{ 1 }	(A11+1)	[235B]		14	10
Akti	A	0102	Esiyei	D896495-7		Ni Pa		919	AsMw	M0 V M8 V M4 V	{ -3 }	(631-5)	[2135]		18	-90
Akti	A	0103	Awir	C697849-8	R	Pa Ph Pi		113	AsVc	G6 V	{ -1 }	(E77+1)	[9769]		14	686
Akti	A	0105	Kteieikte	E74A577-9		Ni Wa		703	AsSc	F8 V	{ -2 }	(A42-2)	[5359]		13	-160
Akti	A	0106	Ohfe	D435499-9	R	Ni		103	AsVc	M1 V	{ -2 }	(931-1)	[526A]		10	-27
Akti	A	0109	Aui	D422314-9		He Lo Po		417	AsMw	K5 V M8 V M7 V	{ -2 }	(D20-4)	[1137]		21	-104
Akti	A	0110	Aoiwah	E8B357B-8		Fl Ni Da	A	702	AsSc	M2 V	{ -3 }	(941-1)	[727A]		7	-36
Akti	E	0119	Aoea	C657589-9	R	Ag Ni Ga		604	AsWc	F9 V	{ 0 }	(B44+1)	[656A]		16	176
Akti	E	0120	Syaliyl	B430168-D		De Lo Po O:0319		502	AsT9	M1 V	{ 1 }	(501+1)	[125D]		5	5
Akti	I	0121	Oktalih	C100677-8	R	Na Ni Va		100	AsSc	M1 V	{ -2 }	(852-2)	[6458]		5	-160
Akti	I	0122	Alausoh	C554596-8	R	Ag Ni		812	AsWc	F0 V M1 V	{ -1 }	(A43-2)	[4447]		8	-240
Akti	I	0123	Eikheiw	E6927C9-6		He Pi Pz	A	804	AsMw	F4 V	{ -2 }	(965-1)	[8567]		14	-270
Akti	I	0124	Eiliyye	E547785-6		Ag Pi		413	AsVc	F3 V	{ -1 }	(966-3)	[5634]		13	-972
Akti	I	0125	Hkaeaorl	D554369-7		Lo O:0126		125	AsVc	F5 V	{ -3 }	(520-2)	[4168]		15	-20
Akti	I	0126	Hroyoooasou	B20379A-B		Ic Na Va Pi		400	AsVc	M1 V	{ 2 }	(96C+4)	[997D]		9	2592
Akti	I	0128	Ewela	X621838-7		He Na Po Ph Pi Fo	R	802	AsTv	F2 V	{ -2 }	(A76-2)	[8657]		7	-840
