Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Alde	A	0106	Phecta	C100452-9		Ni Va Lk		322	NaHu	A0 V	{ -1 }	(B32-5)	[4319]		11	-330
Alde	E	0111	Elysee	A872AA9-E		He Hi In		331	SoFr	G5 V K2 V	{ 4 }	(C9B+4)	[BE19]		15	4752
Alde	E	0112	Algol	D000168-9		As Lo Va O:0111		212	SoFr	K2 IV A5 V B8 V	{ -2 }	(500+2)	[3136]		11	10
Alde	E	0116	Ismene	E8A3300-9		Fl Lo Co Tz		300	SoCf	M0 V	{ -2 }	(620-5)	[3119]		7	-60
Alde	I	0126	Liberti	C7C3100-9		Fl Lo Tz		400	SoCf	M1 V	{ -1 }	(800-3)	[119B]		7	-24
Alde	I	0128	Huginn	E836485-8		Ni Tz		302	SoCf	M0 V M4 V	{ -3 }	(930-5)	[4118]		15	-135
Alde	M	0139	Elias Six	A776244-D	KM	Lo Tu		623	MaUn	M3 V	{ 2 }	(F12-4)	[146A]		10	-120
Alde	M	0140	Kleid	C749323-A		Lo		924	MaUn	F5 V	{ 0 }	(E20-1)	[3328]		16	-28
Alde	A	0201	Vignemale	B699940-C		Hi In Sa		201	SoFr	G0 V	{ 4 }	(386+1)	[7DAD]		10	144
Alde	A	0203	Teilhard	B789775-A		Ri		733	SoFr	K6 V M5 V	{ 3 }	(96D+1)	[8A4B]		17	702
Alde	A	0209	Corinna	B687464-A	M	Ni Ga Pa (Neozinga) Re		203	SoCf	G1 V	{ 1 }	(C33-3)	[4579]		12	-324
Alde	E	0218	Navia	E736100-9		Lo Tz		104	SoCf	F9 V M2 V	{ -2 }	(E00-5)	[1119]		8	-70
Alde	I	0229	Weinberg	A20185A-B	KM	Ic Na Va Ph Pi Taur0 Co Tz		624	SoCf	M0 V	{ 3 }	(F78+3)	[8B6B]		12	2520
Alde	I	0230	Kolomyia	A899487-C		Ni Taur1 Tz		120	SoCf	M1 V M5 V	{ 1 }	(933+1)	[956E]		8	81
Alde	M	0231	Morrigan	C737343-A		Lo Tz		602	SoCf	M1 V	{ 0 }	(620+5)	[337A]		6	60
Alde	M	0237	Lucullus	C74678A-8		Ag Pi Tr		103	MaUn	G8 V	{ 0 }	(967+1)	[774A]		13	378
Alde	M	0238	Simoom	B7A4103-9	K	Fl Lo Ho Tz		103	MaUn	K6 V	{ 0 }	(900-1)	[116B]		11	-9
Alde	M	0239	Tsukino	C835455-A		Ni Tz		423	MaUn	K4 V M0 V	{ 0 }	(B35+1)	[547A]		13	165
Alde	A	0301	Alpha Trianguli	D200145-8		Lo Va Co Sa		103	SoCf	F6 IV	{ -3 }	(700-1)	[1159]		10	-7
Alde	A	0305	Hyperborea	B5A75AF-9		Fl Ni Fo Fr Lk	R	301	SoCf	G8 V M2 V	{ 0 }	(942+1)	[7585]		10	72
Alde	A	0309	Ivraie	B758799-A		Ag		202	SoFr	G8 V	{ 3 }	(A6C-1)	[3A66]		11	-720
Alde	A	0310	Merak	C00047C-B		As Ni Va		500	SoCf	A1 V	{ 0 }	(833-1)	[542E]		5	-72
Alde	E	0312	Grande-Terre	C834720-9				612	SoFr	K8 V M5 V	{ 0 }	(D67+1)	[579C]		14	546
Alde	E	0317	Sanggan	E622521-8		He Ni Po Tz		423	SoCf	G5 V M1 V	{ -3 }	(940-5)	[5218]		16	-180
Alde	I	0321	Ingenuiti	E672778-6		He Pi Ho Tz		131	SoCf	K8 V	{ -2 }	(860-5)	[7516]		11	-240
Alde	I	0324	Muninn	X738312-8		Lo Fo Tz	R	500	SoCf	K0 V M3 V	{ -3 }	(320-5)	[3118]		10	-30
Alde	M	0331	Elation	B852668-7		Ni Po O:0229		301	SoCf	G8 V M5 V	{ -1 }	(951-1)	[5576]		9	-45
Alde	M	0334	Shuanyun	CAC3514-C		Fl Ni Taur3 Fr		615	NaHu	K8 V	{ 0 }	(G43+2)	[555C]		14	384
Alde	M	0340	Middling	D731536-7		Ni Po Tz Px		113	MaUn	M0 V M3 V	{ -3 }	(640+1)	[6254]		10	24
Alde	A	0401	Heimdall	E764973-7		Hi Pr		731	SoFr	G5 V	{ -1 }	(586+1)	[4869]		11	240
Alde	E	0411	Soror	B659721-B				104	SoFr	K1 V	{ 2 }	(967+1)	[C958]		14	378
Alde	E	0413	Katahdin	B766979-C		Hi Ga Pr		323	SoCf	G5 V	{ 3 }	(F89+3)	[AC8B]		11	3240
Alde	E	0414	Cabrera	C852443-6		Ni Po		501	SoCf	K2 V	{ -2 }	(532+1)	[4287]		8	30
Alde	E	0418	Kozol	BAA5443-B		Fl Ni		234	NaHu	K3 V M2 V	{ 1 }	(C34+1)	[758B]		15	144
