Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Alph	A	0102	Pack	C200747-A		Na Va Pi		803	ImDs	F3 V M7 V	{ 1 }	(C6A+1)	[785A]	BD	9	720
Alph	A	0105	Ximenes	B310884-C		Na Ph Pi		113	ImDs	K0 V	{ 2 }	(E7C+1)	[6A3A]	BDe	9	1176
Alph	A	0106	Bolivar	D976678-6		Ag Ni		400	ImDs	G7 V	{ -2 }	(852-2)	[6456]	BC	13	-160
Alph	A	0108	Ranim	C43569C-A		Ni Da	A	414	ImDs	M3 V M3 V	{ 0 }	(D54+3)	[968D]	B	13	780
Alph	A	0110	Harran	C635668-9		Ni Mr		603	ImDs	F0 V	{ -1 }	(B53-1)	[6559]	B	12	-165
Alph	E	0113	Douden	C556401-A		Ni Pa		421	ImDs	K3 IV M0 V	{ 0 }	(933-4)	[1416]	Bc	16	-324
Alph	E	0115	Sharif	A553211-D		Lo Po		304	ImDs	K2 V	{ 1 }	(811-3)	[1319]	B	11	-24
Alph	E	0119	Qaal	E10096A-B		Hi In Na Va Pz Mr	A	201	ImDs	M1 V M6 V	{ 2 }	(C8D+4)	[BB7D]	BE	14	4992
Alph	I	0121	Leisz	A000130-F		As Lo Va		604	ImDs	M2 V	{ 1 }	(701-3)	[121A]	B	9	-21
Alph	I	0123	Panunzio	C000723-B		As Na Va Pi		604	ImDs	M0 V M5 V	{ 1 }	(D6B-2)	[4828]	BD	12	-1716
Alph	I	0124	Lundvall	E9A457C-8		Fl Ni		415	ImDs	M1 V	{ -3 }	(D41+1)	[828B]	B	9	52
Alph	I	0125	Baytapik	B200442-D		Ni Va		913	ImDs	A6 V	{ 1 }	(A34-3)	[1519]	B	9	-360
Alph	I	0128	Sturken	C645620-8		Ag Ni		302	ImDs	M1 V	{ -1 }	(A53-5)	[1513]	BC	9	-750
Alph	I	0129	Denebola	B83A333-E		Lo Wa		812	ImDs	A8 V M6 V	{ 1 }	(821-2)	[142B]	B	12	-32
Alph	I	0130	Arreguin	B43387A-C		Na Po Ph		804	ImDs	K4 V M6 V	{ 2 }	(E7C+4)	[AA7E]	Be	7	4704
Alph	M	0131	Rosaro	C000430-C		As Ni Va		301	SoCf	G0 V	{ 0 }	(733-4)	[1417]		6	-252
Alph	M	0133	Potose	E546200-8		Lo Da	A	905	SoCf	G5 V M2 V	{ -3 }	(910-5)	[1113]		14	-45
Alph	M	0135	Sucre	C686687-8		Ag Ni Ga Ri		902	NaHu	M1 V	{ 0 }	(A54+1)	[6658]		6	200
Alph	M	0136	Ica	C865588-9		Ag Ni Ga Pr		804	SoCf	K0 V	{ 0 }	(B44+1)	[5559]		14	176
Alph	M	0137	Luebo	A643566-D	KM	Ni Po Mr		101	SoCf	M1 V M4 V	{ 2 }	(846+1)	[474C]		11	192
Alph	M	0139	Lusaka	B98A658-D		Ni Ri Wa		904	SoCf	M0 V M2 V M7 V	{ 2 }	(C56+2)	[685D]		16	720
Alph	A	0201	Carbuncle	A100204-D		Lo Va		301	ImDs	K0 V M2 V	{ 1 }	(511-1)	[133B]	B	11	-5
Alph	A	0203	Graff	B545657-B		Ag Ni		704	ImDs	M3 V	{ 2 }	(C56+2)	[685B]	BC	9	720
Alph	A	0204	Kedin	E553300-8		Lo Po		622	ImDs	K5 V	{ -3 }	(920-5)	[1113]	B	8	-90
Alph	A	0208	Iamir	C100AAB-F	S	Hi In Na Va Pz SeleW	A	304	ImDs	M0 V M2 V	{ 3 }	(G9F+5)	[CD7H]	BE	11	10800
Alph	A	0210	Keats	C545575-9		Ag Ni		401	ImDs	M0 V M1 V	{ 0 }	(844-2)	[3537]	BC	12	-256
Alph	E	0216	Toonge	B100333-E	S	Lo Va Da	A	904	ImDs	M0 V M2 V	{ 1 }	(921-2)	[142B]	B	7	-36
Alph	E	0217	Nefertiti	C673879-8		Ph Pi Pz	A	602	ImDs	M0 V M4 V M9 V	{ -1 }	(C77+1)	[9769]	BDe	12	588
Alph	E	0220	Quetzlcoatl	A310443-F		Ni		700	ImDs	M0 V M6 V	{ 1 }	(634-2)	[152C]	B	13	-144
Alph	I	0221	Phoenix	C565ACH-C		Hi Pz	A	814	ImDs	M2 V	{ 2 }	(H9D+5)	[FCAH]	BE	13	9945
Alph	I	0230	Koz	D786787-6		Ag Ga Ri Pz	A	423	ImDs	K0 V M3 V	{ 0 }	(967+1)	[7756]	BC	10	378
Alph	M	0231	Scathe	A000A99-E		As Hi In Na Va Cp		701	SoCf	M2 V M2 V	{ 4 }	(D9G+5)	[BE6F]		12	9360
Alph	M	0232	Walvis	A572779-C		He Pi		433	SoCf	M3 V	{ 2 }	(F6C+3)	[896D]		10	3240
Alph	M	0233	Fogo	B100659-E	KM	Na Ni Va		304	SoCf	K6 V M2 V	{ 2 }	(C56+3)	[786F]		12	1080
Alph	M	0234	Ziusudra	B555797-A	KM	Ag Pz	A	413	SoCf	K0 IV	{ 4 }	(D6D+4)	[7B5A]		13	4056
Alph	M	0236	Tomsk	D9C4325-9		Fl Lo		902	NaHu	M2 V	{ -2 }	(720-4)	[1137]		14	-56
Alph	M	0240	Balboa	B573987-C	KM	Hi In		904	SoCf	M1 V	{ 5 }	(F8G+5)	[9E5C]		12	9600
Alph	A	0302	Etienne	B847348-B		Lo		200	ImDs	G6 V M4 V	{ 1 }	(521+1)	[345B]	B	13	10
Alph	A	0303	Wulfe	A434964-F	NS	Hi Cp Mr		602	ImDs	M0 V	{ 4 }	(D8G+2)	[7D3D]	BEF	10	3328
Alph	A	0305	Umkarguu	C9878AA-8		Ri Pa Ph Pz	A	500	ImDs	G3 V M8 V	{ 0 }	(A78+2)	[A87A]	BcCe	13	1120
Alph	A	0306	Antraillia	D435314-9	S	Lo		203	ImDs	M2 V	{ -2 }	(820-4)	[1137]	B	11	-64
Alph	E	0311	Brigand	D5446B7-6		Ag Ni		604	SoCf	K1 V	{ -2 }	(852-2)	[6456]		15	-160
Alph	E	0318	Fezzik	D7927A9-6		He Pi		714	NaHu	M0 V	{ -2 }	(965-1)	[8567]		15	-270
Alph	E	0319	Dorsey	A959257-E		Lo		522	NaHu	K8 V M4 V	{ 1 }	(811+1)	[235E]		11	8
Alph	I	0326	Ayling	D5738BD-6		Ph Pi Pz	A	402	SoCf	M3 V	{ -2 }	(A75+2)	[C69A]		6	700
Alph	I	0327	Piltch	D200244-9		Lo Va		803	SoCf	A3 V K0 V	{ -2 }	(710-4)	[1137]		9	-28
Alph	M	0332	Bokhoro	E10077A-9		Na Va Pi		905	SoCf	G3 IV M4 V	{ -1 }	(E68+1)	[967B]		13	672
Alph	M	0334	Fermi	B898652-B		Ag Ni		100	NaHu	M1 V	{ 2 }	(856-2)	[2817]		4	-480
Alph	M	0335	Palawan	C874204-A		Lo		521	SoCf	M3 V	{ 0 }	(710-2)	[1238]		13	-14
Alph	M	0339	Nin	E9E4546-8		Ni		223	SoCf	K0 V M2 V	{ -3 }	(C41-4)	[4247]		14	-192
Alph	M	0340	Dashpot	D557584-7		Ag Ni		704	SoCf	M2 V M7 V	{ -2 }	(742-4)	[3335]		11	-224
Alph	A	0402	Leng	C84A866-A		Wa Ph Pi Mr		403	ImDs	G1 V	{ 1 }	(D7A+1)	[7949]	BDe	13	910
Alph	A	0405	Imka	D423474-9		Ni Po		813	ImDs	M2 V	{ -2 }	(A31-4)	[2237]	B	13	-120
Alph	A	0407	Merel	E310433-9		Ni		802	ImDs	K1 V M2 V	{ -2 }	(831-5)	[1226]	B	11	-120
Alph	A	0409	Ninmah	D100867-9		Na Va Ph Pi Mr		913	ImDs	M1 V	{ -1 }	(E78-1)	[8759]	BDe	9	-784
Alph	E	0411	Cameo	C799488-A		Ni		320	NaHu	M1 V	{ 0 }	(833+1)	[445A]		9	72
Alph	E	0413	Epona	B8A7497-C		Fl Ni		324	SoCf	M1 V	{ 1 }	(C34+1)	[455C]		14	144
Alph	E	0414	Maponus	D536654-8		Ni		324	NaHu	M2 V M2 V	{ -3 }	(E51-5)	[4336]		16	-350
Alph	E	0416	Bard	B592541-B		He Ni Da	A	305	NaHu	M0 V M3 V M6 V	{ 1 }	(C45-3)	[1617]		13	-720
Alph	E	0417	Magus	B767565-B		Ag Ni Ga Pr O:0515		723	SoCf	M0 V	{ 2 }	(C46+1)	[3739]		14	288
Alph	E	0418	Gautama	E775257-8		Lo		803	NaHu	M3 V M6 V	{ -3 }	(710-3)	[2158]		16	-21
Alph	E	0420	Gilad	E554533-7		Ag Ni		922	SoCf	M2 V	{ -2 }	(742-5)	[2324]		17	-280
Alph	I	0421	Herbig	E100245-A		Lo Va		824	SoCf	M3 III D	{ -1 }	(A10-3)	[1138]		14	-30
