Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Amdu	A	0103	Akaerrg	E400000-0		Ba Va		000	JuPr	M1 V M1 V	{ -3 }	(200-5)	[0000]		8	-10
Amdu	A	0104	Kashur	C8B3144-8		Fl Lo Varg1		723	JuPr	M1 V M3 V	{ -2 }	(800-4)	[1136]		13	-32
Amdu	A	0105	Kiiminu	D679340-5		Lo		402	JuPr	G8 V	{ -3 }	(520-5)	[1111]		10	-50
Amdu	A	0107	Mikag	B895266-6	M	Lo O:0209		101	JuPr	F2 V	{ -1 }	(410-2)	[1145]		4	-8
Amdu	A	0109	Egkhudide	C000149-8		As Lo Va		710	JuPr	K1 V M0 V	{ -2 }	(400-1)	[2169]		12	-4
Amdu	A	0110	Udhon	D10026A-7		Lo Va Da O:0209	A	504	JuPr	K4 V M3 V	{ -3 }	(410-1)	[4179]		17	-4
Amdu	E	0112	Daghoull	B79A110-C	KM	Lo Wa		220	JuPr	G3 V	{ 2 }	(502-2)	[1317]		14	-20
Amdu	E	0113	Adzang	C559666-8	M	Ni O:0115		403	JuPr	F1 V	{ -2 }	(B52-3)	[5447]		14	-330
Amdu	E	0115	Aghzoghz	B575853-9		Pa Ph Pi Pz Varg5	A	603	JuPr	F7 V	{ 1 }	(D7A-2)	[5926]		14	-1820
Amdu	E	0116	Chaput	C9C537A-9		Fl Lo		701	JuPr	M1 V	{ -1 }	(620+1)	[527B]		8	12
Amdu	E	0117	Ko Vaedza	E8CA204-9		Fl Lo		404	JuPr	M2 V	{ -2 }	(810-4)	[1137]		17	-32
Amdu	E	0120	Lisinar	A42569A-A	KM	Ni Varg3		410	JAsi	M2 V	{ 2 }	(956+4)	[887C]		9	1080
Amdu	I	0123	Fedhueto	A779746-8	M	Pi Varg6		124	JAsi	F0 V M4 V	{ 0 }	(F68-1)	[6747]		11	-720
Amdu	I	0124	Gho Ungzok	B9D6855-7	M	Ph Varg3		103	JAsi	F2 V	{ 0 }	(A78-2)	[6835]		11	-1120
Amdu	I	0125	Ignaamar	C576520-8		Ag Ni Varg4		522	JAsi	F2 V	{ -1 }	(B43-5)	[1413]		9	-660
Amdu	I	0126	Aekhsoull	A572102-A	KM	He Lo		303	JAsi	K0 V	{ 2 }	(602-2)	[1316]		12	-24
Amdu	I	0127	Panorama	B66988A-7	M	Ri Ph Varg3		910	JAsi	K9 V M5 V	{ 1 }	(A79+3)	[A979]		9	1890
Amdu	I	0128	Nigigag	C435545-7	M	Ni Varg2		523	JAsi	M2 V	{ -2 }	(742-4)	[3335]		14	-224
Amdu	M	0131	Ilaekhs	C556332-6	M	Lo		923	JAsi	F9 V M1 V	{ -2 }	(520-5)	[1112]		13	-50
Amdu	M	0134	Caduceus	B542401-C	KM	He Ni Po Varg7		424	JuRu	F3 V	{ 2 }	(C35-2)	[1618]		14	-360
Amdu	M	0135	Aezouruz	C673240-7		Lo		804	JuRu	K8 V	{ -2 }	(410-5)	[1112]		9	-20
Amdu	M	0137	Mamshuli	C564567-7	M	Ag Ni Pr Di(Kaanen) O:0639		522	JuRu	K3 V M6 V	{ -1 }	(743-1)	[5457]		11	-84
Amdu	M	0138	Kongeng	C634658-6		Ni		600	JuRu	M2 V M2 V	{ -2 }	(852-2)	[6456]		3	-160
Amdu	M	0139	Agksang	C540455-7	M	De He Ni Po Varg2		902	JuRu	F6 V	{ -2 }	(631-4)	[2235]		11	-72
Amdu	M	0140	Kakhan	C566200-8		Lo		402	JuRu	G0 V	{ -2 }	(610-5)	[1113]		12	-30
Amdu	A	0205	Geiger	X540346-5		De He Lo Po Fo Varg1	R	613	JuPr	F0 V M8 V	{ -3 }	(520-4)	[2144]		7	-40
Amdu	A	0207	Kue Urzue	C6568AB-5		Ga Pa Ph Pz	A	100	JuPr	F2 V	{ -1 }	(A76+1)	[A777]		5	420
Amdu	A	0209	Zimigsika	A77399B-C	KM	Hi In Pz	A	412	JuPr	F0 V	{ 5 }	(E8G+5)	[BE7E]		13	8960
Amdu	A	0210	Ghaezaen	A766542-9	K	Ag Ni Ga Pr		933	JuPr	F2 V M5 V	{ 1 }	(D45-3)	[1615]		13	-780
Amdu	E	0211	Packer	C899863-6	M	Ph Pi O:0209		623	JuPr	F5 V M9 V	{ -1 }	(A76-4)	[5723]		12	-1680
Amdu	E	0212	Ueghuekh	B876331-8	M	Lo Varg2		400	JuPr	F7 V	{ -1 }	(520-5)	[1214]		9	-50
Amdu	E	0213	Oekhel	A552423-C	K	Ni Po Varg2		803	JuPr	F9 V M2 V	{ 1 }	(934-2)	[1529]		11	-216
Amdu	E	0216	Gukuus	C4337A7-6	M	Na Po Pz Varg6	A	525	JuPr	G3 V	{ -1 }	(966-1)	[7656]		16	-324
Amdu	E	0219	Ugzue	E679665-5		Ni Varg2 O:Mend-3119		404	JAsi	F0 V M4 V	{ -3 }	(851-5)	[4333]		11	-200
Amdu	I	0221	Amidu	C644365-5		Lo O:0223		502	JAsi	F4 V	{ -2 }	(520-4)	[1133]		12	-40
Amdu	I	0222	Fracas	B42748B-C	K	Ni Varg3		304	JAsi	M2 V	{ 1 }	(A34+3)	[657E]		11	360
Amdu	I	0223	Asimikigir	A684A87-E	KM	Hi Cp Varg4		300	JAsi	G1 V	{ 4 }	(C9G+4)	[AE5E]		10	6912
Amdu	I	0225	Aerr Ogo	E5477A8-5		Ag Pi Varg2		423	JAsi	G7 V	{ -1 }	(966-1)	[7655]		10	-324
Amdu	M	0237	Ueksou	A426434-B		Ni Varg1		304	JuRu	A4 III G7 V	{ 1 }	(A34-1)	[2539]		9	-120
Amdu	M	0240	Upash	E56657A-6		Ag Ni Pr Varg5		102	JuRu	F9 V M3 V	{ -2 }	(742+1)	[7378]		10	56
