Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Arzu	A	0106	Rutagh	E6A6112-9		Fl Lo Varg1		810	JuPr	M4 V	{ -2 }	(900-2)	[316A]		12	-18
Arzu	A	0109	Carrarn	B100759-C		Na Va Pi Varg3		502	JuPr	G7 V	{ 2 }	(66A-5)	[4978]		13	-1800
Arzu	E	0116	Imkha	C547420-6	M	Ni Pa		304	JHhk	M6 V	{ -2 }	(533+1)	[5216]		11	45
Arzu	E	0119	Kulirzir	X540000-0		Ba De He Po		001	JHhk	F0 V	{ -3 }	(900+2)	[0000]		4	18
Arzu	I	0121	Nenn	C64499E-8		Hi In		613	JuHl	F1 V	{ 1 }	(98C+1)	[BA87]		12	864
Arzu	I	0123	Kuune	A452A63-D	K	Hi Po Varg1 O:		203	JuHl	F5 V	{ 3 }	(99B+1)	[BD6C]		16	891
Arzu	I	0124	Mirashidi	A66668B-8		Ag Ni Ga Ri Varg2		323	JuHl	F3 V	{ 1 }	(C54+2)	[1787]		11	480
Arzu	M	0135	Sjin	E423100-9		Lo Po Varg3		205	JuHl	M0 V	{ -2 }	(F00+5)	[4189]		13	75
Arzu	M	0136	Uerzksasnoeth	A749A96-C		Hi In Varg1		200	JuHl	F4 V M0 V	{ 4 }	(A9G+1)	[AE58]		8	1440
Arzu	M	0140	Runggvoeknue	B682897-7		Ri Ph		905	JuHl	F3 V M2 V	{ 1 }	(278+1)	[8947]		14	112
Arzu	A	0201	Khakarrgh	B677737-9		Ag Pi		912	JuPr	F2 V M4 V	{ 2 }	(A67+3)	[591D]		12	1260
Arzu	A	0203	Rahar	C695634-5		Ag Ni		704	JuPr	K3 V	{ -1 }	(851+5)	[7565]		12	200
Arzu	A	0206	Rrurrgur	B311267-B		Ic Lo Varg1 O:		405	JuPr	K6 V M9 V	{ 1 }	(A11+2)	[436B]		17	20
Arzu	A	0207	Agha	C210635-D		Na Ni Varg5		213	JuPr	F9 V	{ 0 }	(E56-3)	[963C]		13	-1260
Arzu	A	0210	Shaka	C4455D7-A		Ag Ni Varg1		322	JuPr	F9 V	{ 1 }	(945+2)	[7637]		7	360
Arzu	E	0211	Gisanal	A778778-7		Ag Pi Varg1		523	JuPr	F7 V	{ 1 }	(765+1)	[2847]		13	210
Arzu	E	0213	Kaspur	D437438-9		Ni Varg1		101	JuPr	K9 V	{ -2 }	(731-1)	[122A]		11	-21
Arzu	I	0223	Gzaek	B97A562-C		Ni Wa O:		112	JuHl	F0 V	{ 1 }	(947+1)	[265E]		10	252
Arzu	M	0231	Aengaze	D684667-4		Ag Ni Ri O:		801	JuHl	G9 V	{ -1 }	(850+1)	[1563]		11	40
Arzu	M	0232	Kellgaekaedae	X300000-0		Ba Va		022	JuHl	M0 V M3 V	{ -3 }	(700-1)	[0000]		13	-7
Arzu	M	0234	Ungar	A443630-C		Ni Po		405	JuHl	F3 V	{ 1 }	(D54+1)	[771B]		16	260
Arzu	M	0240	Si	C423300-9	M	Lo Po		902	JuHl	M7 V M8 V	{ -1 }	(620-2)	[2257]		5	-24
Arzu	A	0303	Caska	A765A9B-B	KM	Hi Ga Varg2		104	JuPr	G6 V M7 V	{ 4 }	(699+1)	[CE7C]		13	486
Arzu	A	0305	Khaz	E68727B-1		Lo Ga		403	JuPr	F7 V	{ -3 }	(910+1)	[6151]		9	9
Arzu	A	0307	Ghirrzik	D210457-C		Ni		705	JuPr	M0 V M1 V	{ -1 }	(A33-4)	[835C]		12	-360
Arzu	A	0310	Cis-rabir	B4957C9-C		Ag Pi Varg1		920	JuPr	F9 V	{ 3 }	(A6B-3)	[9A48]		10	-1980
Arzu	E	0313	Aedzae	C692745-6	M	He Pi Varg4		902	JuPr	F2 V M3 V	{ -1 }	(B6B-3)	[5658]		12	-2178
Arzu	I	0328	Mar	E653143-2		Lo Po Varg2		203	JuHl	F1 V	{ -3 }	(900-4)	[2151]		12	-36
Arzu	I	0329	Thollydam	X212000-0		Ba Ic		003	JuHl	M7 V M7 V	{ -3 }	(B00+2)	[0000]		12	22
Arzu	M	0331	Odzoez	B694334-8	K	Lo Varg2		705	JuHl	K4 V M1 V	{ -1 }	(F20+1)	[4268]		13	30
Arzu	M	0334	Shila	A561844-8	K	Ri Ph Varg3		112	JuHl	F7 V M9 V	{ 1 }	(E7A-3)	[898A]		10	-2940
Arzu	M	0338	Lluezdhouz	C64A68A-7		Ni Wa		204	JuHl	F4 V	{ -2 }	(C52+1)	[A456]		15	120
Arzu	A	0402	Hebrar	B6988B6-7		Pa Ph Pi		523	JuPr	K2 V	{ 0 }	(976+1)	[D863]		13	378
Arzu	A	0405	Ziraghur	A99856A-C	K	Ag Ni O:		511	JuPr	F7 V	{ 2 }	(945-1)	[5719]		10	-180
Arzu	A	0408	Ghurrgarrgh	C320558-B		De He Ni Po		113	JuPr	G7 V	{ 0 }	(943+1)	[554D]		15	108
Arzu	E	0411	Zoegaekhso	D438344-9	M	Lo		713	JuPr	M2 V	{ -2 }	(E20-2)	[5198]		10	-56
Arzu	E	0414	Garfaerroe	C55888B-A		Pa Ph Varg5		413	JuPr	F8 V M2 V	{ 1 }	(A79-2)	[994B]		12	-1260
Arzu	E	0416	Khoengkuerrgh	X100000-0		Ba Va		012	JuHl	K2 IV	{ -3 }	(A00+3)	[0000]		15	30
Arzu	E	0417	Agusha	E649315-C		Lo Varg2		805	JuHl	F5 V	{ -1 }	(720+1)	[626E]		15	14
Arzu	I	0429	Kokhs	D410200-8		Lo		802	JuHl	M6 V	{ -3 }	(810-5)	[3176]		13	-40
Arzu	I	0430	Sii	D432100-9	M	Lo Po Varg1		203	JuHl	K6 V M9 V	{ -2 }	(500+2)	[2156]		8	10
Arzu	M	0431	Ulluell	C300377-9		Lo Va		722	JuHl	M8 V	{ -1 }	(C20-4)	[32A6]		16	-96
Arzu	M	0434	Gil	A586999-B	K	Hi Pr		820	JuHl	F3 V	{ 3 }	(A8D+2)	[BC28]		10	2080
Arzu	M	0435	Adar	B789998-C	K	Hi Pr		800	JuHl	G4 V	{ 3 }	(388-4)	[BC2F]		10	-768
Arzu	A	0505	Par	A4639A5-A	M	Hi Pr		723	JuPr	K8 V	{ 3 }	(B8D+1)	[8C7A]		15	1144
Arzu	E	0518	Bikali	B5977AB-5		Ag Pi		623	JuHl	F1 V	{ 1 }	(569+2)	[7834]		8	540
Arzu	E	0519	Kongrougzog	A567ADF-7		Hi		304	JuHl	F0 V	{ 1 }	(A97+1)	[AB34]		13	630
Arzu	I	0522	Kuu	B546875-B	M	Pa Ph Pi		314	JuHl	F4 V	{ 2 }	(97A-1)	[6A5C]		15	-630
Arzu	I	0523	Galiibegada	D78A300-8		Lo Wa Varg4		305	JuHl	F5 V	{ -3 }	(820+1)	[8195]		14	16
Arzu	I	0527	Ab	B445569-7	K	Ag Ni Varg2 O:0728		803	JuHl	G0 V	{ 0 }	(942-4)	[5586]		16	-288
Arzu	M	0533	Adkamiiga	X538000-0		Ba		004	JuHl	M1 V M5 V	{ -3 }	(700+4)	[0000]		16	28
Arzu	M	0535	Kehemirata	A401424-A		Ic Ni Va		715	JuHl	G8 V	{ 1 }	(G32+1)	[453B]		14	96
Arzu	A	0601	Raub	CAC4414-C		Fl Ni		703	JuPr	G9 V M3 V	{ 0 }	(B32+1)	[348D]		8	66
Arzu	A	0606	Ghukhakh	E510300-2		Lo Varg1		604	JuPr	M9 V	{ -3 }	(820+1)	[3173]		14	16
Arzu	A	0610	Papaa	C469436-7		Ni		300	JuPr	F1 V	{ -2 }	(730+2)	[4269]		9	42
Arzu	E	0611	Orrgorkso	A63A310-C	K	Lo Wa		214	JuPr	M9 V	{ 1 }	(E21+4)	[545C]		14	112
Arzu	E	0619	Umanirgilunud	X210000-0		Ba		024	JuHl	K7 V	{ -3 }	(500-1)	[0000]		12	-5
Arzu	I	0622	Sing	B566246-7		Lo Varg1		110	JuHl	M0 V M3 V M1 V	{ -1 }	(910-4)	[3157]		6	-36
Arzu	I	0623	Gimashkhizara	A76A88A-9		Ri Wa Ph		613	JuHl	G8 V M3 V	{ 2 }	(B7B-2)	[BA9B]		14	-1694
Arzu	I	0624	Pinapupiru	B57657B-5	K	Ag Ni		210	JuHl	M1 V M9 V	{ 0 }	(C42+1)	[5579]		7	96
Arzu	I	0627	Fetap	A458689-D	K	Ag Ni Varg4		510	JuHl	K7 V	{ 2 }	(858-5)	[786G]		8	-1600
Arzu	M	0633	Staree	A545666-7		Ag Ni O:0434		604	JuHl	F7 V	{ 0 }	(751+1)	[566A]		12	35
Arzu	M	0636	Tuil	X460000-0		Ba De		013	JuHl	F8 V M3 V	{ -3 }	(700+3)	[0000]		11	21
Arzu	M	0637	Aerzondag	B7389DF-9		Hi		112	JuHl	F6 V M9 V	{ 2 }	(B89+1)	[8B39]		13	792
Arzu	M	0638	Aa	B958000-6		Di		003	JuHl	F2 V M5 V	{ -1 }	(900+1)	[0000]		10	9
Arzu	M	0639	Aache	B6799AB-D	K	Hi In Varg3		314	JuHl	K7 V	{ 4 }	(F88-3)	[CD4D]		17	-2880
Arzu	A	0707	Siraska	D574524-A		Ag Ni		113	JuPr	G8 V M6 V	{ 0 }	(B45-1)	[2585]		8	-220
Arzu	E	0711	Kungangfuk	D3244BA-A		Ni		300	JuPr	G9 V	{ -1 }	(833+3)	[1347]		10	216
Arzu	E	0715	Kfodha	A883997-B	K	Hi Pr Varg1		310	NaHu	M0 V M8 V	{ 3 }	(78D+1)	[AC6A]		9	728
Arzu	E	0716	Dakanikiguri	B47255A-B		He Ni		113	NaHu	F3 V M1 V	{ 1 }	(743-1)	[761C]		11	-84
Arzu	E	0718	Anweg	C79749A-9	M	Ni Pa		304	NaHu	F9 V	{ -1 }	(B34+1)	[3325]		11	132
Arzu	I	0722	Temkaka	A439679-A	K	Ni		514	JuHl	F3 V M8 V	{ 1 }	(A57-1)	[477C]		15	-350
Arzu	I	0723	Emug	A97988B-8		Ph Pi Varg1		513	JuHl	K7 V M9 V	{ 0 }	(D73-5)	[6829]		12	-1365
Arzu	I	0724	Byddklob	B998999-7	K	Hi In Varg1		304	JuHl	F2 V	{ 2 }	(58C-2)	[CB97]		17	-960
Arzu	I	0728	Le	B663ACF-9	K	Hi Varg1		514	JuHl	F8 V M1 V	{ 2 }	(B9B+1)	[BC2A]		10	1089
Arzu	M	0735	Rraeng	A538999-C		Hi		724	JuHl	G9 V M7 V	{ 3 }	(B8E-3)	[CC19]		16	-3696
Arzu	M	0736	Paukjatnik	C89A7CF-8		Wa Pi		905	JuHl	M9 V	{ -1 }	(D62+1)	[6657]		14	156
Arzu	M	0738	Oruengzila	A765ABB-D	K	Hi Ga Varg1		112	JuHl	F7 V	{ 3 }	(A97+1)	[8D7E]		11	630
Arzu	A	0802	Khurrgh	B65A99C-8	K	Hi Wa		404	JuPr	F7 V	{ 1 }	(988+4)	[AA99]		15	2304
