Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Beyo	A	0101	Delzin	C424630-8		Ni		211	NaHu	K5 V	{ -2 }	(852-1)	[44A9]		7	-80
Beyo	A	0104	Barba Amarilla	D440234-9	V	De He Lo Po An Co		313	MaCl	M0 V M5 V	{ -2 }	(E10+3)	[217C]		13	42
Beyo	A	0105	Shalimar	C867649-7		Ag Ni Ga Ri		611	MaCl	G6 V	{ 0 }	(854+1)	[6649]		12	160
Beyo	A	0107	Lanthesandra	D940576-6		De He Ni Po Ho		322	CoLg	K6 V	{ -3 }	(341+1)	[5295]		9	12
Beyo	A	0110	Luz Negra	C833684-9		Na Ni Po		212	CoLg	K7 V M3 V M1 V	{ -1 }	(A51-3)	[657A]		13	-150
Beyo	E	0111	Nehwon	D866572-4		Ag Ni Ga Pr		302	CoLg	G4 V	{ -2 }	(641+3)	[8379]		7	72
Beyo	E	0113	Al Mustan	C869363-8		Lo O:0314		521	CoLg	K2 V	{ -2 }	(920-1)	[4194]		9	-18
Beyo	E	0114	Gehenna	B5487AA-A	M	Ag Pi		414	CoLg	F5 V D	{ 3 }	(G6C+2)	[7A1A]		9	2304
Beyo	E	0116	Quatenon	D8A6674-4		Fl Ni (Aniyun) Tz		212	CoLg	M1 V	{ -3 }	(850+1)	[4361]		11	40
Beyo	E	0119	Sha'anoe	B863788-B		Ri Tz		713	CoLg	M1 V	{ 3 }	(B6A-2)	[8A8G]		14	-1320
Beyo	I	0121	Besulla	D500110-8		Lo Va Sa		504	CoLg	M6 V	{ -3 }	(900-1)	[1173]		9	-9
Beyo	I	0122	Rabanitas	A869446-B		Ni		422	CoLg	F9 V	{ 1 }	(934-2)	[254E]		7	-216
Beyo	I	0125	Thynca	C558621-7		Ag Ni		412	CoLg	K5 V	{ -1 }	(A53+1)	[7549]		6	150
Beyo	I	0127	Lyheric	A445834-D	KM	Pa Ph Pi		611	CoLg	M1 V M6 V	{ 3 }	(A7A+2)	[9B5B]		12	1400
Beyo	I	0128	Destrada	C511233-8		Ic Lo Ho Tz		502	CoLg	M1 V D	{ -2 }	(610+1)	[3175]		8	6
Beyo	I	0130	Dizuro	B000227-B		As Lo Va		301	NaHu	M3 V M4 V	{ 1 }	(A11+2)	[534C]		6	20
Beyo	M	0135	Khiiszarbi	B775684-A	K	Ag Ni		310	HeCo	K3 V	{ 2 }	(958+1)	[585B]		8	360
Beyo	M	0136	Trend	B562489-9		Ni Ho		410	HeCo	K1 V	{ 0 }	(635-2)	[6485]		8	-180
Beyo	A	0205	Alpha Centre	B668778-8	K	Ag Ri		512	MaCl	G8 V K4 V	{ 2 }	(C68+1)	[3987]		15	576
Beyo	A	0208	Gullan	XA02000-0		Ba Ic Va Tz		013	NaXX	M7 V	{ -3 }	(900+1)	[0000]		11	9
Beyo	E	0214	Z'chmel	D559614-4		Ni Sa		311	CoLg	M0 V M7 V	{ -3 }	(950-5)	[6332]		8	-225
Beyo	E	0216	Dorstyal	BA96847-B	KM	Pa Ph Pi		412	CoLg	K3 V	{ 3 }	(C78-2)	[CB6A]		11	-1344
Beyo	E	0218	Utopia	C855311-9		Lo Ga Da Ho Tr	A	510	CoLg	G3 V M1 V	{ -1 }	(720-2)	[7246]		5	-28
Beyo	E	0220	Innuit	CB97778-8		Ag Pi Co		421	CoLg	G2 V BD	{ 0 }	(668-5)	[8747]		11	-1440
Beyo	I	0226	Phoenix	C666559-9		Ag Ni Ga Pr		713	CoLg	G1 V	{ 0 }	(A45-4)	[15AC]		13	-800
Beyo	M	0232	Zydoquir	D522363-8		He Lo Po O:0630 Fr Sa		124	ZyCo	G2 V D	{ -3 }	(C20-1)	[4158]		14	-24
Beyo	M	0238	Deata Chi	D323240-6		Lo Po		812	NaHu	K8 V	{ -3 }	(910+1)	[1155]		12	9
Beyo	A	0304	Sextans	B767853-A	K	Ga Ri Pa Ph		920	MaCl	K3 V M1 V	{ 3 }	(776+1)	[7B6D]		10	294
Beyo	A	0307	Araataga	D446651-7		Ag Ni Fr Sa		424	MaCl	K6 V M3 V	{ -2 }	(752+2)	[7476]		10	140
Beyo	E	0311	Trayfowen	CA64549-9		Ag Ni Pr Co		522	CoLg	K1 V	{ 0 }	(D43+1)	[355A]		10	156
Beyo	E	0312	Chicomecal	D333322-8		Lo Po Ho Tz		324	CoLg	M2 V M2 V	{ -3 }	(A20+2)	[6185]		11	40
Beyo	E	0313	Qat's Key	CA54454-6		Ni Pa		324	CoLg	K5 V	{ -2 }	(230-4)	[3295]		15	-24
Beyo	E	0314	Corella	A864855-D	KM	Ri Pa Ph Cx		834	CoLg	G2 V G8 V	{ 4 }	(F7C+1)	[B958]		11	1260
Beyo	E	0316	Liberty	C4406BB-9	M	De He Ni Po Da Tz	A	312	CoLg	M1 V	{ -1 }	(655+2)	[555C]		8	300
Beyo	E	0318	Shangra La	EB66421-4		Ni Pa		515	CoLg	K3 V M1 V	{ -3 }	(230+1)	[5153]		13	6
Beyo	I	0328	Keshto	C645644-6		Ag Ni		324	NaHu	M0 V	{ -1 }	(551-4)	[6526]		11	-100
Beyo	I	0329	Indaraliggu	B57A557-B		Ni Wa Co Sa		423	CoLg	M0 V BD	{ 1 }	(D46+2)	[4647]		14	624
Beyo	M	0335	Efflung	CAC7100-C		Fl Lo Cx		723	HeCo	M8 V BD	{ 0 }	(B00+2)	[113E]		15	22
Beyo	M	0336	Teldarra	C8A8313-C		Fl Lo		413	HeCo	F4 V M1 V	{ 0 }	(920-1)	[432B]		13	-18
Beyo	M	0337	Eromnek	B4025A9-8		Ic Ni Va Sa		511	HeCo	M3 V M6 V	{ -1 }	(642+2)	[4436]		14	96
Beyo	M	0340	Gonzo	E872000-0		Ba He		014	NaXX	K1 V	{ -3 }	(800+2)	[0000]		14	16
Beyo	A	0401	Vlad	C664659-5		Ag Ni Ri		511	MaCl	G5 V	{ 0 }	(456+1)	[96A8]		7	120
Beyo	A	0402	Beaumonde	CA99974-B		Hi In Ho		433	MaCl	K9 V M4 V M0 V M5 V	{ 3 }	(F8D+3)	[BC5B]		13	4680
Beyo	A	0405	Lilith	D7665A7-5		Ag Ni Ga Pr Ho Tr		224	MaCl	K1 V K1 V	{ -2 }	(542-1)	[3327]		14	-40
Beyo	A	0409	Between	B996783-A		Ag Pi Ho		514	NaHu	G7 V	{ 3 }	(768+2)	[8A5A]		14	672
Beyo	E	0417	Aytah	A000463-D		As Ni Va O:0314		924	CoLg	M2 V	{ 1 }	(C36+4)	[355F]		13	864
Beyo	I	0422	Farhaven	D552325-3		Lo Po		733	CoLg	K4 V	{ -3 }	(520+4)	[1121]		17	40
Beyo	I	0423	Nowhere	E67A000-0		Ba Wa Fr Sa		023	CoLg	M1 V M2 V	{ -3 }	(300-4)	[0000]		11	-12
Beyo	I	0430	Nestor	B684216-C		Lo Ho Tr		323	NaHu	K2 V	{ 1 }	(B11+2)	[136F]		12	22
Beyo	M	0431	Zydanar	B442555-A		He Ni Po		512	ZyCo	M0 V M3 V	{ 1 }	(743-4)	[5658]		10	-336
Beyo	M	0432	Zydexnar	B852326-B		Lo Po Ho		323	ZyCo	F8 V	{ 1 }	(C21+1)	[8459]		17	24
Beyo	M	0434	Kuuna	D000225-9		As Lo Va		321	HeCo	M2 V	{ -2 }	(910+3)	[117B]		14	27
Beyo	M	0435	Bartinil	DA57147-6		Lo		610	HeCo	K2 V	{ -3 }	(700+2)	[1163]		5	14
Beyo	A	0504	Jheszes	C323250-8		Lo Po Co		522	MaCl	K7 V M2 V	{ -2 }	(D10-1)	[1176]		11	-13
Beyo	A	0506	Opar Nevis	D867872-6		Ga Ri Pa Ph		323	MaCl	F9 V	{ -1 }	(774-1)	[D732]		11	-196
Beyo	A	0507	Kawstee	C564595-6		Ag Ni Pr Sa		833	MaCl	K1 V M1 V	{ -1 }	(A42-2)	[4447]		15	-160
Beyo	A	0508	Bel's Station	B212313-A		Ic Lo Ho Sa		424	NaHu	M5 V BD	{ 1 }	(C21+1)	[741C]		16	24
Beyo	E	0511	Zeno	E613000-0		Ba Ic Tz		011	NaXX	M1 V	{ -3 }	(600+1)	[0000]		12	6
Beyo	E	0512	Tezcat	D548220-7		Lo		822	CoLg	K4 V K9 V	{ -3 }	(310-3)	[511A]		12	-9
