Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Cano	A	0107	Xuan	B554444-A	KM	Ni Pa		200	SoCf	K3 V	{ 2 }	(834+5)	[26AE]		10	480
Cano	A	0109	Edifice	E520125-7		De He Lo Po Tz		402	SoCf	G5 V M1 V	{ -3 }	(800-2)	[3143]		8	-16
Cano	A	0110	Novosibirsk	B665610-8		Ag Ni Ga Ri Tu		103	SoCf	M2 V M9 V	{ 1 }	(D52+1)	[9779]		11	130
Cano	E	0111	Sahuarita	B520698-7	KM	De He Na Ni Po		832	SoCf	F1 V	{ 0 }	(851+1)	[4676]		15	40
Cano	E	0112	Shiver	E648214-5		Lo Fr		713	SoCf	M1 V	{ -3 }	(510+1)	[1117]		8	5
Cano	E	0118	Hipponax	A889A8A-E	KM	Hi Cp		221	SoCf	K0 V M0 V	{ 4 }	(B9F+2)	[7E4A]		11	2970
Cano	I	0123	Mariya	E200111-7		Lo Va Sa		632	SoCf	A2 IV M2 V	{ -3 }	(500+1)	[5149]		15	5
Cano	I	0124	Cain	X300000-0		Ba Va Fo Co Tz	R	022	SoCf	M0 V M6 V	{ -3 }	(700-5)	[0000]		14	-35
Cano	I	0126	Lemain	E410000-0		Ba Ho Tz		011	SoCf	K9 V	{ -3 }	(700-5)	[0000]		12	-35
Cano	M	0134	Hwilrea	E756549-6		Ag Ni Ga		401	AsOf	G6 V	{ -2 }	(543+1)	[7325]		10	60
Cano	M	0137	Asalah	B587558-B		Ag Ni Pr		202	NaAs	M1 V	{ 2 }	(C43+1)	[575D]		8	144
Cano	A	0204	Dezerta	D630144-6		De Lo Po Ho Tz		203	SoCf	K9 V	{ -3 }	(700-1)	[2163]		13	-7
Cano	A	0208	Gliklik	C68A553-A		Ni Wa Pr Dolp4		530	SoCf	G5 V M3 V	{ 0 }	(942-1)	[454B]		12	-72
Cano	E	0213	Nuember	E410000-0		Ba Tz		002	SoCf	M2 V	{ -3 }	(300-5)	[0000]		10	-15
Cano	E	0218	Sulabha	D410361-8		Lo AslaW Tz Mr		102	SoCf	M3 V	{ -3 }	(E20+2)	[2175]		12	56
Cano	I	0221	Ambit	E100333-8		Lo Va		201	SoCf	K9 V	{ -3 }	(820+1)	[7189]		12	16
Cano	I	0222	Givatayim	A768A72-E	KM	Hi Cp		112	SoCf	G8 V	{ 4 }	(D99+3)	[8E4F]		11	3159
Cano	I	0224	Kiana Junction	C100400-9		Ni Va Co Tz		331	SoCf	M1 V	{ -1 }	(930+4)	[1337]		10	108
Cano	I	0225	Namwon	D587312-4		Lo		412	SoCf	F9 V M2 V	{ -3 }	(520-2)	[7117]		13	-20
Cano	I	0227	Maia	E655499-5		Ni Ga Pa (Sciapods)		203	SoCf	K2 V	{ -3 }	(232+1)	[7156]		9	12
Cano	M	0232	Suiaoyuais	D58A576-B		Ni Wa Pr Huma4		501	NaAs	G9 V	{ -1 }	(744-1)	[245E]		6	-112
Cano	M	0236	Hliy'oieaer	D5A59BC-B		Fl Hi In Fo Ho	R	402	NaAs	G9 V M8 V	{ 2 }	(E8B-2)	[AB4D]		8	-2464
Cano	M	0238	Yuhelralr	E9A562B-9		Fl Ni		201	NaAs	G7 V	{ -2 }	(550+1)	[3459]		7	25
Cano	M	0240	Eakhatryu	C410425-9		Ni Co Tz		713	NaAs	M2 V	{ -1 }	(834-5)	[131A]		13	-480
Cano	A	0301	Senmovigita	C410626-9		Na Ni Lk		302	SoCf	F6 V K2 V	{ -1 }	(753+1)	[655A]		8	105
Cano	A	0304	Brulanta	E410200-8		Lo Tz		101	SoCf	M1 V	{ -3 }	(910+1)	[1165]		11	9
Cano	A	0306	Eudroa	E775200-5		Lo		204	SoCf	G4 V M3 V	{ -3 }	(510-5)	[1114]		11	-25
Cano	A	0309	Maro	C99A672-7		Ni Wa		221	SoCf	G9 V M4 V M5 V	{ -2 }	(A51+4)	[9485]		10	200
Cano	E	0311	Corbine IV	E400965-7		Hi In Na Va O:0508 Co Tz		612	SoCf	M2 V	{ 0 }	(C89-5)	[8917]		13	-4320
Cano	E	0320	Amaranth	A673678-7		Ni		233	SoCf	F9 V	{ -1 }	(A50-1)	[4526]		17	-50
Cano	I	0326	Meliboea	E78A501-9		Ni Wa Pr		802	SoCf	K5 V	{ -2 }	(841+3)	[3325]		9	96
Cano	I	0327	Guyane	D202130-8		Ic Lo Va Tz		633	SoCf	M3 V M3 V	{ -3 }	(E00-2)	[1178]		17	-28
Cano	M	0335	Sunita	D654416-9		Ni Pa Lk Tr		601	NaAs	G6 V	{ -2 }	(B30-1)	[225C]		8	-33
Cano	M	0336	Iatoi	E62033A-7		De He Lo Po Tz		202	NaAs	M1 V	{ -3 }	(620-3)	[513B]		14	-36
Cano	A	0401	Tundro	E620558-7		De He Ni Po Co Tz		201	SoCf	M1 V	{ -3 }	(740+1)	[4247]		10	28
Cano	A	0403	Bream	A59A58B-D		Ni Wa Dolp3		211	SoCf	G6 V	{ 1 }	(447+2)	[5669]		8	224
Cano	A	0404	Dione	A664AA9-B		Hi Cp Lk		401	SoCf	G2 V	{ 3 }	(69E+1)	[BD8A]		10	756
Cano	E	0412	Germering	D100435-7		Ni Va Sa		211	SoCf	M3 V	{ -3 }	(332+2)	[4153]		9	36
Cano	E	0414	Qinglong	B310531-8		Ni Ho		503	SoCf	G6 V M0 V	{ -1 }	(845-3)	[445B]		10	-480
Cano	I	0422	Kobuk	C200422-7	K	Ni Va Co Tz		301	NaHu	M3 V	{ -2 }	(732+1)	[724C]		8	42
Cano	I	0425	Rancor	E313201-8		Ic Lo Tz		102	SoCf	M3 V	{ -3 }	(710-4)	[4168]		13	-28
