Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Cruc	A	0101	Aiwo	B685740-6		Ag Ga Ri		502	NaHu	A9 V F0 V	{ 2 }	(969-2)	[2911]		10	-972
Cruc	A	0103	Boe	B897875-A		Pa Ph Pi		301	NaHu	G2 V K7 V	{ 2 }	(B7B+1)	[6A38]		12	847
Cruc	A	0106	Acier	EAC5652-9		Fl Ni		920	NaHu	F9 V M1 V	{ -2 }	(A52-5)	[2415]		12	-500
Cruc	A	0109	Yaren	C574497-8		Ni Pa		410	NaHu	K1 V M2 V	{ -2 }	(731-2)	[4258]		7	-42
Cruc	E	0113	Jammu	B75A348-A		Lo Wa		900	NaHu	G6 V	{ 1 }	(521+1)	[345A]		8	10
Cruc	E	0120	Negril	D652694-3		Ni Po		712	NaHu	K4 V	{ -3 }	(851-5)	[4331]		12	-200
Cruc	I	0121	Okaya	A6298C9-A		Ph Pi Pz	A	104	GlFe	M3 V	{ 2 }	(E7B+3)	[9A6B]		16	3234
Cruc	I	0123	Suwa	D7C5305-9		Fl Lo		100	NaHu	M1 V	{ -2 }	(520-4)	[1137]		9	-40
Cruc	I	0124	Uda	C641238-5		He Lo Po		703	NaHu	F4 V	{ -2 }	(410-2)	[2155]		12	-8
Cruc	I	0129	Kilchu	C431141-6		Lo Po		400	NaHu	F3 V M1 V	{ -2 }	(300-5)	[1112]		11	-15
Cruc	M	0136	Zynki	E78A346-4		Lo Wa		404	NaHu	K7 V	{ -3 }	(520-4)	[2143]		13	-40
Cruc	M	0140	K'Mara	B534787-A		KarhW		411	KaWo	G8 V M1 V	{ 2 }	(B6B+2)	[795A]		10	1452
Cruc	A	0202	Baiti	B575524-B		Ag Ni		520	NaHu	G5 V M7 V	{ 2 }	(946+1)	[3739]		10	216
Cruc	A	0204	Anetan	C663659-8		Ni Ri		903	NaHu	M3 V	{ -1 }	(B53+1)	[7569]		11	165
Cruc	A	0206	Nauru	C599344-9		Lo		400	NaHu	F6 V M4 V	{ -1 }	(520-3)	[1237]		6	-30
Cruc	A	0209	Masinloc	B520210-7		De He Lo Po		501	NaHu	M2 V	{ -1 }	(410-5)	[1112]		8	-20
Cruc	E	0214	Fauve	A665756-C	K	Ag Ga Ri		703	GdKa	F7 V	{ 4 }	(C6E+3)	[6B4B]		6	3024
Cruc	E	0215	Nagar	D545655-5		Ag Ni		312	GdKa	M7 III	{ -2 }	(852-4)	[4433]		9	-320
Cruc	E	0217	Macroform	C542543-8		He Ni Po		500	NaHu	G9 V	{ -2 }	(742-5)	[2325]		10	-280
Cruc	E	0219	Ochon	E422430-7		He Ni Po		103	NaHu	M0 V	{ -3 }	(631-5)	[1112]		11	-90
Cruc	I	0222	Odate	A541643-A		He Ni Po		400	GlFe	M0 V	{ 1 }	(855-2)	[3727]		8	-400
Cruc	I	0225	Kobe	A5536B9-B	K	Ni Po Da	A	601	NaHu	M1 V M3 V	{ 1 }	(955+2)	[776C]		9	450
