Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Daib	E	0112	Korik	B200456-E	N	Ni Va		303	ImDi	M0 V	{ 1 }	(934+1)	[354D]	B	11	108
Daib	E	0114	Woomera	A5839CC-E		Hi Cp Pr Pz	A	600	ImDi	K3 V	{ 3 }	(B8F+5)	[CC8H]	BcEF	10	6600
Daib	E	0120	Illyana	B100413-E		Ni Va		303	ImDi	M2 V	{ 1 }	(934-2)	[152B]	B	13	-216
Daib	I	0122	Zypher	C78A646-A		Ni Ri Wa		202	ImDi	K3 V	{ 1 }	(A55+1)	[5749]	BC	8	250
Daib	I	0123	Luna	B100455-F	S	Ni Va		604	ImDi	M2 V	{ 1 }	(A34-1)	[253D]	B	8	-120
Daib	I	0124	Ostia	B888110-B		Lo		614	ImDi	K6 V	{ 1 }	(801-3)	[1216]	B	8	-24
Daib	I	0126	Ashima	C749984-B		Hi In		601	ImDi	M1 V M7 V	{ 3 }	(C8E+1)	[7C39]	BE	14	1344
Daib	I	0127	Sineli	A526476-E		Ni		203	ImDi	K0 V	{ 1 }	(934+1)	[354D]	B	7	108
Daib	M	0131	Townend	C410462-B		Ni O:Reav-3232		413	ImDi	K2 V M3 V	{ 0 }	(A33-4)	[1417]	B	8	-360
Daib	M	0133	Cynowa	C310544-B		Ni		413	ImDi	M2 V M3 V	{ 0 }	(B44-2)	[3539]	B	11	-352
Daib	M	0138	Elk	C100422-C		Ni Va		314	SoCf	M0 V M0 V	{ 0 }	(B33-4)	[1418]		13	-396
Daib	M	0139	Uston	A100A98-E		Hi In Na Va		902	SoWu	F4 V	{ 4 }	(E9G+4)	[AE5E]		13	8064
Daib	M	0140	Aston	A0005AC-E	KM	As Ni Va Cp Da	A	605	SoCf	M0 V	{ 2 }	(C46+5)	[878H]		18	1440
Daib	A	0210	Grumith	D8D5341-8		Lo Da	A	523	ImDi	M2 V	{ -3 }	(A20-5)	[1114]	B	11	-100
Daib	E	0220	Shinnar	B100403-F		Ni Va		604	ImDi	K0 IV M3 V	{ 1 }	(A34-2)	[152C]	B	11	-240
Daib	I	0223	Locri	E98A521-9		Ni Wa Pr		924	ImDi	M1 V M1 V	{ -2 }	(D42-5)	[1315]	Bc	9	-520
Daib	I	0228	Iulii	C855300-A		Lo Ga		710	ImDi	M0 V M1 V	{ 0 }	(620-4)	[1315]	B	9	-48
Daib	M	0236	Diana's World	B566576-B		Ag Ni Pr		603	SoCf	K0 V	{ 2 }	(A46+1)	[474A]		11	240
Daib	M	0237	Odin	A310558-E		Ni		534	SoCf	G0 V M1 V	{ 1 }	(E45+1)	[565E]		18	280
Daib	M	0240	Magyar	C424732-A		Pi		203	SoCf	M0 V	{ 1 }	(C6A-3)	[3816]		10	-2160
Daib	E	0316	Nyola	C76626A-9		Lo Ga O:0114		624	ImDi	F4 V M7 V	{ -1 }	(A10+1)	[417B]	B	10	10
Daib	E	0317	L'kus	C967557-A		Ag Ni Pr		702	ImDi	M0 V M6 V	{ 1 }	(945+1)	[565A]	BcC	11	180
Daib	E	0320	Vonid	E300454-A		Ni Va		102	ImDi	M1 V	{ -1 }	(832-3)	[2338]	B	13	-144
Daib	I	0323	Persistance	E432331-9		Lo Po		704	ImDi	G7 V	{ -2 }	(920-5)	[1115]	B	9	-90
Daib	I	0324	Troy	B774414-B		Ni Pa		320	ImDi	K0 V M1 V	{ 1 }	(834-1)	[2539]	Bc	12	-96
