Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Dark	A	0106	Uiwe	D100389-A	R	Lo Va Tz		523	AsMw	M2 V	{ -1 }	(A20+1)	[426B]		17	20
Dark	A	0107	Oukheayekh	C10068A-8		Na Ni Va Co		200	AsVc	K0 V	{ -2 }	(852+1)	[847A]		9	80
Dark	A	0109	Oifalrouw	A646215-9	R	Lo Co Tu		512	AsMw	G6 V	{ 0 }	(710-2)	[1237]		9	-14
Dark	E	0112	Htealyahwa	A585745-C	R	Ag Ri		104	AsVc	M1 V	{ 4 }	(D6E+2)	[5B3A]		14	2184
Dark	E	0114	Ouleawos	C556348-8		Lo Co Tz		302	AsVc	M2 V M2 V	{ -2 }	(720-2)	[3158]		10	-28
Dark	E	0115	Tyakhyo	D100389-A	R	Lo Va Tz		200	AsVc	M1 V	{ -1 }	(520+1)	[426B]		10	10
Dark	E	0116	Ftaikhao	B79A38A-A	R	Lo Wa		314	AsMw	G1 V	{ 1 }	(A21+3)	[547C]		10	60
Dark	E	0117	Hteoe	C594778-8	R	Ag Pi		603	AsSc	K2 V	{ 0 }	(C68+1)	[7758]		12	576
Dark	E	0120	Waeorsya	E100276-7		Lo Va Fo Lk	R	602	AsSc	G6 V M5 V	{ -3 }	(410-4)	[1146]		9	-16
Dark	I	0128	Eiyea	B8B3699-9	R	Fl Ni		714	AsTv	G3 V	{ 0 }	(D54+1)	[766A]		13	260
Dark	I	0130	Kteatau	E998123-7		Lo Fo	R	803	AsTv	K1 V	{ -3 }	(300-5)	[1124]		14	-15
Dark	M	0135	Aoaou	C9B6598-9		Fl Ni		323	AsMw	K0 V M8 V	{ -1 }	(C43-1)	[5459]		18	-144
Dark	M	0136	Iykye	C6B6686-9	T	Fl Ni Co		805	AsT7	F1 V	{ -1 }	(D53-2)	[5548]		10	-390
Dark	M	0140	Hkiho	E553267-7		Lo Po O:Iwah-3239 Lk		613	AsT2	F9 V M3 V	{ -3 }	(410-3)	[2157]		10	-12
Dark	A	0201	Yeasea	E58436A-7		Lo O:Iwah-3202 Tz		902	AsSc	M1 V M7 V	{ -3 }	(520-1)	[5179]		7	-10
