Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Dias	A	0103	Aladon	B6579CB-C		Hi Ga Pz	A	404	ImDs	G0 V	{ 3 }	(F8E+5)	[BC7E]	BE	13	8400
Dias	A	0104	Maxalla	A596444-D		Ni Pa		115	ImDs	M1 V	{ 1 }	(C34-1)	[253B]	Bc	13	-144
Dias	A	0108	Sikora	E874626-6		Ag Ni		104	ImDs	K2 V	{ -2 }	(852-3)	[5445]	BC	11	-240
Dias	E	0111	Mosul	C5868B9-8		Ri Pa Ph Pz	A	401	ImDs	M1 V	{ 0 }	(B78+1)	[9869]	BcCe	9	616
Dias	E	0113	Toga	X674200-5		Lo Fo	R	812	ImDs	K8 V M4 V	{ -3 }	(410-5)	[1111]		14	-20
Dias	E	0114	Ainor Lisea	C777510-9		Ag Ni		704	ImDs	M3 V M9 V	{ 0 }	(B44-4)	[1514]	BC	11	-704
Dias	E	0116	Karaguuka	D789655-8		Ni Ri		214	ImDs	G1 V M4 V	{ -2 }	(D52-4)	[4436]	BC	8	-520
Dias	E	0117	Zeranga	B100544-E		Ni Va		204	ImDs	A1 V	{ 1 }	(B45-1)	[363C]	B	7	-220
Dias	E	0120	Tomsk	C4247A8-A		Pi Pz	A	513	ImDs	M3 V M6 V	{ 1 }	(D6A+1)	[785A]	BD	7	780
Dias	I	0121	Cod	D553200-8		Lo Po		504	ImDs	M2 V M3 V	{ -3 }	(810-5)	[1113]	B	12	-40
Dias	M	0137	Keeper	C556312-9		Lo		403	ImDs	K9 V	{ -1 }	(820-5)	[1215]	B	9	-80
Dias	M	0138	Ranushana	E100586-A		Ni Va		304	ImDs	K3 V	{ -1 }	(B43-2)	[4449]	B	11	-264
Dias	M	0139	Kiev	A530132-9		De Lo Po		102	ImDs	M2 V	{ 0 }	(500-4)	[1115]	B	10	-20
Dias	A	0202	Chipper	B792743-A	N	He Pi		803	ImDs	M3 V	{ 2 }	(C6B-1)	[4927]	BD	8	-792
Dias	A	0206	Rann	X89A9AB-6		Hi In Wa Fo (Eershe'yaat)	R	314	ImDs	K4 V	{ 0 }	(B88+2)	[B978]		11	1408
Dias	A	0207	Justi	B686567-B	W	Ag Ni Ga Pr O:0209		304	ImDs	M2 V	{ 3 }	(B47+3)	[585B]	BcC	10	924
Dias	A	0209	Soyuz	B300948-E		Hi In Na Va		401	ImDs	M0 V	{ 4 }	(C8G+4)	[9D5E]	BEf	12	6144
Dias	E	0211	Emma	D591888-6		He Ph Pi		902	ImDs	M3 V	{ -2 }	(A75-2)	[8656]	BDe	12	-700
Dias	E	0213	Khaavu	C427631-A	S	Ni		404	ImDs	K4 V	{ 0 }	(C54-4)	[2616]	B	9	-960
Dias	E	0214	Baanis	C100120-C		Lo Va		903	ImDs	K5 V	{ 0 }	(600-4)	[1117]	B	13	-24
Dias	E	0215	Jalhoun	E310320-9		Lo		704	ImDs	K9 V M6 V	{ -2 }	(920-5)	[1114]	B	13	-90
Dias	E	0218	Yidii	E435577-9		Ni		912	ImDs	M3 V	{ -2 }	(A42-2)	[5359]	B	12	-160
Dias	E	0220	Kyzyl	E57649D-7		Ni Pa Da	A	103	ImDs	M2 V M2 V	{ -3 }	(631+1)	[819B]	Bc	15	18
Dias	I	0225	Karakaara	E642356-8		He Lo Po		603	ImDs	G8 V	{ -3 }	(820-4)	[2147]	B	12	-64
Dias	I	0227	Waken	D100762-9		Na Va Pi O:Daib-3226		602	ImDs	F0 IV M2 V	{ -1 }	(B68-5)	[3615]	BD	12	-2640
Dias	I	0228	Ebasha	A579546-E		Ni Cp		423	ImDs	M2 V M3 V	{ 1 }	(C45+1)	[464D]	BF	8	240
Dias	M	0232	Kimba	C55576A-8		Ag O:0532		301	ImDs	G5 V M5 V	{ 0 }	(A68+2)	[977A]	BC	7	960
Dias	M	0233	Siphon	B86A533-D		Ni Wa Pr		204	ImDs	M2 V M6 V	{ 1 }	(B45-2)	[262A]	Bc	9	-440
Dias	M	0236	Doom	X100566-7		Ni Va Fo O:0237 Px	R	723	ImDs	M1 V	{ -3 }	(741-4)	[4246]		10	-112
Dias	M	0237	Sunz	C8679A8-A		Hi Ga Pr		904	ImDs	K9 V	{ 2 }	(F8C+2)	[9B5A]	BcE	10	2880
Dias	M	0238	Kashi	C312488-B	S	Ic Ni		600	ImDs	F6 IV	{ 0 }	(633+1)	[445B]	B	13	54
Dias	A	0303	Jumar	C000794-B		As Na Va Pi		305	ImDs	A8 V	{ 1 }	(E6B-1)	[5839]	BD	10	-924
Dias	A	0306	Jae Mona	B200544-D		Ni Va Da	A	923	ImDs	K0 V	{ 1 }	(C45-1)	[363B]	B	17	-240
Dias	A	0310	Bayse	X6859B8-4		Hi Ga Pr Fo	R	505	ImDs	K1 V	{ -1 }	(B86-1)	[9854]		13	-528
Dias	E	0315	Chengdu	C537521-A		Ni		313	ImDs	K1 V	{ 0 }	(B44-4)	[1516]	B	12	-704
Dias	I	0323	Hannah	D979369-8		Lo O:Daib-3224		402	ImDs	M1 V	{ -3 }	(720-2)	[4169]	B	9	-28
Dias	I	0324	Kendell	B896664-A		Ag Ni O:Daib-3224		803	ImDs	A4 V	{ 2 }	(B56+1)	[4838]	BC	15	330
Dias	I	0326	Ebekiigase	C310543-B		Ni		802	ImDs	M3 V M5 V	{ 0 }	(944-3)	[2528]	B	13	-432
Dias	I	0327	Pane	C747676-8		Ag Ni		503	ImDs	K2 V	{ -1 }	(B53-2)	[5547]	BC	8	-330
Dias	M	0335	Khaasamiiri	C675468-9		Ni Pa O:0336		222	ImDs	M0 V	{ -1 }	(A32-1)	[4359]	Bc	13	-60
Dias	M	0336	Carl's World	B567844-A		Ri Pa Ph		425	ImDs	K2 V M7 V	{ 3 }	(H7C+1)	[6B38]	BcCe	15	1428
Dias	M	0338	Vornam	E675979-8		Hi In		604	ImDs	M0 V M5 V	{ 0 }	(F89+1)	[A969]	BE	15	1080
Dias	M	0339	Sequoia	A546548-D		Ag Ni		212	ImDs	G2 V	{ 2 }	(A46+2)	[575D]	BC	8	480
Dias	A	0401	Kampala	B645352-C		Lo		104	ImDs	K6 V M6 V	{ 1 }	(921-3)	[1418]	B	12	-54
Dias	A	0402	Apinar	A542310-D		He Lo Po		423	ImDs	M4 V	{ 1 }	(A21-3)	[1418]	B	8	-60
Dias	A	0406	Gentry	C681200-A		Lo		110	ImDs	M0 V M3 V	{ 0 }	(510-4)	[1215]	B	9	-20
Dias	A	0407	Isaasakhur	C310572-B		Ni		213	ImDs	M0 V	{ 0 }	(B44-4)	[1517]	B	9	-704
Dias	A	0410	Vita Levu	B6938CE-A		Ph Pi Pz	A	300	ImDs	K4 V M2 V	{ 2 }	(A7B+5)	[CA9E]	BDe	10	3850
Dias	E	0413	Allenwald	D310400-A		Ni		303	ImDs	M1 V M8 V M3 V	{ -1 }	(932-5)	[1315]	B	7	-270
Dias	E	0414	Kashaashii	D574400-8	S	Ni Pa		703	ImDs	M1 V	{ -3 }	(931-5)	[1113]	Bc	6	-135
Dias	E	0415	Ninja	C685862-8		Ga Ri Pa Ph Pz Chir6 O:0416	A	303	ImDs	K6 V M1 V	{ 0 }	(D78-4)	[4814]	BcCe	15	-2912
Dias	E	0416	Terra Far	A5448AF-C		Pa Ph Pi Pz	A	113	ImDs	G5 V M2 V	{ 2 }	(E7C+5)	[DAAH]	BcDe	13	5880
Dias	E	0417	Kosmo	C549799-9		Pi		703	ImDs	K3 V	{ 0 }	(C69+1)	[876A]	BD	11	648
Dias	E	0418	Cuttack	E575521-7		Ag Ni		810	ImDs	G3 V	{ -2 }	(742-5)	[1313]	BC	10	-280
Dias	I	0422	Hideous	C422798-A		He Na Po Pi Pz	A	302	ImDs	G4 V	{ 1 }	(B6A+1)	[785A]	BD	11	660
Dias	I	0425	Flehemu	B558544-B	N	Ag Ni		914	ImDs	G4 V M2 V	{ 2 }	(C46+1)	[3739]	BC	11	288
Dias	I	0430	Laruusalii	C410311-B		Lo Da	A	314	ImDs	K6 V M2 V M9 V	{ 0 }	(A20-4)	[1317]	B	13	-80
Dias	M	0431	Vision	A675553-E		Ag Ni		500	ImDs	M0 V M2 V	{ 2 }	(746-1)	[272B]	BC	13	-168
Dias	M	0432	Angebo	C200856-B		Na Va Ph Pi		903	ImDs	M0 V M0 V	{ 1 }	(D7B+1)	[794A]	BDe	8	1001
Dias	M	0440	Maasii	A540330-B		De He Lo Po		703	ImDs	G7 V	{ 1 }	(821-3)	[1416]	B	12	-48
Dias	A	0501	Fudge	C9D4534-A		Ni		223	ImDs	M1 V	{ 0 }	(C44-2)	[3538]	B	15	-384
Dias	A	0502	Guard	D764686-6		Ag Ni Ri		212	ImDs	G4 V	{ -1 }	(853-2)	[5545]	BC	6	-240
Dias	A	0503	Jamnagar	E99A620-8		Ni Wa		601	ImDs	M0 V M6 V	{ -3 }	(951-5)	[1313]	B	13	-225
Dias	A	0504	Neto	A300898-E	N	Na Va Ph Pi		912	ImDs	M3 V	{ 2 }	(D7D+2)	[8A5E]	BDe	12	2366
Dias	A	0510	Chuejou	B553499-B		Ni Po		224	ImDs	K0 V M3 V	{ 1 }	(C34+2)	[556C]	B	9	288
Dias	E	0511	Quota	A100362-F	N	Lo Va O:0512		813	ImDs	K2 V	{ 1 }	(921-3)	[141B]	B	7	-54
Dias	E	0512	Ferry	A647955-F		Hi In Cp Pz	A	203	ImDs	F3 V	{ 4 }	(E8G+2)	[7D3D]	BEF	8	3584
Dias	E	0514	Kovuu	D574373-7		Lo		800	ImDs	G6 V	{ -3 }	(520-5)	[1124]	B	7	-50
Dias	E	0515	Gai	C310673-A		Na Ni Da	A	534	ImDs	M0 V M6 V	{ 0 }	(F54-3)	[3627]	B	12	-900
Dias	E	0516	Niilushaga	C773559-A		Ni		803	ImDs	M2 V M7 V	{ 0 }	(A44+1)	[656B]	B	15	160
Dias	E	0518	Khuugar	E68758C-7		Ag Ni Ga Pr Da	A	615	ImDs	G2 V M8 V	{ -2 }	(742+1)	[838A]	BcC	9	56
Dias	E	0519	Futatsu	B542221-B	N	He Lo Po		510	ImDs	K1 V	{ 1 }	(511-3)	[1317]	B	13	-15
Dias	I	0521	Vigo	D552664-6		Ni Po O:0422		615	ImDs	M2 V	{ -3 }	(851-5)	[4334]	B	12	-200
Dias	I	0524	Pesuuzu	B766559-C	N	Ag Ni Ga Pr		204	ImDs	G1 V	{ 2 }	(B46+3)	[676D]	BcC	9	792
Dias	I	0526	Aahasu	C423100-C		Lo Po		600	ImDs	M2 V	{ 0 }	(300-4)	[1117]	B	12	-12
Dias	I	0529	Jinchi	C581212-9		Lo		523	ImDs	K5 V	{ -1 }	(910-5)	[1115]	B	12	-45
Dias	I	0530	Zokku	B575444-B		Ni Pa		504	ImDs	K2 V	{ 1 }	(A34-1)	[2539]	Bc	12	-120
Dias	M	0531	Attax	B5875AE-B		Ag Ni Pr Da	A	413	ImDs	K0 V	{ 2 }	(B46+5)	[979F]	BcC	7	1320
Dias	M	0532	Cumber	B3109CB-E		Hi In Na Cp Pz	A	813	ImDs	F4 V	{ 4 }	(F8G+5)	[BD7G]	BEF	8	9600
Dias	M	0533	Sheshene	B100733-D		Na Va Pi		614	ImDs	M2 V M2 V	{ 2 }	(E6D-1)	[492A]	BD	16	-1092
Dias	M	0534	Alone	E559532-8		Ni		323	ImDs	G2 V K9 V	{ -3 }	(C41-5)	[1214]	B	13	-240
Dias	M	0535	Jue-ni	B756358-C		Lo Ga		512	ImDs	M1 V M5 V	{ 1 }	(821+1)	[345C]	B	10	16
Dias	M	0536	Akureyri	C000555-D		As Ni Va		714	ImDs	M0 V	{ 0 }	(C44-2)	[353B]	B	9	-384
Dias	M	0537	Fazed	D310724-8		Na Pi		124	ImDs	K4 V M1 V	{ -2 }	(F66-4)	[5536]	BD	9	-2160
Dias	M	0538	Sanzbur	C522743-9		He Na Po Pi Pz	A	500	ImDs	M4 V	{ 0 }	(969-3)	[4726]	BD	8	-1458
Dias	A	0601	Rakhaasha	B310884-C		Na Ph Pi		100	ImDs	M1 V	{ 2 }	(A7C+1)	[6A3A]	BDe	8	840
Dias	A	0605	Gasudarsk	B100ABE-F		Hi In Na Va Pz	A	102	ImDs	M3 V	{ 4 }	(E9G+5)	[EE9K]	BEf	6	10080
Dias	A	0607	Feeble	B573331-B	N	Lo		700	ImDs	K5 V	{ 1 }	(521-3)	[1417]	B	13	-30
Dias	A	0608	Sadiishumar	B8D3685-B		Ni		910	ImDs	G0 V	{ 1 }	(955-1)	[4739]	B	14	-225
Dias	A	0609	Quelleff	A624753-E		Pi		505	ImDs	G1 V	{ 2 }	(E6D-1)	[492B]	BD	8	-1092
Dias	E	0616	Sudan	B691372-B		He Lo		725	ImDs	F2 V	{ 1 }	(C21-3)	[1417]	B	10	-72
Dias	E	0617	Vaasa	B423244-D		Lo Po		105	ImDs	M3 V	{ 1 }	(911-1)	[133B]	B	10	-9
Dias	I	0621	Hatfield	C100534-C		Ni Va		612	ImDs	M0 V	{ 0 }	(A44-2)	[353A]	B	6	-320
Dias	I	0626	Careful	E100757-A		Na Va Pi		304	ImDs	M1 V M6 V M9 V	{ 0 }	(D69+1)	[775A]	BD	13	702
Dias	I	0627	531-210	X99A675-5		Ni Wa Fo (Shrashee)	R	304	ImDs	K8 V	{ -3 }	(851-5)	[4333]		9	-200
Dias	I	0628	Arappa	C310663-A		Na Ni O:0532		811	ImDs	G1 V	{ 0 }	(A54-3)	[3627]	B	12	-600
Dias	I	0629	Quioxan	B100534-E		Ni Va Da	A	601	ImDs	M2 V M3 V	{ 1 }	(845-1)	[363C]	B	10	-160
Dias	M	0632	Fuquay	A42316B-F		Lo Po O:0532		103	ImDs	M1 V	{ 1 }	(601+3)	[327H]	B	16	18
Dias	M	0633	Varina	C769436-A		Ni		904	ImDs	K1 V M0 V	{ 0 }	(A33-1)	[3449]	B	9	-90
Dias	A	0701	Laagonaa	C55177A-8		Po Pz	A	522	ImDs	M2 V M4 V	{ -1 }	(D67+1)	[967A]	B	11	546
