Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Eali	A	0101	Oirlkho	B57357A-B		Ni		310	AsSc	M2 V	{ 1 }	(845+3)	[767D]		10	480
Eali	A	0103	Aisaukh	X43449A-6		Ni Fo	R	514	AsMw	M2 V	{ -3 }	(631-1)	[6178]		17	-18
Eali	A	0104	Ftearya	B8675A7-9		Ag Ni Ga Pr		924	AsWc	G7 III D	{ 1 }	(D45+1)	[5659]		16	260
Eali	A	0106	Yaiy'aho	B200166-A		Lo Va O:Hlak-3105		504	AsT9	K0 V	{ 1 }	(701+1)	[1249]		12	7
Eali	A	0107	Eayuya	C575167-8		Lo O:0405		924	AsTv	K7 V	{ -2 }	(900-2)	[1158]		13	-18
Eali	E	0113	Keiaoukhri	B3106AB-9		Na Ni Da	A	100	AsWc	M3 V M7 V	{ 0 }	(854+2)	[867B]		7	320
Eali	E	0114	Iywheiyel	A56A497-C		Ni Wa		903	AsWc	K1 V M7 V	{ 1 }	(934+1)	[455C]		10	108
Eali	E	0115	Eaalkhel	A7B459A-D		Fl Ni		310	AsWc	G2 V M0 V	{ 1 }	(845+3)	[767F]		11	480
Eali	E	0116	Hkauehirl	C7658DA-6		Ga Ri Pa Ph Pz	A	600	AsT8	M1 V	{ 0 }	(A77+2)	[A878]		9	980
Eali	E	0119	Ikheaaw	C74A7C8-A		Wa Pi Pz	A	204	AsWc	K4 V M2 V M1 V	{ 1 }	(D6A+1)	[785A]		13	780
Eali	I	0123	Yeltear	C566385-8		Lo		304	AsWc	M9 III D	{ -2 }	(920-4)	[1136]		7	-72
Eali	I	0124	Khaoworl	D310698-8		Na Ni		634	AsVc	M0 V M1 V	{ -3 }	(F51-3)	[6358]		19	-225
Eali	I	0127	Khtewiyh	C7A537A-8		Fl Lo		103	AsSc	M2 V M2 V	{ -2 }	(820+1)	[517A]		11	16
Eali	I	0130	Eawweaaw	D784148-7		Lo		613	AsT8	M7 II D	{ -3 }	(300-3)	[1157]		15	-9
Eali	M	0134	Eaeilr	E431145-6		Lo Po		802	AsWc	K9 III D	{ -3 }	(300-5)	[1134]		8	-15
Eali	A	0201	Uirloikha	C578498-9		Ni Pa		125	AsT6	K2 V	{ -1 }	(D32-1)	[4359]		15	-78
Eali	A	0206	Tluakheaiy	C5785A6-9		Ag Ni		913	AsMw	G9 II	{ 0 }	(B44-1)	[4548]		10	-176
Eali	A	0209	Oalrelyerl	C767497-8		Ni Ga Pa		204	AsVc	K0 V M7 V	{ -2 }	(A31-2)	[4258]		14	-60
Eali	A	0210	Eauioiwai	D563779-6		Ri Chir3		923	AsSc	K2 V	{ -1 }	(966+1)	[8667]		12	324
Eali	E	0213	Khteauwel	B6877A8-A		Ag Ga Ri		131	AsMw	K4 IV M9 V	{ 4 }	(D6D+4)	[7B5A]		16	4056
Eali	E	0215	Aihaowkhtirl	E100137-7		Lo Va		312	AsMw	M1 V	{ -3 }	(300-3)	[1157]		10	-9
Eali	I	0221	Areaarleih	A633476-6		Ni Po		624	AsSc	M2 V M2 V	{ -1 }	(632-2)	[3345]		15	-72
Eali	I	0222	Hluahyahe	X526148-7		Lo Fo	R	503	AsT0	M2 V M5 V	{ -3 }	(300-3)	[1157]		11	-9
Eali	I	0224	Eieyasoir	C69716B-9		Lo O:0523		804	AsTv	M1 V M5 V M5 V	{ -1 }	(700+1)	[317B]		9	7
Eali	I	0227	Khaiheista	C5428A6-8		He Po Ph Pi		101	AsVc	M2 V	{ -1 }	(B77-2)	[7747]		6	-1078
Eali	M	0231	Arlasye	C5467C9-8		Ag Pi Pz	A	313	AsT7	M3 V	{ 0 }	(D68+1)	[8769]		14	624
Eali	M	0233	Yawaaikh	B7A216A-C	T	Fl He Lo O:Hlak-3035		715	AsVc	M2 V	{ 1 }	(901+3)	[327E]		13	27
Eali	M	0234	Htaoairlawi	C422547-B		He Ni Po		304	AsMw	K3 V M1 V	{ 0 }	(B44+1)	[555B]		17	176
Eali	M	0240	Failraiskea	D788583-7		Ag Ni Pr		104	AsMw	F2 V	{ -2 }	(742-5)	[2324]		13	-280
Eali	A	0305	Oilrakhesaoh	C310495-B		Ni		414	AsVc	M2 V	{ 0 }	(B33-2)	[2439]		17	-198
Eali	A	0307	Yohiyalyo	B8B3447-A		Fl Ni		404	AsMw	M1 V M8 V	{ 1 }	(A34+1)	[455A]		8	120
Eali	A	0309	Aweakhei	A7A5147-C	R	Fl Lo		802	AsT9	K2 V	{ 1 }	(501+1)	[125C]		6	5
Eali	E	0311	Yeiyearailia	B100367-D		Lo Va O:0213		104	AsMw	G6 V	{ 1 }	(921+1)	[345D]		15	18
Eali	E	0318	Aulaiiyoileah	A310588-E		Ni		424	AsT6	M1 V	{ 1 }	(D45+1)	[565E]		11	260
Eali	E	0320	Ftuiheaoel	B64A267-C		Lo Wa O:0520		504	AsSc	M3 V	{ 1 }	(811+1)	[235C]		14	8
Eali	I	0322	Oiaoilr	B000477-B		As Ni Va		605	AsSc	K2 V	{ 1 }	(B34+1)	[455B]		14	132
Eali	M	0332	Yerlaiaie	E522686-7		He Na Ni Po		105	AsTv	M2 V	{ -3 }	(851-4)	[5346]		16	-160
Eali	A	0401	Yohiyalyo	C3105A5-A		Ni		904	AsT3	K2 V	{ 0 }	(B44-2)	[3538]		11	-352
Eali	A	0404	Kiryewola	B542499-9		He Ni Po		710	AsMw	G3 V M1 V	{ 0 }	(733+1)	[546A]		6	63
Eali	A	0405	Yofteihya	B3107B9-C		Na Pi Pz	A	900	AsTv	M0 V M2 V	{ 2 }	(96C+3)	[896D]		10	1944
Eali	A	0410	Yulyuaihyaoi	C531167-A		Lo Po O:0213		200	AsMw	K9 V	{ 0 }	(300+1)	[115A]		9	3
Eali	E	0414	Aliyaeakh	C424345-7	R	Lo		800	AsT3	M1 V M8 V	{ -2 }	(520-4)	[1135]		7	-40
Eali	E	0416	Iyaleweawaooi	B310168-9		Lo O:0213		303	AsMw	M5 III	{ 0 }	(600+1)	[1159]		9	6
Eali	E	0418	Teiih	E310786-8		Na Pi		313	AsWc	M3 V	{ -2 }	(D66-3)	[6547]		14	-1404
Eali	E	0419	Oukhheatrui	E31047B-9		Ni		424	AsSc	K4 V	{ -2 }	(C31+1)	[627B]		12	36
Eali	E	0420	Uieyuh	D8485A8-7		Ag Ni		421	AsVc	K4 V	{ -2 }	(742-2)	[5357]		8	-112
Eali	I	0422	Aiwaueil	C6665AB-9		Ag Ni Ga Pr Da	A	600	AsMw	M0 V	{ 0 }	(744+2)	[757B]		8	224
Eali	I	0427	Eiwiilroah	B55336B-A		Lo Po O:0627		304	AsVc	M3 V M8 V	{ 1 }	(921+3)	[547C]		12	54
Eali	I	0429	Ihhroeiyasas	C66A584-B		Ni Wa Pr		713	AsTv	G2 V	{ 0 }	(B44-2)	[3539]		14	-352
Eali	M	0431	O'hfyuiyw	B42467B-B	T	Ni		923	AsSc	G0 V	{ 1 }	(D55+3)	[877D]		16	975
Eali	M	0432	Auyashrakhew	C8B6487-A		Fl Ni		902	AsMw	M2 V	{ 0 }	(833+1)	[445A]		10	72
Eali	M	0437	Hyayelaa	D789484-8		Ni		203	AsVc	K0 V M3 V	{ -3 }	(931-5)	[2136]		8	-135
Eali	M	0439	Yoaokheah	C59A158-9		Lo Wa		603	AsTv	K0 V	{ -1 }	(600-1)	[1159]		16	-6
Eali	E	0511	Uawiywei	A772257-D		He Lo		524	AsMw	M1 V M7 V	{ 1 }	(A11+1)	[235D]		13	10
Eali	E	0512	Eilriaiaus	E57487A-6		Pa Ph Pi		623	AsSc	K1 V M0 V	{ -2 }	(A75+1)	[A678]		13	350
Eali	E	0513	Aokah	A574685-C		Ag Ni		600	AsMw	M0 II D	{ 2 }	(856+1)	[483A]		12	240
Eali	E	0514	Altleaair	A561169-C		Lo O:0513		305	AsMw	K7 II D	{ 1 }	(801+2)	[226D]		13	16
Eali	E	0517	Hleaew	C531597-8		Ni Po		821	AsVc	M3 V	{ -2 }	(A42-2)	[5358]		8	-160
Eali	E	0520	Uiheaail	A200775-E	R	Na Va Pi		514	AsSc	M1 V M5 V	{ 2 }	(E6D+1)	[593C]		13	1092
Eali	I	0522	Eaalrhteir	B100379-D		Lo Va		800	AsSc	G8 V M2 V	{ 1 }	(521+2)	[446E]		8	20
Eali	I	0523	Olrlauaai	B8C38C7-B	R	Fl Ph		300	AsTv	M0 III	{ 2 }	(A7C+2)	[8A5B]		9	1680
Eali	I	0530	Eahyeai	E543675-6		Ni Po		102	AsSc	K0 V	{ -3 }	(851-5)	[4334]		8	-200
Eali	M	0540	Aiwtleal	B5277CA-B	T	Pi Pz	A	214	AsVc	M2 V	{ 2 }	(E6C+4)	[997D]		10	4032
Eali	A	0603	Fiykhaseal	X692488-5		He Ni Fo	R	112	AsT5	M2 V M5 V	{ -3 }	(631-3)	[4155]		12	-54
Eali	A	0605	Arlyasoi	B87A389-D		Lo Wa		900	AsTv	M1 V	{ 1 }	(521+2)	[446E]		7	20
Eali	A	0607	Eaesyoalea	D8A85AA-8		Fl Ni Da	A	604	AsTv	G0 V	{ -3 }	(B41-1)	[727A]		15	-44
Eali	A	0608	Tyalhkehkaiiyw	B5615A9-B		Ni Pr		602	AsMw	M3 V	{ 1 }	(945+2)	[666C]		12	360
Eali	E	0611	Orlkheaala	A541688-C		He Ni Po		402	AsWc	A2 V	{ 1 }	(A55+1)	[675C]		12	250
Eali	E	0620	Iyrkyalo	C100584-7		Ni Va		800	AsWc	K1 V M6 V	{ -2 }	(742-4)	[3335]		9	-224
Eali	I	0622	Ktoeiliyi	C10068B-9		Na Ni Va		504	AsVc	G1 V	{ -1 }	(C53+1)	[857B]		11	180
Eali	I	0625	Eiriktakhha	B88A489-B		Ni Wa		513	AsMw	M5 II	{ 1 }	(A34+2)	[556C]		14	240
Eali	I	0627	Irii	B4236B7-9		Na Ni Po		112	AsVc	M2 V M7 V	{ 0 }	(B54+1)	[6659]		6	220
Eali	I	0629	Eoaoluu'hi'ye	BA8A372-A	T	Lo Oc		321	AsSc	K0 V	{ 1 }	(821-3)	[1416]		11	-48
Eali	I	0630	Khailraioil	C6378D8-7		Ph Pz	A	425	AsMw	M3 V	{ -1 }	(A77-1)	[8757]		15	-490
Eali	M	0635	Iyryakhye	C695488-7		Ni Pa		504	AsMw	K0 V M6 V	{ -2 }	(631-2)	[4257]		15	-36
Eali	M	0638	Eaeleal	C5377C8-8		Pz	A	703	AsTv	G1 V	{ -1 }	(C67-1)	[7658]		11	-504
Eali	M	0640	Eahouoire	E423277-9		Lo Po		703	AsSc	M3 V M7 V	{ -2 }	(710-2)	[2159]		8	-14
Eali	A	0702	Arsalreal	C9B4267-A		Fl Lo O:0805		202	AsTv	M1 V	{ 0 }	(610+1)	[225A]		8	6
Eali	A	0704	Tleiuiyah	C665478-9		Ni Ga Pa		604	AsSc	G8 IV M8 V	{ -1 }	(A32-1)	[4359]		8	-60
Eali	A	0706	Oiahalha	C9C8167-A		Fl Lo O:0805		204	AsTv	K6 V M1 V	{ 0 }	(700+1)	[115A]		13	7
Eali	A	0707	Hoahtei	E544694-6		Ag Ni		203	AsTv	M2 V	{ -2 }	(852-4)	[4434]		11	-320
Eali	A	0708	Eira	B99A345-A		Lo Wa		704	AsVc	M0 V M0 V	{ 1 }	(921-1)	[1438]		12	-18
Eali	A	0709	Asoiiyshkaul	C676167-9		Lo O:0807		904	AsVc	G3 II M4 V D	{ -1 }	(700-1)	[1159]		11	-7
Eali	E	0712	Kyoiluayahai	B89A6BA-C	R	Ni Wa Da	A	310	AsWc	M3 V	{ 1 }	(955+3)	[877E]		8	675
Eali	E	0719	Ailyuwftea	B1007CA-D		Na Va Pi Pz	A	923	AsWc	K1 V	{ 2 }	(E6D+4)	[997F]		9	4368
