Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Empt	A	0110	Akgakhong	C501100-B		Ic Lo Va VargW		910	JuRu	M1 V	{ 0 }	(400-4)	[1116]		14	-16
Empt	E	0111	Kfueng	D421435-7		He Ni Po Varg5		900	JuRu	M1 V M8 V	{ -3 }	(631-5)	[2135]		9	-90
Empt	E	0116	Laenthataek	C540541-5		De He Ni Po Varg6		802	JuRu	G2 V	{ -2 }	(742-5)	[1311]		10	-280
Empt	I	0127	Ababat	B7576BA-A	N	Ag Ni Ga Da Varg0	A	234	ImDa	K0 V	{ 2 }	(F56+4)	[887C]	BC	14	1800
Empt	I	0128	Saffron	A540373-C		De He Lo Po Varg2		203	ImDa	G2 V	{ 1 }	(821-2)	[1429]	B	6	-32
Empt	M	0132	Karsaka	B54055A-7		De He Ni Po		402	ImDa	F9 V	{ -1 }	(743+1)	[7479]	B	11	84
Empt	M	0134	Rommel	B7B6759-9		Fl		902	ImDa	M3 V	{ 1 }	(B6A+2)	[886A]	B	10	1320
Empt	M	0138	Guukerrii	A763200-E		Lo		101	ImDa	G1 V	{ 1 }	(511-3)	[1319]	B	8	-15
Empt	M	0139	Zukhisa	B5749C7-7		Hi In Varg0		712	ImDa	F9 V G5 V	{ 2 }	(B8B+2)	[9B57]	BE	10	1936
Empt	M	0140	Ishkhigu	D4138AD-7	S	Ic Na Ph Pi Pz Varg1	A	324	ImDa	K1 V	{ -2 }	(A76+2)	[C69B]	BDe	16	840
Empt	A	0201	Odzsouu	C89A557-9		Ni Wa Varg1 Bwap4		423	JuRu	G1 V	{ -1 }	(C43-1)	[5459]		12	-144
Empt	A	0204	Sekhthodu	B7C3434-9		Fl Ni		624	JuRu	M1 V M5 V	{ 0 }	(C33-2)	[2437]		12	-216
Empt	A	0205	Roenksu	B65A558-9	KM	Ni Wa Varg2 Bwap3		922	JuRu	K4 V M6 V	{ 1 }	(B45+1)	[5659]		15	220
Empt	A	0206	Kuell	A572774-A		He Pi Varg3 Bwap0		524	JuRu	K2 V	{ 2 }	(F6B+1)	[5938]		17	990
Empt	A	0208	Ikon	C553AC7-C	M	Hi Po Varg4 Bwap0		103	JuRu	K5 V	{ 2 }	(F9D+2)	[AC5C]		12	3510
Empt	E	0213	Thaeallikh	B5666A9-6		Ag Ni Ri VargW		723	JuRu	G0 V	{ 1 }	(855+2)	[7767]		13	400
Empt	E	0216	Vuensoe	E542320-5		He Lo Po VargW		702	JuRu	F9 V	{ -3 }	(520-5)	[1111]		7	-50
Empt	I	0227	Lukaau	B550757-A	S	De Po Varg0		303	ImDa	K0 V	{ 2 }	(C6B+2)	[795A]	B	12	1584
Empt	I	0228	Mikik	X540975-5		De He Hi In Po Fo	R	523	ImDa	M0 V	{ 0 }	(B88-2)	[7933]		11	-1408
Empt	I	0229	Wesaswek	A8868DB-A		Ga Ri Pa Ph Pz BwapW	A	225	ImDa	F5 V	{ 3 }	(H7C+5)	[AB7C]	BcCe	10	7140
Empt	M	0231	Surogota	C554557-6		Ag Ni (Xu'rokotani)		323	ImDa	G9 V	{ -1 }	(743-1)	[5456]	BC	8	-84
Empt	M	0232	Sharduuaan	D533335-6		Lo Po		523	ImDa	K8 V	{ -3 }	(520-5)	[1134]	B	8	-50
Empt	M	0234	Barindra	D77A645-6		Ni Wa		123	ImDa	K3 V M6 V	{ -3 }	(851-5)	[4334]	B	14	-200
Empt	M	0238	Kali	B300567-C		Ni Va Varg7 O:0338		620	ImDa	K7 V	{ 1 }	(945+1)	[565C]	B	12	180
Empt	A	0302	Knaekiril	A540500-9		De He Ni Po Varg7		623	JuRu	G0 V	{ 0 }	(C44-4)	[1514]		12	-768
Empt	A	0305	Suezkha	B543463-8		Ni Po VargW O:0206		323	JuRu	K5 V	{ -1 }	(B32-4)	[1325]		16	-264
Empt	A	0308	Gvurrdakh	C6538AA-7		Po Ph Pz VargW	A	703	JuRu	M1 V	{ -1 }	(A77+1)	[A779]		8	490
Empt	E	0311	Aerrogh	C54048A-8		De He Ni Po Varg8		823	JuRu	G2 V M0 V	{ -2 }	(B31+1)	[627A]		9	33
Empt	E	0314	Saerrogh	B310100-E		Lo Varg3 Bwap0		113	JuRu	M4 V	{ 1 }	(701-3)	[1219]		12	-21
Empt	I	0325	Faiza	A798245-B		Lo		823	NaHu	G2 V	{ 1 }	(911-1)	[1339]		9	-9
Empt	I	0327	Upkugi	D64A557-6		Ni Wa Varg0		700	ImDa	M1 V M6 V	{ -3 }	(741-3)	[5256]	B	8	-84
Empt	I	0328	Hadiya	A201115-E		Ic Lo Va		423	NaHu	K3 V M7 V	{ 1 }	(801-1)	[123C]		12	-8
Empt	I	0329	Wabeab	E566699-6		Ag Ni Ri Bwap9		824	ImDa	G1 V M0 V	{ -1 }	(853+1)	[7567]	BC	17	120
Empt	M	0334	Gudina	C78699B-9		Hi Ga Pr Pz Bwap0	A	224	ImDa	G6 V M4 V	{ 1 }	(H8B+3)	[BA7B]	BcE	9	4488
Empt	M	0337	Pugaash	B896867-6		Pa Ph Pi Mr		523	ImDa	G7 V M4 V	{ 0 }	(A77+1)	[8856]	BcDe	14	490
Empt	M	0338	Nulinad	A556994-9	NS	Hi Cs Bwap1 Varg0		623	ImDa	K6 V M0 V	{ 3 }	(G8D+1)	[7C37]	BEF	14	1664
Empt	M	0339	Harshad	C559113-A		Lo Bwap0		922	ImDa	G4 V	{ 0 }	(700-3)	[1127]	B	8	-21
Empt	M	0340	Gagukam	B566465-7		Ni Pa Bwap0 O:0338		422	ImDa	F7 V M6 V	{ -1 }	(632-3)	[2335]	Bc	11	-108
Empt	A	0406	Varkh Bhargra	B100316-9		Lo Va		124	JuRu	M1 V M8 V	{ 0 }	(B20-1)	[2348]		17	-22
Empt	A	0410	Tsai	C686641-4		Ag Ni Ga Ri Varg0		713	JuRu	K5 V	{ 0 }	(854-4)	[2611]		11	-640
Empt	E	0414	Kakhasaek	C875876-7		Pa Ph Pi VargW		910	JuRu	K4 V	{ -1 }	(A77-2)	[7746]		10	-980
Empt	I	0426	Marhaban	A5697AB-D		Ri Cp Pz (Bwaps)	A	801	ImDa	G4 V M0 V M2 V M6 V	{ 3 }	(A6E+5)	[9A7F]	BCF	12	4200
Empt	M	0435	Gingesh	A42059C-C		De He Ni Po Da	A	413	ImDa	G8 V M3 V	{ 1 }	(B45+4)	[868F]	B	11	880
Empt	M	0439	Jinendra	C656523-9		Ag Ni Ga		622	ImDa	G0 V	{ 0 }	(B44-3)	[2526]	BC	7	-528
