Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Forn	A	0102	Cianan	B565553-9		Ag Ni Pr		814	ImDc	G3 V	{ 1 }	(C45-2)	[2626]	BcC	11	-480
Forn	A	0106	Imondec	B580310-B		De Lo		902	ImDc	M0 V M4 V	{ 1 }	(721-3)	[1416]	B	15	-42
Forn	A	0107	Casidhe	B000655-D		As Na Ni Va		315	ImDc	G1 V	{ 1 }	(E55-1)	[473B]	B	13	-350
Forn	A	0109	Gimki	E869569-6		Ni Pr O:0209		100	ImDc	M3 V	{ -3 }	(741-2)	[6267]	Bc	8	-56
Forn	E	0113	Proust	A89A368-B		Lo Wa O:0114		303	ImDc	M1 V	{ 1 }	(821+1)	[345B]	B	13	16
Forn	E	0114	Empuura	A8B5753-D		Fl		803	ImDc	G4 V	{ 2 }	(C6D-1)	[492A]	B	11	-936
Forn	E	0120	Resh	C692233-9		He Lo		700	ImDc	G5 V M1 V	{ -1 }	(410-4)	[1126]	B	4	-16
Forn	I	0124	Hankel	C654320-9		Lo		502	ImDc	G2 V M5 V	{ -1 }	(720-5)	[1214]	B	10	-70
Forn	I	0127	Alia	A427787-C		Pi		400	ImDc	K0 V	{ 2 }	(96C+2)	[795C]	BD	13	1296
Forn	I	0128	Kaar	B998552-9		Ag Ni		810	ImDc	M2 V	{ 1 }	(845-3)	[1615]	BC	14	-480
Forn	M	0133	Eng	C546445-8		Ni Pa		704	ImDc	M0 V	{ -2 }	(A31-4)	[2236]	Bc	7	-120
Forn	M	0134	Guimaas	C424564-B		Ni O:0135		404	ImDc	M3 V	{ 0 }	(B44-2)	[3539]	B	13	-352
Forn	M	0135	De Hall	A866651-D		Ag Ni Ga Ri		604	ImDc	G8 V	{ 3 }	(C57-1)	[2919]	BC	17	-420
Forn	M	0136	South	A547200-E		Lo		903	ImDc	K0 V M0 V	{ 1 }	(711-3)	[1319]	B	11	-21
Forn	M	0140	Noos	A556779-C		Ag		400	ImDc	G6 V	{ 3 }	(96D+4)	[8A6D]	BC	4	2808
Forn	A	0202	Giiar Me	E435568-9		Ni O:0302		310	ImDc	K3 V M1 V	{ -2 }	(842-2)	[5359]	B	9	-128
Forn	A	0203	Sefe	C200576-B		Ni Va		212	ImDc	M5 III	{ 0 }	(A44-1)	[454A]	B	13	-160
Forn	A	0208	Holst	C567634-5		Ag Ni Ri		423	ImDc	M1 V	{ 0 }	(854-2)	[4633]	BC	10	-320
Forn	A	0209	Shiirkan	A302955-E	NW	Hi Ic In Na Va Cp		422	ImDc	K1 V	{ 5 }	(F8H+3)	[7E3C]	BEF	12	6120
Forn	E	0211	Geam	C000642-A		As Na Ni Va		621	ImDc	M2 V M9 V M5 V	{ 0 }	(B54-4)	[2616]	B	12	-880
Forn	E	0212	Polor	C658169-9		Lo O:0114		400	ImDc	M3 V	{ -1 }	(300+1)	[216A]	B	13	3
Forn	E	0214	Rokke	B557633-6		Ag Ni		400	ImDc	M3 V M6 V	{ 0 }	(854-3)	[3623]	BC	3	-480
Forn	E	0216	Rudde	B424503-E		Ni		800	ImDc	M2 V M7 V	{ 1 }	(745-2)	[262B]	B	10	-280
Forn	E	0217	Miidkhim	C899487-A		Ni		400	ImDc	K9 V	{ 0 }	(633+1)	[445A]	B	13	54
Forn	I	0222	Niall	C54179C-8		He Po Pi Pz	A	613	ImDc	M2 V	{ -1 }	(D67+2)	[A68B]	BD	10	1092
Forn	I	0223	Arenim	A52077A-C	N	De He Na Po Pi		703	ImDc	M0 V	{ 2 }	(C6C+4)	[997E]	BD	11	3456
Forn	I	0226	Misharkin	D856952-9	S	Hi Ga		512	ImDc	M1 V	{ 0 }	(E8A-4)	[5915]	BE	12	-4480
