Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Gate	I	0127	Tanis	DA89654-8		Ni Ri		220	NaHu	F0 V	{ -2 }	(A52-4)	[4436]		8	-400
Gate	I	0130	Far Portal	A438546-A	K	Ni		823	NaHu	M4 III	{ 1 }	(C45+1)	[4649]		12	240
Gate	M	0135	Harper	E647ABC-9		Hi In Pz	A	115	NaHu	F9 V G9 V	{ 1 }	(J9B+4)	[DB8C]		14	7128
Gate	M	0140	Brevin	D563310-7		Lo		120	NaHu	F7 V	{ -3 }	(520-5)	[1112]		9	-50
Gate	I	0230	Costavan	C560431-9		De Ni		601	NaHu	F4 V G0 V	{ -1 }	(732-5)	[1315]		7	-210
Gate	M	0233	Renaldo	C430668-9		De Na Ni Po O:0332		323	NaHu	K2 V M6 V	{ -1 }	(D53-1)	[6559]		16	-195
Gate	M	0236	Hesperinth	E673675-6		Ni		905	NaHu	F3 V	{ -3 }	(851-5)	[4334]		14	-200
Gate	M	0239	Hadley Station	CABA241-8		Fl Lo		913	NaHu	M3 V	{ -2 }	(810-5)	[1114]		12	-40
Gate	I	0323	Newpontere	D597488-7		Ni Pa		724	NaHu	F2 V M8 V	{ -3 }	(631-3)	[4157]		16	-54
Gate	I	0327	Castamaria	C64A672-A		Ni Wa		201	NaHu	F6 V	{ 0 }	(954-4)	[2616]		7	-720
Gate	M	0332	Caldwell	A401654-A	K	Ic Na Ni Va		423	NaHu	M3 V	{ 1 }	(D55-1)	[4738]		12	-325
Gate	M	0334	Baker	A87679B-8	K	Ag Pi Pz	A	105	NaHu	F9 V	{ 1 }	(E69+3)	[987A]		9	2268
Gate	M	0337	Thomwell	B7768AB-8		Pa Ph Pi Pz	A	601	NaHu	A3 V G3 V	{ 0 }	(B78+2)	[A87A]		13	1232
Gate	M	0340	Mork	C558445-4		Ni Pa		711	NaHu	F3 V	{ -2 }	(631-4)	[2232]		12	-72
Gate	A	0407	Isolation	C7C2500-B		Fl He Ni		714	NaHu	K1 V K8 V	{ 0 }	(C44-4)	[1516]		15	-768
Gate	I	0425	Redstorm	D626888-7		Ph Pi		900	GaFd	F7 V	{ -2 }	(A76-2)	[8657]		11	-840
Gate	I	0430	Tamerij	B567998-B		Hi Pr		305	GaFd	F2 V M9 V	{ 3 }	(G8E+3)	[9C5B]		16	5376
Gate	M	0433	Dumnar	C554511-7		Ag Ni		700	GaFd	A3 V F2 V	{ -1 }	(743-5)	[1413]		5	-420
Gate	M	0437	Pendejest	BAB5558-8		Fl Ni		621	NaHu	M1 V M1 V	{ -1 }	(A43-1)	[5458]		12	-120
Gate	A	0502	Winternight	C516254-A		Ic Lo		522	NaHu	M6 II D	{ 0 }	(810-2)	[1238]		8	-16
Gate	E	0515	Splinter	DAAA300-8		Fl Lo		212	NaHu	M0 V	{ -3 }	(820-5)	[1113]		10	-80
Gate	I	0527	Amberinth	C7858A7-8		Ga Ri Pa Ph (Dastri)		900	GaFd	G1 V	{ 0 }	(A78+1)	[8858]		4	560
Gate	I	0528	Tharver	B775985-9	K	Hi In		111	GaFd	F3 V	{ 3 }	(D8D+1)	[7C37]		9	1352
Gate	M	0534	Monopoly	C88889A-5		Ri Pa Ph		213	GaFd	F2 V	{ 0 }	(A77+2)	[A877]		14	980
Gate	M	0536	Grom	EAA5350-8		Fl Lo		601	NaHu	M1 V	{ -3 }	(620-5)	[1113]		7	-60
Gate	I	0622	Ithelu	C675512-9		Ag Ni		933	NaHu	F4 V	{ 0 }	(D44-4)	[1515]		14	-832
Gate	I	0625	Revonis	B420410-A		De He Ni Po		602	GaFd	M1 V	{ 1 }	(834-3)	[1515]		8	-288
Gate	I	0629	Williwaw	E999533-5		Ni		402	GaFd	F3 V	{ -3 }	(741-5)	[2222]		9	-140
Gate	M	0631	Sanderay	C59A578-9		Ni Wa		911	GaFd	F5 V	{ -1 }	(943-1)	[5459]		11	-108
Gate	M	0637	Jove	C310643-9		Na Ni		912	NaHu	F4 V M0 V	{ -1 }	(B53-4)	[3526]		12	-660
Gate	M	0639	Basternevis	C575556-8		Ag Ni		521	NaHu	F6 V M4 V	{ -1 }	(A43-2)	[4447]		8	-240
Gate	E	0720	Hollmann	C9B4489-9		Fl Ni		313	NaHu	M1 V	{ -1 }	(A32+1)	[536A]		8	60
Gate	I	0724	Carper	C000447-B		As Ni Va		933	GaFd	A4 V F4 V	{ 0 }	(C33+1)	[445B]		12	108
Gate	I	0727	Thermal	D752500-8		Ni Po		224	GaFd	F1 V G6 V	{ -3 }	(D41-5)	[1213]		15	-260
Gate	M	0732	Basilisk	D300674-7		Na Ni Va		402	GaFd	F3 V	{ -3 }	(851-5)	[4335]		8	-200
Gate	M	0735	Shivaree	E768758-7		Ag Ri		812	NaHu	F7 V	{ 0 }	(968+1)	[7757]		11	432
Gate	A	0801	Glee	B430679-A		De Na Ni Po		310	NaHu	K4 V	{ 1 }	(955+2)	[776B]		12	450
Gate	A	0804	Fornook	C100403-9		Ni Va		102	NaHu	M0 V	{ -1 }	(832-4)	[1326]		14	-192
Gate	I	0825	Corstation	C005100-8		As Ic Lo Va		211	GaFd	M0 V M1 V	{ -2 }	(500-5)	[1113]		14	-25
Gate	M	0831	Grosbeak	C7C2200-A		Fl He Lo		710	GaFd	M3 V M5 V	{ 0 }	(510-4)	[1215]		8	-20
Gate	M	0832	Aqua Marina	B58A854-A		Ri Wa Ph		400	GaFd	G7 V M7 V	{ 3 }	(A7C+1)	[6B38]		6	840
Gate	M	0837	Rock	E420200-7		De He Lo Po		112	NaHu	G4 V	{ -3 }	(410-5)	[1112]		15	-20
Gate	M	0838	Somberview	B310899-7		Na Ph Pi		602	NaHu	F2 V	{ 0 }	(A78+1)	[9868]		15	560
Gate	B	0901	Hishan	C200478-9		Ni Va		211	NaHu	G6 V	{ -1 }	(832-1)	[4359]		12	-48
Gate	B	0908	Ploor	C553310-7		Lo Po		821	NaHu	A6 V F4 V	{ -2 }	(520-5)	[1112]		13	-50
Gate	J	0921	Salur	B746989-A	K	Hi In		911	GaFd	M0 V M2 V	{ 4 }	(D8E+5)	[AD6B]		9	7280
Gate	J	0928	Galesta	C797988-9		Hi In		310	GaFd	F3 V	{ 2 }	(C8C+2)	[9B59]		7	2304
Gate	N	0934	Vinie's World	C4357CC-6		Pz	A	401	NaHu	M3 II D	{ -1 }	(966+2)	[A689]		7	648
Gate	N	0938	Crostan	C543642-5		Ni Po		202	NaHu	A3 V F4 V	{ -2 }	(852-5)	[2411]		15	-400
Gate	F	1012	Gulf	D679443-7		Ni		913	NaHu	F3 V	{ -3 }	(631-5)	[1124]		11	-90
Gate	F	1016	Pasternak	B301698-A		Ic Na Ni Va		214	NaHu	G3 V	{ 1 }	(D55+1)	[675A]		13	325
Gate	F	1019	Terrier	C869575-A		Ni Pr		813	GaFd	K9 V	{ 0 }	(B44-2)	[3538]		8	-352
Gate	J	1022	Carver's Range	C669642-8		Ni Ri		712	GaFd	G2 V	{ -1 }	(B53-5)	[2514]		14	-825
Gate	J	1026	Xandolar	D626888-7		Ph Pi		514	GaFd	F7 V	{ -2 }	(A76-2)	[8657]		15	-840
Gate	J	1030	Hanumisk	B642998-A		He Hi In Po		112	GaFd	G6 V	{ 4 }	(E8E+4)	[9D5A]		10	6272
Gate	N	1034	Pathway	C748551-A	NS	Ag Ni		113	CsIm	G0 V M9 V	{ 2 }	(B46-2)	[1716]		9	-528
Gate	N	1039	Indolence	D585430-7		Ni Pa		912	NaHu	F6 V	{ -3 }	(631-5)	[1112]		7	-90
Gate	B	1101	Guntar	A8969AA-A		Hi In Pz	A	222	HoPA	G5 V	{ 4 }	(F8E+5)	[BD7C]		12	8400
Gate	B	1105	Vandemeerin	D87876A-6		Ag Pi O:1108		312	NaHu	G4 V	{ -1 }	(966+1)	[9678]		12	324
Gate	B	1108	Aldo	B200623-A	K	Na Ni Va		412	NaHu	M1 V	{ 1 }	(B55-2)	[3727]		13	-550
Gate	J	1121	Cresta	C768988-A		Hi Pr		311	GaFd	K0 V	{ 2 }	(D8C+2)	[9B5A]		8	2496
Gate	J	1124	Perelaar	D8A8997-9		Fl Hi In		123	GaFd	F8 V M2 V	{ 1 }	(G8B+1)	[9A59]		13	1408
Gate	J	1126	Tarabalu	D554456-8		Ni Pa		711	GaFd	F9 V	{ -3 }	(831-4)	[3147]		15	-96
