Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Glim	A	0105	Ker	C896444-7		Ni Pa		922	NaHu	K4 V M4 V	{ -2 }	(631-4)	[2235]		13	-72
Glim	I	0125	Ipdamgasi	B693256-8		Lo		404	NaHu	M1 V	{ -1 }	(810-2)	[1147]		14	-16
Glim	I	0126	Gadir Murgis	A584630-A		Ag Ni Ri		904	NaHu	K9 V	{ 3 }	(C57-1)	[1915]		13	-420
Glim	M	0131	Paradise	B300A9D-D	N	Hi In Na Va Cp Pz	A	412	ImDg	M2 V M9 V	{ 4 }	(F9G+5)	[EE9H]	BEF	7	10800
Glim	M	0133	Mesinam	C564421-5		Ni Pa		924	ImDg	M2 V	{ -2 }	(631-5)	[1211]	Bc	16	-90
Glim	A	0206	Idkhusi	E435215-6		Lo		720	CsIm	K2 V	{ -3 }	(410-5)	[1134]		12	-20
Glim	I	0230	Shalakur	B656775-6		Ag Ga		723	ImDg	K2 V K3 V	{ 1 }	(968-1)	[5834]	BC	11	-432
Glim	M	0233	Arrilinshu	D757545-2		Ag Ni Ga		803	ImDg	K4 V	{ -2 }	(742-4)	[3331]	BC	15	-224
Glim	M	0236	Manei Lu	D86A252-7		Lo Wa		415	ImDg	G1 V	{ -3 }	(410-5)	[1113]	B	17	-20
Glim	I	0324	Sheridan	A525ACF-C	KM	Hi In Pz	A	613	NaHu	M0 V	{ 5 }	(G9G+5)	[FFAH]		9	11520
Glim	I	0327	Merbizinkhi	B566210-B	KM	Lo		211	NaHu	M2 V	{ 2 }	(612-2)	[1416]		9	-24
Glim	I	0329	Khamkhabu	C878873-7		Pa Ph Pi		114	NaHu	M1 V M9 V	{ -1 }	(A77-4)	[5724]		16	-1960
Glim	M	0331	Eduukhiima	B100537-D		Ni Va		213	ImDg	G4 V M4 V	{ 1 }	(B45+1)	[565D]	B	8	220
Glim	M	0336	Dashanilin	B100102-A		Lo Va		514	ImDg	K9 V	{ 1 }	(801-3)	[1216]	B	8	-24
Glim	M	0338	Dimirbukhiir	D889500-4		Ni Pr Da	A	105	ImDg	K8 V M0 V	{ -3 }	(741-5)	[1211]	Bc	12	-140
Glim	I	0424	Chilok	C426512-A		Ni		714	NaHu	K4 V	{ 0 }	(C44-4)	[1516]		14	-768
Glim	I	0430	Dakharili	B574555-B		Ag Ni		314	ImDg	K4 V	{ 2 }	(C46+1)	[3739]	BC	8	288
Glim	M	0431	Guziikumgii	D591678-5		He Ni		804	ImDg	M3 V	{ -3 }	(851-3)	[6355]	B	10	-120
Glim	M	0432	Sha	AA97334-A	W	Lo		814	ImDg	F7 V	{ 2 }	(A22+1)	[1538]	B	15	40
