Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Gvur	A	0104	Enjtodl	C8A8100-8	M	Fl Lo		501	ZhIN	K4 V M4 V	{ -2 }	(400-5)	[1113]		12	-20
Gvur	E	0112	Fufoekkfal	E638665-6		Ni (Katl*lalt)		312	VTzE	F9 V	{ -3 }	(851-5)	[4334]		12	-200
Gvur	E	0113	Taraeng	B00098C-A		As Hi In Na Va Pz	A	212	VTzE	M1 V	{ 4 }	(E8E+5)	[CD8D]		10	7840
Gvur	I	0130	Tjenl	A683865-C		Ri Ph O:0232		420	ZhIN	G3 V M1 V	{ 3 }	(C7D+1)	[6B3A]		9	1092
Gvur	M	0131	Satlpenzh	B657586-B		Ag Ni Ga		205	ZhIN	K6 V	{ 2 }	(C46+1)	[474A]		11	288
Gvur	M	0137	Chench	D559426-3		Ni		214	ZhIN	K1 IV	{ -3 }	(631-4)	[3142]		12	-72
Gvur	A	0202	Zhenchve'chip	B666558-8		Ag Ni Ga Pr		902	ZhIN	K7 V M9 V	{ 0 }	(944+1)	[5558]		11	144
Gvur	A	0205	Matlmadl	B646730-8		Ag Pi		822	ZhIN	F0 V	{ 1 }	(D69-3)	[2813]		12	-2106
Gvur	A	0208	Dho Ega	E580653-7		De Ni Ri		510	VTzE	K4 V M7 V	{ -2 }	(852-5)	[3424]		10	-400
Gvur	E	0212	Onagzorrruell	D889737-2		Ri		601	VTzE	K4 V M0 V	{ -1 }	(964-1)	[7652]		13	-216
Gvur	E	0215	Kerkukhaeka	B888554-B		Ag Ni Pr		325	VTzE	K6 V	{ 2 }	(E46+1)	[3739]		10	336
Gvur	E	0216	Saezghen	B200A72-C	K	Hi In Na Va		402	VTzE	M0 V	{ 4 }	(E9F+1)	[6E18]		11	1890
Gvur	E	0220	Telfazagnou	E7A5542-8		Fl Ni		724	VTzE	M3 V	{ -3 }	(D41-5)	[1214]		14	-260
Gvur	I	0221	Aersaedha	B98A88A-8	M	Ri Wa Ph		622	VTzE	F6 V	{ 1 }	(E79+3)	[A97A]		11	2646
Gvur	I	0223	Aedhue	E9C4000-0		Ba Fl		024	VTzE	K0 II	{ -3 }	(200-5)	[0000]		15	-10
Gvur	I	0226	Qanstanze	E73987A-6		Ph		710	ZhIN	M1 V	{ -2 }	(A75+1)	[A678]		9	350
Gvur	I	0230	Eblonzyerefl	B434210-D		Lo		403	ZhIN	G7 V	{ 1 }	(711-3)	[1318]		13	-21
Gvur	M	0231	Tseezh	B000762-B		As Na Va Pi O:0232		811	ZhIN	M3 V	{ 2 }	(B6C-2)	[3917]		5	-1584
Gvur	M	0232	Jdiprqrafr	B100A99-C	KM	Hi In Na Va		923	ZhIN	M4 III	{ 5 }	(H9G+5)	[BF6D]		10	12240
Gvur	M	0233	Yied	B43677B-C				721	ZhIN	G3 V	{ 2 }	(C6C+4)	[997E]		13	3456
Gvur	M	0235	Pliploranshich	B662611-7		Ni Ri		825	ZhIN	F3 IV	{ 0 }	(854-4)	[2613]		12	-640
Gvur	M	0239	Tlrt	B698542-B		Ag Ni An		803	ZhIN	F5 V	{ 2 }	(A46-2)	[1717]		12	-480
Gvur	M	0240	Astanch	A541410-D		He Ni Po		301	ZhIN	M0 V	{ 1 }	(734-3)	[1518]		6	-252
Gvur	A	0306	Zaerrg	C674683-8		Ag Ni		103	NaVa	K3 V	{ -1 }	(B53-4)	[3525]		10	-660
Gvur	A	0309	Unoldhasaellae	B300687-9		Na Ni Va		510	VTzE	G7 V	{ 0 }	(954+1)	[6659]		4	180
Gvur	E	0317	Gzoulakhgha	B793ACD-D		Hi In Pz	A	310	VTzE	K9 V M0 V	{ 4 }	(D9G+5)	[EE9H]		7	9360
Gvur	I	0323	Llathoevaghoe	B673878-A		Ph Pi		410	NaVa	F3 V M3 V	{ 2 }	(B7B+2)	[8A5A]		5	1694
