Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Hint	A	0101	Nahru	D100201-7		Lo Va		703	RaRa	G0 V M8 V	{ -3 }	(410-5)	[1113]		12	-20
Hint	A	0102	Halanna	D62A442-7		Ni		300	RaRa	M3 V	{ -3 }	(631-5)	[1113]		6	-90
Hint	A	0104	Adar	B100456-A		Ni Va		402	ImDg	M3 V M5 V	{ 1 }	(834+1)	[3549]	B	7	96
Hint	E	0114	Ranlm	C100630-A		Na Ni Va		503	RaRa	M2 V M4 V	{ 0 }	(B54-4)	[1615]		12	-880
Hint	E	0116	Shaa	A300842-A		Na Va Ph Pi		600	NaHu	M2 V	{ 2 }	(A7B-2)	[4A16]		4	-1540
Hint	E	0120	Aqqle	E9D89B9-4		Hi Pz	A	822	NaHu	K4 V	{ -1 }	(B86+1)	[A865]		12	528
Hint	I	0123	Kunlam	D551522-3		Ni Po		613	NaHu	K4 V M4 V	{ -3 }	(741-5)	[1211]		8	-140
Hint	I	0124	Relar	C567699-4		Ag Ni Ri		115	NaHu	K1 V M5 V	{ 0 }	(854+1)	[7665]		15	160
Hint	I	0126	Khi	A643500-B		Ni Po		805	NaHu	A4 V G6 V	{ 1 }	(C45-3)	[1616]		12	-720
Hint	I	0128	Irdikur	B666777-8		Ag Ga Ri Pz	A	221	SoCf	G4 V	{ 2 }	(C6A+2)	[7958]		10	1440
Hint	M	0131	Krevor	B200686-7		Na Ni Va		115	NaHu	A2 V	{ -1 }	(853-2)	[5546]		17	-240
Hint	M	0134	Byooki	D31079A-7		Na Pi		903	NaHu	M2 V	{ -2 }	(966+1)	[9579]		9	324
Hint	M	0137	Eki Chi	D200640-7		Na Ni Va		400	NaHu	M2 V	{ -3 }	(851-5)	[1312]		7	-200
Hint	A	0201	Kaggits	A545300-B	KM	Lo		214	RaRa	M1 V	{ 2 }	(A22-2)	[1516]		15	-80
Hint	A	0210	Deymun Na	B310352-D	KM	Lo		104	RaRa	K3 V M5 V	{ 2 }	(922-2)	[1519]		11	-72
Hint	M	0232	Murlum	C8A5420-8		Fl Ni Da	A	502	SoCf	G1 V M3 V	{ -2 }	(831-5)	[1213]		10	-120
Hint	M	0233	Goromas	C728787-8		Pi		620	NaHu	K1 V M4 V	{ -1 }	(B67-1)	[7658]		10	-462
Hint	M	0238	Ame	C876221-6		Lo		513	NaHu	A3 V M8 V	{ -2 }	(410-5)	[1112]		14	-20
Hint	M	0239	Famerra	E310499-7		Ni		104	NaHu	F4 V	{ -3 }	(631-2)	[5168]		15	-36
Hint	A	0306	Terbain	C98A523-6		Ni Wa Pr		603	NaHu	K3 V M9 V	{ -2 }	(742-5)	[2323]		9	-280
Hint	A	0307	Nii	C310599-B		Ni		803	NaHu	M1 V	{ 0 }	(A44+1)	[656C]		11	160
Hint	E	0311	Berange	C428ACB-7		Hi In Cx Pz	A	414	RaRa	M3 V	{ 1 }	(C9A+3)	[CB79]		16	3240
Hint	E	0315	Gisamuve	C9A6249-8		Fl Lo		605	RaRa	M3 V M7 V	{ -2 }	(910-1)	[3169]		17	-9
Hint	E	0316	Ravane	B7B6675-8		Fl Ni		301	RaRa	F3 V M4 V	{ -1 }	(953-3)	[4536]		8	-405
Hint	E	0317	Herann	C425473-9	S	Ni		603	CsIm	G1 V M6 V	{ -1 }	(932-4)	[1326]		7	-216
Hint	E	0318	Gaggin	D310411-7		Ni		404	NaHu	F7 III	{ -3 }	(631-5)	[1113]		12	-90
Hint	E	0320	Blessed	E20068A-7		Na Ni Va		102	NaHu	F0 V	{ -3 }	(851-1)	[8379]		11	-40
Hint	I	0322	Mire	C66859D-7		Ag Ni Pr Da	A	402	NaHu	K3 V	{ -1 }	(743+3)	[949B]		8	252
Hint	I	0326	Aympe	A6A137A-9	KM	Fl He Lo		223	NaHu	K5 V M1 V	{ 1 }	(A21+3)	[547B]		13	60
Hint	I	0327	Strabbin	B765236-B		Lo Ga Da	A	603	NaHu	M3 V M5 V	{ 1 }	(711+1)	[134A]		11	7
Hint	I	0328	Galazii	B8A3679-8	M	Fl Ni		713	NaHu	K1 V	{ -1 }	(C53+1)	[7569]		11	180
Hint	M	0334	Kotori	C747654-5		Ag Ni		904	NaHu	G1 IV	{ -1 }	(853-3)	[4533]		13	-360
Hint	M	0337	Tonde Monai	B200200-E	M	Lo Va		215	NaHu	F2 V M1 V	{ 1 }	(A11-3)	[1319]		15	-30
Hint	A	0402	Venad	A421621-B		He Na Ni Po		324	ImDg	M0 V M6 V	{ 1 }	(E55-3)	[2717]	B	14	-1050
Hint	A	0406	Dirmidi	E3107CE-7		Na Pi Pz	A	403	NaHu	M0 V M0 V	{ -2 }	(966+2)	[B59B]		11	648
Hint	A	0407	Gerdane	C000110-7		As Lo Va		901	RaRa	M9 III D	{ -2 }	(300-5)	[1112]		13	-15
Hint	A	0410	Leral	D310411-9		Ni		921	RaRa	A2 V	{ -2 }	(931-5)	[1215]		16	-135
Hint	E	0413	Kandusa	B20076B-7		Na Va Pi O:0712		804	RaRa	G0 V M8 V	{ 0 }	(968+2)	[9779]		13	864
Hint	E	0417	Galia	D546615-5		Ag Ni		300	NaHu	K5 V M0 V	{ -2 }	(852-4)	[4433]		5	-320
Hint	E	0419	Strend	B2006AA-8		Na Ni Va Da	A	113	NaHu	F4 V	{ -1 }	(C53+1)	[857A]		14	180
