Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Hlak	E	0112	Sailrarliwaw	B554415-B		Ni Pa		322	AsMw	K3 V	{ 1 }	(A34-1)	[2539]		12	-120
Hlak	E	0117	Yaktyakiy	B678744-A		Ag Pi		500	AsWc	M3 V	{ 3 }	(96C+1)	[5A38]		7	648
Hlak	E	0120	Akhaw	A10055A-C		Ni Va		304	AsT5	M1 V M2 V	{ 1 }	(B45+3)	[767E]		12	660
Hlak	I	0123	Aihiytiy	D525579-8		Ni		801	AsSc	G1 V	{ -3 }	(841-2)	[6269]		12	-64
Hlak	I	0124	Uakhos	D100166-7		Lo Va O:0220		902	AsT3	M3 V M3 V	{ -3 }	(300-4)	[1146]		9	-12
Hlak	I	0129	Euh	B100486-C	R	Ni Va		604	AsWc	K3 IV	{ 1 }	(A34+1)	[354B]		12	120
Hlak	M	0131	Waueeiweyur	B100375-B		Lo Va		700	AsSc	M1 V M2 V	{ 1 }	(521-1)	[1439]		10	-10
Hlak	M	0133	Kyal	A200277-E		Lo Va		522	AsSc	M2 V M8 V	{ 1 }	(811+1)	[235E]		14	8
Hlak	M	0135	Ahryes	A100596-B		Ni Va		923	AsVc	M2 V M4 V	{ 1 }	(C45+1)	[464A]		13	240
Hlak	E	0213	Fyeseih	C548897-8		Pa Ph Pi		600	AsVc	M2 V	{ -1 }	(A77-1)	[8758]		12	-490
Hlak	E	0220	Hkiya'aisos	A84568B-A		Ag Ni Droy7		310	AsVc	K1 IV M1 V	{ 2 }	(956+4)	[887C]		8	1080
Hlak	I	0222	Ealeas	B684587-B		Ag Ni Pr		504	AsT3	M1 V M3 V	{ 2 }	(B46+2)	[575B]		13	528
Hlak	M	0235	Hyarleah	C434785-8				104	AsT3	K4 V M5 V	{ -1 }	(D67-3)	[5636]		12	-1638
Hlak	M	0240	Efeih	A431498-E		Ni Po		604	AsVc	K1 V M3 V	{ 1 }	(A34+1)	[455E]		10	120
Hlak	A	0310	Eaiteweaa'	X3008B6-7		Na Va Ph Pi Fo	R	423	AsMw	M2 V	{ -2 }	(A76-3)	[7646]		8	-1260
Hlak	E	0311	Oiealr	C100538-B		Ni Va		705	AsT0	K1 V	{ 0 }	(C44+1)	[555B]		14	192
Hlak	E	0316	Iriyh	B410854-D		Na Ph Pi		214	AsVc	K3 V M7 V	{ 2 }	(F7D+1)	[6A3B]		11	1365
Hlak	E	0317	Tloih	C675413-9		Ni Pa		724	AsMw	M2 V	{ -1 }	(C32-4)	[1326]		13	-288
Hlak	E	0318	Yahoaoao	B86A367-D		Lo Wa O:0520		603	AsTv	A5 V	{ 1 }	(821+1)	[345D]		15	16
Hlak	E	0319	Eea'yarlo	B647527-9		Ag Ni		204	AsWc	M1 V	{ 1 }	(B45+1)	[5659]		11	220
Hlak	I	0322	Hleakhehil	B42715A-9	T	Lo		224	AsT9	M2 V	{ 0 }	(900+2)	[317B]		19	18
Hlak	I	0323	Aoikhea	D6687A8-6		Ag Ri		302	AsVc	M0 V M0 V	{ 0 }	(967+1)	[7756]		7	378
Hlak	I	0324	Weeweaaol	B100583-A		Ni Va		314	AsT5	M2 V	{ 1 }	(C45-2)	[2627]		16	-480
Hlak	I	0330	Ihkaliyao	B543686-A		Ni Po		424	AsVc	K4 V M0 V	{ 1 }	(E55+1)	[5749]		12	350
Hlak	M	0333	Eayu	E568548-7		Ag Ni Pr		510	AsMw	M2 III D	{ -2 }	(742-2)	[5357]		8	-112
Hlak	M	0337	Iyewoiteayu	B683478-A		Ni		525	AsSc	M0 V	{ 1 }	(D34+1)	[455A]		13	156
Hlak	A	0409	Ieafeareilaw	C300256-C		Lo Va		202	AsMw	K7 V	{ 0 }	(610-1)	[124B]		12	-6
Hlak	E	0414	Yasiw	D421833-8		He Na Po Ph Pi		523	AsTv	M0 V	{ -2 }	(F76-5)	[5625]		10	-3150
Hlak	E	0415	Laleasehyul	E100488-7		Ni Va Chir1		805	AsTv	G5 V	{ -3 }	(631-3)	[4157]		8	-54
Hlak	E	0416	Aus	E586468-7		Ni Pa O:0316		623	AsVc	M1 V	{ -3 }	(631-3)	[4157]		12	-54
Hlak	E	0418	Hliyhyue	D895984-8		Hi In		615	AsVc	M2 V	{ 0 }	(H89-2)	[7936]		18	-2448
Hlak	E	0419	Saoeioahkas	B310535-D		Ni		312	AsTv	K2 V	{ 1 }	(A45-1)	[363B]		13	-200
Hlak	I	0427	Otroiirl	E310888-8		Na Ph Pi		310	AsTv	K4 V M5 V	{ -2 }	(B76-2)	[8658]		8	-924
Hlak	M	0433	Yasalealryu'	D666379-7		Lo Ga		202	AsSc	M3 V M6 V M5 V	{ -3 }	(520-2)	[4168]		10	-20
Hlak	M	0435	Iyairl	B889A75-E		Hi		625	AsSc	M1 V	{ 3 }	(K9F+1)	[8D3C]		13	2565
Hlak	M	0436	Hoaakh	E565857-7		Ri Pa Ph		204	AsMw	M1 V M6 V	{ -1 }	(A77-1)	[8757]		11	-490
Hlak	A	0502	Kheakheafteh	E43369B-8		Na Ni Po Da	A	903	AsMw	M2 V M8 V	{ -3 }	(B51-1)	[837A]		12	-55
Hlak	E	0512	Foikhi'	C536637-9		Ni		803	AsWc	M1 V M6 V	{ -1 }	(B53-1)	[6559]		11	-165
Hlak	E	0514	Hraliykoh	C300527-7		Ni Va		705	AsMw	M2 V M4 V	{ -2 }	(742-2)	[5357]		13	-112
Hlak	E	0516	Hrou	CA9A424-9		Ni Oc		312	AsTv	M2 V	{ -1 }	(932-3)	[2337]		12	-162
Hlak	E	0520	Feirlye	B667983-B		Hi Ga Pr		203	AsTv	M1 V	{ 3 }	(E8E+1)	[6C28]		14	1568
Hlak	I	0526	Asyalyel	D433788-8		Na Po		523	AsMw	K4 V	{ -2 }	(E66-2)	[7558]		16	-1008
Hlak	I	0527	Airya	E310775-8		Na Pi		902	AsSc	M2 V	{ -2 }	(B66-4)	[5536]		9	-1584
Hlak	I	0530	Oisuiawas	X744689-5		Ag Ni Fo	R	504	AsWc	M1 V	{ -2 }	(852-1)	[7466]		12	-80
Hlak	M	0532	Ihti	D438274-7		Lo		824	AsSc	K3 V M7 V	{ -3 }	(410-5)	[1135]		12	-20
Hlak	M	0533	Hliyeoeareih	C8B3249-9		Fl Lo		701	AsMw	K8 V	{ -1 }	(510+1)	[316A]		10	5
Hlak	M	0537	Wi	D100359-9		Lo Va		903	AsMw	M3 V	{ -2 }	(820-1)	[416A]		9	-16
Hlak	A	0608	Ieataheih	C658686-8		Ag Ni		912	AsVc	M3 V	{ -1 }	(B53-2)	[5547]		11	-330
Hlak	A	0610	Tiyroa	B546978-C		Hi In		900	AsSc	M2 V	{ 4 }	(B8F+4)	[9D5C]		11	5280
Hlak	E	0612	Sauyeliy	E587625-6		Ag Ni Ri		902	AsWc	K3 V	{ -1 }	(853-3)	[4534]		9	-360
Hlak	E	0615	Eiihihiyrli	D544683-6		Ag Ni		704	AsTv	F0 V	{ -2 }	(852-5)	[3423]		16	-400
Hlak	E	0617	Hieiriy	A200269-A	R	Lo Va O:0520		901	AsTv	K9 V M0 V	{ 1 }	(511+2)	[336B]		8	10
Hlak	E	0619	Uikhtiysoih	D310234-8		Lo		403	AsVc	K6 V	{ -3 }	(710-5)	[1136]		15	-35
Hlak	E	0620	Eaire	B9A4677-9		Fl Ni		902	AsSc	K8 V M9 V	{ 0 }	(A54+1)	[6659]		11	200
Hlak	I	0622	Iyikhiy	B2009C8-A		Hi In Na Va Pz	A	903	AsVc	F6 V M9 V	{ 4 }	(E8E+4)	[9D5A]		10	6272
Hlak	I	0623	Faieloii	X53259B-6		Ni Po Fo	R	602	AsMw	M0 V M7 V	{ -3 }	(741-1)	[7278]		5	-28
Hlak	I	0629	Hkai'eataorl	B999489-C		Ni		215	AsVc	K3 V M4 V	{ 1 }	(C34+2)	[556D]		13	288
Hlak	M	0632	Awiou	C100783-8		Na Va Pi		712	AsT1	F3 V	{ -1 }	(C67-4)	[4625]		14	-2016
Hlak	M	0635	Treh	C7368C9-9		Ph Pz	A	612	AsMw	K7 III D	{ 0 }	(D79+1)	[986A]		15	819
Hlak	A	0703	Aheah	C594876-8		Pa Ph Pi		613	AsSc	M0 II	{ -1 }	(E77-2)	[7747]		16	-1372
Hlak	A	0704	Iyhtoahi	B745258-C		Lo		513	AsT2	M0 V	{ 1 }	(811+1)	[235C]		10	8
Hlak	A	0706	Oaiyearlao	D7A3537-8		Fl Ni		301	AsMw	M2 V M3 V	{ -3 }	(841-3)	[5258]		9	-96
Hlak	A	0709	Hteai	A100A88-E		Hi In Na Va		724	AsT6	K3 IV M1 V	{ 4 }	(J9G+4)	[AE5E]		17	10368
Hlak	E	0713	Tiyriy	C759A77-B		Hi		410	AsSc	K0 II	{ 2 }	(D9D+2)	[AC5B]		12	3042
Hlak	E	0715	Hkeareaka	A423367-C	R	Lo Po O:0716		500	AsMw	K0 V	{ 1 }	(521+1)	[345C]		6	10
Hlak	E	0716	Haisakh	C7B38A8-9		Fl Ph		304	AsMw	G4 V	{ 0 }	(E79+1)	[8859]		13	882
Hlak	I	0721	Huakhtee	C100556-9		Ni Va		503	AsWc	M2 V	{ -1 }	(A43-2)	[4448]		12	-240
Hlak	I	0728	Aoteh	B7A398C-B		Fl Hi In Pz	A	102	AsVc	M3 V	{ 4 }	(D8F+5)	[CD8E]		8	7800
Hlak	I	0730	Awaleaehryul	E7C2000-0		Ba Fl He		003	AsXX	G8 V	{ -3 }	(200-5)	[0000]		15	-10
Hlak	M	0731	Aleihaakho	E100476-9		Ni Va		120	AsSc	M1 V M2 V	{ -2 }	(831-3)	[3248]		12	-72
Hlak	M	0734	Eihwel	C562687-7		Ni Ri		902	AsT3	G5 III	{ -1 }	(853-1)	[6557]		9	-120
Hlak	M	0736	Eeasyoeawyu'	X54248A-5		He Ni Po Fo	R	205	AsWc	G4 IV	{ -3 }	(631-1)	[6177]		14	-18
Hlak	M	0738	Feastahe	E100688-7		Na Ni Va		905	AsWc	M2 V	{ -3 }	(851-3)	[6357]		17	-120
Hlak	M	0739	Yekhao'ar	B310844-C	T	Na Ph Pi		704	AsT7	A5 III	{ 2 }	(E7C+1)	[6A3A]		13	1176
Hlak	A	0805	Ilra'aao	C777488-9		Ni Pa		504	AsT7	M1 V M9 V	{ -1 }	(A32-1)	[4359]		15	-60
Hlak	A	0806	Ira	C100894-B		Na Va Ph Pi		103	AsTv	K0 IV	{ 1 }	(D7B-1)	[6939]		11	-1001
Hlak	A	0808	Ftiy	B788987-B	R	Hi Pr		412	AsTv	K1 IV	{ 3 }	(E8E+3)	[9C5B]		8	4704
Hlak	E	0814	Eieiyei	A573486-D		Ni		601	AsMw	K2 V M8 V	{ 1 }	(734+1)	[354C]		8	84
Hlak	E	0816	Tlearlirlekh	C584597-8		Ag Ni Pr		604	AsWc	K0 V	{ -1 }	(B43-1)	[5458]		12	-132
Hlak	E	0817	Eakhaosaea	B563758-B		Ri		204	AsVc	M1 V M9 V M4 V	{ 3 }	(D6D+3)	[7A5B]		8	3042
Hlak	I	0821	E'ail	C756946-9		Hi Ga		314	AsTv	K3 V	{ 1 }	(G8B+1)	[8A48]		13	1408
Hlak	I	0827	Heaheikil	E77768C-6		Ag Ni Da	A	720	AsVc	M2 V M2 V	{ -2 }	(852+1)	[9489]		15	80
Hlak	I	0830	Yote'	E89A575-9		Ni Wa		805	AsSc	M0 V M9 V	{ -2 }	(C42-4)	[3337]		9	-384
Hlak	M	0831	Khiui	B8877A9-A		Ag Ga Ri		402	AsT0	F4 III	{ 4 }	(B6D+5)	[8B6B]		8	4290
Hlak	M	0835	Asahkyah	E97A216-6		Lo Wa		705	AsTv	A2 V F9 V	{ -3 }	(410-4)	[1145]		12	-16
Hlak	M	0837	Oulr	D555986-7		Hi		114	AsWc	A1 V	{ -1 }	(B88-2)	[8846]		12	-1408
Hlak	M	0838	Faya	B756377-B		Lo Ga		114	AsSc	K6 V M6 V	{ 1 }	(A21+1)	[345B]		11	20
Hlak	B	0906	Soisekh	C200644-A		Na Ni Va		910	AsVc	G3 V M2 V	{ 0 }	(954-2)	[4638]		8	-360
Hlak	B	0907	Ktiwua	E553683-6		Ni Po		602	AsVc	G8 IV M6 V	{ -3 }	(851-5)	[3323]		7	-200
Hlak	B	0908	Aih	C573888-8		Ph Pi		204	AsMw	G0 V	{ -1 }	(E77-1)	[8758]		13	-686
Hlak	B	0910	Ihkehakei	C542449-9		He Ni Po		714	AsMw	K0 V	{ -1 }	(B32+1)	[536A]		9	66
Hlak	F	0913	Htir	B89A153-B		Lo Wa		801	AsWc	M1 V M1 V	{ 1 }	(401-2)	[1228]		12	-8
Hlak	F	0914	Hkeayelil	A998587-D		Ag Ni		904	AsTv	M0 V M3 V	{ 2 }	(B46+2)	[575D]		15	528
Hlak	F	0917	Auikhtuahir	C998137-9		Lo		503	AsMw	M6 III	{ -1 }	(600-1)	[1159]		8	-6
Hlak	F	0918	Tayolesyel	E310236-7		Lo		800	AsVc	G1 V	{ -3 }	(410-4)	[1146]		9	-16
Hlak	F	0919	Rahkaiyakaha	C300386-B		Lo Va		901	AsMw	M1 V	{ 0 }	(620-1)	[234A]		5	-12
Hlak	J	0921	Eiheheiseaor	A837458-A	R	Ni		523	AsVc	M2 V M5 V	{ 1 }	(B34+1)	[455A]		13	132
Hlak	J	0922	Aleftoi	D665467-7		Ni Ga Pa O:0925		320	AsMw	G9 V	{ -3 }	(631-3)	[4157]		6	-54
Hlak	J	0925	Ilei	A433695-E	R	Na Ni Po		914	AsMw	K0 V	{ 1 }	(D55-1)	[473C]		15	-325
Hlak	N	0931	Yetawyu	A436279-C	T	Lo		710	AsSc	M1 V	{ 1 }	(511+2)	[336D]		14	10
Hlak	N	0932	Wiysyukyerl	C655425-8		Ni Ga Pa		923	AsT6	G6 V	{ -2 }	(B31-4)	[2236]		13	-132
Hlak	N	0933	Aauataakh	D51036A-7		Lo O:1231		704	AsSc	M5 II	{ -3 }	(520-1)	[5179]		7	-10
Hlak	N	0937	Khtilr	C662585-9		Ni Pr		704	AsTv	G4 V M2 V	{ -1 }	(B43-3)	[3437]		11	-396
Hlak	N	0938	Hke	C200438-7		Ni Va		201	AsT0	M1 V M1 V	{ -2 }	(631-2)	[4257]		11	-36
Hlak	N	0940	Ahiyw	C100476-B		Ni Va		102	AsSc	G1 V M1 V	{ 0 }	(833-1)	[344A]		13	-72
Hlak	B	1004	Eakhea	B584AA7-D		Hi		434	AsTv	M3 V M5 V	{ 3 }	(K9F+3)	[AD5D]		20	7695
Hlak	B	1009	Aohal	C428279-8		Lo		103	AsSc	M2 V	{ -2 }	(710-1)	[3169]		8	-7
Hlak	F	1013	Yalaolreh	A888626-C		Ag Ni Ri		603	AsTv	K1 V	{ 3 }	(B57+2)	[594B]		10	770
Hlak	F	1017	Yelalryeeawa	E696169-5		Lo O:0817		415	AsVc	K3 V M7 V M8 V	{ -3 }	(300-2)	[2166]		12	-6
Hlak	J	1030	Tlieiahreau	A788687-C		Ag Ni Ri		603	AsWc	M3 V	{ 3 }	(B57+3)	[695C]		10	1155
Hlak	N	1034	Araloi	D878535-7		Ag Ni		124	AsTv	M1 V M7 V	{ -2 }	(742-4)	[3335]		13	-224
Hlak	N	1035	Iylesas	E00049A-7		As Ni Va		504	AsMw	G5 V M0 V	{ -3 }	(631-1)	[6179]		16	-18
Hlak	N	1040	Stiao	B637896-B		Ph		111	AsWc	F4 V	{ 2 }	(C7C+1)	[7A4A]		10	1008
Hlak	F	1111	Khiyo	C556367-7		Lo O:0709		400	AsT6	G6 V	{ -2 }	(520-2)	[3157]		4	-20
Hlak	F	1113	Khtehkokheah	A436386-C		Lo		902	AsT8	M1 V	{ 1 }	(721+1)	[244B]		9	14
Hlak	F	1114	Eaakhtohueal	C9A4485-A		Fl Ni		503	AsWc	K1 V	{ 0 }	(933-2)	[2438]		11	-162
Hlak	F	1120	Uaiou	B9A8584-C		Fl Ni		804	AsTv	K2 IV	{ 1 }	(B45-1)	[363A]		11	-220
Hlak	J	1121	Tireoharya'	B55659A-B		Ag Ni		103	AsVc	K4 V	{ 2 }	(A46+4)	[777D]		9	960
Hlak	J	1124	Yewuisuaros	B3106A7-C		Na Ni		112	AsWc	M1 V M2 V	{ 1 }	(B55+1)	[675C]		12	275
Hlak	J	1128	Tyear	A7A2A77-C		Fl He Hi In		804	AsSc	K4 V	{ 4 }	(G9F+4)	[AE5C]		9	8640
Hlak	J	1129	Oirl	B664373-B		Lo		621	AsSc	M1 V M2 V	{ 1 }	(821-2)	[1428]		14	-32
Hlak	N	1134	Ahaioasihkis	A100379-C	R	Lo Va		704	AsSc	M0 V M4 V	{ 1 }	(921+2)	[446D]		11	36
Hlak	B	1203	Asuha'yu	A848234-A		Lo		512	AsWc	M2 V	{ 1 }	(711-1)	[1338]		9	-7
Hlak	B	1204	Eahfiykhtui	A898333-D		Lo		103	AsVc	G5 V	{ 1 }	(821-2)	[142A]		11	-32
Hlak	B	1209	Eoiewearl	C554512-9		Ag Ni		902	AsVc	M7 III	{ 0 }	(944-4)	[1515]		12	-576
Hlak	F	1212	Ea'aoaoiyfi	EAC7426-9		Fl Ni		213	AsWc	K4 V	{ -2 }	(A31-3)	[3248]		10	-90
Hlak	F	1213	Heia	X10047B-7		Ni Va Fo	R	822	AsSc	M2 V	{ -3 }	(631-1)	[6179]		14	-18
Hlak	F	1214	Soao	E657589-7		Ag Ni Ga		303	AsVc	M2 V M3 V	{ -2 }	(742-1)	[6368]		14	-56
Hlak	F	1219	Eaeaifauiy	B100453-A		Ni Va		402	AsT6	M2 V M7 V	{ 1 }	(834-2)	[1527]		9	-192
Hlak	J	1221	Styuhreal	B587697-A		Ag Ni Ri		513	AsT6	K9 V M2 V	{ 3 }	(C57+3)	[695A]		13	1260
Hlak	J	1223	Kefta	C310588-B		Ni		104	AsMw	M0 V	{ 0 }	(B44+1)	[555B]		11	176
Hlak	J	1224	Susaotaihei	CAD9878-A		Ph		924	AsSc	M1 V M5 V	{ 1 }	(G7A+1)	[895A]		16	1120
Hlak	J	1227	Oaiyloilao	E675445-7		Ni Pa		604	AsWc	G2 V M2 V	{ -3 }	(631-5)	[2135]		7	-90
Hlak	N	1231	Htitrairl	A547A78-C		Hi In		623	AsSc	M9 II	{ 4 }	(H9F+4)	[AE5C]		12	9180
Hlak	N	1232	Feea'ye	C41068A-A		Na Ni		614	AsWc	M2 V M2 V	{ 0 }	(D54+2)	[867C]		14	520
Hlak	N	1235	Eiwas	CAA5487-9		Fl Ni		702	AsTv	M2 V	{ -1 }	(832-1)	[4359]		10	-48
Hlak	B	1305	Tluaoahyar	B8B65A5-C		Fl Ni		813	AsVc	M2 V	{ 1 }	(B45-1)	[363A]		13	-220
Hlak	B	1308	Aihaihyaw	D625437-8		Ni		411	AsVc	M1 V M8 V	{ -3 }	(831-3)	[4158]		8	-72
Hlak	F	1312	Ekhew	C583658-9		Ni Ri		112	AsVc	K2 V	{ 0 }	(B54+1)	[6659]		10	220
Hlak	F	1315	Stais	A546689-C		Ag Ni		200	AsT6	G4 V	{ 2 }	(856+3)	[786D]		8	720
Hlak	F	1319	Yaftes	A310345-A		Lo		704	AsTv	M1 V M2 V	{ 1 }	(921-1)	[1438]		10	-18
Hlak	J	1322	Fiewealih	C874788-8		Ag Pi		413	AsVc	M1 V	{ 0 }	(D68+1)	[7758]		12	624
Hlak	J	1323	Hlaawaih	C657476-9		Ni Ga Pa		804	AsSc	M1 V	{ -1 }	(A32-2)	[3348]		16	-120
Hlak	J	1324	Hleiail	A410497-E		Ni		324	AsWc	M1 V	{ 1 }	(C34+1)	[455E]		14	144
Hlak	J	1326	Iyaihreiaor	E548324-5		Lo		813	AsMw	G8 IV	{ -3 }	(520-5)	[1133]		13	-50
Hlak	J	1329	Iyilreatyo	B541596-B		He Ni Po		212	AsWc	A2 V	{ 1 }	(A45+1)	[464A]		12	200
Hlak	N	1331	Ealarelal	E522000-0		Ba He Po		013	AsXX	G9 V	{ -3 }	(200-5)	[0000]		13	-10
Hlak	N	1335	Kharleikhiw	E000688-9		As Na Ni Va		403	AsVc	G2 V	{ -2 }	(B52-2)	[6459]		9	-220
