Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Ilel	A	0101	Harding	B100324-E		Lo Va		120	ImDi	K4 V	{ 1 }	(721-1)	[143C]	B	8	-14
Ilel	A	0102	Lorne	B546849-9		Pa Ph Pi		600	ImDi	F5 V M5 V	{ 1 }	(A7A+2)	[996A]	BcDe	9	1400
Ilel	A	0108	Eufemia	B599699-B		Ni		312	ImDi	M2 V	{ 1 }	(B55+2)	[776C]	B	14	550
Ilel	A	0110	Randall	B541533-B		He Ni Po		414	ImDi	F4 V	{ 1 }	(C45-2)	[2628]	B	13	-480
Ilel	E	0113	McCoy	E42347B-7		Ni Po		901	ImDi	M2 V M3 V	{ -3 }	(631-1)	[6179]	B	11	-18
Ilel	E	0116	Fearghal	B430437-C		De Ni Po		902	ImDi	M2 V	{ 1 }	(834+1)	[455C]	B	11	96
Ilel	I	0127	Tyr	A565300-E		Lo		413	ImDi	M2 V	{ 1 }	(921-3)	[1419]	B	7	-54
Ilel	I	0128	Welles	B893249-B	NS	Lo		603	ImDi	F5 V	{ 2 }	(712+3)	[346C]	B	12	42
Ilel	M	0132	Antwerp	D994411-7	S	Ni Pa		410	ImDi	G6 V	{ -3 }	(631-5)	[1113]	Bc	13	-90
Ilel	M	0133	Rozumund	B765200-C		Lo Ga		103	ImDi	F8 V M5 V	{ 1 }	(711-3)	[1317]	B	12	-21
Ilel	A	0204	De Camsall	B546489-9		Ni Pa		720	ImDi	M3 V M6 V	{ 0 }	(833+1)	[546A]	Bc	15	72
Ilel	A	0205	Kiril	B544310-B		Lo Da	A	102	ImDi	M1 V	{ 1 }	(721-3)	[1416]	B	13	-42
Ilel	A	0206	Darven Limner	C576530-9		Ag Ni		900	ImDi	M3 V	{ 0 }	(744-4)	[1514]	BC	8	-448
Ilel	A	0207	Nasi	B200986-E	N	Hi In Na Va		102	ImDi	F5 V M9 V M0 V	{ 4 }	(D8G+3)	[8D4D]	BEf	13	4992
Ilel	A	0208	Winthrop	B786540-B		Ag Ni Ga Pr		810	ImDi	F9 V	{ 2 }	(846-2)	[1716]	BcC	14	-384
Ilel	A	0209	Byrne	A552858-D		Po Ph		302	ImDi	M2 V	{ 2 }	(C7D+2)	[8A5D]	Be	11	2184
Ilel	E	0211	Saper	B535304-D	N	Lo		924	ImDi	M1 V	{ 1 }	(B21-1)	[143B]	B	10	-22
Ilel	E	0212	Seke	A654220-B		Lo		600	ImDi	M0 V	{ 1 }	(411-3)	[1316]	B	13	-12
Ilel	E	0217	Heridd	A310105-F		Lo		204	ImDi	M0 V M1 V	{ 1 }	(701-1)	[123D]	B	9	-7
Ilel	E	0218	Geldall	E8B48B9-8		Fl Ph Pz	A	222	ImDi	F1 V	{ -2 }	(E76-1)	[9669]	Be	7	-588
Ilel	E	0220	Gons	A310331-F		Lo		300	ImDi	M1 V M3 V	{ 1 }	(521-3)	[141B]	B	8	-30
Ilel	I	0226	Allentown	CA8A330-6		Lo Oc		500	ImDi	F6 V M3 V	{ -2 }	(520-5)	[1111]	B	13	-50
Ilel	I	0227	Willlelmo	A798748-C		Ag Pi		503	ImDi	K2 V	{ 3 }	(C6D+3)	[7A5C]	BCD	12	2808
Ilel	M	0231	Neala	B756564-9		Ag Ni Ga O:0532		115	ImDi	F6 V	{ 1 }	(D45-1)	[3637]	BC	13	-260
