Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Ley	A	0101	Amikell	A545833-9	N	Pa Ph Pi Pz	A	404	ImDg	K8 V	{ 1 }	(E7A-2)	[5926]	BcDe	9	-1960
Ley	A	0102	Kagemushi	D435615-6		Ni		312	ImDg	K1 V	{ -3 }	(851-5)	[4334]	B	15	-200
Ley	A	0107	Lousanne	C564977-5		Hi Pr		700	ImDg	M1 V M9 V	{ 0 }	(B88+1)	[9955]	BcE	5	704
Ley	A	0108	Askiimir	E79A642-7		Ni Wa		814	ImDg	K2 V M2 V	{ -3 }	(851-5)	[2313]	B	15	-200
Ley	A	0109	Khingir	C547731-6	S	Ag Pi		112	ImDg	K7 V M7 V	{ 0 }	(967-4)	[3712]	BCD	13	-1512
Ley	E	0111	Kalu Marasiin	AA7A526-A		Ni Oc		303	ImDg	K0 V M9 V	{ 1 }	(A45+1)	[4649]	B	12	200
Ley	E	0113	Naasirka Ual	B754656-A		Ag Ni		200	ImDg	K6 V	{ 2 }	(856+1)	[5849]	BC	11	240
Ley	E	0114	Ir	C686769-6		Ag Ga Ri O:0214		800	ImDg	F9 V	{ 1 }	(968+2)	[8867]	BC	13	864
Ley	E	0118	119-404	BA9A377-A		Lo Oc		412	ImDg	M1 V	{ 1 }	(821+1)	[345A]	B	9	16
Ley	E	0119	Ikstraat	C5448A6-5		Pa Ph Pi		400	ImDg	K3 V M9 V	{ -1 }	(A76-2)	[7744]	BcDe	5	-840
Ley	I	0122	Sikiir	B566437-8		Ni Pa		110	ImDg	G9 V	{ -1 }	(732-1)	[4358]	Bc	11	-42
Ley	I	0123	Urewr	C887A55-9		Hi Ga		505	ImDg	G2 V	{ 1 }	(H9B-1)	[8B37]	BE	8	-1683
Ley	I	0127	720-018	C8C3575-A		Fl Ni		504	ImDg	M2 V	{ 0 }	(B44-2)	[3538]	B	10	-352
Ley	I	0129	Dirir	C8889BA-7		Hi Pr Pz Luri1	A	300	ImDg	F5 V	{ 0 }	(B89+2)	[B979]	BcE	7	1584
Ley	M	0139	Secundus	A403400-D		Ic Ni Va		902	ImDg	M2 V M2 V	{ 1 }	(834-3)	[1518]	B	8	-288
Ley	A	0201	Econdora	A400674-E		Na Ni Va		914	ImDg	M2 V	{ 1 }	(D55-1)	[473C]	B	10	-325
Ley	A	0202	Garakhu	C533666-6		Na Ni Po O:0201		103	ImDg	M2 V	{ -2 }	(852-3)	[5445]	B	10	-240
Ley	A	0204	Agalamgur	A30078A-B		Na Va Cp Pi		313	ImDg	M2 V M5 V	{ 2 }	(D6C+4)	[997D]	BDF	11	3744
Ley	A	0205	Alsuy	E575520-5		Ag Ni		204	ImDg	K6 V	{ -2 }	(742-5)	[1311]	BC	7	-280
Ley	E	0213	Kaapelli	C000642-9		As Na Ni Va Luri9		121	ImLu	G0 IV M5 V	{ -1 }	(B53-5)	[2515]	B	8	-825
Ley	E	0214	Rurur	B5609BA-B		De Hi Pr Pz Luri9	A	303	ImLu	G4 V	{ 3 }	(E8E+5)	[BC7D]	BcE	10	7840
Ley	E	0217	Guill En	E573659-5		Ni		105	ImDg	G1 V	{ -3 }	(851-2)	[7366]	B	8	-80
Ley	E	0219	Es Aal Insi	E573432-7		Ni		204	ImDg	G2 V	{ -3 }	(631-5)	[1113]	B	7	-90
Ley	I	0221	Silver	E424578-9		Ni		903	ImDg	M1 V	{ -2 }	(A42-2)	[5359]	B	9	-160
Ley	I	0223	Umshush	C421134-8		He Lo Po		913	ImDg	K5 V M7 V	{ -2 }	(700-4)	[1136]	B	10	-28
