Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Lish	A	0101	Ishimaga	A734433-9		Ni		603	ImDa	K4 V M2 V	{ 0 }	(933-3)	[1426]	B	10	-243
Lish	A	0110	Jesikara	A7988A5-C	S	Pa Ph Pi (J'sia)		303	ImDa	F7 V	{ 2 }	(D7C+1)	[6A3A]	BcDe	8	1092
Lish	E	0111	Oksanad	A569359-D		Lo		613	ImDa	M2 V	{ 1 }	(921+2)	[446E]	B	8	36
Lish	E	0112	Vakada	B100300-D	S	Lo Va		610	ImDa	M3 V	{ 1 }	(621-3)	[1418]	B	8	-36
Lish	E	0116	Ropha	B410100-B	N	Lo		201	ImDa	G8 V	{ 1 }	(401-3)	[1216]	B	8	-12
Lish	E	0117	Darad	B675335-A		Lo		902	ImDa	M1 V M4 V	{ 1 }	(721-1)	[1438]	B	8	-14
Lish	E	0118	Solod	A310411-F		Ni		701	ImDa	M1 V M8 V	{ 1 }	(734-3)	[151B]	B	8	-252
Lish	E	0119	Omshona	B420535-A	S	De He Ni Po		704	ImDa	M1 V M4 V	{ 1 }	(B45-1)	[3638]	B	8	-220
Lish	I	0121	Asli	C000761-B	S	As Na Va Pi O:0221		903	ImDa	M1 V M6 V	{ 1 }	(C6B-3)	[3817]	BD	8	-2376
Lish	I	0122	Base Two	D584357-7	S	Lo		603	ImDa	G9 V M1 V	{ -3 }	(520-3)	[3157]	B	8	-30
Lish	I	0124	Inru	C425553-9		Ni		203	ImDa	K0 V M7 V	{ -1 }	(A43-4)	[2426]	B	8	-480
Lish	I	0125	Kiur	B9C57BB-B		Fl Pz	A	614	ImDa	K1 V	{ 2 }	(E6C+4)	[997D]	B	8	4032
Lish	I	0128	Kasha	E543456-8		Ni Po		621	ImDa	G0 V M4 V	{ -3 }	(931-4)	[3147]	B	8	-108
Lish	I	0130	Voyd	C4249D8-A		Hi In Pz	A	102	ImDa	K9 V M7 V	{ 3 }	(D8D+3)	[9C5A]	BE	7	4056
Lish	M	0132	Samphan	C797200-8		Lo		910	ImDa	G7 V	{ -2 }	(510-5)	[1113]	B	10	-25
Lish	M	0133	Ribunu	B655743-8	S	Ag Ga Pz	A	300	ImDa	M0 V	{ 1 }	(969-2)	[4825]	BC	7	-972
Lish	M	0134	Erlukam	A437200-F	N	Lo		312	ImDa	M2 V	{ 1 }	(711-3)	[131A]	B	12	-21
Lish	M	0136	Ram Sho	C675662-8		Ag Ni O:0138		104	ImDa	G0 V	{ -1 }	(C53-5)	[2514]	BC	7	-900
Lish	M	0138	Amkash	B4277AC-A		Pi Pz	A	812	ImDa	M2 V	{ 2 }	(C6B+5)	[A98D]	BD	12	3960
Lish	M	0139	Polaz	C744202-A		Lo		213	ImDa	M2 V	{ 0 }	(810-4)	[1216]	B	8	-32
Lish	M	0140	Vodyr	B782999-A		Hi Pr		414	ImDa	G8 V	{ 3 }	(G8D+4)	[AC6B]	BcE	12	6656
Lish	A	0201	Rasan	E000689-7		As Na Ni Va		803	ImDa	G3 V M0 V	{ -3 }	(851-2)	[7368]	B	14	-80
Lish	A	0203	Ilani	E300346-9		Lo Va		222	ImDa	K1 III D	{ -2 }	(920-3)	[2148]	B	9	-54
Lish	A	0205	Shuka	BACA37B-C	S	Fl Lo		303	ImDa	K8 V M1 V	{ 1 }	(821+3)	[547E]	B	9	48
Lish	A	0206	Odsad	B9A8686-A		Fl Ni		901	ImDa	M2 V	{ 1 }	(955+1)	[5749]	B	9	225
Lish	A	0210	Umilikha	B795344-B	W	Lo		604	ImDa	K6 V M0 V	{ 2 }	(922+1)	[1539]	B	9	36
Lish	E	0212	Zemud	B6868BC-7	S	Ga Ri Pa Ph Pz	A	501	ImDa	K3 V	{ 1 }	(A79+4)	[B98A]	BcCe	9	2520
Lish	E	0214	Kaso	B200951-F		Hi In Na Va		304	ImDa	G3 V	{ 4 }	(F8G+1)	[5D1B]	BEf	9	1920
Lish	E	0217	Opnoz	C42179B-8		He Na Po Pi Pz	A	103	ImDa	K3 V M6 V	{ -1 }	(C67+1)	[967A]	BD	9	504
Lish	E	0218	Pholan	C8B7100-B	S	Fl Lo		821	ImDa	M2 III	{ 0 }	(600-4)	[1116]	B	9	-24
