Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Magy	A	0102	Oasis	B8507A9-A	KM	De Po		600	SoCf	G3 V M2 V	{ 3 }	(96C+4)	[8A6B]		6	2592
Magy	A	0104	Pity	C301200-C		Ic Lo Va Co Tz		303	SoCf	M0 V	{ 0 }	(710-4)	[1217]		9	-28
Magy	A	0105	Reynold	C401899-B		Ic Na Va Ph Pi Tz		613	NaHu	M1 V	{ 1 }	(E7B+2)	[996C]		7	2156
Magy	A	0106	Vala's World	D830210-7		De Lo Po Co		610	SoCf	G2 V	{ -3 }	(410-5)	[1112]		7	-20
Magy	E	0113	Schurz	A874310-D		Lo Co Tu		201	SoCf	F1 V G6 V	{ 1 }	(621-3)	[1418]		9	-36
Magy	E	0115	Pryon	A889747-D		Ri		902	SoCf	K9 V M3 V	{ 3 }	(B6E+3)	[7A5D]		10	2772
Magy	E	0116	Wair	C89A98C-C		Hi In Wa Pz	A	701	SoCf	G2 V M6 V	{ 3 }	(C8E+5)	[CC8F]		11	6720
Magy	E	0118	Hool	C421867-A		He Na Po Ph Pi O:0120 Ho		704	SoCf	G7 V M4 V	{ 1 }	(E7A+1)	[895A]		10	980
Magy	E	0119	Mickel	A742855-D		He Po Ph Pi		903	SoCf	F5 V	{ 2 }	(D7D+1)	[6A3B]		10	1183
Magy	E	0120	Factn	C740999-A		De He Hi In Po		603	SoCf	G2 V	{ 3 }	(E8D+4)	[AC6B]		15	5824
Magy	I	0122	Vaneken	C7B78A9-9		Fl Ph Co Tz		203	SoCf	M3 V M7 V	{ 0 }	(D79+1)	[986A]		9	819
Magy	I	0125	Ulm	A548666-C		Ag Ni O:0227		614	SoCf	G1 V G4 V	{ 2 }	(D56+1)	[584B]		11	390
Magy	I	0130	Rosefeld	E5218CB-7		He Na Po Ph Pi Pz Ho	A	621	SoCf	G3 V M8 V	{ -2 }	(A76+1)	[A679]		11	420
Magy	M	0131	Indet	B7B79BD-D		Fl Hi In Pz Fr	A	102	SoCf	M0 V	{ 4 }	(D8G+5)	[DD9H]		8	8320
Magy	M	0134	Quizen	B6AA865-D		Fl Ph O:0233 Co Tz		910	SoCf	M1 V	{ 2 }	(B7D+1)	[6A3B]		9	1001
Magy	M	0135	Regasas	A100877-E		Na Va Ph Pi Lk		300	SoCf	M1 V M2 V	{ 2 }	(A7D+2)	[8A5E]		8	1820
Magy	M	0136	Wilkerson	A7BA767-E		Fl O:0135 Fr		312	SoCf	M0 V M1 V	{ 2 }	(C6D+2)	[795E]		11	1872
Magy	M	0137	Bentley	B422644-C		He Na Ni Po Tz		104	SoCf	M1 V	{ 1 }	(C55-1)	[473A]		13	-300
Magy	M	0139	Xianjin	A77668A-C	KM	Ag Ni		812	SoCf	K0 V M0 V	{ 3 }	(B57+5)	[897E]		12	1925
Magy	M	0140	Falkenthal	E59A266-9		Lo Wa O:0139 Sa		213	SoCf	G7 V M8 V	{ -2 }	(810-3)	[1148]		15	-24
Magy	A	0203	Wu	B66A99A-E	KM	Hi Wa Cp Pr (Wuans)		414	SoWu	F9 V G9 V	{ 4 }	(G8G+5)	[BD7G]		13	10240
Magy	A	0205	Clan	B640988-C	KM	De He Hi In Po Huma2		803	SoWu	G9 V	{ 5 }	(E8G+5)	[9E5C]		8	8960
Magy	A	0208	Spit	C530846-8		De Na Po Ph Sa		222	SoCf	F4 V G3 V	{ -1 }	(E77-2)	[7747]		13	-1372
Magy	A	0210	Chou	C62187B-9		He Na Po Ph Pi		303	SoWu	K1 V	{ 0 }	(D79+2)	[A87B]		12	1638
Magy	E	0211	Seung	B000688-D	KM	As Na Ni Va		901	SoWu	G7 III G6 V	{ 2 }	(956+2)	[685D]		10	540
Magy	E	0212	Zentara	C201200-C		Ic Lo Va Fr Lk		604	SoCf	M2 V	{ 0 }	(810-4)	[1217]		13	-32
Magy	E	0215	Amonchomchu	C599765-9		Pi O:0116		501	SoCf	K7 V	{ 0 }	(A69-2)	[5737]		9	-1080
Magy	E	0216	Planck	B201353-E	KM	Ic Lo Va Fr Sa		304	SoCf	M2 V M9 V	{ 2 }	(922-1)	[152B]		15	-36
Magy	E	0220	Anderson	B550221-B		De Lo Po		103	SoCf	K9 V	{ 1 }	(711-3)	[1317]		8	-21
Magy	I	0223	Campany	B641888-A		He Po Ph Pi		821	SoCf	G9 V	{ 2 }	(D7B+2)	[8A5A]		11	2002
Magy	I	0224	Romm	B531321-D		Lo Po Tz		703	SoCf	M2 V	{ 1 }	(821-3)	[1419]		11	-48
Magy	I	0225	Adopoulos	C100599-C		Ni Va Sa		111	SoCf	M0 V	{ 0 }	(944+1)	[656D]		9	144
Magy	I	0227	Ock	A9A8855-E	KM	Fl Ph Cp Co Tz		510	SoCf	M2 V M4 V	{ 3 }	(B7E+1)	[6B3C]		7	1078
Magy	I	0229	Tworek	E8AA446-A		Fl Ni Co		812	SoCf	K5 V	{ -1 }	(932-2)	[3349]		10	-108
Magy	M	0233	Drang	A54379C-C	KM	Po Cp Pi Pz	A	113	SoCf	K2 V	{ 3 }	(D6D+5)	[AA8F]		16	5070
Magy	M	0239	Crecilius	B6A7114-C	KM	Fl Lo Co Tz		213	SoCf	K8 V M1 V	{ 2 }	(702+1)	[133A]		9	14
Magy	A	0303	Placid	B545433-B		Ni Pa		714	SoCf	G0 V K9 V	{ 1 }	(B34-2)	[1528]		16	-264
Magy	A	0305	Veller	E546478-7		Ni Pa		610	NaHu	F7 V	{ -3 }	(631-3)	[4157]		10	-54
Magy	A	0308	Tamroff	E775302-8		Lo Co Tu		513	SoCf	G4 V K2 V	{ -3 }	(920-5)	[1114]		10	-90
Magy	A	0309	Rudikk	E301720-8		Ic Na Va Pi Lk Fr		920	SoCf	M1 V	{ -2 }	(B66-5)	[2513]		6	-1980
Magy	A	0310	Carn	C4306AA-A		De Na Ni Po Da Tz	A	104	SoCf	M0 V M2 V	{ 0 }	(C54+2)	[867C]		10	480
Magy	E	0315	McManus	E511742-7		Ic Na Pi Ho		502	SoCf	F8 V	{ -2 }	(966-5)	[3513]		6	-1620
Magy	E	0317	Sawiykao'	D301466-9		Ic Ni Va O:0116 Ho Tz		514	SoCf	K0 V M9 V	{ -2 }	(B31-3)	[3248]		11	-99
Magy	E	0319	Kelriya	C434423-B		Ni		620	SoCf	G1 V M3 V	{ 0 }	(833-3)	[1428]		5	-216
Magy	I	0321	Usi Ub	C696966-A		Hi In O:0120		714	SoCf	G5 V K9 V	{ 3 }	(G8D+2)	[8C49]		14	3328
Magy	I	0322	Wright	C000356-D		As Lo Va		913	SoCf	M2 V	{ 0 }	(920-1)	[234C]		11	-18
Magy	I	0327	Ciaconn	C89A220-B		Lo Wa		900	SoCf	G0 V	{ 0 }	(410-4)	[1216]		7	-16
Magy	I	0329	Tenson	C63257A-A		Ni Po Ho		702	SoCf	F6 V	{ 0 }	(944+2)	[757C]		12	288
Magy	I	0330	Awrenek	D556110-7		Lo Co		504	SoCf	M2 V	{ -3 }	(300-5)	[1112]		15	-15
Magy	M	0333	Leto	D301557-A		Ic Ni Va Sa		712	SoCf	G8 III D	{ -1 }	(B43-1)	[545A]		12	-132
Magy	M	0337	Zandervort	A87489D-C		Pa Ph Pi Pz	A	202	SoCf	F4 V	{ 2 }	(C7C+5)	[CA9G]		11	5040
Magy	M	0338	Mitava	C540222-9		De He Lo Po		632	SoCf	G6 V	{ -1 }	(910-5)	[1115]		17	-45
Magy	M	0340	Rundle	A51136B-E	KM	Ic Lo Ho Mr		400	SoCf	G5 V	{ 2 }	(522+4)	[557G]		7	80
Magy	A	0403	Downfall	C547100-A		Lo		714	SoCf	F1 V	{ 0 }	(800-4)	[1115]		16	-32
Magy	A	0404	Oyama	B5A3565-B		Fl Ni O:0205		403	SoWu	K3 V	{ 1 }	(A45-1)	[3639]		13	-200
Magy	A	0409	Gunsan	A645555-E		Ag Ni		513	SoWu	G7 V	{ 2 }	(B46+1)	[373C]		13	264
Magy	E	0411	Yergin	D767642-6		Ag Ni Ga Ri		520	SoCf	G4 V M3 V	{ -1 }	(853-5)	[2512]		11	-600
Magy	E	0413	Kaig	A6AA758-E	KM	Fl Cp Fr		402	SoCf	M1 V M4 V M3 V	{ 3 }	(B6E+3)	[7A5E]		7	2772
Magy	E	0415	Dormant	B650645-A		De Ni Po		103	SoCf	G4 V	{ 1 }	(B55-1)	[4738]		11	-275
Magy	I	0423	Wieaaw	E401568-9		Ic Ni Va Asla2 O:0624 Ho Sa		701	SoCf	G8 V M5 V	{ -2 }	(942-2)	[6359]		10	-144
Magy	I	0425	Mitaro	B895301-C		Lo		200	SoCf	G9 V	{ 1 }	(521-3)	[1418]		8	-30
Magy	I	0427	Yoeahti	A542468-D		He Ni Po Asla4 O:0624 Tz		314	SoCf	M0 V	{ 1 }	(B34+1)	[455D]		10	132
Magy	I	0428	Weiji	A741677-C		He Ni Po Tz		200	SoCf	M2 V	{ 1 }	(855+1)	[675C]		8	200
Magy	M	0432	Agari	C58A99D-C		Hi Wa Pr Pz Tz	A	214	SoCf	M1 V	{ 2 }	(G8D+5)	[DB9G]		12	8320
Magy	M	0440	Sammadar	C557220-9		Lo Co		610	SoCf	M0 V M9 V	{ -1 }	(510-5)	[1114]		8	-25
Magy	A	0502	Fairbairn	E630210-7		De Lo Po		703	SoCf	K3 V M0 V	{ -3 }	(410-5)	[1112]		8	-20
