Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Mend	A	0107	Dakinkhig	C568502-8		Ag Ni Pr		204	NaVa	G0 V M3 V	{ -1 }	(B43-5)	[1414]		8	-660
Mend	A	0110	Aminkaa	E544247-6		Lo		733	NaHu	M2 V M3 V	{ -3 }	(410-3)	[2156]		13	-12
Mend	E	0111	Ilarba	D868747-1		Ag Ri Varg4		102	NaHu	F5 V M9 V	{ 0 }	(965+1)	[7751]		8	270
Mend	E	0113	Fourroek	E646254-5		Lo Da Huma2	A	703	NaVa	F7 V	{ -3 }	(410-5)	[1133]		11	-20
Mend	I	0121	Gukham	C785412-8		Ni Ga Pa Chir0 Huma3		703	NaVa	F4 V	{ -2 }	(931-5)	[1214]		13	-135
Mend	I	0122	Kengighon	C30078B-9	C	Na Va Pi Pz Huma2	A	321	NaVa	A1 V K7 V	{ 0 }	(C69+2)	[977B]		10	1296
Mend	I	0125	Egva Ors	E66A566-5		Ni Wa Pr Huma1 O:0221		204	NaVa	M3 V	{ -3 }	(741-4)	[4244]		13	-112
Mend	I	0130	Aeghzath	E579441-8		Ni		203	VAnP	F6 V	{ -3 }	(931-5)	[1114]		11	-135
Mend	M	0131	Okheruers	C540633-7		De He Ni Po		425	VAnP	F5 V M9 V	{ -2 }	(852-5)	[3424]		12	-400
Mend	M	0136	Ikeshiige	E544000-0		Ba		012	VAnP	F8 V	{ -3 }	(200-5)	[0000]		13	-10
Mend	M	0138	Khadumar	A565545-A	K	Ag Ni Pr		221	VAnP	G1 V	{ 2 }	(A46+1)	[3738]		11	240
Mend	A	0201	Lakariir	C520200-A		De He Lo Po		203	3EoG	M0 V M0 V M1 V	{ 0 }	(710-4)	[1215]		15	-28
Mend	A	0202	Dakash	C66A58B-7	M	Ni Wa Pr		704	3EoG	K3 V	{ -2 }	(742+1)	[7379]		16	56
Mend	A	0207	Eraashesh	E310584-9		Ni		400	NaHu	M1 V M9 V	{ -2 }	(742-4)	[3337]		13	-224
Mend	A	0210	Minirem	E569000-0		Ba		003	NaHu	F4 V	{ -3 }	(200-5)	[0000]		14	-10
Mend	E	0212	Tahigon	C7BA325-9		Fl Lo Huma1		403	NaVa	M6 III	{ -1 }	(820-3)	[1237]		13	-48
Mend	E	0218	Koeghz	E857220-2		Lo Ga Da Huma2	A	203	NaVa	F3 V M8 V	{ -3 }	(410-5)	[1111]		12	-20
Mend	I	0221	Ougzto	A59A8AB-9		Wa Ph Pi Pz Huma4	A	114	NaVa	F0 V	{ 1 }	(F7A+3)	[A97B]		11	3150
Mend	I	0223	Un Aekho	C100556-B	CM	Ni Va Huma2		724	NaVa	G3 V M1 V	{ 0 }	(D44-1)	[454A]		12	-208
Mend	I	0227	Osaelon	C7B8434-8		Fl Ni		410	NaVa	K5 V	{ -2 }	(731-4)	[2236]		7	-84
Mend	I	0229	Faethaeng	C537385-6		Lo		822	VAnP	G8 V M4 V	{ -2 }	(520-4)	[1134]		10	-40
Mend	M	0234	Dakhumar	A683200-C	K	Lo		203	VAnP	F9 V M1 V	{ 1 }	(711-3)	[1317]		14	-21
