Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Mesh	E	0115	Gvikse	B797666-7	M	Ag Ni O:0313		823	VOpp	F1 V M9 V	{ 0 }	(854-1)	[5646]		14	-160
Mesh	E	0116	Khalokh	C556500-7	M	Ag Ni		413	VOpp	F3 V M5 V	{ -1 }	(743-5)	[1412]		12	-420
Mesh	E	0120	Ungoe	C79A747-9		Wa Pi		904	V17D	F0 V M6 V M6 V	{ 0 }	(D69+1)	[7759]		11	702
Mesh	I	0123	Zolag	C000A87-E	C	As Hi In Na Va		420	V17D	F4 V	{ 3 }	(E9F+3)	[AD5E]		10	5670
Mesh	I	0124	Ourskhaeth	C686100-8	C	Lo Ga		900	V17D	F1 V	{ -2 }	(300-5)	[1113]		8	-15
Mesh	I	0128	Agolrok	C5409B9-A	K	De He Hi In Po Pz	A	902	V17D	F9 V	{ 3 }	(D8D+4)	[AC6B]		9	5408
Mesh	I	0129	Ung Aesa	B6A5351-8	C	Fl Lo		722	V17D	M6 II	{ -1 }	(920-5)	[1214]		13	-90
Mesh	M	0134	Dakak	C9889CE-5		Hi Pr Pz	A	600	V17D	F8 V M6 V	{ 0 }	(B88+4)	[D999]		7	2816
Mesh	A	0210	Ragdo	C6869BA-6		Hi Ga Pr Pz	A	104	VOpp	F6 V	{ 0 }	(B88+2)	[B978]		11	1408
Mesh	I	0223	Dzelsoull	C88A79B-9		Ri Wa Pz	A	120	V17D	F5 V	{ 1 }	(B6A+3)	[987B]		9	1980
Mesh	I	0225	Galigun	E423977-7	C	Hi In Na Po		124	V17D	G0 V	{ 0 }	(B89+1)	[9957]		13	792
Mesh	I	0226	Aegartuer	C666455-5		Ni Ga Pa		323	V17D	F3 V	{ -2 }	(631-4)	[2233]		16	-72
Mesh	I	0229	Cadutah	C8A7620-8	C	Fl Ni		902	V17D	M3 V	{ -2 }	(A52-5)	[1413]		14	-500
Mesh	M	0236	Kalih	C53068A-7		De Na Ni Po		603	VVoS	M1 II D	{ -2 }	(852+1)	[8479]		12	80
Mesh	M	0237	Ueksuerrg	D436230-8	C	Lo		402	VVoS	K2 III	{ -3 }	(610-5)	[1113]		11	-30
Mesh	A	0310	Aengdan	C624364-7		Lo O:0409		621	VOpp	M2 V	{ -2 }	(520-4)	[1135]		9	-40
Mesh	E	0312	Lavras	B87578A-8		Ag Pi		313	VOpp	F7 V M0 V	{ 1 }	(D69+3)	[987A]		17	2106
Mesh	E	0313	Odessa	B3109BD-A		Hi In Na Pz	A	104	VOpp	M0 V M1 V	{ 4 }	(F8E+5)	[DD9E]		14	8400
Mesh	E	0314	Urulaekhs	E430000-0		Ba De Po		003	VOpp	M2 V	{ -3 }	(200-5)	[0000]		10	-10
Mesh	E	0316	Khongaegh	E579000-0		Ba		024	VOpp	M2 V M3 V	{ -3 }	(200-5)	[0000]		14	-10
Mesh	E	0317	Addar	A520531-B	K	De He Ni Po Cp		521	VOpp	F3 II M0 V	{ 1 }	(A45-3)	[1617]		13	-600
Mesh	I	0321	Ovoe	E300000-0		Ba Va		002	VOpp	G8 V	{ -3 }	(200-5)	[0000]		5	-10
Mesh	I	0324	Uetsae	A987461-C		Ni Pa O:0123		401	V17D	F1 V M1 V M5 V	{ 1 }	(734-3)	[1518]		9	-252
Mesh	M	0332	Faerr Or	D420566-8		De He Ni Po O:0336		403	VVoS	K4 V	{ -3 }	(A41-4)	[4247]		8	-160
Mesh	M	0333	Lakzorr	B644484-A		Ni Pa		803	VVoS	F0 V	{ 1 }	(934-1)	[2538]		10	-108
Mesh	M	0336	Tukogan	C510947-9	K	Hi In Na		504	VVoS	F2 V	{ 2 }	(F8C+2)	[9B59]		8	2880
Mesh	M	0340	Onlek	C533447-7		Ni Po		202	VVoS	M1 V	{ -2 }	(631-2)	[4257]		11	-36
Mesh	A	0409	Razfa	A300A9A-E	K	Hi In Na Va Cp		303	VOpp	G2 V	{ 4 }	(F9G+5)	[CE7G]		8	10800
Mesh	A	0410	Gzurrgho	BAE9796-7	C			302	VOpp	G8 V M9 V	{ 0 }	(968-1)	[6746]		6	-432
Mesh	E	0412	Guegnaek	B574477-9	K	Ni Pa		404	VOpp	F6 V	{ 0 }	(A33+1)	[4459]		16	90
Mesh	E	0416	Arrgh Sue	C43037A-9		De Lo Po		102	VOpp	F9 V	{ -1 }	(720+1)	[527B]		13	14
Mesh	I	0421	Al Ezen	D78A687-5		Ni Ri Wa		504	VOpp	F6 V	{ -2 }	(852-2)	[6455]		12	-160
Mesh	I	0422	Kherskfon	C633231-6		Lo Po		324	VOpp	M1 V	{ -2 }	(410-5)	[1112]		18	-20
Mesh	I	0424	Oukso	E752000-0		Ba Po		024	V17D	F3 V M0 V	{ -3 }	(200-5)	[0000]		17	-10
Mesh	I	0425	Death's Sin	E423000-0		Ba Po		004	V17D	M1 V M5 V	{ -3 }	(200-5)	[0000]		12	-10
Mesh	M	0433	Ozsueku	C520483-7		De He Ni Po		812	VVoS	M2 V	{ -2 }	(631-5)	[1224]		13	-90
Mesh	M	0434	Tsursazaer	B654402-B	K	Ni Pa		704	VVoS	K9 V	{ 1 }	(A34-3)	[1517]		14	-360
Mesh	M	0436	Dilok	C42097B-9	K	De He Hi In Na Po		924	VVoS	F9 V	{ 2 }	(H8C+4)	[BB7B]		16	6528
Mesh	A	0506	Thougzaerrg	C8D5277-5	M	Lo		802	VRo5	K5 V	{ -2 }	(410-2)	[2155]		8	-8
Mesh	A	0508	Llegza	C6467BA-5		Ag Pi Pz	A	221	VOpp	F7 V	{ 0 }	(967+2)	[9777]		11	756
Mesh	E	0511	Engkfaslo	C767353-9	K	Lo Ga		824	VOpp	F9 V	{ -1 }	(B20-4)	[1226]		10	-88
Mesh	E	0513	Dzingogz	C56A78A-9		Ri Wa		802	VOpp	F7 V	{ 1 }	(B6A+3)	[987B]		5	1980
Mesh	E	0519	Wallace	C768958-A		Hi Pr		434	VOpp	F1 V M1 V	{ 2 }	(J8C+2)	[9B5A]		18	3456
Mesh	E	0520	Uthogh	C534415-6		Ni		235	VOpp	M0 V	{ -2 }	(631-4)	[2234]		15	-72
Mesh	I	0524	Akhan	E888201-7	C	Lo		511	V17D	G9 V	{ -3 }	(410-5)	[1113]		13	-20
Mesh	M	0531	Allal	C434474-A		Ni		623	VOpp	M1 V	{ 0 }	(B33-2)	[2438]		17	-198
Mesh	M	0536	Otskur	A67458B-C		Ag Ni		123	VVoS	G5 V	{ 2 }	(C46+4)	[777E]		15	1152
Mesh	M	0539	Ishlidiimdu	C550588-7		De Ni Po		123	VVoS	G5 V	{ -2 }	(742-2)	[5357]		16	-112
Mesh	A	0604	Kikhtats	D896485-5	M	Ni Pa		624	VRo5	F8 V M1 V M0 V	{ -3 }	(631-5)	[2133]		19	-90
Mesh	A	0609	Kongghoth	B54459D-8	K	Ag Ni Da	A	324	VOpp	F2 V M2 V	{ 0 }	(D44+4)	[959C]		15	832
Mesh	E	0611	Aerru	C586324-6	M	Lo		402	VOpp	F9 V	{ -2 }	(520-4)	[1134]		11	-40
Mesh	E	0617	Gvekngo	C200210-A		Lo Va		100	VOpp	K7 V	{ 0 }	(410-4)	[1215]		6	-16
Mesh	I	0622	Limada	E438ADH-8	C	Hi Pz	A	202	VOpp	F3 V	{ -1 }	(E98+4)	[F9AD]		11	4032
Mesh	I	0625	Kougkaez	C6877B8-7		Ag Ga Ri		522	VOpp	F3 V	{ 1 }	(969+1)	[7857]		9	486
Mesh	I	0626	Vaekh Oen	D431499-7		Ni Po		603	VOpp	M0 V M5 V	{ -3 }	(631-2)	[5168]		9	-36
Mesh	I	0627	Dzugen	D563205-5		Lo		713	VOpp	F9 V	{ -3 }	(410-5)	[1133]		14	-20
Mesh	I	0628	Ounuekhue	C978461-8		Ni Pa O:0725		202	VOpp	F8 V M7 V	{ -2 }	(831-5)	[1214]		5	-120
Mesh	I	0630	Varraeg	D552655-5		Ni Po		603	VOpp	F6 V M5 V	{ -3 }	(851-5)	[4333]		8	-200
Mesh	M	0631	Zae Errsu	D558746-5		Ag Chir6		104	VOpp	F0 V	{ -1 }	(966-2)	[6644]		10	-648
Mesh	M	0632	Tangoegz	C2008BC-9		Na Va Ph Pi Pz	A	103	VOpp	K8 V	{ 0 }	(D79+3)	[B88C]		11	2457
Mesh	M	0633	Jerumen	D767689-4	C	Ag Ni Ga Ri		525	VOpp	F7 V M2 V	{ -1 }	(853+1)	[7565]		14	120
Mesh	M	0637	Aksa	C300677-9		Na Ni Va		203	VVoS	M1 V	{ -1 }	(B53-1)	[6559]		13	-165
Mesh	M	0639	Othaegae	C550556-7		De Ni Po		803	VVoS	F1 V M8 V	{ -2 }	(742-3)	[4346]		12	-168
Mesh	M	0640	Kakar	C432500-B	C	Ni Po		723	VVoS	G9 V	{ 0 }	(C44-4)	[1516]		14	-768
Mesh	A	0706	Dhedhate	B9A8653-9	K	Fl Ni		610	VRo5	K0 II D	{ 0 }	(954-3)	[3626]		12	-540
Mesh	A	0707	Zaelan	D420565-9	K	De He Ni Po O:0706		604	VRo5	G6 V M7 V	{ -2 }	(B42-4)	[3337]		13	-352
Mesh	E	0714	Athol	C658676-5		Ag Ni		302	VOpp	F2 V	{ -1 }	(853-2)	[5544]		11	-240
Mesh	I	0723	Arfeg	B556588-B	K	Ag Ni		801	VOpp	G1 V	{ 2 }	(846+2)	[575B]		4	384
Mesh	I	0725	Kanukor	A699653-B	K	Ni Cp		323	VOpp	G4 V	{ 1 }	(D55-2)	[3728]		15	-650
Mesh	I	0729	Knougza	C559420-7		Ni		100	VOpp	F6 V M4 V	{ -2 }	(631-5)	[1212]		8	-90
Mesh	M	0733	Igwana	E556000-0		Ba		000	VOpp	F2 V M1 V	{ -3 }	(200-5)	[0000]		9	-10
Mesh	M	0735	Aeksunkung	C7687AA-3		Ag Ri Pz	A	734	VOpp	G6 V M7 V	{ 1 }	(967+3)	[9875]		13	1134
Mesh	M	0736	Enan	A8C7547-D	K	Fl Ni Cp		720	VOpp	M3 V	{ 1 }	(945+1)	[565D]		7	180
Mesh	M	0740	Ararumush	E675632-5	C	Ag Ni		923	VVoS	F8 V	{ -2 }	(852-5)	[2411]		11	-400
Mesh	A	0804	Suekhsaer	A57359E-9	K	Ni Da	A	811	VRo5	K6 V M3 V	{ 0 }	(944+4)	[959D]		9	576
Mesh	A	0807	Gzallezue	E78A231-8		Lo Wa		804	VRo5	F0 V M4 V	{ -3 }	(810-5)	[1114]		11	-40
Mesh	A	0808	Zuzodh	C310436-7	M	Ni		403	VRo5	M0 V M8 V	{ -2 }	(631-3)	[3246]		14	-54
Mesh	E	0811	Gzoekogh	E655855-3	C	Ga Pa Ph		504	VOpp	G3 V	{ -2 }	(A74-4)	[6631]		15	-1120
Mesh	E	0816	Voedzgzong	C552210-5	C	Lo Po		822	VOpp	G9 V	{ -2 }	(410-5)	[1111]		7	-20
Mesh	E	0818	Agen	B776647-7		Ag Ni		614	VOpp	F7 V	{ 0 }	(854+1)	[6657]		11	160
Mesh	E	0819	Ounnaz	A564259-B	K	Lo		515	VOpp	F5 V M1 V	{ 1 }	(A11+2)	[336C]		16	20
Mesh	I	0826	Ueruekh	EAB7345-8		Fl Lo		601	VOpp	G2 III	{ -3 }	(620-5)	[1136]		8	-60
Mesh	I	0827	Dhaekneng	C8D8755-8	M			311	VOpp	M2 V	{ -1 }	(B67-3)	[5636]		11	-1386
Mesh	I	0829	Dzare	C520574-7	M	De He Ni Po		305	VOpp	M3 V	{ -2 }	(742-4)	[3335]		13	-224
Mesh	I	0830	Ooelzarz	C59A774-8		Wa Pi		100	VOpp	G7 V M5 V	{ -1 }	(967-3)	[5636]		8	-1134
Mesh	M	0831	Lleghzoth	B977664-5		Ag Ni O:0632		723	VOpp	M3 V	{ 0 }	(854-2)	[4633]		16	-320
Mesh	M	0832	Dhaenzueg	C767776-5		Ag Ga Ri		302	VOpp	F3 V	{ 1 }	(968+1)	[6844]		9	432
Mesh	M	0833	Okalak	C554974-5		Hi		802	VOpp	F0 V M6 V	{ 0 }	(B88-2)	[7933]		14	-1408
Mesh	M	0834	Oekfozak	C6A4367-8	C	Fl Lo O:0632		804	VOpp	M3 V	{ -2 }	(920-2)	[3158]		8	-36
Mesh	M	0838	Ukkhukedh	C550503-8	C	De Ni Po		602	VVoS	F1 V M1 V	{ -2 }	(942-5)	[2325]		11	-360
Mesh	M	0839	Gaez Are	C69A354-B		Lo Wa		305	VVoS	K1 V	{ 0 }	(A20-2)	[1339]		16	-40
Mesh	M	0840	Arida	C4208DF-7	C	De He Na Po Ph Pi Pz	A	203	VVoS	G3 V	{ -1 }	(A77+4)	[D7AC]		7	1960
Mesh	B	0902	Saekhoe	C543488-6		Ni Po		524	VRo5	F8 V M8 V	{ -2 }	(631-2)	[4256]		13	-36
Mesh	B	0906	Uloer	C588676-8	C	Ag Ni Ri		402	VRo5	F6 V M8 V	{ 0 }	(A54-1)	[5647]		9	-200
Mesh	B	0910	Or Ugueg	B89967B-6	M	Ni		703	VRo5	G5 V M8 V	{ -1 }	(853+1)	[8578]		10	120
Mesh	F	0920	Uberaba	B767899-8		Ga Ri Pa Ph		200	VOpp	M3 V	{ 1 }	(A79+2)	[9969]		9	1260
Mesh	N	0931	Thukhdzen	E556444-6	C	Ni Pa Chir0		724	VOpp	F5 V	{ -3 }	(631-5)	[2134]		12	-90
Mesh	N	0934	Koenzonakh	B589544-A		Ni Pr		924	VOpp	F1 V M3 V	{ 1 }	(D45-1)	[3638]		15	-260
Mesh	N	0935	Odhduroul	E000521-9		As Ni Va		510	VOpp	M3 V M5 V	{ -2 }	(842-5)	[1315]		6	-320
Mesh	N	0937	Sukknou	B6A8562-9		Fl Ni Mr		904	VOpp	M1 V	{ 0 }	(B44-4)	[1515]		16	-704
Mesh	N	0939	Laekfae	C434559-B		Ni		703	VVoS	A1 V	{ 0 }	(A44+1)	[656C]		11	160
Mesh	N	0940	Thaengorrg	C578656-6		Ag Ni		412	VVoS	F1 V	{ -1 }	(853-2)	[5545]		16	-240
Mesh	B	1005	Fingae	C998256-9	C	Lo		824	VRo5	F8 V M5 V	{ -1 }	(A10-2)	[1148]		14	-20
Mesh	B	1007	Gudlul	E430974-6	C	De Hi Na Po		524	VRo5	F2 V	{ -1 }	(B87-3)	[7834]		16	-1848
Mesh	F	1011	Suekhkon	A545313-9		Lo		220	VRo5	F1 V M4 V	{ 0 }	(720-3)	[1326]		8	-42
Mesh	F	1015	Zaghzur	B523646-8	M	Na Ni Po		601	VRo5	F7 V M1 V	{ -1 }	(953-2)	[5547]		12	-270
Mesh	F	1016	Igakuts	C778756-5		Ag Pi		923	VRo5	F7 V	{ 0 }	(967-1)	[6744]		14	-378
Mesh	F	1020	Gutsaets	C66A7AA-8		Ri Wa Pz	A	803	VOpp	K3 V	{ 0 }	(C68+2)	[977A]		11	1152
Mesh	J	1023	Glory Day	B621789-7		He Na Po Pi		602	VOpp	M2 V	{ 0 }	(968+1)	[8768]		9	432
Mesh	J	1024	Zoukhuek	E6757CA-5	C	Ag Pi Pz	A	423	VOpp	F7 V M4 V	{ -1 }	(966+1)	[9677]		9	324
Mesh	J	1028	Nirrgh	B548651-9		Ag Ni		324	VOpp	K7 V	{ 1 }	(E55-3)	[2715]		18	-1050
Mesh	N	1031	Foegoekh	D530742-6		De Na Po		303	VOpp	K9 V	{ -2 }	(965-5)	[3512]		8	-1350
Mesh	N	1033	Ganakhukha	B778100-A	K	Lo		605	VOpp	G7 V	{ 1 }	(801-3)	[1215]		16	-24
Mesh	N	1034	Aengkfae	C000766-9		As Na Va Pi O:0632		514	VOpp	M2 V M8 V	{ 0 }	(E69-1)	[6748]		13	-756
Mesh	N	1035	Irrgo	E7765A8-5	C	Ag Ni		134	VOpp	F2 V M8 V	{ -2 }	(742-2)	[5355]		16	-112
Mesh	N	1036	Thusaen	E79A659-5		Ni Wa		503	VOpp	F5 V M9 V	{ -3 }	(851-2)	[7366]		11	-80
Mesh	N	1037	Aesthagz	C520355-A		De He Lo Po		401	VOpp	F5 IV	{ 0 }	(620-2)	[1338]		7	-24
Mesh	N	1040	Shugemansar	D100558-9	C	Ni Va		723	VVoS	M1 V	{ -2 }	(C42-2)	[5359]		14	-192
Mesh	B	1101	Sirrgdhoz	B500563-A	K	Ni Va O:1303		604	VRo5	G9 V	{ 1 }	(B45-2)	[2627]		17	-440
Mesh	B	1103	Aek Gvon	E430311-8		De Lo Po		603	VRo5	M2 V M2 V	{ -3 }	(820-5)	[1114]		9	-80
Mesh	B	1104	Vourrgvag	E77937A-5	C	Lo		922	VRo5	F1 V	{ -3 }	(520-1)	[5177]		14	-10
Mesh	B	1105	Ksaezan	B000230-D	K	As Lo Va		924	VRo5	K7 V	{ 1 }	(A11-3)	[1318]		17	-30
Mesh	B	1110	Kuvuekue	B561869-5	M	Ri Ph O:1412		705	VRo5	F0 V M6 V M7 V	{ 1 }	(A78+2)	[9966]		17	1120
Mesh	J	1123	Ugh Gzun	C9A8267-8		Fl Lo O:0725		404	VOpp	M0 V	{ -2 }	(810-2)	[2158]		14	-16
Mesh	J	1130	Zegku	E656362-6		Lo Ga O:1230		705	VOpp	M2 V M4 V	{ -3 }	(520-5)	[1112]		16	-50
Mesh	N	1131	Osang	C100245-B	K	Lo Va		112	VOpp	M2 V	{ 0 }	(710-2)	[1239]		16	-14
Mesh	N	1134	Thotsdhar	D669269-4		Lo Mr		404	VOpp	F0 V M5 V	{ -3 }	(410-2)	[3165]		7	-8
Mesh	N	1136	Keghag	A7CA220-C	K	Fl Lo		103	VOpp	M0 V	{ 1 }	(711-3)	[1317]		12	-21
Mesh	N	1137	Egirrg	E7C4105-9	C	Fl Lo		204	VOpp	M2 V M5 V	{ -2 }	(700-4)	[1137]		15	-28
Mesh	N	1139	Gatskour	A9EA103-E		Lo Wa		623	VVoS	M1 V	{ 1 }	(801-2)	[122B]		10	-16
Mesh	B	1201	Orruth	C859749-6				802	VRo5	M1 V	{ -1 }	(966+1)	[8667]		10	324
Mesh	B	1202	Kfuerrdall	C000420-B	K	As Ni Va		924	VRo5	G8 V M7 V M0 V	{ 0 }	(C33-4)	[1416]		16	-432
Mesh	B	1203	Onguelug	D623355-7	C	Lo Po		803	VRo5	F1 IV M2 V	{ -3 }	(520-5)	[1135]		13	-50
Mesh	B	1206	Gvounglu	A6B5478-C	K	Fl Ni		320	VRo5	F8 V	{ 1 }	(834+1)	[455C]		11	96
Mesh	F	1214	Lluedhoul	C557345-8	M	Lo		803	VRo5	F0 V	{ -2 }	(820-4)	[1136]		10	-64
Mesh	F	1218	Ungoks	E000300-A	C	As Lo Va		524	VRo5	K5 V	{ -1 }	(B20-5)	[1215]		15	-110
Mesh	F	1219	Ngengoeg	C87A79A-6	C	Wa Pi		205	VRo5	F7 V M6 V	{ -1 }	(966+1)	[9678]		15	324
Mesh	J	1221	Unangall	C100333-7	C	Lo Va		824	VOpp	M0 V	{ -2 }	(520-5)	[1124]		17	-50
Mesh	J	1223	Dourrgue	C300586-9		Ni Va		502	VOpp	M0 V	{ -1 }	(943-2)	[4448]		12	-216
Mesh	J	1230	Misery	B9A47A6-9	K	Fl		701	VOpp	M2 V	{ 1 }	(A6A+1)	[6848]		11	600
Mesh	N	1231	Ghaello	B554135-A		Lo		924	VOpp	F3 V M0 V	{ 1 }	(901-1)	[1238]		19	-9
Mesh	N	1234	Taeltueng	C868200-5	C	Lo		910	VOpp	G5 V	{ -2 }	(410-5)	[1111]		7	-20
Mesh	N	1237	Ranoti	E655AB7-9	C	Hi Ga		803	VOpp	F2 V M7 V	{ 0 }	(F9A+1)	[AA59]		12	1350
Mesh	N	1239	Tsuthaegz	D69A545-5		Ni Wa		802	VVoS	F3 V M5 V	{ -3 }	(741-5)	[3233]		8	-140
Mesh	N	1240	Llenggorr	C88A353-9	C	Lo Wa		304	VVoS	F7 V	{ -1 }	(920-4)	[1226]		13	-72
Mesh	B	1303	Azildak	B546979-A	K	Hi In		603	VRo5	K4 V M1 V	{ 4 }	(E8E+5)	[AD6B]		9	7840
Mesh	B	1306	Azuran	C752A65-7	M	Hi Po O:1303		204	VRo5	F9 V	{ 0 }	(C99-2)	[8A35]		15	-1944
Mesh	B	1309	Ez Okhknug	C667676-3	C	Ag Ni Ga Ri		802	VRo5	K0 V	{ 0 }	(854-1)	[5642]		9	-160
Mesh	B	1310	Don Aesor	C684489-4	M	Ni Pa		603	VRo5	F2 V M0 V	{ -2 }	(631-1)	[5265]		7	-18
Mesh	F	1317	Cordoba	A30068B-D		Na Ni Va Cp		801	VRo5	M2 V M7 V	{ 1 }	(955+3)	[877F]		9	675
Mesh	F	1318	Fagzorrghuts	B755844-6		Ga Pa Ph		304	VRo5	F9 V M3 V	{ 0 }	(A77-2)	[6834]		11	-980
Mesh	F	1320	Khathae	D895224-5	C	Lo		804	VRo5	G8 V	{ -3 }	(410-5)	[1133]		10	-20
Mesh	J	1322	Tsurrg	E43069A-6	C	De Na Ni Po		603	VOpp	F1 V M4 V	{ -3 }	(851-1)	[8378]		10	-40
Mesh	J	1323	Khidhae	C421524-9	C	He Ni Po		200	VOpp	M7 III D	{ -1 }	(743-3)	[3437]		6	-252
Mesh	J	1325	Arrllokh	E535424-6	C	Ni		104	VOpp	M3 V M8 V	{ -3 }	(631-5)	[2134]		10	-90
Mesh	J	1326	Thorndrake	B584230-A		Lo		923	VOpp	F1 V	{ 1 }	(911-3)	[1315]		12	-27
Mesh	J	1327	Khakhs	B658300-A		Lo		200	VOpp	M2 V	{ 1 }	(521-3)	[1415]		4	-30
Mesh	N	1332	Zerroegh	X598200-5		Lo Fo	R	921	VOpp	G6 V	{ -3 }	(410-5)	[1111]		7	-20
Mesh	N	1336	Dulaeghur	B100474-A		Ni Va		903	VVoS	M1 V	{ 1 }	(934-1)	[2538]		10	-108
Mesh	N	1339	Meyussyus	D66755A-6	C	Ag Ni Ga Pr Chir3		900	VVoS	M2 V	{ -2 }	(742+1)	[7378]		12	56
