Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Newo	A	0101	Losa	A41077A-D		Na Pi		234	SoCf	F7 V	{ 2 }	(D65+1)	[694H]		16	390
Newo	A	0102	Rinat	C412442-9		Ic Ni Co Lk		303	SoCf	G0 V G6 V	{ -1 }	(D32-4)	[2365]		13	-312
Newo	A	0106	Strelwell	B5A1335-B	KM	Fl He Lo Co Tz		103	SoCf	M3 V	{ 2 }	(822+1)	[556D]		8	32
Newo	E	0115	Burgoyne	A653979-E		Hi Po Pz	A	411	SoCf	F7 V	{ 3 }	(78D+1)	[7C8E]		9	728
Newo	E	0116	Henricus	C5A1213-9		Fl He Lo Tz		302	NaHu	M1 V	{ -1 }	(510-3)	[617A]		10	-15
Newo	E	0119	Naxos	C9897CD-9		Ri Dolp4		232	SoCf	G2 V	{ 1 }	(E6A+1)	[5869]		17	840
Newo	I	0122	0122	B54646A-B	KM	Ni Pa Fo Mr	R	102	SoRz	G6 V	{ 2 }	(D33-4)	[26A7]		12	-468
Newo	I	0123	0123	C41046A-B	M	Ni Fo Co Tz Mr	R	600	SoRz	M7 V	{ 0 }	(731+1)	[7468]		3	21
Newo	M	0138	Lyndon	X100000-0		Ba Va Fo Tz	R	001	WiDe	M5 V	{ -3 }	(900-5)	[0000]		11	-45
Newo	M	0140	Cathedral	D878956-8		Hi In		501	WiDe	F0 V M8 V	{ 0 }	(88C-4)	[49A8]		5	-3072
Newo	A	0202	Priskorbie	D9AA759-8		Fl Co Tz		131	SoCf	K1 V M1 V	{ -2 }	(665+1)	[9519]		10	180
Newo	A	0203	Guunda	A8869B9-A		Hi Ga Pr Pz (Tadonga)	A	122	SoCf	G3 V	{ 3 }	(D89+2)	[8C8E]		7	1872
Newo	A	0210	Setback	E310100-7		Lo Lk		233	NaHu	M3 V	{ -3 }	(400-5)	[1119]		15	-20
Newo	E	0212	Penninger	X5A2157-9		Fl He Lo Fo Tz	R	204	NaHu	M3 V	{ -2 }	(B00-5)	[1166]		13	-55
Newo	E	0214	Methusalem	B7A4342-9		Fl Lo Tz		701	SoCf	M1 V	{ 0 }	(520-4)	[8357]		10	-40
Newo	E	0217	Dannon	C1009DC-B		Hi In Na Va SeleW		602	SoCf	K4 V	{ 3 }	(78A+2)	[CC9B]		10	1120
Newo	I	0229	Iniquiti	B520624-9		De He Na Ni Po		201	SoCf	F3 V M9 V	{ 0 }	(855+1)	[4649]		8	200
Newo	A	0302	Whelk	B579344-9		Lo		610	SoCf	K3 V	{ 0 }	(920-3)	[1338]		9	-54
Newo	A	0304	Nazariy	C410126-7		Lo Lk		521	SoCf	M2 V M3 V	{ -2 }	(600+2)	[3127]		14	12
Newo	A	0310	Karla Secundus	B410211-C		Lo Co Tz		422	NaHu	M3 V	{ 1 }	(C11+3)	[137C]		10	36
Newo	E	0311	Galenos	E623000-0		Ba Po		002	SoCf	K8 V	{ -3 }	(700-5)	[0000]		8	-35
Newo	E	0312	Mikhailov	B410202-C		Lo		600	SoCf	G2 V K2 V M0 V	{ 1 }	(611+1)	[135D]		6	6
Newo	E	0313	Resfriado	A778889-9		Pa Ph Pi Co		930	SoCf	G8 V	{ 1 }	(E77+2)	[796E]		7	1372
Newo	E	0314	Cypress	B7869CD-C		Hi Ga Pr		421	SoCf	K6 V	{ 3 }	(D88+1)	[5C5B]		12	832
Newo	I	0321	Kliment	D554325-4		Lo Co		610	NaHu	G2 V M1 V	{ -3 }	(820-2)	[6172]		11	-32
Newo	I	0323	Furness	A5689A7-D		Hi Pr		802	SoCf	G0 V	{ 3 }	(789+4)	[6C5D]		9	2016
Newo	I	0327	Asphodel	AAD6A9D-E	KM	Hi Cp Co		132	SoCf	F3 V	{ 4 }	(E9C-1)	[9E4J]		11	-1512
