Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Olde	A	0108	Croesus	C430675-9	S	De Na Ni Po Da	A	804	ImDs	M2 V M9 V	{ -1 }	(C53-3)	[4537]	B	9	-540
Olde	A	0109	Datarkt	C433AD9-7		Hi Na Po Fo	R	404	ImDs	M2 V M8 V	{ 0 }	(C99+1)	[BA68]		7	972
Olde	E	0112	Klan	A79788D-C	S	Pa Ph Pi Pz	A	800	ImDs	K4 V	{ 2 }	(A7C+5)	[CA9G]	BcDe	13	4200
Olde	E	0113	Wott	B530655-C	NS	De Na Ni Po		724	ImDs	M1 V	{ 2 }	(E56+1)	[483A]	B	13	420
Olde	E	0114	Dachnis	A312A85-F	S	Hi Ic In Na		110	ImDs	K2 V	{ 4 }	(D9G+2)	[8E3D]	BEf	12	3744
Olde	E	0117	Xulfor	D55A573-6		Ni Wa		122	ImDs	M2 V	{ -3 }	(741-5)	[2223]	B	11	-140
Olde	E	0118	Jenms	C561659-9	S	Ni Ri		102	ImDs	M0 V M7 V	{ 0 }	(A54+1)	[766A]	BC	11	200
Olde	I	0121	Martham	C552834-8		Po Ph		202	ImDs	M0 V M7 V	{ -1 }	(C77-3)	[6736]	Be	11	-1764
Olde	I	0123	Sibbage	A554644-C	N	Ag Ni		502	ImDs	M1 V	{ 2 }	(A56+1)	[483A]	BC	11	300
Olde	I	0125	Burlta	A799A97-D	S	Hi In		700	ImDs	M3 V	{ 4 }	(C9G+4)	[AE5D]	BEf	13	6912
Olde	I	0127	Possin	A422ADA-F		He Hi In Na Po Pz	A	102	ImDs	G3 V M8 V	{ 4 }	(E9G+5)	[CE7H]	BEf	10	10080
Olde	I	0128	Darainne	A53189A-D		Na Po Ph		702	ImDs	F4 V M0 V	{ 2 }	(C7D+4)	[AA7F]	Be	11	4368
Olde	M	0131	Arvid	A9C7866-D		Fl Ph O:0334		425	ImDs	M3 V M7 V	{ 2 }	(H7D+1)	[7A4C]	Be	12	1547
Olde	M	0132	Keipes	A6778BC-B	N	Pa Ph Pi Pz	A	311	ImDs	K3 V	{ 2 }	(C7C+5)	[BA8E]	BcDe	13	5040
