Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Prov	A	0101	Ngulruedukh	B8A1552-C		Fl He Ni		112	VLIn	M1 III M2 V	{ 1 }	(A45-3)	[1618]		13	-600
Prov	A	0102	Gzaerzserorgh	A69A444-D		Ni Wa		701	VLIn	G9 V D	{ 1 }	(734-1)	[253B]		10	-84
Prov	A	0103	Thurraekh	B8A1752-C	K	Fl He		303	VLIn	M3 V	{ 2 }	(C6C-2)	[3918]		9	-1728
Prov	A	0107	Kuerrgoeng	C788642-8		Ag Ni Ri		214	VVar	F5 V	{ 0 }	(D54-4)	[2614]		13	-1040
Prov	A	0108	Gaeksuergh	C561698-7		Ni Ri		622	VVar	G4 V M3 V	{ -1 }	(853-1)	[6557]		13	-120
Prov	A	0109	Adzoeknogh	B424224-A		Lo		103	VVar	M2 V M5 V	{ 1 }	(711-1)	[1338]		11	-7
Prov	A	0110	Ang Aeth	D544331-6	C	Lo		625	VVar	F1 V D	{ -3 }	(520-5)	[1112]		12	-50
Prov	E	0112	Dhotsaeng	C577222-9		Lo		703	VVar	F9 V	{ -1 }	(710-5)	[1115]		12	-35
Prov	E	0115	Koudhgzaen	B5639AB-A	K	Hi Pr Pz	A	112	VVar	A5 V	{ 3 }	(E8D+5)	[BC7C]		12	7280
Prov	E	0119	Nogh	A566636-C		Ag Ni Ri		905	NaVa	K3 V K6 V	{ 3 }	(D57+2)	[594B]		11	910
Prov	E	0120	Zadz	C88A578-9		Ni Wa Pr		805	NaVa	G2 V D	{ -1 }	(C43-1)	[5459]		8	-144
Prov	I	0127	Thagaers	B553879-A		Po Ph		923	VDzF	M2 V	{ 2 }	(F7B+3)	[9A6B]		13	3465
Prov	I	0130	Ghourknodz	B79A400-B		Ni Wa		901	VDzF	G7 V	{ 1 }	(734-3)	[1516]		9	-252
Prov	M	0131	Dzaegkaek	D422115-8		He Lo Po		321	VDzF	G0 V M6 V	{ -3 }	(600-5)	[1136]		11	-30
Prov	M	0132	Uevoto	B583779-A	K	Ri		201	VDzF	K4 V M4 V	{ 3 }	(A6C+4)	[8A6B]		12	2880
Prov	M	0137	Anthonkfoers	C300423-9	C	Ni Va		823	VDzF	M1 V	{ -1 }	(B32-4)	[1326]		11	-264
Prov	M	0140	Aenggvug	B000489-B	K	As Ni Va		213	VDzF	M0 V	{ 1 }	(A34+2)	[556C]		9	240
Prov	A	0203	Aellorr	A7569A7-D	K	Hi Ga		315	VLIn	G7 V D	{ 3 }	(H8F+3)	[9C5D]		10	6120
Prov	A	0204	Kunag	B300745-C	K	Na Va Pi		212	VLIn	M0 V	{ 2 }	(C6C+1)	[593A]		12	864
Prov	A	0205	Kota	A100954-E	K	Hi In Na Va		411	VLIn	M1 V M8 V	{ 4 }	(D8G+2)	[7D3C]		6	3328
Prov	A	0210	Ath Aghe	B685633-A		Ag Ni Ga Ri		224	VVar	F8 V	{ 3 }	(E57+1)	[3927]		17	490
Prov	E	0212	Ghoghzsorgh	B635121-C		Lo		404	VVar	M0 V	{ 1 }	(701-3)	[1218]		12	-21
Prov	E	0216	Rataetaenrar	A548359-C		Lo		805	VVar	M0 V	{ 1 }	(A21+2)	[446D]		11	40
Prov	E	0219	Oughdzak	C7A6300-8	C	Fl Lo		625	NaVa	M1 V M7 V	{ -2 }	(C20-5)	[1113]		13	-120
Prov	I	0222	Llaedkher	C546320-6		Lo		615	VDzF	G7 V	{ -2 }	(520-5)	[1111]		15	-50
Prov	I	0225	Dzarrvaer	A766A74-E	K	Hi Ga Cx		203	VDzF	G4 IV	{ 3 }	(F9F+1)	[8D3C]		11	2025
Prov	I	0227	Ghourrgadz	A556844-C	K	Pa Ph		303	VDzF	F9 V	{ 2 }	(D7C+1)	[6A3A]		16	1092
Prov	I	0230	Oetsorkeda	C9B7321-A	C	Fl Lo		314	VDzF	K3 V	{ 0 }	(A20-4)	[1316]		15	-80
Prov	M	0232	Kuronraer	B556789-A	K	Ag		502	VDzF	G1 V	{ 3 }	(B6C+4)	[8A6B]		7	3168
Prov	M	0237	Gingrue	C50249A-9	C	Ic Ni Va		421	VDzF	F9 V	{ -1 }	(932+1)	[637B]		12	54
Prov	M	0238	Lloezoers	BAC3312-B	K	Fl Lo		503	VDzF	F4 V	{ 1 }	(821-3)	[1417]		11	-48
Prov	M	0240	Aeghzisung	A200776-C		Na Va Pi		422	VDzF	F2 II M2 V	{ 2 }	(D6C+1)	[694B]		10	936
Prov	A	0302	Ae Uer	B787523-B	K	Ag Ni Ga Pr		913	VLIn	G1 V	{ 2 }	(B46-1)	[2728]		11	-264
Prov	A	0303	Vaggvuek	B535230-B		Lo		502	VLIn	G8 IV	{ 1 }	(611-3)	[1316]		13	-18
Prov	A	0304	Kath	A310757-E	K	Na Pi		804	VLIn	M1 V	{ 2 }	(D6D+2)	[795E]		13	2028
Prov	A	0305	Taktelugh	A558675-B		Ag Ni		422	VLIn	G7 V	{ 2 }	(C56+1)	[4839]		14	360
Prov	A	0306	Sa Thaen	B68A574-C		Ni Wa Pr		113	VLIn	K0 V M1 V	{ 1 }	(B45-1)	[363A]		14	-220
Prov	A	0308	Llaes	C76478C-6		Ag Ri Pz	A	904	VVar	G5 V M0 V	{ 1 }	(968+4)	[A889]		12	1728
Prov	A	0309	Oghzourr	C515337-9		Ic Lo		824	VVar	F9 V	{ -1 }	(B20-1)	[3259]		16	-22
Prov	E	0314	Dorrar	B57397B-8		Hi In		313	NaVa	G0 V	{ 2 }	(F8B+4)	[BB7A]		13	5280
Prov	I	0321	Rrukagae	C529220-A	C	Lo		914	VDzF	M2 V M4 V	{ 0 }	(910-4)	[1215]		10	-36
Prov	I	0325	Oth Uegaen	B688542-A		Ag Ni Pr		913	VDzF	G0 V M6 V	{ 2 }	(B46-2)	[1716]		9	-528
Prov	I	0328	Ughtuerz	C759126-A	C	Lo		601	VDzF	F8 V	{ 0 }	(400-1)	[1149]		7	-4
Prov	I	0329	Gvousaegh	CA98321-6		Lo		623	VDzF	K8 V	{ -2 }	(520-5)	[1112]		16	-50
Prov	M	0331	Errkous	C557242-6	C	Lo		105	VDzF	G4 V D	{ -2 }	(410-5)	[1112]		17	-20
Prov	M	0335	Lighoz	A555976-C	C	Hi		702	VDzF	G4 V	{ 3 }	(D8E+2)	[8C4B]		9	2912
Prov	A	0401	Urr Orr	B558444-B		Ni Pa		724	VLIn	G9 V D	{ 1 }	(C34-1)	[2539]		13	-144
Prov	A	0402	Ardhaer	B433421-D		Ni Po		713	VLIn	K2 V K7 V	{ 1 }	(A34-3)	[1519]		16	-360
Prov	A	0403	Klur	A310758-E	K	Na Pi		124	VLIn	F4 V M4 V	{ 2 }	(F6D+2)	[795E]		12	2340
Prov	A	0406	Ouskathoerz	A558625-C		Ag Ni		822	VLIn	K0 V K2 V	{ 2 }	(C56+1)	[483A]		9	360
Prov	A	0409	Ranghou	A54459C-B		Ag Ni Da	A	520	VVar	F8 V D	{ 2 }	(946+5)	[878E]		12	1080
Prov	A	0410	Founeghen	A581876-B	K	Ri Ph		304	VVar	F3 V	{ 3 }	(E7D+2)	[7B4A]		15	2548
Prov	E	0414	Oeksaegh	D612122-8	C	Ic Lo		404	VVar	M2 V	{ -3 }	(700-5)	[1114]		12	-35
Prov	E	0415	Anghikh	A556A75-E	K	Hi Cp		204	VVar	K5 V	{ 3 }	(G9F+1)	[8D3C]		9	2160
Prov	E	0416	Uedzaell	C5407A7-8		De He Po Pi		702	VVar	F5 V	{ -1 }	(B67-1)	[7658]		10	-462
Prov	E	0418	Khaghdaeksong	C674621-8	M	Ag Ni		503	NaVa	M3 V M8 V	{ -1 }	(B53-5)	[2514]		14	-825
Prov	E	0419	Ughfangkhoeg	C594200-8	C	Lo		623	NaVa	A7 IV G7 V	{ -2 }	(910-5)	[1113]		15	-45
Prov	I	0421	Knunguegaegn	B5449CD-A	K	Hi In Pz	A	101	VDzF	F8 V D	{ 4 }	(C8E+5)	[DD9E]		11	6720
Prov	I	0422	Knokseng	A7859A8-D	K	Hi Ga Pr		502	VDzF	K2 V D	{ 3 }	(D8F+3)	[9C5D]		6	4680
Prov	I	0423	Lugh	BA8A475-A	C	Ni Oc		412	VDzF	G4 V	{ 1 }	(934-1)	[2538]		11	-108
Prov	I	0427	Turz	B544720-A	K	Ag Pi		523	VDzF	G1 V	{ 3 }	(E6C-1)	[2A15]		17	-1008
Prov	I	0428	Tuerrg	A575A77-E	K	Hi In		114	VDzF	K8 V D	{ 4 }	(H9G+4)	[AE5E]		17	9792
Prov	I	0430	Aezorr	A554979-C		Hi		612	VDzF	M2 V	{ 3 }	(E8E+4)	[AC6D]		12	6272
Prov	M	0432	Dzirrsrue	C9B3233-A	K	Fl Lo		903	VDzF	F0 V	{ 0 }	(710-3)	[1227]		11	-21
Prov	A	0502	To Oukan	A642744-C	K	He Po Pi		714	VLIn	G9 V	{ 2 }	(E6C+1)	[593A]		16	1008
Prov	A	0507	Nurugholi	B6346A9-B		Ni		322	VLIn	K9 V	{ 1 }	(C55+2)	[776C]		16	600
Prov	A	0508	Zekhghe	A779336-D		Lo		815	VLIn	G5 V	{ 1 }	(B21+1)	[244C]		14	22
Prov	E	0516	Oeghzdharok	B979320-B		Lo		804	VVar	K0 V	{ 1 }	(921-3)	[1416]		10	-54
Prov	I	0523	Anakae	C66A520-A		Ni Wa Pr		725	VDzF	A6 V	{ 0 }	(E44-4)	[1515]		17	-896
Prov	I	0526	Oksruenvae	C654442-7	C	Ni Pa		704	VDzF	A9 IV	{ -2 }	(631-5)	[1213]		10	-90
