Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Reav	A	0102	Uta	E543000-0		Ba Po		002	NaXX	F7 V M3 V	{ -3 }	(200-5)	[0000]		8	-10
Reav	A	0110	Andalusia	E678985-5		Hi In		905	NaHu	K7 V M2 V	{ 0 }	(B88-2)	[7933]		16	-1408
Reav	E	0112	Eustauf	E545542-7		Ag Ni		900	NaHu	M1 V M2 V	{ -2 }	(742-5)	[1313]		11	-280
Reav	E	0115	Houndd	A66588B-C	KM	Ga Ri Pa Ph Asla3		203	NaHu	F5 V	{ 4 }	(D7E+5)	[AC7E]		11	6370
Reav	E	0117	Tahoawiywyaw	A554544-B		Ag Ni		515	IsDo	M2 V M9 V	{ 2 }	(D46+1)	[3739]		15	312
Reav	E	0120	Failraoiya	C5828C9-5		Ri Ph Pz	A	223	IsDo	K4 V M3 V	{ 0 }	(A77+1)	[9866]		11	490
Reav	I	0124	Esekheali	C400573-9		Ni Va		504	IsDo	F4 IV	{ -1 }	(B43-4)	[2426]		12	-528
Reav	I	0125	Ekhiwua'ea	D898874-6		Pa Ph Pi		504	IsDo	K7 V M6 V	{ -2 }	(A75-4)	[6634]		13	-1400
Reav	I	0127	Khtaao	E593267-7		Lo O:0227		314	AsT6	K7 V	{ -3 }	(410-3)	[2157]		12	-12
Reav	I	0129	Khteaouw	E531497-8		Ni Po		301	AsT9	F8 V	{ -3 }	(731-3)	[4158]		9	-63
Reav	M	0131	Tee'airlakho	A99868B-C	T	Ag Ni		504	AsT4	K4 V M5 V	{ 2 }	(C56+4)	[887E]		12	1440
Reav	M	0135	Ahyolyo	B200697-C		Na Ni Va		704	AsT4	F8 V M6 V	{ 1 }	(C55+1)	[675C]		11	300
Reav	A	0209	Luiwaiwuah	C677666-7		Ag Ni TlyeW O:0310		124	NaXX	G2 V M1 V	{ -1 }	(853-2)	[5546]		18	-240
Reav	E	0212	Loki	X57599B-5		Hi In Fo	R	524	NaHu	K9 V	{ 0 }	(B88+2)	[B977]		15	1408
Reav	E	0215	Eeaaira	B644488-7	M	Ni Pa		503	IsDo	F7 V M4 V	{ -1 }	(632-1)	[4357]		9	-36
Reav	E	0217	Iwioiar	A799769-8	M	Pi Mr		224	IsDo	M2 V	{ 0 }	(F68+1)	[8769]		17	720
Reav	E	0220	Oakhahyolerl	C797559-8		Ag Ni		304	IsDo	F4 V M9 V	{ -1 }	(B43+1)	[6469]		13	132
Reav	I	0221	Islaiat	A868AA9-D	KM	Hi Cx		914	IsDo	G2 V M8 V	{ 4 }	(H9G+5)	[BE6E]		13	12240
Reav	I	0227	Oloih	B0007C7-D	R	As Na Va Pi		304	AsT6	K8 V	{ 2 }	(D6D+2)	[795D]		10	2028
Reav	I	0230	Oihoiei	A8558A8-C	R	Ga Pa Ph		214	AsWc	F9 V M1 V	{ 2 }	(F7C+2)	[8A5C]		17	2520
Reav	M	0232	Hesiyha	CA9A547-9		Ni Oc		623	AsMw	M0 V M3 V	{ -1 }	(C43-1)	[5459]		16	-144
Reav	M	0234	Rau	A699757-D		Pi		513	AsMw	M4 V M4 V	{ 2 }	(D6D+2)	[795D]		9	2028
Reav	M	0235	O'eatoaea	D989A99-8		Hi Pz	A	614	AsT0	K3 V	{ -1 }	(H98+1)	[B969]		16	1224
Reav	M	0237	Roaa	AA67A77-E	RT	Hi		723	AsSc	G4 V	{ 4 }	(H9G+4)	[AE5E]		15	9792
Reav	M	0240	Khtaoreh	C100436-7	R	Ni Va		705	AsT9	F3 V	{ -2 }	(631-3)	[3246]		12	-54
Reav	A	0304	Bergland	E552000-0		Ba Po		012	NaXX	G5 V	{ -3 }	(200-5)	[0000]		9	-10
Reav	A	0307	Kimberly	E000000-0		As Ba Va		003	NaXX	G9 V M8 V	{ -3 }	(200-5)	[0000]		12	-10
Reav	A	0310	Hoa	C664853-8		Ri Pa Ph (Tlyetrai)		211	NaXX	M2 V	{ 0 }	(C78-3)	[5825]		9	-2016
Reav	E	0317	Khtehkaaoas	B565369-A	KM	Lo Mr		903	IsDo	M3 V	{ 2 }	(822+3)	[456B]		11	96
Reav	E	0318	Wihea	E8779B8-7		Hi In AslaW		304	NaAs	K7 V	{ 0 }	(B89+1)	[9957]		11	792
Reav	E	0320	Maijarra	CA58ADD-7		Hi Pz	A	504	IsDo	F5 V	{ 0 }	(C99+4)	[EA9B]		12	3888
Reav	I	0324	Oirue'ea	B5648BB-A		Ri Pa Ph Pz	A	303	IsDo	K8 V	{ 3 }	(D7C+5)	[AB7C]		8	5460
Reav	I	0328	Kteieaelal	C9897BB-9		Ri Pz	A	714	AsTv	K4 V	{ 1 }	(E6A+3)	[987B]		11	2520
Reav	M	0332	Khyaleiftaoher	D887776-7		Ag Ga Ri		913	AsSc	M0 V M8 V	{ 0 }	(968-1)	[6746]		10	-432
Reav	M	0335	Khaiuiwelra	C7897A8-9		Ri		604	AsT1	M1 V	{ 1 }	(D6A+1)	[7859]		12	780
Reav	A	0406	Campbell	E775000-0		Ba		003	NaXX	F3 V M2 V	{ -3 }	(200-5)	[0000]		6	-10
Reav	A	0409	Turin	C857643-8		Ag Ni Ga TlyeW		924	NaXX	F8 V	{ -1 }	(E53-4)	[3525]		11	-840
Reav	E	0414	Drusilla	C6726A7-6		He Ni		105	NaHu	M1 V	{ -2 }	(852-2)	[6456]		13	-160
Reav	E	0415	Laurence	C737451-9		Ni		403	NaHu	M2 V M6 V	{ -1 }	(932-5)	[1315]		15	-270
Reav	E	0417	Reynolds	B554645-7		Ag Ni Asla4		402	NaHu	K8 V	{ 0 }	(854-2)	[4635]		7	-320
Reav	I	0423	Eihewasei	C310466-9		Ni O:0324		413	IsDo	F0 V	{ -1 }	(A32-2)	[3348]		10	-120
Reav	I	0424	Yaoueai	E560468-7		De Ni O:0324		915	IsDo	M1 V M2 V	{ -3 }	(631-3)	[4157]		15	-54
Reav	I	0426	Phontramus	C87A341-9		Lo Wa Asla2		203	NaHu	M0 V M7 V	{ -1 }	(820-5)	[1215]		9	-80
Reav	I	0429	Atiyr	E413774-8		Ic Na Pi		212	AsSc	F0 V M0 V	{ -2 }	(C66-4)	[5536]		16	-1728
Reav	M	0433	Takhiykhuw	D420742-8	R	De He Na Po Pi		602	AsT3	M0 V M4 V	{ -2 }	(B66-5)	[3514]		13	-1980
Reav	M	0436	Quentin	E554555-5		Ag Ni		202	NaHu	M0 V M1 V	{ -2 }	(742-4)	[3333]		9	-224
Reav	M	0437	Vyjiid	B9D7358-A	KM	Lo Asla2		202	NaHu	G7 V M2 V	{ 2 }	(722+2)	[355A]		8	56
Reav	M	0440	Angelika	D5556BC-6		Ag Ni Da	A	903	CsIm	G6 V	{ -2 }	(852+1)	[9489]		10	80
Reav	E	0518	Aosewa	A54297A-A	KM	He Hi In Po Asla9		824	NaHu	G8 V M0 V	{ 5 }	(H8F+5)	[BE7C]		14	10200
Reav	E	0519	Auikali	C568977-8		Hi Pr AslaW		715	NaAs	M0 V	{ 0 }	(H89+1)	[9958]		18	1224
Reav	I	0521	Janet	B9995AB-A	KM	Ni Da Asla0	A	923	NaHu	M2 V	{ 2 }	(C46+4)	[777C]		9	1152
Reav	I	0523	Aerin	C896853-8		Pa Ph Pi Asla3		322	NaHu	K1 V K4 V	{ -1 }	(E77-4)	[5725]		11	-2744
Reav	I	0525	Therad	B666854-8		Ga Ri Pa Ph Asla0		601	NaHu	M1 V M8 V	{ 1 }	(B79-1)	[6936]		6	-693
Reav	I	0530	Hrike	A7888A9-C	R	Ri Pa Ph		415	AsMw	G3 V M0 V	{ 3 }	(G7D+4)	[9B6D]		15	5824
Reav	M	0531	Hrealeiwea'	B5759C9-B		Hi In Pz	A	603	AsT4	M0 V M3 V	{ 4 }	(E8F+5)	[AD6C]		11	8400
Reav	M	0534	Lyo	B889ABC-B		Hi Pz Asla8	A	223	CsIm	M3 V	{ 3 }	(H9E+5)	[DD8E]		13	10710
Reav	M	0535	Tolde	E9D9576-5		Ni Huma4 Asla2		102	UnHa	G3 V M5 V	{ -3 }	(741-4)	[4244]		11	-112
Reav	M	0538	Galloway	C684769-7		Ag Ri Huma7 Asla2 O:0737		102	UnHa	M2 V M9 V	{ 1 }	(969+2)	[8868]		10	972
Reav	M	0539	Miranda	D5A0766-8		He Huma8 Asla1 O:0737		104	UnHa	M0 V	{ -2 }	(D66-3)	[6547]		14	-1404
Reav	A	0607	Kelly	D564677-6		Ag Ni Ri		405	NaHu	G0 V	{ -1 }	(853-1)	[6556]		14	-120
Reav	E	0611	Enicel	D437630-6		Ni		814	NaHu	M1 V	{ -3 }	(851-5)	[1311]		11	-200
Reav	E	0612	Metzler	C86A122-7		Lo Wa		400	NaHu	K2 V	{ -2 }	(300-5)	[1113]		7	-15
Reav	E	0616	Yedidah	A546787-9	KM	Ag Pi Asla0		600	NaHu	F8 V M6 V	{ 3 }	(96C+3)	[7A59]		6	1944
Reav	E	0619	Brittany	E8D08AD-5		Ph Pz	A	803	NaHu	K1 V M4 V	{ -2 }	(A75+2)	[C699]		10	700
Reav	I	0623	Gwalcmai	E543443-5		Ni Po		803	NaHu	K9 V	{ -3 }	(631-5)	[1122]		15	-90
Reav	I	0624	Asden	D543500-7		Ni Po		322	NaHu	K7 V	{ -3 }	(741-5)	[1212]		14	-140
Reav	I	0626	Thekar	C553400-9		Ni Po Asla0		702	NaHu	F9 V	{ -1 }	(832-5)	[1314]		10	-240
Reav	I	0630	Abramo	B200722-B	KM	Na Va Pi Asla4		323	NaHu	G3 V M6 V	{ 3 }	(E6D-1)	[3A17]		11	-1092
Reav	M	0633	Kassia	B566766-7		Ag Ri Huma6 Asla3 O:0737		405	UnHa	M0 V M3 V	{ 2 }	(96A+1)	[6946]		16	540
Reav	E	0711	Estrington	B421611-8		He Na Ni Po		304	NaHu	K6 V	{ -1 }	(C53-5)	[2514]		13	-900
Reav	E	0712	Pauline	C631410-8		Ni Po		600	NaHu	K8 V M5 V	{ -2 }	(631-5)	[1213]		11	-90
Reav	E	0713	Gofannon	C6677A8-4		Ag Ga Ri		404	NaHu	F8 V	{ 1 }	(967+1)	[7854]		10	378
Reav	E	0716	Marie	C313767-7		Ic Na Pi O:0817		722	NaHu	G3 V	{ -1 }	(967-1)	[7657]		11	-378
Reav	E	0717	Tembo	C684566-7		Ag Ni Pr O:0817		504	NaHu	M0 V M5 V	{ -1 }	(743-2)	[4446]		8	-168
Reav	E	0720	Kawa	C56368C-8		Ni Ri Da	A	815	NaHu	G7 V	{ -1 }	(E53+2)	[958B]		13	420
Reav	I	0722	New Covenant	A5579DE-9	N	Hi Pz	A	413	CsIm	K5 V	{ 2 }	(F8C+5)	[DB9D]		15	7200
Reav	I	0729	Icarus	C759855-5		Ph Asla1		223	NaHu	G0 V	{ -1 }	(A76-3)	[6733]		15	-1260
Reav	M	0733	Khea	X977A73-6		Hi In Fo Asla8 Huma1	R	111	UnHa	M3 V	{ 0 }	(C98-3)	[7A23]		7	-2592
Reav	M	0734	Rose	D544366-5		Lo Huma7 Asla0 O:0737		422	UnHa	M0 V	{ -3 }	(520-4)	[2144]		12	-40
Reav	M	0737	Gustave	A9878A9-C	KM	Ri Pa Ph Cp Huma4 Asla6		502	UnHa	M0 V	{ 4 }	(C7E+5)	[9C6D]		9	5880
