Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Solo	A	0105	Faiwyd	E500589-7		Ni Va Da	A	712	ImDs	M0 V M2 V	{ -3 }	(741-2)	[6268]	B	9	-56
Solo	A	0106	Darrukesh	A5859CF-D	N	Hi Pr Pz	A	823	ImDs	M0 V M4 V M0 V	{ 3 }	(G8C+5)	[ECAJ]	BcE	11	7680
Solo	A	0110	Iddamakur	A7799AB-A		Hi In Pz Asla0	A	303	ImDs	M0 V M1 V	{ 4 }	(E8B+5)	[BD7C]	BEf	11	6160
Solo	E	0111	Grendel	A96A98B-E		Hi Wa An Pr		802	ImDs	F4 V M2 V	{ 3 }	(D8C+4)	[BC7G]	BcE	10	4992
Solo	E	0116	Purdishi	D611168-8		Ic Lo O:0215		834	ImDs	M1 V	{ -3 }	(A00-3)	[1158]	B	10	-30
Solo	I	0121	Oz	A553887-C		Po Ph Sa		913	ImDs	M3 V M4 V	{ 2 }	(E79+1)	[8A5C]	Be	8	882
Solo	I	0123	Jarslav	A8879A9-E	N	Hi Ga Pr		823	ImDs	F8 V	{ 3 }	(G8C+3)	[AC6F]	BcE	12	4608
Solo	I	0125	Kishakhpap	X410000-0		Ba Fo	R	004	ImDs	F9 V	{ -3 }	(200-5)	[0000]		8	-10
Solo	I	0126	Beal	A5577CD-C	N	Ag Pz	A	222	ImDs	M1 V M8 V	{ 3 }	(D6B+5)	[BA9G]	BC	7	4290
Solo	M	0136	Swinburne	C722620-9		He Na Ni Po		400	SoCf	M0 V M2 V	{ -1 }	(851-5)	[1514]		11	-200
Solo	M	0138	Erech	C844577-9		Ag Ni		310	SoCf	M1 V	{ 0 }	(843+1)	[5559]		8	96
Solo	A	0207	Basil	A843731-C		Po Pi		334	ImDs	K5 V	{ 2 }	(G6A-3)	[3918]	BD	10	-2880
Solo	E	0214	Shululsish	A584A52-F	W	Hi Cp		304	ImDs	F8 V	{ 4 }	(G9C-1)	[6E1B]	BEF	13	-1728
Solo	E	0215	Desdemona	A76999C-E		Hi Pr Pz	A	303	ImDs	G8 V M8 V	{ 3 }	(E8C+5)	[CC8H]	BcE	16	6720
Solo	E	0217	Sarmaty	A889877-D		Ri Ph Asla1		403	ImDs	M1 V	{ 3 }	(D7B+2)	[8B5D]	BCe	6	2002
Solo	I	0224	Shaalgar	A666769-B		Ag Ga Ri Mr		100	ImDs	M2 V M7 V	{ 4 }	(96C+4)	[8B6C]	BCf	10	2592
Solo	I	0226	Limerick	C579634-9		Ni		904	ImDs	K2 V	{ -1 }	(C51-3)	[4537]	B	9	-180
Solo	I	0230	Alizarin	A566987-C		Hi Pr		800	SoCf	M1 V M8 V	{ 3 }	(B8B+2)	[9C5C]		6	1936
Solo	M	0231	Luzon	D420400-7		De He Ni Po		935	SoCf	G9 V	{ -3 }	(631-5)	[1112]		19	-90
Solo	M	0233	Jardin	A5679BC-D	KM	Hi Cp Pr Pz	A	702	SoCf	M3 V	{ 4 }	(D8D+5)	[CD8G]		14	6760
Solo	M	0237	Theseus	B7A3744-B		Fl		803	SoCf	M2 V M3 V	{ 2 }	(C6A-1)	[5939]		11	-720
Solo	M	0239	Barsoom	A55499B-D	KM	Hi Pz	A	302	SoCf	M1 V	{ 4 }	(D8D+5)	[BD7F]		10	6760
Solo	M	0240	Gladstone	A967755-D		Ag Ri		310	SoCf	M3 V	{ 4 }	(A6D+1)	[5B3B]		10	780
Solo	A	0301	Amkhalarug	B5439BD-C		Hi In Po Pz	A	604	ImDs	F7 V M3 V	{ 4 }	(F8C+5)	[DD9G]	BEf	8	7200
Solo	A	0304	Atalanta	C576368-9		Lo Da Mr	A	503	ImDs	M1 V M6 V	{ -1 }	(820-1)	[3259]	B	6	-16
Solo	A	0308	Sidon	B6B9521-C		Fl Ni		903	ImDs	K4 V	{ 1 }	(A44-3)	[1618]	B	14	-480
Solo	E	0313	Hayt	B4219AF-E		He Hi In Na Po Pz	A	310	ImDs	M2 V M6 V	{ 4 }	(C8D+5)	[EDAK]	BEf	12	6240
Solo	E	0316	Finnegans	C579533-A		Ni		320	ImDs	G1 V M8 V	{ 0 }	(943-3)	[2527]	B	13	-324
Solo	E	0317	Bemidshii	A567988-E		Hi Pr		212	ImDs	G9 V M6 V	{ 3 }	(E8C+2)	[9C5E]	BcE	16	2688
Solo	E	0319	Seym	A1009CB-C	N	Hi In Na Va Pz	A	423	ImDs	M3 V M9 V	{ 4 }	(G8C+5)	[BD7E]	BEf	12	7680
Solo	I	0326	Eneldun	A31498A-E		Hi Ic In		120	ImDs	M1 V	{ 4 }	(D8D+5)	[BD7G]	BEf	10	6760
Solo	I	0330	Krypton	A9A49BC-D	KM	Fl Hi In Pz	A	414	SoCf	F8 V	{ 5 }	(G8E+5)	[CE8G]		13	8960
Solo	M	0331	Liberte	B100886-C		Na Va Ph Pi Sa		802	SoCf	M1 V	{ 2 }	(C79+1)	[7A4B]		10	756
Solo	M	0332	Pilgham	B54296A-B		He Hi In Po O:0233		512	SoCf	G0 V	{ 4 }	(E8C+5)	[BD7D]		13	6720
Solo	M	0335	Miasma	C678500-9		Ag Ni		224	SoCf	M2 V M9 V	{ 0 }	(D43-4)	[1514]		12	-624
Solo	A	0405	Gramercy	B430525-8		De Ni Po		500	ImDs	F6 V	{ -1 }	(742-3)	[3436]	B	9	-168
Solo	A	0407	Urud	B100543-E		Ni Va Sa		802	ImDs	M1 V	{ 1 }	(944-2)	[262B]	B	11	-288
Solo	E	0411	Diomedes	A8777A8-C		Ag Pi		700	ImDs	F4 V	{ 3 }	(96B+2)	[7A5C]	BCD	12	1188
Solo	I	0424	Gustav	B798534-B		Ag Ni		703	ImDs	K4 V M2 V	{ 2 }	(A45+1)	[3739]	BC	15	200
Solo	I	0426	Eyck	B430879-C		De Na Po Ph		102	ImDs	F2 III M0 V	{ 2 }	(C79+2)	[9A6D]	Be	12	1512
Solo	M	0432	Kraken	C57A587-B		Ni Wa		935	SoCf	M1 V M2 V	{ 0 }	(F43+1)	[555B]		14	180
Solo	M	0434	Durgha	B612400-D		Ic Ni		205	SoCf	F8 IV M0 V	{ 1 }	(B33-3)	[1518]		13	-297
Solo	M	0437	Dolor	B311887-C	KM	Ic Na Ph Pi Sa		934	SoCf	M1 V M4 V	{ 3 }	(H7A+2)	[8B5C]		15	2380
Solo	M	0438	Zhongguo	B544722-A		Ag Pi		123	SoCf	K8 V	{ 3 }	(E6A-2)	[3A16]		14	-1680
Solo	M	0440	Ormadz	B300599-C		Ni Va		813	SoCf	M0 V M3 V	{ 1 }	(B44+2)	[666D]		7	352
Solo	A	0501	Morgana	BA9A861-C		Oc Ph Pi Guru4 O:0502		823	ImDs	M2 V	{ 2 }	(F79-3)	[4A18]	BDe	8	-2835
Solo	A	0502	Ugarup	B89A8BE-C		Wa Ph Pi Pz (Gurungan) Huma0 Tz	A	102	ImDs	M1 V	{ 2 }	(C79+5)	[CA9G]	BDe	8	3780
Solo	A	0509	Ixtloc	B530487-C		De Ni Po		100	ImDs	K4 V M6 V	{ 1 }	(633+1)	[455C]	B	13	54
Solo	E	0511	Yrsai	A663A9B-F		Hi Pz	A	402	ImDs	G0 V M5 V	{ 3 }	(E9B+4)	[CD7H]	BE	10	5544
Solo	E	0518	Arukhur	E200365-9		Lo Va O:0617		522	ImDs	M3 V	{ -2 }	(920-4)	[1137]	B	7	-72
Solo	I	0524	Irashdaa	A689869-D	S	Ri Ph Dolp0 Mr Tz		513	ImDs	M2 V M8 V	{ 3 }	(E7B+3)	[9B6E]	BCe	14	3234
Solo	I	0527	Basse Terre	A6699AC-E		Hi Pr Pz	A	823	ImDs	K6 V M0 V	{ 3 }	(G8C+5)	[CC8H]	BcE	16	7680
Solo	I	0528	Kidashi	A557A69-E	N	Hi Pz Mr Lk Sa	A	824	ImDs	M2 V	{ 3 }	(J9B+3)	[BD6F]	BE	11	5346
Solo	M	0532	Cadmus	C532423-A		Ni Po		822	SoCf	K8 V M7 V	{ 0 }	(A32-3)	[1427]		13	-180
Solo	M	0533	Skyron	B312433-C		Ic Ni Sa		302	SoCf	M1 V M8 V	{ 1 }	(833-2)	[1529]		11	-144
Solo	M	0536	Chinon	C696846-8		Pa Ph Pi		322	SoCf	M1 V M7 V	{ -1 }	(E74-3)	[7747]		11	-1176
Solo	A	0604	Rilke	C59A368-B		Lo Wa O:0704		520	ImDs	G3 V	{ 0 }	(720+1)	[335B]	B	13	14
Solo	A	0606	Ishadar	C000776-A		As Na Va Pi		825	ImDs	K0 III M4 V	{ 1 }	(G68-1)	[6849]	BD	11	-768
Solo	A	0609	Goshen	C577532-9		Ag Ni		300	ImDs	M1 V M3 V	{ 0 }	(743-4)	[1515]	BC	9	-336
Solo	A	0610	Nukaash	C547721-8		Ag Pi		320	ImDs	M1 V M5 V	{ 0 }	(B66-5)	[3714]	BCD	11	-1980
Solo	E	0612	Glaucas	A8869A9-E	S	Hi Ga Pr		532	ImDs	K2 V M9 V M2 V	{ 3 }	(G8C+3)	[AC6F]	BcE	13	4608
Solo	E	0617	Hoatzin	A967986-E		Hi Pr		534	ImDs	F4 V	{ 3 }	(J8C+1)	[8C4D]	BcE	13	1728
Solo	E	0618	Stralsund	B0007BE-D		As Na Va Pi Pz	A	520	ImDs	A7 V	{ 2 }	(B6B+5)	[B99H]	BD	12	3630
Solo	I	0624	York	C8A3263-A		Fl Lo O:0524		523	ImDs	F6 V	{ 0 }	(910-3)	[1227]	B	15	-27
Solo	I	0626	Albrecht	B742747-A		He Po Pi		903	ImDs	G3 V M9 V	{ 2 }	(C69+1)	[795A]	BD	8	648
