Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Spin	A	0101	Zeycude	C430698-9		De Na Ni Po		613	ZhIN	K9 V	{ -1 }	(C53-1)	[6559]		8	-180
Spin	A	0102	Reno	C4207B9-A		De He Na Po Pi Pz	A	603	ZhIN	G8 V M1 V	{ 1 }	(C6A+2)	[886B]		12	1440
Spin	A	0103	Errere	B563664-B	KM	Ni Ri O:0304		910	ZhIN	M1 V M4 V	{ 3 }	(957+1)	[4939]		9	315
Spin	A	0104	Cantrel	C566243-9		Lo		520	ZhIN	F1 V	{ -1 }	(610-4)	[1126]		12	-24
Spin	A	0108	Gyomar	C8B2889-8		Fl He Ph (Tethmari)		824	NaHu	A8 V	{ -1 }	(G77+1)	[9769]		14	784
Spin	E	0111	Atson	B310598-8		Ni		933	NaHu	K8 V	{ -1 }	(D43-1)	[5458]		10	-156
Spin	E	0114	Yiktor	C6B6431-A		Fl Ni		123	NaHu	G4 V M4 V	{ 0 }	(B33-4)	[1416]		12	-396
Spin	E	0115	Xhosa	EA95124-5		Lo		910	NaHu	M0 V	{ -3 }	(300-5)	[1133]		8	-15
Spin	I	0122	Junction	D550441-4		De Ni Po		210	NaHu	M2 V M3 V	{ -3 }	(631-5)	[1111]		10	-90
Spin	I	0129	Uniqua	E62556B-7		Ni O:0130		210	NaHu	K9 V M9 V	{ -3 }	(741-1)	[7279]		8	-28
Spin	I	0130	Garoo	A2008CB-A		Na Va Ph Pi Pz (Garoo)	A	210	NaHu	M1 V M5 V	{ 2 }	(B7B+4)	[AA7C]		9	3388
Spin	M	0133	Emape	B564500-B	N	Ag Ni Pr Da	A	503	ImDd	M0 V	{ 2 }	(A46-2)	[1716]	BcC	6	-480
Spin	M	0139	Raweh	B430300-B	N	De Lo Po Da	A	920	ImDd	G3 V M1 V	{ 1 }	(721-3)	[1416]	B	5	-42
Spin	M	0140	876-574	E687200-3		Lo Ga		702	NaHu	K7 V	{ -3 }	(410-5)	[1111]		11	-20
Spin	A	0202	Thengo	C868586-5		Ag Ni Pr		801	ZhIN	G5 V M3 V	{ -1 }	(743-2)	[4444]		12	-168
Spin	E	0212	Prinx	C436635-6		Ni		720	NaHu	A9 V K8 V	{ -2 }	(852-4)	[4434]		9	-320
Spin	E	0215	Rushu	E766674-4		Ag Ni Ga Ri VargW		903	CsZh	G0 V M3 V	{ -1 }	(853-3)	[4532]		8	-360
Spin	E	0218	Bael	E200100-8		Lo Va		812	NaHu	K2 V	{ -3 }	(600-5)	[1113]		9	-30
Spin	I	0223	Stern-Stern	B421558-B		He Ni Po DaryW		701	DaCf	M0 V M3 V	{ 1 }	(845+1)	[565B]		9	160
Spin	I	0230	886-945	E833000-0		Ba Po		004	NaXX	F8 V	{ -3 }	(200-5)	[0000]		16	-10
Spin	M	0231	Saxe	EAA5543-8		Fl Ni		910	NaHu	A2 V	{ -3 }	(841-5)	[2225]		9	-160
Spin	M	0236	Andor	C695735-9		Ag An Pi Fo DroyW	R	603	ImDd	F3 V	{ 1 }	(C6A-1)	[5837]		6	-720
Spin	M	0240	769-422	E754401-8		Ni Pa (minor)		924	NaHu	G2 V	{ -3 }	(C31-5)	[1114]		10	-180
Spin	A	0301	Rio	C686648-8		Ag Ni Ga Ri		201	NaHu	M0 V M1 V	{ 0 }	(954+1)	[6658]		8	180
Spin	A	0303	Gesentown	B31169B-C	KM	Ic Na Ni Da	A	801	ZhIN	M2 V M9 V	{ 2 }	(956+4)	[887E]		12	1080
Spin	A	0304	Chronor	A6369A5-D	KM	Hi Cp		810	ZhIN	F8 V	{ 4 }	(C8G+2)	[7D3B]		5	3072
Spin	A	0307	Atsa	B4337CA-A	KM	Na Po An Pz	A	810	ZhIN	F7 V M3 V	{ 3 }	(A6C+5)	[9A7C]		8	3600
Spin	E	0311	Mizan-fel	B56258A-8		Ni Pr		323	NaHu	F3 V	{ -1 }	(C43+1)	[747A]		13	144
Spin	I	0321	Nonym	C433898-A	M	Na Po Ph		623	NaHu	G0 V	{ 1 }	(F7A+1)	[895A]		14	1050
Spin	I	0325	Laberv	B554443-7	M	Ni Pa DaryW		834	DaCf	G0 V	{ -1 }	(632-4)	[1324]		12	-144
Spin	I	0326	Ektron	C432652-9		Na Ni Po Asla1 Dary8		423	DaCf	M1 V	{ -1 }	(D53-5)	[2515]		14	-975
Spin	M	0332	Gothe	E42159B-7		He Ni Po Da	A	310	ImDd	F5 V	{ -3 }	(741-1)	[7279]	B	9	-28
Spin	M	0333	Mirriam	B9998A6-A	NW	Ph Pi Pz	A	514	ImDd	G6 V	{ 3 }	(F7C+2)	[7B49]	BDe	13	2520
Spin	M	0336	Candory	C593634-8		Ni An Fo DroyW	R	920	ImDd	F6 V M3 V	{ -2 }	(A52-4)	[4436]		5	-400
Spin	M	0340	Wonderay	E88A47A-4		Ni Wa		210	NaHu	M1 V M3 V	{ -3 }	(631-1)	[6176]		7	-18
Spin	E	0412	Sansibar	B200310-A	KM	Lo Va Droy4		701	ZhIN	M3 V M3 V	{ 2 }	(622-2)	[1515]		12	-48
Spin	E	0414	Attica	C400546-8		Ni Va		810	NaHu	K1 V M6 V	{ -2 }	(842-3)	[4347]		8	-192
Spin	E	0416	Retinae	E8C69AA-9		Fl Hi In Pz (Tashaki) RsD	A	910	CsIm	M1 V	{ 1 }	(C8B+3)	[BA7B]		11	3168
Spin	I	0421	Zamine	C897977-A		Hi In Dary9		223	DaCf	M3 V	{ 3 }	(G8D+3)	[9C5A]		12	4992
Spin	I	0425	Engrange	C554769-8		Ag Asla1 Dary8 O:0426		701	DaCf	M1 V M3 V	{ 0 }	(A68+1)	[8769]		10	480
Spin	I	0426	Ilium	B544831-9	KM	Pa Ph Pi DaryW		401	DaCf	G3 V M8 V	{ 2 }	(B7B-2)	[4A15]		6	-1694
Spin	I	0427	Roget	B566777-9		Ag Ri Asla6 Dary3		420	DaCf	F8 V M3 V	{ 3 }	(B6C+3)	[7A59]		7	2376
Spin	I	0429	Kardin	E553123-6		Lo Po An		410	NaHu	F7 V	{ -3 }	(300-5)	[1123]		10	-15
Spin	I	0430	Bularia	C774622-5		Ag Ni		310	CsIm	K5 V M3 V	{ -1 }	(853-5)	[2511]		8	-600
Spin	M	0433	Jone	B792785-9	N	He Pi Pz	A	810	ImDd	G8 V M5 V	{ 1 }	(A6A-1)	[5837]	BD	13	-600
Spin	M	0440	Jinx	D100133-7		Lo Va Da	A	202	NaHu	G3 IV D	{ -3 }	(300-5)	[1124]		10	-15
Spin	A	0503	Whenge	D648500-8		Ag Ni		610	NaHu	F8 V	{ -2 }	(842-5)	[1313]		13	-320
