Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Star	A	0101	Akhaka	B584675-A	K	Ag Ni Ri		300	JuHl	F9 V M9 V	{ 3 }	(756+4)	[996A]		11	840
Star	A	0102	Kakunasgup	C524314-B		Lo		404	JuHl	K2 IV M6 V	{ 0 }	(820+1)	[833B]		13	16
Star	A	0104	Umpagu	X432000-0		Ba Po		004	JuHl	M6 V	{ -3 }	(700-4)	[0000]		13	-28
Star	E	0112	Ikakaddu	B5759C9-C	K	Hi In		114	JuHl	F7 V M8 V	{ 4 }	(B8C+2)	[ADAC]		14	2112
Star	E	0113	Dekulini	D551653-5		Ni Po		401	JuHl	G4 V M3 V	{ -3 }	(851+2)	[33A3]		6	80
Star	E	0116	Suugirumir	B674544-B		Ag Ni		613	JuHl	F4 V	{ 2 }	(E44-2)	[5718]		10	-448
Star	A	0201	Iigigsu	A484438-E		Ni Pa		803	JuHl	G3 V M6 V	{ 1 }	(937+1)	[353D]		9	189
Star	A	0205	Kagag	CAB7440-9	M	Fl Ni Varg3		600	JuHl	M2 V	{ -1 }	(633-3)	[1335]		7	-162
Star	A	0208	Khaka	C667A48-A		Hi Ga		114	JuHl	F5 V	{ 2 }	(D97+4)	[8C48]		17	3276
Star	A	0209	Ishgadugis	E9B45BA-B		Fl Ni Varg4		304	JuHl	F0 II	{ -1 }	(B44-3)	[644E]		10	-528
Star	E	0213	Gakenud	C401412-B	M	Ic Ni Va		504	JuHl	G3 V M3 V	{ 0 }	(934-3)	[1459]		13	-324
Star	E	0216	Uushakinkush	E230313-A		De Lo Po		521	JuHl	M2 V M9 V	{ -1 }	(C20-1)	[1219]		8	-24
Star	A	0309	Gashuukhe	A246686-C		Ag Ni		312	JuHl	M0 V M1 V	{ 2 }	(B57+5)	[3849]		12	1925
Star	E	0311	Lekha	A6A1667-7		Fl He Ni O:0309		910	JuHl	M4 V M9 V	{ -1 }	(551-2)	[9555]		5	-50
Star	E	0315	Tovo	B7A0468-7	K	He Ni O:0316		203	JuHl	M5 V M8 V	{ -1 }	(835-4)	[9318]		9	-480
Star	E	0316	Ir	AA89ACG-F		Hi Varg1		724	JuHl	F8 V	{ 3 }	(B9B+1)	[ED6H]		12	1089
Star	A	0401	Kargumar	C682100-6		Lo		924	JuHl	G4 V M3 V	{ -2 }	(400+2)	[1195]		15	8
Star	A	0404	KumguulusJuHlu	B556845-B		Pa Ph Varg5		514	JuHl	G9 V	{ 2 }	(B7E+2)	[AA6E]		13	2156
