Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Thet	A	0104	Antares	B575684-8		Ag Ni		312	NaHu	G0 V G7 V M2 V	{ 0 }	(B54-2)	[4636]		13	-440
Thet	A	0110	Peladons	A772585-A	KV	He Ni Cp		700	KPel	G4 V	{ 2 }	(745-1)	[3738]		4	-140
Thet	E	0111	Gaxfield	C438279-7		Lo		420	KPel	M4 II	{ -2 }	(410-1)	[3168]		8	-4
Thet	E	0112	Melham	E9A5588-8		Fl Ni		820	KPel	F7 V D	{ -3 }	(941-3)	[5258]		7	-108
Thet	E	0113	Ronix	B579565-7		Ni O:		721	KPel	A0 V	{ -1 }	(743-3)	[3435]		10	-252
Thet	E	0119	Jabaran	C560332-8		De Lo		910	KoEm	K4 IV D	{ -2 }	(620-5)	[1114]		8	-60
Thet	E	0120	Wathian	A757477-8	M	Ni Ga Pa		702	KoEm	F7 V	{ -1 }	(832-1)	[4358]		10	-48
Thet	I	0121	Cabbot	E763534-5		Ni Pr		321	KoEm	G0 IV K4 V M5 V K3 V	{ -3 }	(741-5)	[3233]		15	-140
Thet	I	0127	Ostello	C758A8C-7		Hi Pz Jaib3	A	233	KoEm	G3 V	{ 0 }	(C99+3)	[DA8A]		18	2916
Thet	I	0128	Mytelon	B866200-B		Lo Ga		802	KoEm	F3 V F5 V	{ 1 }	(611-3)	[1316]		8	-18
Thet	M	0132	Vepar	C572455-9		He Ni		822	NaHu	G2 V	{ -1 }	(A32-3)	[2337]		10	-180
Thet	M	0133	Olack	B665458-C		Ni Ga Pa		223	NaHu	G4 V G7 V D M3 V M0 V	{ 1 }	(B34+1)	[455C]		10	132
Thet	A	0202	Quandre	B698121-8		Lo		513	NaHu	G5 V	{ -1 }	(700-5)	[1114]		16	-35
Thet	A	0204	Lomodo	E7A6650-8		Fl Ni (Osp) Di(Byl) Di(Irf)		800	NaXX	G3 V G5 V	{ -3 }	(851-5)	[1313]		9	-200
Thet	A	0205	Boswool	B66A153-D		Lo Wa		203	NaHu	K8 V D	{ 1 }	(601-2)	[122A]		9	-12
Thet	A	0206	Eltonia	D411465-8		Ic Ni O:		522	NaHu	G9 V M5 V	{ -3 }	(A31-5)	[2136]		10	-150
Thet	A	0207	Quesros	B747472-A		Ni Pa		731	NaHu	G8 V M3 V	{ 1 }	(A34-3)	[1516]		11	-360
Thet	E	0214	Lytock	C573678-7		Ni		420	KoEm	M2 V	{ -2 }	(852-2)	[6457]		8	-160
Thet	I	0221	Regal IV	EAA3631-8		Fl Ni		500	KoEm	G7 V	{ -3 }	(851-5)	[2314]		10	-200
Thet	I	0222	Stockhelm	E431486-6		Ni Po		423	KoEm	K8 V	{ -3 }	(631-4)	[3145]		14	-72
Thet	I	0225	Pursuin	X897200-5		Lo Fo	R	910	KoEm	G5 IV G3 V M3 V	{ -3 }	(410-5)	[1111]		9	-20
Thet	I	0227	Grand Harbour	C554665-4		Ag Ni O:		400	KoEm	M1 V	{ -1 }	(853-3)	[4532]		8	-360
Thet	I	0230	Amberlite	E78AA9B-7		Hi Wa Pz	A	211	KoEm	G4 IV	{ -1 }	(C98+1)	[C979]		6	864
Thet	M	0232	Abemire	A570665-8		De He Ni O:		630	NaHu	G7 II	{ -1 }	(B53-3)	[4536]		13	-495
Thet	M	0233	Gontip	C583999-5		Hi Pr		812	NaHu	G6 V	{ 0 }	(B88+1)	[A966]		9	704
Thet	M	0236	Eylyre	A868201-B		Lo		312	NaHu	F3 V K5 V	{ 1 }	(711-3)	[1317]		11	-21
Thet	A	0302	Creoll	C554722-5		Ag		500	NaHu	G8 V D	{ 0 }	(967-4)	[3711]		10	-1512
Thet	A	0303	Poltan	C65A742-9		Wa		502	NaHu	K9 V	{ 0 }	(B69-4)	[3715]		6	-2376
Thet	A	0306	Xenia	C563131-6		Lo		122	NaHu	G8 V M8 V	{ -2 }	(300-5)	[1112]		10	-15
Thet	E	0311	Corbad	E8B2430-8		Fl He Ni		820	KPel	F4 V	{ -3 }	(831-5)	[1113]		6	-120
Thet	E	0312	Radson	D566788-6		Ag Ri		621	KPel	F3 V	{ 0 }	(967+1)	[7756]		9	378
Thet	E	0317	Petask	C526498-7		Ni		613	KoEm	K0 IV D	{ -2 }	(631-2)	[4257]		15	-36
Thet	E	0319	Ilnoyor	A898277-9		Lo		510	KoEm	F8 V D	{ 0 }	(510+1)	[2259]		10	5
Thet	E	0320	Tafeld	B310677-C		Na Ni		730	KoEm	K1 IV M4 V D	{ 1 }	(B55+1)	[675C]		6	275
Thet	I	0321	Coalsand	E100677-7		Na Ni Va		600	KoEm	M0 V	{ -3 }	(851-3)	[6357]		11	-120
Thet	I	0322	Pakwolf	A411588-B		Ic Ni		522	KoEm	K2 V	{ 1 }	(B45+1)	[565B]		11	220
Thet	I	0326	Grunden	C52557B-7		Ni		913	KoEm	G6 V D	{ -2 }	(742+1)	[7379]		9	56
Thet	I	0327	Imetcon	C554798-6		Ag		521	KoEm	A0 V	{ 0 }	(967+1)	[7756]		12	378
Thet	I	0328	Marjanet	A200402-B		Ni Va		230	KoEm	K1 III	{ 1 }	(934-3)	[1517]		13	-324
Thet	I	0329	Deitance	C4338C9-9		Na Po Ph Pz	A	821	KoEm	K4 V	{ 0 }	(D79+1)	[986A]		11	819
Thet	A	0404	Lexaria	C676446-7		Ni Pa		532	NaHu	K3 IV K5 V	{ -2 }	(631-3)	[3246]		11	-54
Thet	A	0406	Wignatau	B661386-8		Lo		201	NaHu	G7 V D	{ -1 }	(620-2)	[2247]		13	-24
Thet	A	0408	Sildona	D310240-7		Lo		610	KPel	K4 V D	{ -3 }	(410-5)	[1112]		10	-20
Thet	A	0410	Westmoore	B100200-B		Lo Va		200	KPel	M0 V	{ 1 }	(411-3)	[1316]		7	-12
Thet	E	0411	Bilsham	B436200-D		Lo		313	KPel	K6 V D	{ 1 }	(811-3)	[1318]		14	-24
Thet	E	0414	Kantrim	A420586-C		De He Ni Po		630	NaHu	G1 V M8 V	{ 1 }	(A45+1)	[464B]		13	200
Thet	E	0415	Nalmer	C420721-A		De He Na Po Pi		122	KoEm	K3 IV M7 V	{ 1 }	(D6A-3)	[3816]		12	-2340
Thet	E	0417	Tully	C744566-7		Ag Ni O:		631	KoEm	F9 V	{ -1 }	(743-2)	[4446]		12	-168
