Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Tien	A	0101	Estetchtiar	E672000-0		Ba He		002	ZhJp	F7 V	{ -3 }	(900+1)	[0000]		7	9
Tien	A	0105	Zhdakl	E74577C-5		Ag Pi Pz	A	812	ZhJp	M9 V	{ -1 }	(567-2)	[8625]		9	-420
Tien	A	0107	Iakladr	C544620-6		Ag Ni		803	ZhJp	K9 V D	{ -1 }	(852-1)	[3561]		14	-80
Tien	A	0109	Qrariekl	D695641-5	KM	Ag Ni		313	ZhJp	M5 V	{ -1 }	(552+1)	[9595]		11	50
Tien	E	0113	Astatl	E435666-6		Ni O:0314		410	ZhJp	M4 V	{ -3 }	(953-5)	[2336]		11	-675
Tien	E	0115	Tenji	E231866-7		Na Po Ph O:0314		800	ZhJp	K7 V M4 V	{ -2 }	(A71+2)	[A615]		7	140
Tien	E	0116	Vlievdiatl	C784630-5		Ag Ni Ri		904	ZhJp	K6 V	{ 0 }	(456+4)	[5684]		8	480
Tien	E	0118	Driedach	E8A6000-0	KM	Ba Fl		004	ZhJp	F3 V D	{ -2 }	(900-2)	[0000]		9	-18
Tien	I	0121	Ashanedli	E200433-7		Ni Va Da	A	702	ZhJp	M3 V	{ -3 }	(833-1)	[1138]		10	-72
Tien	I	0122	Tlrienz	B544720-A	KM	Ag Pi		211	ZhJp	K5 V M1 V	{ 4 }	(66B+1)	[8B8F]		8	396
Tien	I	0123	Afrapr	B9B56AD-B	KM	Fl Ni		303	ZhJp	M0 III M9 V	{ 2 }	(D56+2)	[683F]		11	780
Tien	I	0124	Ietflatliabr	A326657-D		Ni		913	ZhJp	M0 V	{ 1 }	(F52+2)	[478E]		15	300
Tien	I	0125	Ashtsebr	C539456-A	KM	Ni		312	ZhJp	M7 V	{ 1 }	(936+2)	[256C]		7	324
Tien	I	0127	Te Chtalinj	D687533-6	KM	Ag Ni Ga Pr		214	ZhJp	M0 III	{ -1 }	(344+1)	[1446]		13	48
Tien	I	0128	Abrsezh	E100000-0		Ba Va		012	ZhJp	M4 V	{ -3 }	(600+1)	[0000]		11	6
Tien	I	0129	Kianch I'	D8C0455-9		He Ni		804	ZhJp	K3 V	{ -2 }	(C32+3)	[4268]		10	216
Tien	M	0132	Avredle	A733AAA-E		Hi Na Po		103	ZhJp	F6 V D	{ 3 }	(A9B-1)	[AD7C]		9	-990
Tien	M	0136	Siechtant	X698000-0		Ba Fo	R	003	ZhJp	M5 V	{ -3 }	(500+1)	[0000]		8	5
Tien	M	0137	E'sinz	A641A6A-E		He Hi In Po O:0236		813	ZhJp	M3 V	{ 4 }	(99E-2)	[6E1C]		15	-2268
Tien	A	0204	Stenshiniej	E696000-0		Ba		001	ZhJp	M4 V	{ -3 }	(B00+4)	[0000]		13	44
Tien	A	0209	Dopriaq	E544000-0		Ba		004	ZhJp	G4 V	{ -3 }	(700+2)	[0000]		12	14
Tien	A	0210	Itskien	B57189B-A		He Ph Pi		201	ZhJp	M6 V D	{ 2 }	(577+1)	[7A57]		7	245
Tien	E	0212	Tepiach	E330000-0		Ba De Po		003	ZhJp	M0 V D	{ -3 }	(700-1)	[0000]		10	-7
Tien	E	0217	Arvrians	BA9A599-D	KM	Ni Oc		813	ZhJp	M1 V M3 V	{ 2 }	(745-3)	[274F]		11	-420
Tien	E	0220	Nipriabl	E110000-0		Ba		010	ZhJp	M1 V	{ -3 }	(700-1)	[0000]		4	-7
Tien	I	0223	Dloradr	B257789-9	KM	Ag		303	ZhJp	M0 V	{ 3 }	(C69+1)	[6A5C]		9	648
Tien	I	0224	Ieprodr	E796000-A		Di		004	ZhJp	M1 V	{ -1 }	(C00+1)	[0000]		17	12
Tien	I	0225	Tanshia	B6758B7-A	KM	Pa Ph Pi		104	ZhJp	K9 V D	{ 3 }	(E75+2)	[7B4B]		9	980
Tien	I	0228	Qalo	A677755-D	W	Ag Pi		305	ZhJp	F0 V	{ 4 }	(B6C+1)	[9B6F]		8	792
Tien	M	0232	Anienj	A55A443-D	W	Ni Wa Cp		904	ZhJp	M5 V D	{ 2 }	(737-1)	[161C]		11	-147
Tien	M	0234	Idripdeia	C200786-7		Na Va Pi		500	ZhJp	M5 V	{ -1 }	(A68+1)	[A636]		12	480
Tien	M	0236	Tiadle	A66A730-E		Ri Wa		923	ZhJp	F6 III	{ 3 }	(B6C+1)	[5A5D]		12	792
Tien	M	0240	Yriach	D564683-4	W	Ag Ni Ri		901	ZhJp	F8 V	{ 0 }	(753-3)	[A678]		10	-315
Tien	A	0302	Fiazhotl	B79949A-A		Ni		603	ZhJp	F3 III M6 V	{ 1 }	(A34-3)	[155A]		12	-360
Tien	A	0303	Te Enssach	E433000-0		Ba Po		004	ZhJp	M7 V	{ -3 }	(300+2)	[0000]		11	6
Tien	A	0304	Drievl	D342425-7		He Ni Po		124	ZhJp	F2 V D	{ -3 }	(431-2)	[3127]		16	-24
Tien	A	0305	Blielchanj	E8A3430-8		Fl Ni		200	ZhJp	M3 III	{ -3 }	(730+3)	[5158]		7	63
Tien	A	0306	Onchpriatl	C674755-9	KM	Ag Pi		203	ZhJp	F4 V	{ 2 }	(86B+5)	[A9A8]		14	2640
Tien	A	0307	Tliedevrfans	E425000-0		Ba		002	ZhJp	M1 V	{ -3 }	(500+1)	[0000]		10	5
Tien	A	0308	Nibriet Jdav	C000567-8		As Ni Va O:0509		503	ZhJp	M0 V	{ -2 }	(744-3)	[3397]		9	-336
Tien	E	0314	Sefr	B474789-B	KM	Ag Pi		410	ZhJp	M8 V	{ 4 }	(C6D-1)	[9B69]		14	-936
Tien	E	0318	Rziad	B749576-B	KM	Ni		202	ZhJp	M5 V	{ 2 }	(745-2)	[4766]		6	-280
Tien	E	0319	Klejtakriepl	E338000-0	KM	Ba		000	ZhJp	M0 V	{ -2 }	(700+2)	[0000]		3	14
Tien	E	0320	A'klo	A000400-E		As Ni Va		432	ZhJp	G2 IV M0 V	{ 1 }	(C34+2)	[157D]		15	288
Tien	I	0328	Ekradr	C58A557-A		Ni Wa Pr		503	ZhJp	M6 V D	{ 0 }	(D45-1)	[754D]		8	-260
Tien	M	0331	Pansael	X447000-0		Ba Fo	R	013	ZhJp	M7 V D	{ -3 }	(500+1)	[0000]		13	5
Tien	M	0333	Zhianchabia	C8A2446-9		Fl He Ni		400	ZhJp	M1 V	{ -1 }	(434-1)	[331B]		9	-48
Tien	M	0334	Rashent	E7B4000-0		Ba Fl		000	ZhJp	G4 V D	{ -3 }	(800-2)	[0000]		10	-16
Tien	M	0336	Qiachna	C8A2489-8	KM	Fl He Ni		814	ZhJp	M1 V M3 V	{ -1 }	(A31-1)	[8315]		13	-30
Tien	M	0337	Jdiazhpraa	D676599-5		Ag Ni		902	ZhJp	M2 V	{ -2 }	(741+3)	[7352]		14	84
Tien	M	0339	Flitlazh	A6A1ADD-E		Fl He Hi In		502	ZhJp	F3 V	{ 4 }	(99F-5)	[EE5D]		10	-6075
Tien	A	0401	A'e Krrnzha	B524756-9	KM	Pi		802	ZhJp	M3 V M9 V	{ 2 }	(664+2)	[4967]		7	288
Tien	A	0402	Tlave	E857000-0		Ba Ga		013	ZhJp	K1 V D	{ -3 }	(600-3)	[0000]		13	-18
Tien	A	0403	Stefiavolzh	A896624-8	KM	Ag Ni		123	ZhJp	G3 V	{ 1 }	(854+2)	[577A]		12	320
Tien	A	0405	Zdav A'	E252000-B		Po Di		004	ZhJp	M2 V D	{ -1 }	(C00-2)	[0000]		11	-24
Tien	A	0406	Elprianch	A554AEC-B	KM	Hi Pz	A	220	ZhJp	F3 V	{ 4 }	(E9C-5)	[EE1E]		14	-7560
Tien	A	0407	Kiablibrazh	D610455-9		Ni		310	ZhJp	M5 V	{ -2 }	(833+3)	[127A]		8	216
Tien	A	0410	Ziebr	C494525-A	W	Ag Ni		803	ZhJp	M3 V D	{ 2 }	(D43-1)	[3725]		10	-156
Tien	E	0412	Kizdant	C20058B-A		Ni Va		423	ZhJp	M5 V D	{ 0 }	(943-1)	[6549]		13	-108
Tien	E	0414	Zhdavrmazh	A647777-B	KM	Ag Pi	U	120	ZhJp	G5 V D	{ 4 }	(76A+2)	[BB7E]		12	840
Tien	E	0415	Jantsiaravr	E685000-0		Ba Ga		024	ZhJp	M8 V	{ -3 }	(600+3)	[0000]		18	18
Tien	E	0416	Diakra	C9C5662-9		Fl Ni O:0414		705	ZhJp	G2 II	{ -1 }	(A54-3)	[3518]		15	-600
Tien	E	0418	Eshil	A887898-C	D	Ga Ri Pa Ph		804	ZhJp	M2 V	{ 4 }	(F7A+1)	[6C4G]		9	1050
Tien	E	0419	Priat	C26078A-6	KM	De Ri		324	ZhJp	M2 V	{ 1 }	(76C-2)	[8855]		17	-1008
Tien	E	0420	Staliaql	B76A615-7	KM	Ni Ri Wa		404	ZhJp	M8 V	{ 1 }	(A55-4)	[473B]		14	-1000
