Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Troj	A	0103	Taltern	E530240-6		De Lo Po		202	NaHu	M2 V M2 V	{ -3 }	(410-5)	[1111]		7	-20
Troj	A	0110	Bilke	D987341-7		Lo FlorW		202	FlLe	F0 V	{ -3 }	(520-5)	[1113]		6	-50
Troj	E	0116	Daruf	D540358-5		De He Lo Po FlorW Px		213	FlLe	F6 V	{ -3 }	(520-3)	[3155]		12	-30
Troj	E	0119	Bolsush	D585741-6		Ag Ri FlorW		111	FlLe	F2 V M0 V	{ 0 }	(967-4)	[3712]		7	-1512
Troj	I	0122	Aftye	A560343-D		De Lo		313	AsVc	F8 V	{ 1 }	(921-2)	[142A]		7	-36
Troj	I	0126	Ahaikhea	B422423-9	R	He Ni Po		101	AsMw	F7 III M7 V	{ 0 }	(733-3)	[1426]		14	-189
Troj	I	0127	Eawatrye	B8B5756-C	R	Fl		903	AsMw	M1 V M7 V	{ 2 }	(C6C+1)	[694B]		12	864
Troj	I	0129	Tyea'ih	B548889-A		Pa Ph Pi		705	AsVc	K3 V M5 V	{ 2 }	(F7B+3)	[9A6B]		11	3465
Troj	I	0130	Oiauh	B1018B8-D		Ic Na Va Ph Pi		802	AsT2	F4 V	{ 2 }	(C7D+2)	[8A5D]		10	2184
Troj	M	0132	Ftyewirl	B55648A-B	T	Ni Pa		120	AsT5	K4 V	{ 1 }	(834+3)	[657D]		13	288
Troj	M	0134	Elahkoi	C568587-9		Ag Ni Pr		722	AsVc	K2 V	{ 0 }	(B44+1)	[5559]		9	176
Troj	M	0135	Uiwuar	B101115-E		Ic Lo Va		605	AsMw	F1 V M4 V	{ 1 }	(801-1)	[123C]		11	-8
Troj	M	0139	Ealea	B576587-9		Ag Ni		200	AsMw	G5 V D	{ 1 }	(745+1)	[5659]		8	140
Troj	A	0201	Szirp	A436538-D		Ni		800	NaHu	M8 V	{ 1 }	(745+1)	[565D]		9	140
Troj	A	0202	Sam's World	E100856-7		Na Va Ph Pi		803	NaHu	G7 V	{ -2 }	(A76-3)	[7646]		14	-1260
Troj	A	0204	Dustpan	A550779-9		De Po		900	NaHu	F2 V	{ 1 }	(96A+2)	[886A]		12	1080
Troj	A	0209	Heath	B587532-B		Ag Ni Pr		622	NaHu	K2 V M6 V	{ 2 }	(B46-2)	[1717]		8	-528
Troj	A	0210	Vip	A421644-D	KM	He Na Ni Po FlorW		404	FlLe	M8 V	{ 2 }	(C56+1)	[483B]		15	360
Troj	E	0213	Floria	A567942-E	KM	Hi An Cx Pr (Floriani)		604	FlLe	F5 V M8 V	{ 4 }	(F8G+1)	[5D1A]		12	1920
Troj	E	0218	Vorn	B611640-9	KM	Ic Na Ni FlorW		513	FlLe	M0 V	{ 1 }	(C55-3)	[1714]		13	-900
Troj	E	0220	Thrush	A436246-C		Lo FlorW		412	FlLe	M1 V	{ 1 }	(711+1)	[134B]		14	7
Troj	I	0222	Dalfi	C550345-9		De Lo Po FlorW		510	FlLe	F4 V M3 V	{ -1 }	(620-3)	[1237]		9	-36
Troj	I	0223	Khteiatloilr	B423456-C	R	Ni Po		404	AsWc	F7 V	{ 1 }	(A34+1)	[354B]		9	120
Troj	I	0224	Ewoiftoil	B546646-A		Ag Ni		510	AsMw	F3 V	{ 2 }	(956+1)	[5849]		9	270
Troj	I	0227	H'a	D657449-6		Ni Ga Pa		802	AsMw	F4 V	{ -3 }	(631-2)	[5167]		13	-36
Troj	I	0229	Hreahrya	B433A79-D		Hi Na Po		924	AsSc	K0 V	{ 3 }	(J9F+4)	[BD6E]		12	9720
Troj	M	0232	Yekhtia	B423376-B		Lo Po		211	AsSc	G0 V M8 V	{ 1 }	(721+1)	[244A]		11	14
Troj	M	0234	Aehahr	B100449-C		Ni Va Rs		522	AsVc	M7 V M9 V	{ 1 }	(A34+2)	[556D]		15	240
Troj	M	0236	Ftoakh	E673A8C-A		Hi In Pz	A	200	AsWc	F4 V M9 V M7 V	{ 2 }	(C9C+5)	[DC8D]		10	6480
Troj	M	0240	Aohfeau	B998784-A		Ag Pi		620	AsVc	F3 V M8 V	{ 3 }	(B6C+1)	[5A38]		14	792
Troj	A	0307	Crescent	B420778-7		De He Na Po Pi		904	NaHu	M1 V	{ 0 }	(968+1)	[7757]		16	432
Troj	A	0310	Trossachs	B897A54-C		Hi In FlorW		202	FlLe	F6 V	{ 4 }	(E9F+2)	[8E3A]		7	3780
Troj	E	0317	Insec	A421542-E	KM	He Ni Po FlorW		903	FlLe	M8 V M9 V	{ 2 }	(A46-2)	[171A]		11	-480
Troj	E	0318	Fissolon	E69A742-8		Wa Pi FlorW		105	FlLe	F7 V	{ -2 }	(E66-5)	[3514]		13	-2520
Troj	E	0319	Kabal	B587147-B	KM	Lo FlorW		514	FlLe	F8 V D	{ 2 }	(802+2)	[135B]		16	32
Troj	E	0320	Cimmen	E7C0140-9		He Lo FlorW		601	FlLe	M2 V M3 V	{ -2 }	(400-5)	[1114]		9	-20
Troj	I	0321	Nora'a	A585645-9	KM	Ag Ni Ri FlorW		900	FlLe	K4 V	{ 3 }	(857+1)	[4937]		11	280
Troj	I	0322	Iryao	A5588B8-C	R	Pa Ph		420	AsMw	F1 V	{ 2 }	(C7C+2)	[8A5C]		14	2016
Troj	I	0328	Suiaoir	B651367-B		Lo Po O:0229		404	AsSc	F6 V	{ 1 }	(921+1)	[345B]		11	18
Troj	I	0329	Hkaha	B897696-A		Ag Ni		703	AsMw	M4 V M6 V	{ 2 }	(B56+1)	[5849]		11	330
Troj	M	0332	Hkesuh	B9A4758-B	R	Fl		122	AsMw	M4 V	{ 2 }	(D6C+2)	[795B]		13	1872
Troj	M	0335	Eaweiya	A5406B7-A	T	De He Ni Po		610	AsT7	K7 V M3 V	{ 1 }	(955+1)	[675A]		11	225
