Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Tugl	A	0103	Aenagzdars	A67A6A7-D	K	Ni Wa		504	VRrS	F6 V D	{ 1 }	(C55+1)	[675D]		13	300
Tugl	A	0104	Uel Zar	C89A434-A		Ni Wa		401	VRrS	G1 IV	{ 0 }	(733-2)	[2438]		14	-126
Tugl	A	0105	Rrurr	B6595AA-A	C	Ni		102	VRrS	G0 V D	{ 1 }	(945+3)	[767C]		8	540
Tugl	A	0109	Fa Gegdha	B611677-A		Ic Na Ni		204	NaVa	M2 V	{ 1 }	(C55+1)	[675A]		7	300
Tugl	E	0113	Akoengouthluen	D697346-6	C	Lo		125	VThE	G7 V	{ -3 }	(520-4)	[2145]		12	-40
Tugl	E	0115	Otothoekh	A844943-D	K	Hi In Cp		415	VThE	K5 V	{ 4 }	(H8G+1)	[6D2A]		17	2176
Tugl	E	0119	Orlaegngeg	C626334-7	C	Lo		901	VThE	M1 V	{ -2 }	(520-4)	[1135]		14	-40
Tugl	E	0120	Uel Satsugzakh	C63A5A7-B		Ni Wa		633	VThE	M2 V	{ 0 }	(D44+1)	[555B]		14	208
Tugl	I	0121	Aes Kazlluek	B9C4620-B	K	Fl Ni		425	VThE	G1 V D	{ 1 }	(F55-3)	[1716]		12	-1125
Tugl	I	0122	Anell Gogh	A58789B-A		Ri Pa Ph		301	VThE	G6 V M1 V M6 V	{ 3 }	(B7C+5)	[AB7C]		11	4620
Tugl	I	0128	Ogzang	C559354-8		Lo		501	NaVa	G9 V M8 V D	{ -2 }	(620-4)	[1136]		11	-48
Tugl	M	0132	Karrsuergae	C420226-9	C	De He Lo Po		602	NaVa	K3 V M3 V	{ -1 }	(610-2)	[1148]		14	-12
Tugl	M	0133	Uengurrg	D664100-3		Lo		424	NaVa	G3 V K8 V	{ -3 }	(300-5)	[1111]		15	-15
Tugl	M	0134	Aes Guendan	C8A6354-B		Fl Lo		223	NaVa	G1 V	{ 0 }	(A20-2)	[1339]		12	-40
Tugl	M	0136	Ilal	X5467AA-2		Ag Pi Fo	R	202	NaVa	F5 IV	{ -1 }	(966+1)	[9677]		8	324
Tugl	A	0201	Ngirzgnurlogz	B555478-A		Ni Pa		522	VRrS	G2 V	{ 1 }	(A34+1)	[455A]		17	120
Tugl	A	0204	Naez	CACA254-A		Fl Lo		122	VRrS	K1 V	{ 0 }	(810-2)	[1238]		10	-16
Tugl	A	0205	Aroegsukgnu	A522754-D	K	He Na Po Cx Pi		505	VRrS	M3 V	{ 2 }	(E6D+1)	[593B]		10	1092
Tugl	A	0210	Odhonandon	B543498-9		Ni Po		804	VSEq	F7 V	{ 0 }	(A33+1)	[4459]		17	90
Tugl	E	0212	Aeg Gzou	D596595-4		Ag Ni		604	VThE	F5 V M5 V	{ -2 }	(B44-1)	[3337]		13	-176
Tugl	I	0221	Aen Khue	B430446-D	K	De Ni Po		301	VThE	F7 V	{ 1 }	(734+1)	[354C]		11	84
Tugl	I	0226	Az Outs	B402147-C		Ic Lo Va		503	NaVa	K6 V M2 V	{ 1 }	(601+1)	[125C]		15	6
Tugl	I	0227	Oezuerz	B6468CF-8		Pa Ph Pi		905	NaVa	F8 V D	{ 0 }	(F78+5)	[D8AD]		14	4200
Tugl	I	0228	Aesekong	E669A75-A	K	Hi		202	NaVa	F7 V D	{ 1 }	(E9B-1)	[8B38]		9	-1386
Tugl	I	0229	Edhnga	C593330-7		Lo		311	NaVa	F9 V M3 V	{ -2 }	(520-5)	[1112]		9	-50
Tugl	M	0232	Aesgvael	C8A5799-8	CK	Fl		703	NaVa	G0 V	{ 0 }	(C67+1)	[8769]		16	504
Tugl	M	0238	Fa Dhuerzaegoe	E203669-8	C	Ic Na Ni Va O:0239		814	VAkh	M2 V	{ -3 }	(D51-2)	[7369]		18	-130
Tugl	M	0239	Aerrokhs	A525738-C		Pi		723	VAkh	G6 V K5 V	{ 2 }	(E6C+2)	[795C]		18	2016
Tugl	A	0303	Sunokhnurgh	D677644-6		Ag Ni		805	VRrS	K4 V	{ -2 }	(C54+1)	[4438]		18	240
Tugl	A	0305	Egangekno	B674525-A		Ag Ni		304	VRrS	G7 V	{ 2 }	(B46+1)	[3738]		12	264
Tugl	A	0309	Aes Alae	X8B6100-4		Fl Lo Fo	R	703	VSEq	F3 V D	{ -3 }	(600-5)	[1113]		15	-30
Tugl	A	0310	Guegzegh	C797546-8		Ag Ni		603	VSEq	K0 V	{ -1 }	(A43-2)	[4447]		15	-240
Tugl	E	0314	Oengngirrgue	B672875-A	K	He Ph Pi		103	VThE	F4 V	{ 2 }	(F7A+2)	[8A3A]		6	2100
Tugl	E	0317	Akhigh	A5858A8-B	K	Ri Pa Ph		922	VThE	G0 V	{ 3 }	(E7D+3)	[8B5B]		17	3822
Tugl	I	0325	Ul Gaek	B578156-A	K	Lo		704	NaVa	G3 V D	{ 1 }	(701+1)	[1249]		15	7
