Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Uist	A	0105	Iataohfi	B000115-E		As Lo Va		802	AsMw	M2 V	{ 1 }	(501-1)	[123C]		13	-5
Uist	A	0109	Uaraw	E304367-9		Ic Lo Va O:0110		803	AsSc	M2 V M7 V	{ -2 }	(820-2)	[3159]		6	-32
Uist	A	0110	Yeeiai	B310976-E	RT	Hi In Na		532	AsSc	F1 V M6 V	{ 5 }	(G8H+4)	[8E4D]		15	8704
Uist	E	0114	Oheahwoieal	C79A456-8	R	Ni Wa		905	AsMw	M0 V M8 V	{ -2 }	(B31-3)	[3247]		12	-99
Uist	I	0122	Easualehriy	C423459-9		Ni Po		100	AsMw	K2 IV	{ -1 }	(632+1)	[536A]		8	36
Uist	I	0123	Oasiyw	D552788-6		Po		204	AsVc	K9 V M6 V	{ -2 }	(965-2)	[7556]		12	-540
Uist	I	0129	Thegen	C577520-7		Ag Ni		208	NaAs	K5 V M3 V	{ -1 }	(743-5)	[1412]		18	-420
Uist	M	0134	Ramiu	E100000-0		Ba Va		002	NaXX	M1 V M3 V	{ -3 }	(200-5)	[0000]		11	-10
Uist	M	0136	Thoueng	C7A2644-8		Fl He Ni		402	NaAs	M3 V M6 V	{ -2 }	(A52-4)	[4436]		12	-400
Uist	M	0140	Dewu	D99A456-8		Ni Wa		304	NaAs	F1 V	{ -3 }	(A31-4)	[3147]		13	-120
Uist	A	0202	Seaehea	C9B5486-A		Fl Ni		400	AsVc	G1 V M5 V	{ 0 }	(633-1)	[3449]		8	-54
Uist	A	0203	Eaoahakh	C672388-8		He Lo		500	AsVc	F0 V	{ -2 }	(520-2)	[3158]		9	-20
Uist	A	0204	Ahkoufoeail	C555897-8		Pa Ph		504	AsTv	F7 V	{ -1 }	(E77-1)	[8758]		13	-686
Uist	A	0206	Eahwewoiw	B547859-B		Pa Ph Pi		204	AsWc	F5 V M2 V	{ 2 }	(E7C+3)	[9A6C]		13	3528
Uist	A	0208	Ifahfyeiwea	B695678-A	R	Ag Ni		302	AsSc	M3 V	{ 2 }	(A56+2)	[685A]		9	600
Uist	A	0210	Aossta	C78A523-A		Ni Wa Pr		522	AsMw	F0 V M1 V M0 V	{ 0 }	(B44-3)	[2527]		13	-528
Uist	E	0213	Ktaeaktai	C5439A5-A	R	Hi In Po		415	AsWc	F7 V M0 V	{ 3 }	(H8D+1)	[7C38]		19	1768
Uist	E	0214	Aorear	B55649B-A		Ni Pa Da	A	900	AsTv	F4 V	{ 1 }	(634+3)	[657C]		10	216
Uist	E	0219	Eyeei	C576497-9	R	Ni Pa		702	AsVc	M3 V	{ -1 }	(832-1)	[4359]		11	-48
