Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Vang	A	0101	Bingzi	D326300-9		Lo Co Sa		713	NaHu	M6 V	{ -2 }	(B20+1)	[8126]		9	22
Vang	A	0108	Issoudun	E210AD9-8		Hi In Na Pz Fr	A	101	NaHu	M4 V	{ 0 }	(89B+1)	[DA28]		10	792
Vang	E	0111	Jorhat	C533431-A		Ni Po Da Tz	A	711	NaHu	K6 V M8 V	{ 0 }	(936+1)	[3469]		8	162
Vang	E	0118	Chnasodlsata	C898879-4		Pa Ph Pi	U	400	ZhCa	K9 VI	{ -1 }	(675+1)	[B753]		9	210
Vang	I	0121	Drieglechzhen	CAB8444-A		Fl Ni	F	513	ZhCa	M9 V	{ 0 }	(834+1)	[2468]		12	96
Vang	M	0131	Iadrdeibr	B434633-C	V	Ni		621	CsZh	K8 V M1 V	{ 1 }	(C52-3)	[376G]		14	-360
Vang	M	0134	Whekau	C551535-8		Ni Po Varg2		513	NaHu	G8 V G8 V M4 V M2 V	{ -2 }	(741-1)	[7357]		13	-28
Vang	A	0201	Tyrron	C552857-6		Po Ph		200	NaHu	K5 V M0 V	{ -1 }	(679+2)	[4767]		4	756
Vang	A	0203	Shenidklen	B548737-A	K	Ag Pi Fr		211	ZhCa	K2 V M6 V	{ 3 }	(66C-3)	[7A3A]		7	-1296
Vang	A	0204	Krafltlajmichi	C579679-5		Ni Co		312	ZhCa	K1 V M8 V	{ -2 }	(B53-3)	[4453]		13	-495
Vang	E	0212	Resolute	X758544-2		Ag Ni	F	903	ZhCa	K3 V	{ -2 }	(942+1)	[3361]		10	72
Vang	E	0215	Brilibr	B9C1520-B		Fl He Ni Sa		802	ZhCa	F3 V K1 V	{ 1 }	(A45+1)	[867B]		6	200
Vang	E	0220	Praflozda	C412200-C	V	Ic Lo Da Sa	A	325	ZhCa	M2 V	{ 0 }	(B10-4)	[229C]		19	-44
Vang	A	0302	Chtanja	B5879D9-5	KM	Hi Pr		121	ZhCa	K3 V M6 V	{ 2 }	(988+1)	[6B59]		15	576
Vang	A	0304	Kolshedjielib	B545764-8		Ag Pi O:0302		910	ZhCa	K7 V M5 V	{ 1 }	(469-2)	[9835]		13	-432
Vang	A	0308	Sorlios	C777300-9		Lo		830	NaHu	K1 V M0 VI	{ -1 }	(520-3)	[724B]		9	-30
Vang	A	0310	Tliadlpabr	B977555-C		Ag Ni		801	ZhCa	K1 V	{ 2 }	(844+2)	[5769]		11	256
Vang	E	0311	Tlaiafribr	E574300-5		Lo		404	ZhCa	G1 V	{ -3 }	(520+2)	[4138]		11	20
