Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Verg	M	0337	Ktiyleawoi	C67A216-B		Lo Wa		900	AsMw	M2 V M6 V	{ 0 }	(410-1)	[124A]		7	-4
Verg	M	0338	Khtis	EAB9215-8		Fl Lo		205	AsMw	M8 III	{ -3 }	(910-5)	[1136]		15	-45
Verg	M	0339	Khee'	C557216-6		Lo		713	AsMw	M0 V	{ -2 }	(410-3)	[1145]		13	-12
Verg	A	0410	Bledarua	E424200-7		Lo		820	NaHu	G3 V M8 V	{ -3 }	(410-5)	[1112]		9	-20
Verg	E	0418	Attus	B549449-C		Ni		502	ImDi	K8 V M6 V	{ 1 }	(834+2)	[556D]	B	10	192
Verg	M	0438	Tryoekaui	A438167-C	R	Lo O:0537		804	AsMw	M3 V	{ 1 }	(701+1)	[125C]		15	7
Verg	M	0440	Akkilee	C57188A-8		He Ph Pi		400	AsWc	M2 V	{ -1 }	(A77+1)	[A77A]		9	490
Verg	E	0517	Assena	B541837-A		He Po Ph Pi		903	ImDi	M2 V M9 V	{ 2 }	(D7B+2)	[8A5A]	BDe	11	2002
Verg	E	0520	Tremfara	C9A8983-B	N	Fl Hi In		220	ImDi	K2 V	{ 3 }	(D8E+1)	[6C28]	BE	8	1456
Verg	I	0526	Durko	B561647-A		Ni Ri		503	ImDi	M2 V M5 V	{ 2 }	(B56+2)	[685A]	BC	14	660
Verg	I	0528	Minuskan	E554449-5		Ni Pa		912	ImDi	K9 V	{ -3 }	(631-2)	[5166]	Bc	11	-36
Verg	M	0536	Teaealrerla	B552369-9		Lo Po O:0537		124	AsMw	M0 V M1 V	{ 0 }	(B20+1)	[436A]		18	22
Verg	M	0537	Kyalauhea	B4307A5-C		De Na Po		402	AsMw	M2 V M4 V	{ 2 }	(B6C+1)	[593A]		9	792
Verg	M	0540	Eiaai	B78A589-D	R	Ni Wa Pr		903	AsWc	K8 V	{ 1 }	(A45+2)	[666E]		11	400
Verg	I	0622	Lauren	D667501-8		Ag Ni Ga Pr		413	ImDi	M2 V M6 V	{ -2 }	(B42-5)	[1314]	BcC	9	-440
Verg	I	0626	Girija	C410367-9		Lo O:0526		503	ImDi	K3 V	{ -1 }	(820-1)	[3259]	B	10	-16
Verg	M	0637	Yetatla	C88A9D8-9		Hi Wa Pr Pz	A	604	AsTv	M1 V M1 V	{ 1 }	(F8B+1)	[9A59]		13	1320
Verg	M	0640	Wyaakhuiahea	B100788-D		Na Va Pi		102	AsMw	M0 V M2 V	{ 2 }	(B6D+2)	[795D]		11	1716
