Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Wind	A	0104	Dognezafue	E989585-3	C	Ni Pr		403	VVar	F7 V M6 V	{ -3 }	(741-5)	[3231]		10	-140
Wind	E	0111	Kfoghuenggzu	C554799-4		Ag		303	VVar	F1 V M2 V	{ 0 }	(966+1)	[8765]		12	324
Wind	E	0113	Seos	B576685-5		Ag Ni		213	VVar	F9 V M8 V M3 V	{ 0 }	(854-2)	[4633]		11	-320
Wind	M	0137	Thognu	E543864-5		Po Ph Pi		104	VNgC	F4 V	{ -2 }	(A75-4)	[6633]		11	-1400
Wind	A	0202	Dzoulodzzueng	B555774-A	K	Ag		913	VVar	F9 V M8 V	{ 3 }	(D6C+1)	[5A38]		17	936
Wind	A	0204	Lliurr	EAE49C9-4		Hi Pz	A	514	VVar	F4 V	{ -1 }	(B86+1)	[A865]		16	528
Wind	A	0206	Ghoearrg	D000257-A		As Lo Va		607	VVar	G3 V M7 V M1 V	{ -1 }	(B10-1)	[215A]		18	-11
Wind	A	0207	Oganaksfouts	B797366-8	K	Lo		904	VVar	F1 V	{ -1 }	(920-2)	[2247]		9	-36
Wind	E	0211	Dharukeksoue	C200A79-9		Hi In Na Va		505	VVar	K0 V	{ 2 }	(H9C+3)	[BC6A]		18	5508
Wind	M	0237	Goza	C867557-5		Ag Ni Ga Pr		704	VNgC	F9 V	{ -1 }	(743-1)	[5455]		7	-84
Wind	A	0302	Knoengrugh	D88A875-3		Ri Wa Ph		512	VVar	G7 V M6 V M4 V	{ -1 }	(A75-3)	[6731]		9	-1050
Wind	A	0310	Knoerorr	A310400-D	CK	Ni		816	VVar	M1 V M2 V	{ 2 }	(D35-2)	[1618]		18	-390
Wind	M	0336	Ourrezuekh	B568675-9		Ag Ni Ri		717	VNgC	F9 V M3 V	{ 2 }	(G56+1)	[4837]		16	480
Wind	M	0338	Uekotoeaerrar	E579425-5		Ni		506	VNgC	G3 V M1 V	{ -3 }	(631-5)	[2133]		14	-90
Wind	A	0402	Genfoghudzuks	B56667A-5		Ag Ni Ri		900	VVar	F4 V	{ 1 }	(855+3)	[8777]		9	600
Wind	A	0403	Koeguksue	E569574-7		Ni Pr		905	VVar	G7 V	{ -3 }	(741-5)	[3235]		14	-140
Wind	A	0407	Luaenak	CA9A622-6	CK	Ni Oc		916	VVar	F1 V M3 V	{ -1 }	(853-5)	[2512]		11	-600
Wind	E	0411	Zidzurz	B420778-9	K	De He Na Po Pi		402	VVar	K0 V	{ 1 }	(B6A+1)	[7859]		10	660
Wind	E	0413	Gzoengsuerr	X571532-5		He Ni Fo	R	511	VVar	G7 V	{ -3 }	(741-5)	[1211]		6	-140
Wind	E	0414	Gaedueng	B9AA356-D	CK	Fl Lo		402	VVar	M5 III	{ 2 }	(722+1)	[254C]		13	28
Wind	M	0436	Sotonuklloerr	C96877A-4	C	Ag Ri		816	VNgC	F8 V M5 V	{ 1 }	(967+3)	[9876]		14	1134
Wind	M	0437	Sueknazaerrg	E545400-8		Ni Pa		204	VNgC	F1 V M0 V	{ -3 }	(A31-5)	[1113]		15	-150
Wind	M	0438	Kuerrughknoul	A657566-A	K	Ag Ni Ga		820	VNgC	F0 V	{ 2 }	(946+1)	[4749]		10	216
Wind	M	0440	Kfoenuerrgag	B544500-B	CK	Ag Ni		205	VNgC	F1 V M6 V	{ 3 }	(C47-1)	[1816]		10	-336
Wind	A	0501	Ksuthakhful	C787400-5	C	Ni Ga Pa		102	VVar	F9 V M1 V	{ -2 }	(631-5)	[1211]		7	-90
Wind	A	0502	Goeghfoedh	A8C7510-D	K	Fl Ni		502	VVar	M3 V	{ 1 }	(945-3)	[1618]		5	-540
Wind	A	0506	Kanagheg	C435421-6		Ni		312	VVar	G0 V	{ -2 }	(631-5)	[1212]		10	-90
Wind	A	0510	Gakhguekhs	A422877-B	K	He Na Po Ph Pi		204	VVar	F9 V G9 V M4 V	{ 2 }	(E7C+2)	[8A5B]		12	2352
