Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Zaru	A	0101	Didraga	C1008BC-8	S	Na Va Ph Pi Pz	A	603	ImDi	K0 V	{ -1 }	(D77+2)	[B78B]	BDe	10	1274
Zaru	A	0106	Ymirial	B200102-A		Lo Va		303	ImDi	M3 V M5 V	{ 1 }	(601-3)	[1216]	B	10	-18
Zaru	A	0108	San Nuska Kilna	B5547BD-A		Ag Pz	A	202	ImDi	A2 V	{ 3 }	(B6C+5)	[BA9E]	BC	11	3960
Zaru	A	0109	Zed	B431721-A	NS	Na Po		104	ImDi	G0 III	{ 3 }	(D6C-1)	[3A16]	B	8	-936
Zaru	A	0110	Norsec	B427596-B		Ni		504	ImDi	K2 V	{ 1 }	(B45+1)	[464A]	B	10	220
Zaru	E	0112	Numdaag	D553A85-A		Hi Po Darm2		603	ImDi	F1 V M6 V	{ 1 }	(F9B-1)	[8B38]	BE	10	-1485
Zaru	E	0114	Tsunami	C542640-8	S	He Ni Po		525	ImDi	K4 V M7 V	{ -2 }	(F52-5)	[1413]	B	14	-750
Zaru	E	0115	Framiller	B89679C-A		Ag Pi Pz	A	612	ImDi	K5 III M1 V	{ 3 }	(C6C+5)	[AA8D]	BCD	6	4320
Zaru	E	0116	Travis	B97A320-D		Lo Wa		213	ImDi	F1 V	{ 1 }	(921-3)	[1418]	B	12	-54
Zaru	E	0120	Norton	B310110-A		Lo		824	ImDi	M1 V	{ 1 }	(901-3)	[1215]	B	10	-27
Zaru	I	0121	Corta	D625785-7		Pi		923	ImDi	K1 V M5 V	{ -2 }	(966-4)	[5535]	BD	10	-1296
Zaru	I	0124	Lorrius	B200434-D		Ni Va		224	ImDi	M1 V	{ 1 }	(C34-1)	[253B]	B	11	-144
Zaru	I	0126	Adzel	C422665-A		He Na Ni Po O:0227		800	ImDi	F5 V	{ 0 }	(854-2)	[4638]	B	11	-320
Zaru	I	0127	Quippa	B857462-B		Ni Ga Pa O:0227		512	ImDi	F8 V	{ 1 }	(934-3)	[1517]	Bc	11	-324
Zaru	I	0130	Fuji	BAA5202-D		Fl Lo		704	ImDi	F3 V M5 V	{ 1 }	(811-3)	[1319]	B	15	-24
Zaru	M	0135	Farreach	B667253-C	N	Lo Ga		824	CsIm	F1 V	{ 1 }	(A11-2)	[1329]		16	-20
Zaru	M	0140	Askyat	B665835-A		Ga Ri Pa Ph Droy3		314	NaHu	F2 V M6 V	{ 3 }	(F7C+1)	[6B38]		11	1260
Zaru	A	0201	Selsinia	B641774-A		He Po Pi		614	ImDi	K5 V M3 V	{ 2 }	(E6B+1)	[5938]	BD	11	924
Zaru	A	0204	Allis	B438553-B	S	Ni		103	ImDi	F2 V	{ 1 }	(A45-2)	[2628]	B	10	-400
Zaru	A	0209	Arxani	B546459-C	N	Ni Pa		703	ImDi	G8 V	{ 1 }	(934+2)	[556D]	Bc	14	216
Zaru	E	0217	Ansset	B766502-B	NS	Ag Ni Ga Pr		203	ImDi	K9 V M5 V	{ 3 }	(A47-1)	[1817]	BcC	13	-280
Zaru	E	0219	Mikal	B546435-B	N	Ni Pa		502	ImDi	M2 V	{ 1 }	(834-1)	[2539]	Bc	8	-96
Zaru	E	0220	Leonida	A784532-D		Ag Ni Pr		405	ImDi	F8 V	{ 2 }	(C46-2)	[1719]	BcC	12	-576
Zaru	I	0224	Jersi	A562433-D	N	Ni		612	ImDi	K1 V M6 V	{ 1 }	(934-2)	[152A]	B	14	-216
Zaru	I	0227	Keeton	B786644-A		Ag Ni Ga Ri		824	ImDi	F2 V	{ 3 }	(E57+1)	[4938]	BC	13	490
