Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Zhda	A	0109	Ilviei	C200431-B		Va Ni		504	ZhJp	M6 V	{ 0 }	(B35+5)	[844F]		10	825
Zhda	A	0110	Enzhtladr	A687658-D	KM	Ga Ni Ag Ri Cp		612	ZhJp	K7 V	{ 4 }	(B59-3)	[9A6F]		15	-1485
Zhda	A	0203	Vezhna	A4657CC-9	KM	Ag Ri		503	ZhJp	K7 V D	{ 4 }	(968-2)	[7B27]		10	-864
Zhda	A	0208	Ianshenj	B527786-B		Pi Di(minor)		603	ZhJp	F9 V M5 V	{ 2 }	(A69+1)	[593B]		16	540
Zhda	A	0302	Iadvada	A77389B-C	KM	Ph Pi		304	ZhJp	K5 V	{ 3 }	(B7D+3)	[CB7C]		12	3003
Zhda	A	0303	Yal Vri	B534677-B		Ni		323	ZhJp	G9 V D	{ 1 }	(C55-1)	[675E]		16	-300
Zhda	A	0307	Tlenshiebr	B749000-0		Ba Di(minor)		002	ZhJp	K3 V D	{ -1 }	(A00-5)	[0000]		6	-50
Zhda	A	0308	Azhia Naz	A574551-E	KM	Ni Ag		305	ZhJp	G7 V D	{ 3 }	(D46+1)	[789C]		14	312
Zhda	A	0403	Ievrinj	D95A400-9		Wa Ni		100	ZhJp	G4 V	{ -2 }	(633+3)	[428B]		10	162
Zhda	A	0406	Dlopansh	A582431-D	D	Ni		312	ZhJp	M5 V	{ 2 }	(A35-1)	[563C]		13	-150
Zhda	A	0409	Zdieq	D77769A-6		Ni Ag		710	ZhJp	G8 V	{ -2 }	(950-1)	[3414]		12	-45
Zhda	A	0507	Sianbistiaql	C362502-A		Ni Pr		913	ZhJp	M7 V	{ 0 }	(F41+2)	[8528]		11	120
Zhda	A	0602	Tliavrianch	B68969C-B		Ni Ri		600	ZhJp	K5 V	{ 2 }	(456-1)	[987A]		10	-120
Zhda	A	0603	Drepadze	B8598AA-B	KM	Ph		925	ZhJp	G4 V	{ 3 }	(979+1)	[8B99]		12	567
Zhda	A	0606	Oiedr	E624000-0		Ba		023	ZhJp	M7 V	{ -3 }	(700-5)	[0000]		14	-35
Zhda	A	0607	Iatlbench	BA9A576-B		Oc Ni		504	ZhJp	G8 V	{ 1 }	(844-1)	[863C]		8	-128
Zhda	A	0609	Vravrchtia	B132656-C		Ni Na Po		204	ZhJp	M7 V	{ 1 }	(A54+1)	[378B]		13	200
